Date,Open,High,Low,Close,Volume
2016-03-22,6.77993,6.77993,6.38335,6.6139,14287.342644547436
2016-03-23,6.65674,6.65674,6.03769,6.52876,15421.55078567926
2016-03-24,6.50692,6.57091,6.50692,6.57091,4074.2123261976767
2016-03-29,6.44308,6.44727,6.40023,6.44727,4337.0647343395285
2016-03-30,6.44727,6.6139,6.44727,6.6098,8156.310224639833
2016-03-31,6.40504,6.58392,6.40504,6.58392,48.62769550623125
2016-04-01,6.55052,6.55052,6.55052,6.55052,247.08126365328675
2016-04-04,6.55052,6.55052,6.55052,6.55052,386.3930399684304
2016-04-05,6.55052,6.55052,6.50692,6.50692,2595.667530400152
2016-04-06,6.55052,6.55052,6.44308,6.44308,1652.027385171158
2016-04-07,6.50692,6.50692,6.4214,6.4214,278.6235526302981
2016-04-08,6.4214,6.6139,6.4214,6.42619,5498.872378326267
2016-04-11,6.60568,6.60568,6.60568,6.60568,1.314262040708935
2016-04-12,6.42619,6.55797,6.4214,6.55797,785.9287003439588
2016-04-13,6.5458,6.5458,6.42619,6.5458,616.3888970924995
2016-04-14,6.48651,6.52876,6.48651,6.52876,1885.966028417423
2016-04-15,6.40023,6.5118,6.35794,6.5118,4172.781979250939
2016-04-18,6.40504,6.40504,6.3966,6.3966,1979.278633307772
2016-04-19,6.36645,6.36645,6.3501,6.3501,1917.508317394358
2016-04-20,6.33687,6.33687,6.05876,6.06782,3727.247147450628
2016-04-21,6.18726,6.23018,6.18726,6.18726,1624.4278823163536
2016-04-22,6.18726,6.35794,6.18726,6.35794,258.9096220196674
2016-04-25,6.23018,6.23018,6.06425,6.06425,2365.6716732761265
2016-04-26,6.20843,6.48651,6.20843,6.48651,6831.534087605289
2016-04-27,6.48651,6.69958,6.48651,6.48994,18608.63623439833
2016-04-28,6.49406,6.49406,6.49406,6.49406,692.6160954536203
2016-05-02,6.52876,6.52876,6.52876,6.52876,223.4245469205255
2016-05-04,6.2512,6.37483,6.24282,6.24282,2732.350782633937
2016-05-06,6.31449,6.6098,6.31449,6.35794,2343.329218584126
2016-05-09,6.40023,6.40023,6.40023,6.40023,24.97097877346998
2016-05-10,6.40023,6.43037,6.40023,6.43037,1690.14098435168
2016-05-11,6.40869,6.65263,6.40869,6.6139,6554.224797015588
2016-05-12,6.63155,6.63155,6.52876,6.58392,5882.636894213272
2016-05-13,6.57091,6.57091,6.57091,6.57091,467.8772864923992
2016-05-16,6.59686,6.6098,6.57981,6.6098,2062.0771418724044
2016-05-17,6.6139,6.6139,6.59344,6.59344,3665.4768315372135
2016-05-18,6.57091,6.57091,6.57091,6.57091,140.62603835587197
2016-05-19,6.52876,6.6139,6.52876,6.6139,25445.427370166974
2016-05-20,6.65263,6.65674,6.65263,6.65674,6552.910534974914
2016-05-23,6.57091,6.57091,6.52876,6.52876,1523.229705181634
2016-05-24,6.6139,6.65674,6.6139,6.61793,2269.7305443044293
2016-05-25,6.65674,6.65674,6.65674,6.65674,1127.636830928345
2016-05-30,6.6139,6.6139,6.53288,6.6139,902.8980219670586
2016-05-31,6.59344,6.6139,6.52876,6.6139,3792.960249486064
2016-06-01,6.53288,6.53288,6.41766,6.41766,2194.817607983949
2016-06-02,6.40504,6.65674,6.40023,6.65674,8462.53328012512
2016-06-03,6.65674,6.65674,6.65674,6.65674,185.3109477399596
2016-06-06,6.65674,6.65674,6.48651,6.48651,801.699844832459
2016-06-07,6.4777,6.64791,6.4777,6.64791,2436.641823474476
2016-06-08,6.46476,6.52876,6.46476,6.52876,2226.359896960994
2016-06-09,6.52876,6.52876,6.52876,6.52876,353.5364889507016
