Date,Open,High,Low,Close,Volume
2024-05-31,20.7178,21.3174,20.6345,21.2342,121607.83459195
2024-06-03,21.0009,21.2674,21.0009,21.2342,62647.29723454
2024-06-04,21.1175,21.2175,20.6846,20.7677,115385.97696219
2024-06-05,20.7677,21.3007,20.7345,21.2175,49218.844809125
2024-06-06,21.2175,21.3007,20.9676,21.0176,46528.831087704
2024-06-07,20.9843,21.3007,20.9343,21.1676,47727.328272516
2024-06-10,21.0675,21.2842,20.7844,21.2508,53361.946299707
2024-06-11,21.2008,21.3174,21.0009,21.2342,53812.283418248
2024-06-12,21.2342,21.6338,21.1842,21.6338,89270.026783729
2024-06-13,21.6671,21.8669,21.3341,21.6171,92660.164612108
2024-06-14,21.8442,22.0712,21.6522,21.7743,72175.446255956
2024-06-17,21.5996,21.9141,21.5646,21.8616,41637.125437149
2024-06-18,21.8266,22.0537,21.7394,21.8965,42396.517332088
2024-06-19,21.687,21.8965,21.5646,21.5822,54409.341154293
2024-06-20,21.5996,21.7743,21.425,21.6345,66084.275671813
2024-06-21,21.5646,21.7568,21.1806,21.1806,95838.006071263
2024-06-24,21.1806,21.46,21.1806,21.2155,58041.364832804
2024-06-25,21.2155,21.5299,21.1283,21.1631,90117.941028539
2024-06-26,21.1806,21.3028,21.006,21.0759,50100.393478937
2024-06-27,21.041,21.2155,21.0234,21.2155,28892.399019368
2024-06-28,21.2155,21.9315,21.1631,21.8266,116900.53632169
2024-07-01,21.9141,21.9489,21.3726,21.3902,68056.632901202
2024-07-02,21.4949,21.5472,20.9536,21.0234,91585.182382109
2024-07-03,21.1283,21.1283,20.8139,20.8313,96860.83708511
2024-07-04,20.8837,20.9011,20.2726,20.6043,155963.97610586
2024-07-05,20.6393,21.006,20.2551,20.6043,99823.954479089
2024-07-08,20.6917,21.1631,20.6043,20.9536,46864.673866262
2024-07-09,20.9536,21.1283,20.8663,20.8837,27507.625563891
2024-07-10,20.8663,21.0759,20.779,21.006,53039.457735972
2024-07-11,21.0933,21.1283,20.8663,20.9711,50536.786106346
2024-07-12,20.9711,21.041,20.8139,20.8663,63221.952375504
2024-07-15,20.8663,21.3902,20.4821,20.6568,97157.49244075
2024-07-16,20.6568,20.8489,20.0979,20.2551,102139.92795053
2024-07-17,20.3076,20.552,20.063,20.063,91689.412642198
2024-07-18,20.0805,21.1283,19.7488,21.1283,103218.88295058
2024-07-19,21.1283,21.1283,20.5346,20.5695,45337.87236407
2024-07-22,20.1679,20.1679,18.9804,19.1202,434419.12479163
2024-07-23,19.1202,19.6265,19.1028,19.4169,84607.481893467
2024-07-24,19.4169,19.4169,18.9804,19.0328,139891.89907753
2024-07-25,18.9455,19.0328,18.7884,18.9281,82961.560094028
2024-07-26,18.9455,19.2075,18.9281,19.0853,60308.086642886
2024-07-29,19.0328,19.1901,18.9106,18.9106,43435.383770565
2024-07-30,19.0153,19.0853,18.9106,19.0153,51613.450331448
2024-07-31,19.1028,19.1901,18.9281,19.1901,38317.792538908
2024-08-01,19.1202,19.2948,18.9106,18.9281,40779.230219487
2024-08-02,18.8932,19.1901,18.5789,18.8582,54772.428983397
2024-08-05,18.4217,18.5091,17.6883,18.3343,186898.60099051
2024-08-06,18.5091,18.771,17.9153,17.9852,72020.818947032
2024-08-07,17.8979,18.5789,17.8106,18.2995,80563.118724492
2024-08-08,17.0161,17.2256,16.597,17.0685,516317.76531024
2024-08-09,17.0771,17.7058,17.0685,17.3915,116103.34664013
2024-08-12,17.4613,17.8106,17.4613,17.5661,49757.922624357
2024-08-13,17.6359,17.6708,17.0859,17.4439,55055.339689355
2024-08-14,17.4439,17.5487,17.2081,17.3828,35800.230872126
2024-08-16,17.4613,18.0375,17.374,17.9502,56789.456324254
2024-08-19,17.9502,17.9502,17.5487,17.5487,38850.397714092
2024-08-20,17.6533,17.7232,17.3478,17.5311,37723.336440155
2024-08-21,17.5487,17.7058,17.182,17.5487,46177.441382154
2024-08-22,17.5487,18.4916,17.5487,18.2471,146033.4667105
2024-08-23,18.2645,18.282,17.8281,18.1947,58371.236425176
2024-08-26,18.0027,18.2471,17.9852,18.09,15814.364846796
2024-08-27,18.09,18.2645,18.0027,18.1772,34974.406503723
2024-08-28,18.1599,18.1599,17.7931,18.0202,36471.427931605
2024-08-29,17.863,18.2296,17.863,18.09,17038.784055981
2024-08-30,18.0724,18.09,17.8455,18.0027,26002.586423695
2024-09-02,17.9153,18.4042,17.8281,18.2296,74697.589472631
2024-09-03,18.4042,18.7534,18.1599,18.4217,45905.984550933
2024-09-04,18.3169,18.3169,17.7058,17.7407,92112.060619925
2024-09-05,17.8979,18.0375,17.6533,17.6533,33369.718653332
2024-09-06,17.7931,17.9502,17.4962,17.5487,27434.320765586
2024-09-09,17.4962,17.863,17.4177,17.5137,41652.015474305
2024-09-10,17.6359,17.7757,17.2606,17.4439,55295.871058793
2024-09-11,17.3828,17.6883,17.0946,17.3042,48093.674625343
2024-09-12,17.3915,17.7931,17.3915,17.6883,23403.702246293
2024-09-13,17.6883,18.1423,17.5311,18.1423,26290.078679546
2024-09-16,18.2121,18.2121,17.601,17.6359,20184.018058248
2024-09-17,17.4962,18.1947,17.4962,18.0375,20234.415107082
2024-09-18,17.9852,18.2296,17.9328,18.0724,32331.997602328
2024-09-19,17.9153,18.2645,17.8106,18.09,26193.866131772
2024-09-20,18.09,18.09,17.4788,17.4788,26676.074258121
2024-09-23,17.6359,17.8106,17.2256,17.6186,43904.992634705
2024-09-24,17.5661,17.5836,17.243,17.4177,50454.318208253
2024-09-25,17.2868,17.5836,17.2518,17.5487,49597.568378065
2024-09-26,17.3915,17.6359,17.3042,17.5311,38392.242724687
2024-09-27,17.5311,17.9852,17.5137,17.9678,32887.510526982
2024-09-30,17.9678,17.9852,17.5311,17.6359,22277.78635983
2024-10-01,17.6533,17.9678,17.4613,17.5487,63794.64611226
2024-10-02,17.5487,17.6533,17.4089,17.5836,20203.489645298
2024-10-03,17.5836,17.5836,17.217,17.2606,42722.952762039
2024-10-04,17.2692,17.5487,17.2606,17.4613,41377.122480661
2024-10-07,17.4613,17.5836,17.1209,17.2868,36038.471466617
2024-10-08,17.2344,17.435,16.7017,17.435,73449.117126502
2024-10-09,17.435,17.6359,17.2954,17.4613,42982.955718527
2024-10-10,17.4613,17.4962,16.7978,17.2868,38723.259704531
2024-10-11,16.9898,17.278,16.9898,17.0859,22111.705176171
2024-10-14,17.0859,17.2868,16.693,16.693,62788.995910516
2024-10-15,16.693,16.8938,16.6843,16.7105,57941.716122608
2024-10-16,16.7017,16.8851,16.7017,16.8153,65925.066812995
2024-10-17,16.8153,17.1731,16.7279,16.7629,40318.784455135
2024-10-18,16.9375,17.4439,16.9026,17.374,49130.250288872
2024-10-21,17.4177,17.601,17.0248,17.0771,74808.692057562
2024-10-22,16.9987,16.9987,16.0819,16.1255,295183.53273643
2024-10-23,16.1255,16.4049,16.0905,16.2216,128027.97562687
2024-10-24,16.2565,16.6407,16.1866,16.4574,123778.58810014
2024-10-25,16.5883,16.6843,16.5272,16.5883,61106.421711925
2024-10-28,16.5883,16.8765,16.5185,16.5883,86794.026580404
2024-10-29,16.5796,16.8502,16.501,16.501,59934.690326521
2024-10-30,16.501,16.6668,16.1081,16.178,83405.970433752
2024-10-31,16.3438,16.3438,15.7501,15.8898,105122.51693156
2024-11-04,15.8898,16.0383,15.7501,15.7501,53165.450358059
2024-11-05,15.8112,16.2391,15.8025,16.0121,114202.0034341
2024-11-06,16.0121,17.0248,16.0121,16.1692,273438.35155178
2024-11-07,16.1517,16.5883,15.82,16.2478,155592.87056444
2024-11-08,16.4485,16.7629,16.3263,16.501,119265.7614545
2024-11-12,16.5883,16.7629,16.4136,16.5883,110313.41296152
2024-11-13,16.6756,16.8066,16.0994,16.3088,161815.76070803
2024-11-14,16.2914,16.2914,15.9858,16.1517,134402.05691697
2024-11-15,16.1517,16.3613,16.0732,16.1517,61801.671908348
2024-11-18,16.1605,16.4136,16.0644,16.1168,119494.8389492
2024-11-19,16.1168,16.2391,15.6279,15.8985,160652.04703495
2024-11-20,15.8985,16.2303,15.8985,16.0383,48520.904152963
2024-11-21,16.0383,16.3002,15.9335,16.1517,92596.559521221
2024-11-22,16.4442,16.4534,15.5485,16.1609,142506.60445885
2024-11-25,16.1974,16.8374,16.1974,16.4899,91027.34896288
2024-11-26,16.7093,16.7093,16.0969,16.1609,63348.059535317
2024-11-27,16.1792,16.3985,16.0603,16.1152,29518.30312377
2024-11-28,16.0786,16.1701,15.8319,15.9963,45984.09440373
2024-11-29,15.9963,16.2248,15.8776,16.0695,22328.536311473
2024-12-02,16.2248,16.2615,15.8866,15.9963,76334.931389971
2024-12-03,16.1701,16.1701,15.8409,15.8592,56173.608720489
2024-12-04,15.8319,16.362,15.8045,16.2705,130544.81043486
2024-12-05,16.2705,16.362,16.0421,16.362,112238.91145887
2024-12-06,16.3528,16.5357,16.0969,16.2066,134308.16981317
2024-12-09,16.2066,16.3528,16.1061,16.3162,162094.67122303
2024-12-10,16.3162,16.3346,16.0878,16.1517,86679.793681068
2024-12-11,16.1517,16.1792,15.9781,16.0238,92950.600645172
2024-12-12,16.1335,16.1609,15.7221,15.905,102639.0630447
2024-12-13,15.777,15.8045,15.5576,15.649,108939.40800393
2024-12-16,15.6582,15.7221,15.1737,15.3656,235351.08712155
2024-12-17,15.3565,15.6215,15.1737,15.2376,158681.39178688
2024-12-18,15.2376,15.3565,15.0823,15.3382,139944.4568821
2024-12-19,15.1371,15.3199,15.0274,15.2286,185934.02128492
2024-12-20,15.265,15.5393,14.9452,15.5393,213297.14476471
2024-12-23,15.6125,16.8191,15.6125,16.2979,472519.30794292
2024-12-27,16.4534,17.3218,16.3162,17.0018,213532.35472586
2024-12-30,17.0018,17.1664,16.7734,16.883,142962.80238348
2025-01-02,16.8191,16.9927,16.4899,16.6362,112576.95740303
2025-01-03,16.6636,17.1298,16.6088,16.9561,103322.81293175
2025-01-07,17.1846,17.2212,16.6362,16.7185,103031.80897982
2025-01-08,16.9195,17.139,16.5905,17.0932,159042.41172724
2025-01-09,17.0932,17.1024,16.7916,17.0018,211178.06711477
2025-01-10,17.0475,17.0475,16.6544,16.8738,149435.99931416
