Date,Open,High,Low,Close,Volume
2023-05-30,19.1711,19.7213,19.0019,19.2557,98521.081519819
2023-05-31,19.1288,19.5097,18.621,18.6633,105240.06592547
2023-06-01,18.8749,19.3828,18.7056,19.1711,107637.25589542
2023-06-02,19.2557,19.8905,19.2135,19.7213,156802.68882261
2023-06-05,19.806,20.0176,19.6789,19.806,101187.64522715
2023-06-06,19.7213,20.1445,19.4673,20.1445,190264.10544596
2023-06-07,20.2715,20.2715,19.806,19.9329,144029.88410843
2023-06-09,20.3984,20.8216,20.2292,20.61,367434.0480349
2023-06-12,20.737,20.8216,20.1445,20.61,209039.92752697
2023-06-13,20.4408,20.8216,19.8905,19.9752,203684.35230086
2023-06-14,19.8796,21.2177,19.8796,20.1186,180407.63888953
2023-06-15,20.023,20.2142,19.1628,19.2584,135516.29629678
2023-06-16,19.2584,19.6885,18.9621,19.2584,94402.083333667
2023-06-19,19.3062,19.4973,19.0577,19.4018,43939.212963119
2023-06-20,19.1628,19.3062,18.7327,18.8283,62681.51851874
2023-06-21,18.8474,19.1628,18.7327,18.771,57499.212963167
2023-06-22,18.7327,19.0004,18.446,18.5034,94120.629629963
2023-06-23,18.5416,18.6372,17.9681,17.9873,111295.58333373
2023-06-26,17.9873,18.3504,17.8535,18.1593,67307.194444683
2023-06-27,18.2166,18.5989,17.7579,17.7579,81502.296296585
2023-06-28,17.9681,18.2166,17.6241,17.6623,88392.15740772
2023-06-29,17.7005,17.949,17.6241,17.7005,52348.296296482
2023-06-30,17.6814,18.0064,17.5858,17.8152,48758.453703876
2023-07-03,18.0637,18.0637,17.3565,17.5667,118281.70370412
2023-07-04,17.5476,17.6814,17.0315,17.0697,125744.93518563
2023-07-05,17.108,17.3947,16.9168,17.3756,117906.08333375
2023-07-06,17.4329,17.452,17.108,17.4329,110994.25000039
2023-07-07,17.3947,17.3947,17.108,17.3565,133797.23148196
2023-07-10,17.3756,17.3756,16.9742,16.9742,70813.333333584
2023-07-11,17.1844,17.3182,17.0124,17.2991,81017.861111398
2023-07-12,17.3182,17.4712,17.1844,17.3373,47950.712963133
2023-07-13,17.452,17.452,17.1653,17.2609,57533.740740944
2023-07-14,17.2418,17.7388,17.1844,17.5667,67627.361111351
2023-07-17,17.6432,17.8535,17.4138,17.777,57408.185185388
2023-07-18,17.8726,18.1019,17.1844,17.4329,100739.50000036
2023-07-19,17.777,17.9108,17.3182,17.4903,58352.990740947
2023-07-20,17.4903,17.5476,17.108,17.1653,92746.842592921
2023-07-21,16.9742,16.9742,16.5536,16.7257,125605.77777822
2023-07-24,16.8595,16.8595,16.5919,16.5919,66996.444444682
2023-07-25,16.5919,17.0506,16.4198,16.6683,104218.43518555
2023-07-26,16.6874,16.8021,16.4389,16.4581,60117.046296509
2023-07-27,16.4581,16.7448,16.4581,16.5727,27681.861111209
2023-07-28,16.5727,16.8786,16.5345,16.7639,45887.416666829
2023-07-31,16.783,17.452,16.7639,17.1462,105850.65740778
2023-08-01,17.2227,17.2609,16.7448,16.8786,51630.53703722
2023-08-02,16.9742,16.9742,16.6492,16.8786,40104.537037179
2023-08-03,16.2478,16.2478,14.7186,14.795,854530.06481784
2023-08-04,14.7377,15.0818,14.2025,14.2789,383775.20370506
2023-08-07,14.2789,14.3936,13.8775,13.9922,107155.38888927
2023-08-08,14.1451,14.623,14.0304,14.1834,139482.80555605
2023-08-09,14.3363,14.5083,14.1069,14.2981,57569.314815019
2023-08-10,14.4319,14.9097,14.2407,14.795,117889.34259301
2023-08-11,14.7568,15.0053,14.4319,14.8715,76120.148148418
2023-08-14,14.8715,15.0627,14.8715,14.9671,56542.898148348
2023-08-16,14.8906,14.8906,14.5083,14.5083,112548.0000004
2023-08-17,14.5083,14.5848,14.126,14.3172,90592.518518839
2023-08-18,14.3363,14.3363,13.9731,14.0878,61224.027777995
2023-08-21,14.0687,14.4319,14.0496,14.3745,46921.157407573
2023-08-22,14.2407,14.3172,14.0304,14.2598,25167.6111112
2023-08-23,14.2981,14.2981,13.8966,14.0496,57120.453703906
2023-08-24,14.0496,14.126,13.8584,13.9158,79360.527778059
2023-08-25,13.8202,13.9731,13.7437,13.7819,85378.824074376
2023-08-28,14.0113,14.1451,13.7628,14.126,61649.870370589
2023-08-29,13.9731,14.5274,13.9731,14.3363,85142.361111412
2023-08-30,14.4892,14.6039,14.1642,14.4319,42468.120370521
2023-08-31,14.3554,14.7759,14.1451,14.7759,129603.67592638
2023-09-01,14.7759,14.7759,14.0687,14.2407,163537.15740799
2023-09-04,14.1451,14.4319,13.954,14.0878,87749.731481792
2023-09-05,14.2598,14.3172,13.954,14.2789,46321.629629794
2023-09-06,14.2789,14.2789,13.954,13.9922,81439.518518807
2023-09-07,14.0496,14.0496,13.6673,13.7437,112779.23148188
2023-09-08,13.7628,13.9922,13.285,13.3232,195010.79629699
2023-09-11,13.285,13.5717,13.1512,13.3232,72218.509259515
2023-09-12,13.3614,13.7055,13.3232,13.629,91233.898148471
2023-09-13,13.6864,13.8584,13.5143,13.7628,128686.07407453
2023-09-14,13.8966,14.0304,13.7628,13.9922,62967.15740763
2023-09-15,14.0496,14.4127,13.8966,14.3363,138124.71296345
2023-09-18,14.3363,14.3936,14.0113,14.1834,147938.97222275
2023-09-19,14.1451,14.1451,13.9349,14.0113,28309.638888989
2023-09-20,14.2407,14.2789,13.954,14.1642,51975.814814999
2023-09-21,14.1451,14.4127,13.9731,14.1451,60594.157407622
2023-09-22,14.2598,14.4319,14.0687,14.4127,50088.296296474
2023-09-25,14.3363,14.3554,14.1642,14.2789,42825.953703855
2023-09-26,14.2789,14.451,14.0878,14.2981,54961.944444639
2023-09-27,14.3745,14.3745,14.2025,14.2216,53608.037037227
2023-09-28,14.2407,14.2407,13.9922,14.1451,70537.111111361
2023-09-29,14.1451,14.5848,14.1451,14.4319,56875.620370572
2023-10-02,14.4319,14.5848,14.3363,14.4319,46595.759259424
2023-10-03,14.3363,14.4319,14.1451,14.3363,43194.250000153
2023-10-04,14.3172,14.451,14.1834,14.3745,59224.555555765
2023-10-05,14.3363,14.6804,14.2407,14.3745,101777.42592629
2023-10-06,14.3363,15.292,14.3363,15.1773,214376.6944452
2023-10-09,15.2729,15.7317,15.0053,15.5979,83675.453704
2023-10-10,15.6743,15.9228,15.5788,15.7126,48017.675926096
2023-10-11,15.8846,16.0375,15.5405,15.6552,61386.203703921
2023-10-12,15.5979,15.7699,15.5405,15.5405,101294.0370374
2023-10-13,15.6361,15.7317,15.292,15.3876,69525.342592839
