Date,Open,High,Low,Close,Volume
2023-05-30,3.42787,3.42787,3.36103,3.39923,17811.385135181
2023-05-31,3.34194,3.34194,3.17961,3.17961,37931.013513611
2023-06-01,3.19871,3.29419,3.18916,3.28465,10701.283783811
2023-06-02,3.29419,3.36103,3.2751,3.31329,19433.648648699
2023-06-05,3.31329,3.43742,3.256,3.32284,33866.45270279
2023-06-06,3.256,3.34194,3.256,3.33239,4616.4864864984
2023-06-07,3.2751,3.2751,3.20826,3.22735,6988.6148648829
2023-06-09,3.22735,3.256,3.17006,3.24645,36854.391891987
2023-06-12,3.2369,3.2369,3.15097,3.22735,6681.756756774
2023-06-13,3.24645,3.256,3.17006,3.24645,3457.1283783873
2023-06-14,3.18916,3.20826,3.16052,3.19871,8664.2905405629
2023-06-15,3.16052,3.19871,3.01729,3.18916,36848.108108203
2023-06-16,3.17961,3.17961,3.05548,3.15097,41814.391892
2023-06-19,3.11277,3.17961,3.10323,3.13187,18427.195945994
2023-06-20,3.13187,3.17961,3.03639,3.04594,41067.668919025
2023-06-21,3.09368,3.10323,3.02684,3.05548,6182.1959459619
2023-06-22,3.08413,3.09368,3.00774,3.00774,19986.621621673
2023-06-23,3.05548,3.05548,2.9791,2.99819,9470.7094594839
2023-06-26,3.02684,3.13187,3.00774,3.05548,13633.716216251
2023-06-27,3.05548,3.09368,2.9791,3.00774,71185.844594778
2023-06-28,2.9791,3.00774,2.92181,2.95045,53158.716216353
2023-06-29,2.9409,3.05548,2.91226,3.00774,22155.574324382
2023-06-30,2.96955,3.06503,2.95045,3.02684,14426.520270308
2023-07-03,3.09368,3.17961,3.06503,3.11277,215416.48648704
2023-07-04,3.17006,3.17006,3.03639,3.11277,18290.000000047
2023-07-05,3.14142,3.14142,3.05548,3.11277,31865.06756765
2023-07-06,3.05548,3.10323,2.99819,3.00774,14694.628378416
2023-07-07,3.01729,3.07458,2.99819,3.01729,14832.87162166
2023-07-10,3.01729,3.12232,2.78813,2.93135,71992.263513699
2023-07-11,2.87406,3.00774,2.81677,2.86452,51302.905405538
2023-07-12,2.91226,2.96,2.85497,2.9409,22942.094594654
2023-07-13,2.96,3.05548,2.9409,2.99819,26371.993243311
2023-07-14,2.9791,3.04594,2.9409,3.00774,13581.351351386
2023-07-17,3.01729,3.14142,2.96,3.07458,42220.743243352
2023-07-18,3.13187,3.13187,2.9409,2.98865,21629.831081137
2023-07-19,2.96955,3.10323,2.96955,3.05548,16069.729729771
2023-07-20,3.09368,3.09368,2.9791,3.05548,6941.4864865044
2023-07-21,3.05548,3.05548,2.9791,3.04594,3488.5472973063
2023-07-24,2.98865,3.04594,2.92181,2.92181,151982.73648688
2023-07-25,3.01729,3.03639,2.92181,2.95045,36862.770270365
2023-07-26,2.98865,2.98865,2.90271,2.93135,10193.344594621
2023-07-27,2.89316,2.96955,2.88361,2.9409,40985.979729836
