Date,Open,High,Low,Close,Volume
2024-05-31,0.264,0.265,0.2595,0.264,119564
2024-06-03,0.265,0.266,0.2615,0.264,43830
2024-06-04,0.261,0.264,0.2585,0.2605,87565
2024-06-05,0.2605,0.264,0.258,0.2615,39542
2024-06-06,0.2615,0.2615,0.2575,0.26,38450
2024-06-07,0.2605,0.2605,0.2585,0.2585,18819
2024-06-10,0.2605,0.264,0.258,0.2635,42369
2024-06-11,0.2635,0.2705,0.252,0.266,190509
2024-06-12,0.266,0.266,0.26,0.261,56922
2024-06-13,0.264,0.274,0.2505,0.2585,499825
2024-06-14,0.258,0.264,0.251,0.263,94500
2024-06-17,0.264,0.264,0.254,0.2595,67385
2024-06-18,0.2595,0.2595,0.2525,0.2565,106800
2024-06-19,0.2565,0.257,0.247,0.2535,196329
2024-06-20,0.2535,0.2535,0.249,0.2525,120613
2024-06-21,0.2535,0.2535,0.248,0.2525,159025
2024-06-24,0.2485,0.2515,0.247,0.249,215697
2024-06-25,0.252,0.252,0.246,0.25,264724
2024-06-26,0.251,0.252,0.2485,0.252,43820
2024-06-27,0.2535,0.2545,0.2505,0.253,50747
2024-06-28,0.253,0.2585,0.2505,0.2585,104056
2024-07-01,0.26,0.265,0.2505,0.259,266541
2024-07-02,0.2575,0.259,0.252,0.259,170897
2024-07-03,0.2595,0.26,0.2585,0.26,16167
2024-07-04,0.26,0.26,0.254,0.2585,95272
2024-07-05,0.259,0.259,0.254,0.2585,30071
2024-07-08,0.2585,0.2585,0.2515,0.2525,80205
2024-07-09,0.251,0.2585,0.251,0.2585,118481
2024-07-10,0.259,0.261,0.25,0.2545,210230
2024-07-11,0.2545,0.258,0.25,0.258,35772
2024-07-12,0.258,0.258,0.2515,0.256,36972
2024-07-15,0.2555,0.2555,0.25,0.252,86075
2024-07-16,0.2505,0.251,0.24,0.2465,337282
2024-07-17,0.2465,0.2485,0.1998,0.21,802150
2024-07-18,0.21,0.2295,0.21,0.228,208085
2024-07-19,0.22,0.23,0.22,0.2295,88584
2024-07-22,0.234,0.248,0.226,0.2325,143993
2024-07-23,0.243,0.243,0.2265,0.2285,102294
2024-07-24,0.2365,0.2375,0.227,0.23,65967
2024-07-25,0.23,0.236,0.2275,0.235,99024
2024-07-26,0.235,0.2585,0.2305,0.247,680595
2024-07-29,0.254,0.254,0.2395,0.249,389879
2024-07-30,0.24,0.249,0.24,0.24,105442
2024-07-31,0.246,0.249,0.239,0.239,240349
2024-08-01,0.24,0.247,0.24,0.2405,35896
2024-08-02,0.244,0.244,0.24,0.2435,109685
2024-08-05,0.24,0.246,0.2295,0.2435,146238
2024-08-06,0.2335,0.2435,0.2335,0.242,249300
2024-08-07,0.2425,0.244,0.235,0.243,12939
2024-08-08,0.243,0.2555,0.24,0.2485,154806
2024-08-09,0.249,0.249,0.2385,0.245,101806
2024-08-12,0.2445,0.2445,0.239,0.2415,22680
2024-08-13,0.2415,0.244,0.2415,0.243,32650
2024-08-14,0.243,0.243,0.239,0.243,94997
2024-08-16,0.243,0.243,0.2335,0.2345,134307
2024-08-19,0.2405,0.2405,0.2335,0.236,43780
2024-08-20,0.236,0.236,0.23,0.23,39005
2024-08-21,0.2315,0.24,0.23,0.238,30385
2024-08-22,0.238,0.2455,0.235,0.243,130727
2024-08-23,0.24,0.24,0.227,0.2345,200371
2024-08-26,0.244,0.28,0.2415,0.25,1461864
2024-08-27,0.245,0.2525,0.235,0.2425,296001
2024-08-28,0.235,0.235,0.2165,0.2335,409343
2024-08-29,0.2335,0.2335,0.2275,0.2335,184211
2024-08-30,0.2295,0.2305,0.227,0.2305,87113
2024-09-02,0.228,0.2365,0.2265,0.2295,166541
2024-09-03,0.2295,0.2295,0.2255,0.2275,80861
2024-09-04,0.23,0.23,0.225,0.23,59815
2024-09-05,0.23,0.23,0.228,0.229,49421
2024-09-06,0.2295,0.2375,0.229,0.23,63929
2024-09-09,0.237,0.266,0.236,0.258,701386
2024-09-10,0.257,0.258,0.2425,0.255,231971
2024-09-11,0.2575,0.265,0.2455,0.26,319247
2024-09-12,0.26,0.268,0.26,0.2675,223008
2024-09-13,0.2675,0.2675,0.2605,0.2605,120250
2024-09-16,0.254,0.261,0.253,0.26,59774
2024-09-17,0.25,0.25,0.243,0.246,274393
2024-09-18,0.244,0.246,0.243,0.243,35527
2024-09-19,0.245,0.259,0.24,0.245,101257
2024-09-20,0.247,0.247,0.239,0.2415,135418
2024-09-23,0.2415,0.2415,0.24,0.2415,87093
2024-09-24,0.2415,0.2455,0.24,0.245,12149
2024-09-25,0.245,0.248,0.2415,0.2465,17669
