Date,Open,High,Low,Close,Volume
2024-12-02,19.298,19.424,18.93,19.286,4490618
2024-12-03,19.278,19.514,19.162,19.234,2918759
2024-12-04,19.06,19.398,19.008,19.26,3193159
2024-12-05,19.266,19.55,19.246,19.5,3354823
2024-12-06,19.606,20.3,19.604,20.015,4615729
2024-12-09,20.48,20.48,19.992,20.23,3654019
2024-12-10,20.2,20.55,20.11,20.285,3184031
2024-12-11,20.25,20.255,19.976,19.996,2781817
2024-12-12,20.02,20.175,19.928,20.175,2820210
2024-12-13,20.02,20.115,19.726,19.76,3232635
2024-12-16,19.636,19.78,19.216,19.498,4583339
2024-12-17,19.258,19.494,19.16,19.33,3294447
2024-12-18,19.274,19.366,19.08,19.222,3428365
2024-12-19,18.99,19.19,18.79,18.87,4371754
2024-12-20,18.708,19.046,18.572,18.936,7779879
2024-12-23,18.82,18.9,18.64,18.89,3042138
2024-12-27,18.88,19.33,18.78,19.282,3479130
2024-12-30,19.158,19.362,19.15,19.314,2008225
2025-01-02,19.22,19.502,18.946,19.388,3378077
2025-01-03,19.37,19.456,18.916,18.99,2499249
2025-01-06,19.142,19.87,19.072,19.72,4698192
2025-01-07,19.678,19.992,19.468,19.786,3072022
2025-01-08,19.786,19.794,19.286,19.666,3792413
2025-01-09,19.58,19.926,19.46,19.758,2910513
2025-01-10,19.65,20.425,19.56,19.982,4831580
2025-01-13,20.0,20.42,19.95,20.035,3442320
2025-01-14,20.31,20.655,19.466,19.602,4553958
2025-01-15,19.636,20.985,19.51,20.73,7036247
2025-01-16,20.835,20.925,20.585,20.74,2629828
2025-01-17,20.88,21.245,20.845,21.145,3746264
2025-01-20,21.26,21.5,20.99,21.28,2839466
2025-01-21,21.105,21.5,21.02,21.44,2649608
2025-01-22,21.48,21.51,20.815,20.985,3142696
2025-01-23,21.06,21.28,21.01,21.075,3075571
2025-01-24,21.15,21.435,20.78,20.895,4050281
2025-01-27,20.895,21.545,20.555,21.445,4628575
2025-01-28,21.4,21.82,21.235,21.495,3913322
2025-01-29,21.5,21.765,21.28,21.54,3248785
2025-01-30,21.56,21.905,21.37,21.86,3394792
2025-01-31,21.94,21.97,21.555,21.64,3427429
2025-02-03,21.2,21.21,20.735,21.01,3415213
2025-02-04,21.12,21.31,21.005,21.22,2267776
2025-02-05,21.035,21.16,20.82,21.04,2747965
2025-02-06,21.19,21.405,20.98,21.22,2906228
2025-02-07,21.195,21.285,20.79,20.945,2647555
2025-02-10,20.97,21.12,20.85,21.02,2209587
2025-02-11,20.96,21.005,20.25,20.73,3177794
2025-02-12,20.885,21.31,20.725,20.98,3454432
2025-02-13,21.25,21.68,21.15,21.62,4895874
2025-02-14,21.515,21.655,21.35,21.375,3031365
2025-02-17,21.235,21.475,21.145,21.395,1861894
2025-02-18,21.28,21.79,20.98,21.64,3080206
2025-02-19,21.64,21.675,21.115,21.3,2843595
2025-02-20,21.345,21.96,21.31,21.675,3248730
2025-02-21,21.785,22.22,21.74,22.05,4048308
2025-02-24,22.5,22.605,22.105,22.275,2892436
2025-02-25,22.245,22.915,22.155,22.64,3096172
