Date,Open,High,Low,Close,Volume
2024-05-31,672.227,680.88,657.197,680.88,259853.04059853
2024-06-03,714.798,725.317,709.061,709.061,19973.81123845
2024-06-04,709.061,712.408,696.152,699.498,14337.222621945
2024-06-05,701.889,711.93,701.889,711.93,18410.416065598
2024-06-06,712.408,716.233,691.848,694.239,14146.896253076
2024-06-07,700.933,701.889,681.808,687.067,18410.416065598
2024-06-10,683.72,687.067,648.817,656.945,27875.492794352
2024-06-11,656.945,663.161,634.951,636.864,29534.051151639
2024-06-12,640.689,666.508,637.82,659.814,34203.321684607
2024-06-13,666.03,667.464,638.776,645.948,14722.058356801
2024-06-14,645.47,649.295,624.911,643.08,25242.296108571
2024-06-17,641.645,653.598,640.211,646.905,14936.436959099
2024-06-18,643.558,655.033,635.908,644.036,18840.219019472
2024-06-19,644.514,650.251,638.776,645.47,12837.618155142
2024-06-20,644.992,645.47,624.911,636.386,29523.593658844
2024-06-21,636.386,666.508,632.083,643.558,78676.947043183
2024-06-24,646.426,678.461,645.948,677.983,23565.960013533
2024-06-25,672.245,675.592,663.161,665.073,13482.845460594
2024-06-26,674.636,677.983,655.033,657.423,14821.404538354
2024-06-27,641.167,672.245,641.167,663.639,20806.227664932
2024-06-28,665.551,672.245,661.248,666.508,30045.422549315
2024-07-01,666.508,674.158,663.639,668.898,15405.978385594
2024-07-02,668.898,671.767,653.598,655.989,17218.261886968
2024-07-03,655.989,674.158,655.989,668.898,15093.299351024
2024-07-04,669.377,674.158,662.683,669.377,16692.249999379
2024-07-05,670.333,672.245,663.639,664.117,14095.654538381
2024-07-08,669.377,670.811,656.467,663.639,20798.907419976
2024-07-09,664.595,671.289,657.901,663.161,21800.735229737
2024-07-10,663.639,668.42,646.905,647.383,17981.658861003
2024-07-11,651.208,652.164,643.08,648.339,20492.502881082
2024-07-12,645.47,662.205,643.08,654.555,34597.569162978
2024-07-15,656.945,658.858,647.383,654.555,18895.643731286
2024-07-16,651.208,656.945,638.298,643.08,16990.288544037
2024-07-17,639.255,643.558,621.564,628.736,25416.936238248
2024-07-18,628.736,638.298,618.695,634.951,22799.425791659
2024-07-19,634.951,636.386,623.476,630.17,18390.546829287
2024-07-22,630.17,650.251,629.692,643.558,12912.912103266
2024-07-23,647.383,647.383,626.823,633.517,13490.16570555
2024-07-24,627.301,629.692,611.045,611.045,14736.698846714
2024-07-25,604.351,614.87,599.092,611.045,18114.469019499
2024-07-26,611.045,618.217,606.742,617.261,11989.515489468
2024-07-29,616.783,622.998,602.439,608.654,11143.504322352
2024-07-30,608.654,612.958,589.529,589.529,13410.688760308
2024-07-31,589.529,612.958,589.529,609.611,30730.388327387
2024-08-01,610.567,614.392,592.876,595.267,21391.847261452
2024-08-02,591.92,600.048,579.489,595.745,27344.252160366
2024-08-05,579.011,588.573,561.32,582.836,17318.6538178
2024-08-06,584.748,589.051,552.714,566.101,29981.631843265
2024-08-07,569.448,571.361,548.889,561.798,25659.550071092
2024-08-08,559.408,568.014,541.239,564.189,30474.17975391
2024-08-09,568.014,569.926,551.279,556.539,22032.891569786
2024-08-12,559.408,573.751,554.148,570.404,17186.889408583
2024-08-13,570.404,576.142,563.233,568.014,17969.109869649
2024-08-14,570.883,576.142,560.842,564.667,23033.673630267
2024-08-16,572.795,583.314,567.536,577.098,26399.940560978
2024-08-19,576.62,586.661,563.711,586.183,24803.081411181
2024-08-20,588.095,589.051,572.317,577.098,17799.698486369
2024-08-21,572.795,582.358,570.883,572.795,22694.850863709
2024-08-22,576.62,577.576,557.973,568.97,11851.476584574
2024-08-23,572.795,580.923,563.711,573.751,20717.338976175
2024-08-26,573.751,578.054,563.233,566.101,11235.530258948
2024-08-27,566.101,567.058,556.539,562.276,18665.578889796
2024-08-28,556.061,569.926,552.714,562.754,16772.772693901
2024-08-29,562.276,584.27,562.276,567.536,26042.294307389
2024-08-30,574.708,579.011,567.058,575.664,48915.968297892
2024-09-02,568.014,589.529,558.451,583.314,15651.729466277
2024-09-03,583.314,588.095,565.145,565.145,13553.9564116
2024-09-04,564.189,564.189,552.714,559.408,18852.768010826
2024-09-05,559.886,564.189,530.72,535.979,18129.109509412
2024-09-06,542.195,557.495,533.589,542.673,27441.50684336
2024-09-09,545.064,554.626,540.282,547.932,22207.531699462
2024-09-10,554.626,554.626,537.414,547.932,24691.186238275
2024-09-11,547.932,548.889,536.457,537.414,18182.442722667
2024-09-12,545.064,554.626,544.586,548.411,9740.108789263
2024-09-13,554.148,557.973,547.454,556.061,23380.862391061
2024-09-16,558.451,571.361,557.017,569.448,12104.547910213
2024-09-17,573.751,580.445,569.926,575.186,35601.488471298
2024-09-18,580.445,580.923,558.451,567.536,17467.150215489
2024-09-19,573.751,581.879,568.492,575.664,43159.118514245
2024-09-20,578.533,580.923,548.889,565.623,111788.50647999
2024-09-23,566.101,573.751,558.929,565.145,10118.670028442
2024-09-24,565.145,582.836,565.145,578.054,45372.969738946
2024-09-25,578.054,578.054,566.101,568.492,14790.032059969
2024-09-26,567.058,587.617,567.058,579.011,22363.348342107
2024-09-27,579.011,587.617,573.751,584.27,23199.947765708
2024-09-30,583.314,583.314,569.448,571.361,21405.442002086
2024-10-01,582.836,582.836,564.189,568.014,27206.213255472
2024-10-02,568.014,572.795,557.973,562.754,15721.794668003
2024-10-03,562.754,563.711,548.889,551.757,12091.998918859
2024-10-04,554.148,559.408,546.976,551.279,10221.153457833
2024-10-07,551.279,561.32,551.279,560.364,30759.669307213
2024-10-08,554.626,560.842,528.807,533.111,42779.511525786
2024-10-09,533.111,563.711,527.851,563.711,51878.576006716
2024-10-10,563.711,575.664,560.842,562.276,28610.654537841
2024-10-11,563.233,581.401,557.017,579.489,20599.169307591
2024-10-14,577.098,580.445,569.926,576.62,15325.455691073
2024-10-15,577.098,581.879,564.667,568.014,25355.237030757
2024-10-16,568.492,586.183,555.583,580.445,109115.57132159
2024-10-17,580.445,584.748,564.189,566.101,16977.739552683
2024-10-18,569.926,575.664,565.623,565.623,9823.768731623
2024-10-21,582.358,582.358,552.236,553.67,11424.810878538
2024-10-22,557.495,557.495,537.892,540.282,17512.117434507
2024-10-23,541.717,543.151,529.764,535.023,16928.589336546
2024-10-24,540.282,548.889,536.936,540.282,12040.757204163
2024-10-25,541.239,543.629,529.764,535.501,18205.449206816
2024-10-28,532.632,545.064,524.026,526.417,19865.053313382
2024-10-29,537.414,537.414,514.464,528.807,16741.400215515
2024-10-30,525.939,526.417,488.167,488.167,24553.147333381
2024-10-31,488.167,491.514,476.596,479.082,44616.893009868
2024-11-04,484.342,496.295,480.995,495.339,33673.1267999
2024-11-05,497.251,498.207,476.596,483.385,22845.438759957
2024-11-06,480.039,491.514,477.744,477.935,29163.855906696
2024-11-07,479.082,504.423,473.154,496.295,53245.370315022
2024-11-08,501.076,501.554,480.995,484.342,19911.06628168
2024-11-12,487.689,487.689,475.449,477.552,57298.694522364
2024-11-13,479.082,480.995,457.089,462.826,30046.468298594
2024-11-14,462.826,478.126,455.367,475.831,31427.903096814
2024-11-15,477.552,485.776,469.52,472.771,32898.22658379
2024-11-18,477.361,482.429,468.755,476.022,16561.531339442
2024-11-19,480.039,480.039,449.821,455.559,20730.933716808
2024-11-20,459.001,469.137,455.941,468.372,50306.814839627
2024-11-21,471.432,471.815,459.384,466.842,20208.059077058
2024-11-22,471.432,471.432,454.22,463.4,36202.794307011
2024-11-25,467.607,471.432,453.646,457.854,60488.229824839
2024-11-26,458.81,466.077,452.69,454.794,16912.903097354
2024-11-27,460.531,460.531,444.083,453.264,30824.505762542
2024-11-28,452.69,462.252,449.439,458.236,24744.519451529
2024-11-29,459.957,464.547,449.821,450.777,27120.461814553
2024-12-02,457.089,463.782,451.734,459.001,37907.365632596
2024-12-03,459.766,462.061,447.335,456.515,54702.099061366
2024-12-04,456.324,460.914,453.646,455.367,44572.971540129
2024-12-05,452.69,458.427,449.821,453.264,42234.676151167
2024-12-06,455.176,459.766,450.969,452.116,29365.68551764
2024-12-09,452.116,462.826,449.247,453.072,29106.339696324
2024-12-10,456.132,456.132,439.876,450.012,30956.270171759
2024-12-11,449.439,451.734,444.657,448.291,18186.625719785
2024-12-12,450.395,450.586,438.537,442.745,27990.525215097
2024-12-13,442.745,446.379,438.728,444.466,39459.257563374
2024-12-16,445.614,449.247,440.832,448.482,29371.960013317
2024-12-17,449.439,450.204,419.603,421.133,49393.875718624
2024-12-18,422.663,445.04,422.281,443.51,56733.989911434
2024-12-19,443.51,447.909,437.007,447.909,43233.366713089
2024-12-20,448.674,451.925,434.33,442.745,77849.759363098
2024-12-23,444.657,471.241,444.657,452.69,39160.173269437
2024-12-27,456.132,456.897,445.04,449.056,24360.729465953
2024-12-30,454.22,455.75,444.275,446.187,22542.171468902
2025-01-02,454.22,460.722,449.439,458.045,26206.47694427
2025-01-03,459.957,459.957,450.777,453.646,27449.872837596
2025-01-07,459.957,460.914,449.63,451.734,53926.153095977
2025-01-08,452.307,453.264,441.788,449.056,42022.389047428
2025-01-09,449.056,450.969,441.98,442.745,31495.876799981
2025-01-10,445.231,445.422,438.92,443.892,46953.096900271
2025-01-13,446.57,446.761,434.521,444.275,35643.318442478
2025-01-14,446.379,450.969,439.493,439.876,55812.684796195
2025-01-15,442.745,446.952,439.493,441.215,31889.078529073
2025-01-16,443.51,443.51,434.521,438.346,34877.829969884
2025-01-17,442.745,453.264,441.788,443.892,37430.503961144
2025-01-20,441.023,455.941,438.92,455.367,51466.550790593
2025-01-21,455.176,455.176,441.406,442.171,34622.667145686
2025-01-22,443.318,454.029,441.023,448.865,55108.895531091
2025-01-23,448.482,466.077,446.187,460.722,56819.741352353
2025-01-24,463.782,480.995,458.427,474.301,130435.26188276
2025-01-27,469.52,473.727,458.236,471.241,81127.137605051
2025-01-28,477.17,479.082,462.061,462.444,51815.831049946
2025-01-29,463.782,467.607,460.722,461.296,28354.445964363
2025-01-30,464.93,470.285,459.384,463.017,44264.475502676
2025-01-31,465.695,465.695,451.351,456.897,50589.167145092
2025-02-03,444.657,454.985,442.745,454.029,44898.199566053
2025-02-04,454.22,460.149,450.777,459.001,32958.880042002
2025-02-05,462.444,462.444,443.892,449.439,58012.941280263
2025-02-06,452.499,475.831,451.16,474.301,213055.72945893
2025-02-07,480.995,508.726,480.995,502.511,175360.65093008
2025-02-10,510.161,511.117,492.47,506.814,116444.18227233
2025-02-11,507.77,510.639,502.989,507.292,69905.202086737
2025-02-12,492.47,514.942,491.514,506.814,172074.90669389
2025-02-13,515.42,528.807,512.551,524.982,160636.50107472
2025-02-14,528.807,534.545,519.245,530.242,127621.15057162
2025-02-17,532.632,539.804,525.939,531.198,119130.71217136
2025-02-18,535.501,550.323,535.501,545.542,122341.16245943
2025-02-19,547.932,562.754,530.72,532.632,191077.21685168
2025-02-20,534.545,534.545,524.504,532.154,94124.755399957
2025-02-21,533.589,539.804,528.807,533.589,74668.590054859
2025-02-24,535.501,540.282,513.029,516.376,127181.93587423
2025-02-25,506.814,518.289,505.379,508.248,97291.284218283
2025-02-26,511.595,523.07,510.161,518.289,127467.42542753
2025-02-27,519.245,524.504,512.073,517.811,150586.85049872
2025-02-28,513.507,524.026,506.336,519.723,1713837.7099506
2025-03-03,519.723,524.026,501.554,506.336,119799.99171024
2025-03-04,502.032,502.032,489.123,492.47,113314.25467878
2025-03-05,510.161,526.417,504.901,524.982,96858.34401657
2025-03-06,534.545,569.926,525.939,568.014,161002.51332254
2025-03-07,570.404,570.883,548.889,555.583,142652.75071515
2025-03-10,556.061,562.754,550.323,559.408,133130.15777603
2025-03-11,573.751,574.229,557.495,565.145,163878.32384117
2025-03-12,579.489,613.914,577.098,604.351,185269.12535334
2025-03-13,605.308,615.348,597.658,607.22,120237.11490907
2025-03-14,615.348,620.13,607.22,611.045,116770.45604753
2025-03-17,612.48,622.52,604.829,610.089,85408.435155324
2025-03-18,612.958,615.826,592.876,601.961,80009.231625266
2025-03-19,597.658,601.961,589.051,594.311,75164.275213342
2025-03-20,593.833,595.745,586.183,588.573,67976.840415339
2025-03-21,588.095,595.267,580.923,584.748,115683.92254613
2025-03-24,594.311,594.789,578.533,589.529,46538.980185589
2025-03-25,597.179,608.176,590.964,603.395,74179.179392053
2025-03-26,606.264,607.22,583.792,586.183,78436.424708898
2025-03-27,579.967,583.792,568.014,573.751,53087.462173818
2025-03-28,568.97,571.839,560.364,561.32,53721.186237195
2025-03-31,550.801,556.539,535.979,540.761,81039.294665573
2025-04-01,545.064,552.14,533.589,535.884,66001.420026363
2025-04-02,538.37,538.37,519.819,530.72,73453.42939208
2025-04-03,516.376,530.529,511.595,512.551,39277.297188741
2025-04-04,512.742,539.326,506.814,511.786,129835.00179632
2025-04-07,478.126,521.731,472.389,508.535,109690.73342531
2025-04-08,513.507,535.501,507.005,527.851,115965.22910231
2025-04-09,512.742,531.676,508.726,526.512,131747.67722853
2025-04-10,560.364,561.32,535.31,546.594,96362.658858087
2025-04-11,546.976,561.129,543.534,559.216,103503.03493851
2025-04-14,565.145,609.515,565.145,607.411,132488.06771841
2025-04-15,607.411,616.783,599.953,612.001,85125.03710058
2025-04-16,611.045,615.826,584.27,603.395,82619.421826898
2025-04-17,603.395,612.384,593.641,602.056,83647.393368646
2025-04-22,607.22,611.045,599.379,602.821,102410.22694144
2025-04-23,607.22,612.001,588.86,599.379,76027.01836893
2025-04-24,598.614,602.248,591.729,599.57,58495.031698112
2025-04-25,599.57,605.116,596.701,600.526,54973.993874036
