Date,Open,High,Low,Close,Volume
2015-04-01,6.79534,7.38708,6.102,6.1668,15201.9
2015-04-02,6.74918,7.9881,6.74918,7.3779,15597.4
2015-04-07,8.32091,8.32091,7.47951,7.55349,2364.88
2015-04-08,7.76616,7.76616,7.73844,7.76616,2409.41
2015-04-09,7.5812,7.5812,7.5812,7.5812,411.059
2015-04-10,7.40563,7.40563,7.39635,7.39635,585.009
2015-04-13,7.39635,7.39635,7.36864,7.36864,539.451
2015-04-14,7.07281,7.07281,7.07281,7.07281,357.218
2015-04-15,6.76763,7.11907,6.76763,7.11907,637.815
2015-04-16,7.3779,7.3779,7.3779,7.3779,10.3541
2015-04-17,7.30392,7.30392,7.24849,7.24849,373.784
2015-04-20,6.96184,7.38708,6.96184,7.38708,2727.28
2015-04-22,7.2114,7.2114,7.2114,7.2114,2228.21
2015-04-23,7.2114,7.2114,7.2114,7.2114,324.085
2015-04-24,7.25767,7.25767,7.25767,7.25767,99.3998
2015-04-27,7.33165,7.33165,7.33165,7.33165,345.828
2015-04-28,7.30392,7.30392,7.30392,7.30392,345.828
2015-04-29,6.9433,6.9433,6.93413,6.93413,4996.91
2015-05-05,7.29466,7.29466,7.29466,7.29466,115.966
2015-05-07,7.25767,7.25767,6.93413,6.93413,1331.54
2015-05-08,6.93413,6.93413,6.93413,6.93413,6656.68
2015-05-11,7.35019,7.35019,7.35019,7.35019,759.994
2015-05-14,7.22994,7.76616,7.22994,7.76616,5653.36
2015-05-15,8.04353,8.2931,8.03436,8.2931,700.976
2015-05-18,8.32091,8.32091,7.56286,8.10825,768.278
2015-05-19,8.10825,8.10825,7.76616,7.76616,540.486
2015-05-21,7.76616,7.76616,7.76616,7.76616,864.571
2015-05-22,7.76616,7.76616,7.76616,7.76616,562.23
2015-05-25,7.85868,7.85868,7.85868,7.85868,53.8416
2015-05-26,7.85868,7.85868,7.67373,7.67373,378.962
2015-05-27,7.76616,7.76616,7.76616,7.76616,162.56
2015-06-01,7.84941,7.84941,7.84941,7.84941,25.8853
2015-06-03,7.70145,7.70145,7.67373,7.67373,1757.09
2015-06-05,7.40563,7.40563,7.40563,7.40563,79.7269
2015-06-08,7.70145,7.70145,7.70145,7.70145,21.7437
2015-06-10,7.67373,7.67373,7.67373,7.67373,324.085
2015-06-11,7.76616,7.94184,7.76616,7.94184,193.622
2015-06-12,7.95101,7.95101,7.95101,7.95101,63.1603
2015-06-15,7.67373,7.89557,7.67373,7.89557,357.218
2015-06-16,7.67373,7.67373,7.67373,7.67373,357.218
2015-06-17,7.42407,7.42407,7.42407,7.42407,811.765
2015-06-18,7.43334,7.43334,7.43334,7.43334,216.401
2015-06-22,7.43334,7.43334,7.43334,7.43334,335.474
2015-06-24,7.44262,7.44262,7.41489,7.43334,1316.01
2015-06-25,7.3131,7.68301,7.3131,7.39635,713.401
2015-06-29,7.35019,7.35019,7.3131,7.32247,2503.63
2015-07-09,7.27621,7.27621,7.27621,7.27621,345.828
2015-07-14,7.28538,7.40563,7.27621,7.39635,6770.58
2015-07-16,7.16524,7.16524,7.16524,7.16524,85.9394
2015-07-20,7.29466,7.29466,7.29466,7.29466,216.401
2015-07-22,7.29466,7.29466,7.25767,7.25767,470.078
2015-07-23,7.39635,7.39635,7.39635,7.39635,1082.0
2015-07-24,7.25767,7.39635,7.25767,7.39635,864.571
2015-07-27,7.40563,7.40563,7.40563,7.40563,194.658
2015-07-28,7.40563,7.40563,7.40563,7.40563,2379.38
2015-07-30,7.44262,7.48887,7.44262,7.48887,1347.07
2015-07-31,7.5812,7.5812,7.5812,7.5812,540.486
2015-08-03,7.67373,7.9233,7.67373,7.9233,4094.03
2015-08-04,7.95101,7.95101,7.95101,7.95101,928.767
2015-08-05,8.31164,8.31164,8.31164,8.31164,53.8416
2015-08-07,8.31164,8.59829,8.31164,8.59829,2878.45
2015-08-10,8.77396,9.05163,8.77396,9.05163,65.2311
2015-08-11,8.98683,10.448,8.98683,10.1699,1509.63
2015-08-12,10.1699,10.3543,9.69852,10.3543,785.88
2015-08-13,10.3543,11.0941,10.3543,11.0023,2412.51
2015-08-14,11.0487,11.0941,11.0487,11.0941,273.349
