Date,Open,High,Low,Close,Volume
2011-05-27,52.5015,53.4255,50.9474,51.4514,692811.9811201459
2011-05-30,51.5354,51.5354,50.8634,51.1574,89107.08379149238
2011-05-31,51.1155,51.2414,50.9054,50.9894,71483.75684699854
2011-06-01,50.9054,50.9054,50.4434,50.5274,50672.42196158639
2011-06-02,50.4013,50.5274,50.3174,50.5274,79887.09816699193
2011-06-03,50.4854,50.7795,50.4013,50.7795,43140.48535135859
2011-06-06,50.7795,50.7795,50.4013,50.4013,61918.54258065106
2011-06-07,50.4013,50.5694,50.4013,50.5694,18242.35761263332
2011-06-08,50.4854,50.5694,50.4013,50.5694,61223.323522586725
2011-06-09,50.4013,50.5274,50.3594,50.4013,131289.26205082735
2011-06-10,50.4013,50.4013,50.3174,50.3594,167678.7417886879
2011-06-13,50.4013,50.4013,50.3174,50.4013,121466.91196848347
2011-06-14,50.4013,50.4013,50.2334,50.3594,45565.41894943571
2011-06-15,50.0234,50.2754,49.9814,50.1074,36071.6312986428
2011-06-16,50.1074,50.1074,49.6874,49.7294,64783.94030798129
2011-06-17,49.6453,49.7294,49.4354,49.6034,64613.70687424294
2011-06-20,49.0573,49.9814,49.0573,49.9814,70258.79039023792
2011-06-21,49.6034,49.8973,49.5613,49.6453,33133.61651216544
2011-06-22,49.2253,49.6453,49.2253,49.5613,24143.38650103213
2011-06-24,49.0153,49.6453,48.9733,49.5613,23996.96193914529
2011-06-27,49.1834,49.2253,48.9733,49.0573,23327.93264011763
2011-06-28,48.8053,49.1834,48.7213,49.1414,26350.46892166788
2011-06-29,49.0573,49.6453,49.0573,49.3093,10571.139102074125
2011-06-30,49.5613,49.6453,49.2674,49.6453,7325.9898687121795
2011-07-01,49.5613,49.6453,49.2253,49.6034,21564.8856795127
2011-07-04,49.3934,49.5613,49.2674,49.5613,7780.73932107618
2011-07-05,49.2253,49.8133,49.2253,49.6453,50311.71755303589
2011-07-06,49.2674,49.4773,49.2253,49.2674,9828.302300306752
2011-07-07,49.2253,49.2674,48.9314,49.0993,28506.36226782286
