Date,Open,High,Low,Close,Volume
1999-02-23,1.67162,1.67162,1.67162,1.67162,4282548.923391796
1999-02-24,1.69847,1.69847,1.69847,1.69847,4972555.706620677
1999-02-25,1.73866,1.73866,1.73866,1.73866,2538079.3302617306
1999-02-26,1.72534,1.72534,1.72534,1.72534,2529039.7642167816
1999-03-01,1.74188,1.74188,1.74188,1.74188,2110865.744823842
1999-03-02,1.76205,1.76205,1.76205,1.76205,4220053.843959821
1999-03-03,1.74528,1.74528,1.74528,1.74528,2697272.351709027
1999-03-04,1.72187,1.72187,1.72187,1.72187,2565477.1730847084
1999-03-05,1.69515,1.69515,1.69515,1.69515,2558772.145451429
1999-03-08,1.69515,1.69515,1.69515,1.69515,1239445.46746074
1999-03-09,1.68494,1.68494,1.68494,1.68494,1247390.675225858
1999-03-10,1.72187,1.72187,1.72187,1.72187,1320427.9801682348
1999-03-11,1.819,1.819,1.819,1.819,5548672.845872273
1999-03-12,1.86588,1.86588,1.86588,1.86588,7876518.7289248435
1999-03-15,1.92276,1.92276,1.92276,1.92276,5653286.831282313
1999-03-16,1.9631,1.9631,1.9631,1.9631,7282132.194785968
1999-03-17,1.9363,1.9363,1.9363,1.9363,5187738.764120851
1999-03-18,1.83578,1.83578,1.83578,1.83578,4560872.842811408
1999-03-19,1.90613,1.90613,1.90613,1.90613,3683461.370500092
1999-03-22,1.88266,1.88266,1.88266,1.88266,4087428.1751688295
1999-03-23,1.83917,1.83917,1.83917,1.83917,2601984.0209297817
1999-03-24,1.76876,1.76876,1.76876,1.76876,2003579.7475732008
1999-03-25,1.80223,1.80223,1.80223,1.80223,3257394.916964666
1999-03-26,1.74859,1.74859,1.74859,1.74859,3779028.845967467
1999-03-29,1.69515,1.69515,1.69515,1.69515,628199.1496706599
1999-03-30,1.83578,1.83578,1.83578,1.83578,3375799.4832360265
1999-03-31,1.86588,1.86588,1.86588,1.86588,4205316.115450219
1999-04-01,1.83917,1.83917,1.83917,1.83917,2286375.537121055
1999-04-02,1.85918,1.85918,1.85918,1.85918,9995.046370487047
1999-04-06,1.88935,1.88935,1.88935,1.88935,2347790.146068627
1999-04-07,1.88935,1.88935,1.88935,1.88935,1591991.3207728486
1999-04-08,1.92276,1.92276,1.92276,1.92276,3653903.975487854
1999-04-09,1.9497,1.9497,1.9497,1.9497,7389544.570975017
1999-04-12,1.89937,1.89937,1.89937,1.89937,1428570.8543968657
1999-04-13,1.86264,1.86264,1.86264,1.86264,3196045.580655612
1999-04-14,1.86941,1.86941,1.86941,1.86941,984819.6821617336
1999-04-15,1.86588,1.86588,1.86588,1.86588,2582999.404577891
1999-04-16,1.8491,1.8491,1.8491,1.8491,2235203.177302612
1999-04-19,1.87597,1.87597,1.87597,1.87597,2948855.321029467
1999-04-20,1.83578,1.83578,1.83578,1.83578,975039.8966204012
1999-04-21,1.82909,1.82909,1.82909,1.82909,1333458.8986195726
1999-04-22,1.82909,1.82909,1.82909,1.82909,2585832.5148454737
1999-04-23,1.82231,1.82231,1.82231,1.82231,3258550.3815443856
1999-04-26,1.84248,1.84248,1.84248,1.84248,3490184.9215101404
1999-04-27,1.88935,1.88935,1.88935,1.88935,3807073.8600574494
1999-04-28,1.89267,1.89267,1.89267,1.89267,3538425.5677134525
1999-04-29,1.88612,1.88612,1.88612,1.88612,3316644.4186048056
1999-04-30,1.87265,1.87265,1.87265,1.87265,4610453.661273648
1999-05-03,1.9363,1.9363,1.9363,1.9363,2719735.860815964
1999-05-04,1.97303,1.97303,1.97303,1.97303,5331546.885791537
1999-05-05,2.02681,2.02681,2.02681,2.02681,4036718.278938183
1999-05-06,2.17413,2.17413,2.17413,2.17413,5593241.558964072
1999-05-07,2.23779,2.23779,2.23779,2.23779,9250449.440984564
1999-05-10,2.31138,2.31138,2.31138,2.31138,6664026.694833342
1999-05-11,2.61964,2.61964,2.61964,2.61964,15379821.009820567
1999-05-12,2.65318,2.65318,2.65318,2.65318,30014149.32733345
1999-05-13,2.54597,2.54597,2.54597,2.54597,19041039.687161047
1999-05-14,2.53265,2.53265,2.53265,2.53265,6652022.084464232
1999-05-17,2.43214,2.43214,2.43214,2.43214,2350616.3124384955
1999-05-18,2.43545,2.43545,2.43545,2.43545,3820583.9074511006
1999-05-19,2.58608,2.58608,2.58608,2.58608,6313589.008867405
1999-05-20,2.55937,2.55937,2.55937,2.55937,12630720.794348832
1999-05-21,2.67652,2.67652,2.67652,2.67652,9520587.89377813
1999-05-24,2.7772,2.7772,2.7772,2.7772,7462579.098358304
1999-05-25,2.91104,2.91104,2.91104,2.91104,8127471.192332792
1999-05-26,2.8777,2.8777,2.8777,2.8777,11851591.861511324
1999-05-27,2.70684,2.70684,2.70684,2.70684,7056998.531860681
1999-05-28,2.72348,2.72348,2.72348,2.72348,6692242.528807107
1999-05-31,2.76041,2.76041,2.76041,2.76041,2733583.381638547
1999-06-01,2.76041,2.76041,2.76041,2.76041,2707159.0732751647
1999-06-02,2.75694,2.75694,2.75694,2.75694,1324562.3768675455
1999-06-03,2.72685,2.72685,2.72685,2.72685,2493405.06992467
1999-06-04,2.70684,2.70684,2.70684,2.70684,452125.51287901634
1999-06-07,2.70345,2.70345,2.70345,2.70345,448942.4301666144
1999-06-08,2.71685,2.71685,2.71685,2.71685,574143.6835210882
1999-06-09,2.70345,2.70345,2.70345,2.70345,2062372.340743716
1999-06-10,2.62972,2.62972,2.62972,2.62972,1398451.00366974
1999-06-11,2.57946,2.57946,2.57946,2.57946,1501899.803043258
1999-06-14,2.603,2.603,2.603,2.603,557900.5179869467
1999-06-15,2.64304,2.64304,2.64304,2.64304,3404447.2276476435
1999-06-16,2.72022,2.72022,2.72022,2.72022,3736891.885855344
1999-06-17,2.73686,2.73686,2.73686,2.73686,2020497.8599652075
1999-06-18,2.71015,2.71015,2.71015,2.71015,1314040.9830502868
1999-06-21,2.75357,2.75357,2.75357,2.75357,1671097.5923178417
1999-06-22,2.72022,2.72022,2.72022,2.72022,1239121.8818272364
1999-06-23,2.67652,2.67652,2.67652,2.67652,1884936.311220456
1999-06-24,2.68329,2.68329,2.68329,2.68329,548434.5966223171
1999-06-25,2.70007,2.70007,2.70007,2.70007,540463.0020458831
1999-06-28,2.70345,2.70345,2.70345,2.70345,698524.1681656888
1999-06-29,2.69006,2.69006,2.69006,2.69006,1104164.45218366
1999-06-30,2.69006,2.69006,2.69006,2.69006,700092.10026966
1999-07-01,2.6699,2.6699,2.6699,2.6699,1504085.7420438342
1999-07-02,2.65318,2.65318,2.65318,2.65318,1801780.3585282709
1999-07-07,2.6465,2.6465,2.6465,2.6465,1458533.7730356394
1999-07-08,2.61301,2.61301,2.61301,2.61301,1168820.4725844376
1999-07-09,2.55274,2.55274,2.55274,2.55274,1695331.795342018
1999-07-12,2.56599,2.56599,2.56599,2.56599,1250134.903602693
1999-07-13,2.46555,2.46555,2.46555,2.46555,2521263.987555901
1999-07-14,2.48563,2.48563,2.48563,2.48563,1378098.4394680604
1999-07-15,2.49233,2.49233,2.49233,2.49233,1168824.6389230662
1999-07-16,2.45546,2.45546,2.45546,2.45546,774711.2251114369
1999-07-19,2.51235,2.51235,2.51235,2.51235,918176.3182350196
1999-07-20,2.55937,2.55937,2.55937,2.55937,1630649.388129925
1999-07-21,2.56599,2.56599,2.56599,2.56599,574492.2671863643
1999-07-22,2.71015,2.71015,2.71015,2.71015,4510008.792051494
1999-07-23,2.8106,2.8106,2.8106,2.8106,4910710.576014795
1999-07-26,2.7972,2.7972,2.7972,2.7972,7890820.380657966
1999-07-27,2.7738,2.7738,2.7738,2.7738,7188970.085486953
1999-07-28,2.75694,2.75694,2.75694,2.75694,3023782.7549297744
1999-07-29,2.7638,2.7638,2.7638,2.7638,1631095.1863632062
1999-07-30,2.83738,2.83738,2.83738,2.83738,2626076.56844058
1999-08-02,2.84407,2.84407,2.84407,2.84407,2865466.05337407
1999-08-03,3.06853,3.06853,3.06853,3.06853,5299638.287013115
1999-08-04,3.29634,3.29634,3.29634,3.29634,7202627.343512152
1999-08-05,3.22931,3.22931,3.22931,3.22931,6653902.491965362
1999-08-06,3.11877,3.11877,3.11877,3.11877,7420072.722887763
1999-08-09,3.09877,3.09877,3.09877,3.09877,6110532.774336122
1999-08-10,3.06521,3.06521,3.06521,3.06521,5082337.340709969
1999-08-11,3.05514,3.05514,3.05514,3.05514,828175.0711757191
1999-08-12,3.0385,3.0385,3.0385,3.0385,1837883.0715263507
1999-08-13,3.02172,3.02172,3.02172,3.02172,670037.5221810522
1999-08-16,2.9078,2.9078,2.9078,2.9078,5650182.909003858
1999-08-17,2.91104,2.91104,2.91104,2.91104,622023.247043238
1999-08-18,2.9078,2.9078,2.9078,2.9078,707992.8670894043
1999-08-19,2.90096,2.90096,2.90096,2.90096,2127296.39559628
1999-08-20,2.95799,2.95799,2.95799,2.95799,2850913.032543677
1999-08-23,2.91104,2.91104,2.91104,2.91104,5718187.276882645
1999-08-24,2.82399,2.82399,2.82399,2.82399,4786435.638615457
1999-08-25,2.92451,2.92451,2.92451,2.92451,4840225.84787233
1999-08-26,2.9078,2.9078,2.9078,2.9078,2403353.826801824
1999-08-27,2.92113,2.92113,2.92113,2.92113,859879.519361331
1999-08-30,2.93798,2.93798,2.93798,2.93798,1287344.4738964904
1999-08-31,2.91104,2.91104,2.91104,2.91104,3399228.194125302
1999-09-01,2.93467,2.93467,2.93467,2.93467,324689.71323996375
1999-09-02,2.99486,2.99486,2.99486,2.99486,2008547.411998272
1999-09-03,3.03173,3.03173,3.03173,3.03173,1723822.6076652836
1999-09-06,3.0351,3.0351,3.0351,3.0351,554116.093732455
1999-09-07,3.09546,3.09546,3.09546,3.09546,2907400.251672924
1999-09-08,3.11546,3.11546,3.11546,3.11546,1747805.4415921897
1999-09-09,3.092,3.092,3.092,3.092,1869534.746089332
1999-09-10,3.05514,3.05514,3.05514,3.05514,2082074.9561193031
1999-09-13,3.04519,3.04519,3.04519,3.04519,3120302.9331636024
1999-09-14,3.14556,3.14556,3.14556,3.14556,3190987.64556025
1999-09-15,3.17244,3.17244,3.17244,3.17244,2192641.250650352
1999-09-16,3.17244,3.17244,3.17244,3.17244,2253454.518055834
1999-09-17,3.21592,3.21592,3.21592,3.21592,2402146.977379016
1999-09-20,3.29966,3.29966,3.29966,3.29966,3631719.611069047
1999-09-21,3.31644,3.31644,3.31644,3.31644,2183619.73873946
1999-09-22,3.37671,3.37671,3.37671,3.37671,4362382.915417285
1999-09-23,3.38679,3.38679,3.38679,3.38679,4246478.152323203
1999-09-24,3.36332,3.36332,3.36332,3.36332,4103146.382035742
1999-09-27,3.48061,3.48061,3.48061,3.48061,4403831.040876114
1999-09-28,3.62132,3.62132,3.62132,3.62132,7667087.996291498
1999-09-29,3.67826,3.67826,3.67826,3.67826,6166097.843848861
1999-09-30,3.8122,3.8122,3.8122,3.8122,2954724.303377901
1999-10-01,3.71169,3.71169,3.71169,3.71169,4254003.948666356
1999-10-04,3.66481,3.66481,3.66481,3.66481,2431739.0918798265
1999-10-05,3.52079,3.52079,3.52079,3.52079,2359768.3696264224
1999-10-06,3.62462,3.62462,3.62462,3.62462,2662557.029474336
1999-10-07,3.64478,3.64478,3.64478,3.64478,3723526.2715341593
1999-10-08,3.67488,3.67488,3.67488,3.67488,2469693.048008636
1999-10-11,3.61461,3.61461,3.61461,3.61461,2845230.146653997
1999-10-12,3.63132,3.63132,3.63132,3.63132,1560892.380467956
1999-10-13,3.59114,3.59114,3.59114,3.59114,3185328.3689228
1999-10-14,3.63802,3.63802,3.63802,3.63802,1523966.1212009164
1999-10-15,3.618,3.618,3.618,3.618,4931158.966004938
1999-10-18,3.60784,3.60784,3.60784,3.60784,1513980.7962872302
1999-10-19,3.69166,3.69166,3.69166,3.69166,1169712.0690510003
1999-10-20,3.66481,3.66481,3.66481,3.66481,1562856.1147416623
1999-10-21,3.66481,3.66481,3.66481,3.66481,1657706.9799648838
1999-10-22,3.68835,3.68835,3.68835,3.68835,3031884.8947832454
1999-10-25,3.64801,3.64801,3.64801,3.64801,1097023.3477738998
1999-10-26,3.65142,3.65142,3.65142,3.65142,641709.1970643098
1999-10-27,3.70174,3.70174,3.70174,3.70174,1753393.8904729506
1999-10-29,3.68835,3.68835,3.68835,3.68835,3597727.842976224
1999-11-01,3.64801,3.64801,3.64801,3.64801,4626684.327791903
1999-11-02,3.68504,3.68504,3.68504,3.68504,1651260.2653265898
1999-11-03,3.72508,3.72508,3.72508,3.72508,2138828.8209207933
1999-11-04,3.76207,3.76207,3.76207,3.76207,1561261.7958263755
1999-11-05,3.7754,3.7754,3.7754,3.7754,376603.681334333
1999-11-08,3.66481,3.66481,3.66481,3.66481,819614.6340730818
1999-11-09,3.78556,3.78556,3.78556,3.78556,5739134.2387287
1999-11-10,3.79542,3.79542,3.79542,3.79542,4042227.567384997
1999-11-11,3.84568,3.84568,3.84568,3.84568,3240035.172678007
1999-11-12,3.80219,3.80219,3.80219,3.80219,1137732.6425158875
1999-11-15,3.78871,3.78871,3.78871,3.78871,685922.3825931171
1999-11-16,3.76207,3.76207,3.76207,3.76207,1739192.2308669204
1999-11-17,3.74516,3.74516,3.74516,3.74516,1971965.57005788
1999-11-18,3.7085,3.7085,3.7085,3.7085,2614644.1352431565
1999-11-19,3.69166,3.69166,3.69166,3.69166,3083525.2733076564
1999-11-22,3.65818,3.65818,3.65818,3.65818,1472815.98185516
1999-11-23,3.53757,3.53757,3.53757,3.53757,2510427.340782397
1999-11-24,3.48399,3.48399,3.48399,3.48399,4568313.92360244
1999-11-25,3.5241,3.5241,3.5241,3.5241,1591863.553054899
1999-11-26,3.618,3.618,3.618,3.618,1489977.1306671803
1999-11-29,3.62132,3.62132,3.62132,3.62132,1285616.8321450818
1999-11-30,3.63132,3.63132,3.63132,3.63132,662270.0781974293
1999-12-01,3.53411,3.53411,3.53411,3.53411,2301734.0500863483
1999-12-02,3.57435,3.57435,3.57435,3.57435,394559.2120449107
1999-12-03,3.50062,3.50062,3.50062,3.50062,1880578.3210147328
1999-12-06,3.48061,3.48061,3.48061,3.48061,527118.2194178422
1999-12-07,3.51078,3.51078,3.51078,3.51078,865524.9082033528
1999-12-08,3.48399,3.48399,3.48399,3.48399,528684.7627422704
1999-12-09,3.51078,3.51078,3.51078,3.51078,839407.5201189595
1999-12-10,3.4068,3.4068,3.4068,3.4068,1142079.5224852671
1999-12-13,3.34999,3.34999,3.34999,3.34999,3509984.751453732
1999-12-14,3.34323,3.34323,3.34323,3.34323,2368899.5951212053
1999-12-15,3.37347,3.37347,3.37347,3.37347,3146917.504324366
1999-12-16,3.36,3.36,3.36,3.36,2159338.317210824
1999-12-17,3.33998,3.33998,3.33998,3.33998,1760954.4063046768
1999-12-20,3.17244,3.17244,3.17244,3.17244,1161128.022696133
1999-12-21,3.04843,3.04843,3.04843,3.04843,1975870.8181326063
1999-12-22,3.13217,3.13217,3.13217,3.13217,376971.7079132102
1999-12-23,3.2795,3.2795,3.2795,3.2795,2125936.7804237483
1999-12-27,3.37671,3.37671,3.37671,3.37671,975846.7775348452
1999-12-28,3.43705,3.43705,3.43705,3.43705,976403.678131561
1999-12-29,3.36669,3.36669,3.36669,3.36669,2586665.782571233
1999-12-30,3.42365,3.42365,3.42365,3.42365,602423.401353828
2000-01-05,3.49738,3.49738,3.49738,3.49738,8661465.259267695
2000-01-06,3.70504,3.70504,3.70504,3.70504,4401615.937505135
2000-01-07,3.75538,3.75538,3.75538,3.75538,4959478.958444423
2000-01-10,3.81896,3.81896,3.81896,3.81896,3437319.639428862
2000-01-11,3.80888,3.80888,3.80888,3.80888,2781751.811305626
2000-01-12,3.78556,3.78556,3.78556,3.78556,3763239.811343864
2000-01-13,3.75863,3.75863,3.75863,3.75863,3196513.5993615794
2000-01-14,3.75192,3.75192,3.75192,3.75192,3443712.1916649817
2000-01-17,3.79218,3.79218,3.79218,3.79218,2958293.4668032383
2000-01-18,3.78556,3.78556,3.78556,3.78556,5083187.273790243
2000-01-19,4.06011,4.06011,4.06011,4.06011,7684257.477780776
2000-01-20,4.47171,4.47171,4.47171,4.47171,15333521.877418278
2000-01-21,4.59259,4.59259,4.59259,4.59259,22176201.17265449
2000-01-24,4.33481,4.33481,4.33481,4.33481,8639711.416507198
2000-01-25,4.22753,4.22753,4.22753,4.22753,7173937.935714248
2000-01-26,4.05363,4.05363,4.05363,4.05363,9064836.277512517
2000-01-27,4.05363,4.05363,4.05363,4.05363,8534501.64467324
2000-01-28,4.04989,4.04989,4.04989,4.04989,4870817.883644054
2000-01-31,4.08344,4.08344,4.08344,4.08344,1243061.8493905368
2000-02-01,4.14062,4.14062,4.14062,4.14062,6939378.626031078
2000-02-02,4.26122,4.26122,4.26122,4.26122,7432806.442516914
2000-02-03,4.32127,4.32127,4.32127,4.32127,4275016.1831509285
2000-02-04,4.40884,4.40884,4.40884,4.40884,3863733.287850021
2000-02-07,4.53261,4.53261,4.53261,4.53261,6061332.481468643
2000-02-08,4.51253,4.51253,4.51253,4.51253,5935132.695622801
2000-02-09,4.48251,4.48251,4.48251,4.48251,7667600.45594284
2000-02-10,4.55883,4.55883,4.55883,4.55883,4641441.499215107
2000-02-11,4.56588,4.56588,4.56588,4.56588,5548627.0161473565
2000-02-14,4.50266,4.50266,4.50266,4.50266,4163752.721289328
2000-02-15,4.53908,4.53908,4.53908,4.53908,3171501.679793361
2000-02-16,4.62579,4.62579,4.62579,4.62579,5206902.533033779
2000-02-17,4.68994,4.68994,4.68994,4.68994,5300596.544897738
2000-02-18,4.53261,4.53261,4.53261,4.53261,4523096.650464092
2000-02-21,4.51577,4.51577,4.51577,4.51577,2193974.4790115664
2000-02-22,4.68994,4.68994,4.68994,4.68994,6541965.47202544
2000-02-23,4.76346,4.76346,4.76346,4.76346,8224183.022143545
2000-02-24,4.78018,4.78018,4.78018,4.78018,8913973.155763729
2000-02-25,4.69693,4.69693,4.69693,4.69693,9477085.7633753
2000-02-28,4.60275,4.60275,4.60275,4.60275,4879982.439847865
2000-02-29,4.72969,4.72969,4.72969,4.72969,3585900.9963886086
2000-03-01,4.68663,4.68663,4.68663,4.68663,4569262.460030263
2000-03-02,4.67633,4.67633,4.67633,4.67633,842626.7110994774
2000-03-03,4.65999,4.65999,4.65999,4.65999,2618893.8006445304
2000-03-06,4.66316,4.66316,4.66316,4.66316,3278623.801057936
2000-03-07,4.61268,4.61268,4.61268,4.61268,3789415.528169061
2000-03-08,4.58272,4.58272,4.58272,4.58272,3443528.872765314
2000-03-09,4.45866,4.45866,4.45866,4.45866,3981772.605101591
2000-03-10,4.55883,4.55883,4.55883,4.55883,2263885.6412028023
2000-03-13,4.59633,4.59633,4.59633,4.59633,4447847.019709825
2000-03-14,4.60275,4.60275,4.60275,4.60275,4345566.183931912
2000-03-15,4.53593,4.53593,4.53593,4.53593,2508231.68032502
2000-03-16,4.60613,4.60613,4.60613,4.60613,3070812.3853716496
2000-03-17,4.54939,4.54939,4.54939,4.54939,2154656.7413715976
2000-03-20,4.45535,4.45535,4.45535,4.45535,6210158.263627945
2000-03-21,4.39523,4.39523,4.39523,4.39523,4096614.951845329
2000-03-22,4.3786,4.3786,4.3786,4.3786,3521401.9080761825
2000-03-23,4.49186,4.49186,4.49186,4.49186,4261710.286350089
2000-03-24,4.5293,4.5293,4.5293,4.5293,2904247.722110467
2000-03-27,4.49884,4.49884,4.49884,4.49884,2204716.688776152
