Date,Open,High,Low,Close,Volume
2009-12-22,4.18,4.38,4.1,4.24,46320
2009-12-23,4.1,4.1,3.8,3.8,13680
2009-12-28,3.6,3.6,3.26,3.32,15960
2009-12-29,3.4,3.54,3.4,3.48,10280
2009-12-30,3.54,3.86,3.5,3.86,2720
2009-12-31,3.8,4.0,3.74,4.0,2280
2010-01-04,4.06,4.1,3.68,3.98,4080
2010-01-05,3.96,3.96,3.66,3.66,1560
2010-01-06,3.92,3.92,3.88,3.9,1280
2010-01-07,3.88,3.88,3.56,3.6,2920
2010-01-08,3.8,3.84,3.74,3.82,1120
2010-01-11,3.8,3.82,3.8,3.82,1440
2010-01-12,3.9,3.9,3.64,3.64,1200
2010-01-13,3.8,3.8,3.72,3.72,840
2010-01-14,3.64,3.7,3.64,3.7,1520
2010-01-15,3.66,3.8,3.66,3.8,360
2010-01-18,3.94,3.94,3.7,3.7,800
2010-01-19,3.66,3.66,3.66,3.66,680
2010-01-21,3.6,3.6,3.5,3.5,2000
2010-01-22,3.66,3.68,3.66,3.66,3040
2010-01-25,3.46,3.6,3.44,3.6,760
2010-01-26,3.6,3.7,3.5,3.7,12800
2010-01-27,3.58,3.78,3.58,3.7,3040
2010-01-28,3.48,3.5,3.48,3.5,400
2010-01-29,3.52,3.52,3.52,3.52,120
2010-02-01,3.52,3.78,3.52,3.78,3600
2010-02-02,3.78,3.78,3.52,3.52,3000
2010-02-04,3.52,3.58,3.52,3.52,920
2010-02-05,3.46,3.46,3.36,3.4,4280
2010-02-08,3.7,3.7,3.36,3.36,200
2010-02-09,3.44,3.44,3.42,3.42,320
2010-02-10,3.68,3.68,3.38,3.4,1640
2010-02-11,3.38,3.42,3.38,3.42,120
2010-02-12,3.38,3.38,3.36,3.36,1600
2010-02-15,3.36,3.4,3.16,3.2,11920
2010-02-16,3.2,3.4,3.2,3.4,1120
2010-02-17,3.38,3.4,3.2,3.2,20680
2010-02-18,3.2,3.38,3.2,3.24,2800
2010-02-19,3.38,3.5,3.36,3.5,8280
2010-02-22,3.6,3.66,3.42,3.42,1440
2010-02-23,3.6,4.14,3.6,4.1,27880
2010-02-24,4.1,4.1,3.68,3.68,21840
2010-02-25,3.68,3.96,3.68,3.86,1840
2010-03-01,3.62,3.86,3.62,3.86,160
2010-03-02,3.8,3.98,3.8,3.96,15000
2010-03-03,3.82,3.96,3.8,3.94,11600
2010-03-04,3.96,4.14,3.96,4.14,3520
2010-03-05,4.04,4.24,4.02,4.1,7080
2010-03-08,4.2,4.2,4.1,4.1,11960
2010-03-09,4.1,4.2,4.1,4.1,4000
2010-03-10,4.2,4.2,4.1,4.1,3120
2010-03-11,4.1,4.1,4.1,4.1,8000
2010-03-12,3.84,4.12,3.84,4.1,3320
2010-03-15,3.9,4.08,3.84,4.0,11520
2010-03-16,3.98,4.06,3.98,4.06,11800
2010-03-17,3.98,4.0,3.9,3.92,28360
2010-03-18,4.0,4.0,4.0,4.0,120
2010-03-19,3.86,3.86,3.82,3.86,15000
2010-03-23,3.96,3.96,3.72,3.72,840
2010-03-24,3.6,3.68,3.42,3.48,3440
2010-03-25,3.8,3.8,3.42,3.56,11880
2010-03-26,3.9,4.0,3.6,3.6,960
2010-03-29,3.92,3.92,3.6,3.6,0
2010-03-30,3.9,3.92,3.7,3.88,560
2010-03-31,3.88,3.88,3.74,3.82,400
2010-04-01,3.74,3.74,3.7,3.7,800
2010-04-06,3.76,3.9,3.76,3.82,240
2010-04-07,3.6,3.6,3.6,3.6,0
2010-04-08,3.9,3.9,3.62,3.62,0
2010-04-09,3.78,3.78,3.66,3.66,120
2010-04-12,3.88,3.88,3.88,3.88,40
2010-04-13,3.9,3.9,3.86,3.88,2840
2010-04-14,3.92,3.92,3.7,3.9,1080
2010-04-15,3.9,3.96,3.9,3.96,5000
2010-04-16,3.8,3.8,3.8,3.8,200
2010-04-19,3.7,3.94,3.7,3.92,600
2010-04-20,3.7,3.9,3.7,3.7,240
2010-04-21,3.9,3.9,3.72,3.72,1200
2010-04-22,3.7,3.8,3.7,3.7,2360
2010-04-23,3.7,3.7,3.4,3.62,1160
2010-04-26,3.64,3.7,3.6,3.7,3720
2010-04-27,3.8,3.8,3.48,3.6,3720
2010-04-28,3.5,3.5,3.5,3.5,120
2010-04-29,3.6,3.6,3.56,3.56,1440
2010-05-04,3.56,3.56,3.24,3.32,2400
2010-05-05,3.78,3.78,3.36,3.78,400
2010-05-06,3.78,3.78,3.78,3.78,0
2010-05-07,3.68,3.68,3.44,3.44,360
2010-05-10,3.76,3.76,3.76,3.76,120
2010-05-11,3.74,3.74,3.74,3.74,40
2010-05-12,3.58,3.6,3.58,3.6,80
2010-05-14,3.4,3.4,3.4,3.4,360
2010-05-17,3.76,3.76,3.76,3.76,80
2010-05-18,3.6,3.74,3.4,3.74,6400
2010-05-19,3.6,3.6,3.6,3.6,40
2010-05-24,3.42,3.58,3.32,3.32,400
2010-05-25,3.72,3.72,3.36,3.44,11640
2010-05-26,3.44,3.48,3.2,3.48,6520
2010-05-27,3.24,3.56,3.24,3.52,1440
2010-05-28,3.5,3.5,3.5,3.5,40
2010-05-31,3.26,3.5,3.26,3.32,880
2010-06-01,3.4,3.52,3.4,3.4,2200
2010-06-02,3.5,3.5,3.5,3.5,920
2010-06-04,3.36,3.36,3.36,3.36,120
2010-06-07,3.58,3.58,3.54,3.54,240
2010-06-09,3.4,3.4,3.4,3.4,160
2010-06-10,3.52,3.52,3.4,3.4,280
2010-06-11,3.56,3.56,3.56,3.56,120
2010-06-14,3.56,3.56,3.56,3.56,240
2010-06-15,3.46,3.46,3.46,3.46,240
2010-06-16,3.58,3.58,3.58,3.58,160
2010-06-17,3.58,3.58,3.48,3.48,400
2010-06-18,3.48,3.48,3.48,3.48,1400
2010-06-21,3.46,3.46,3.46,3.46,80
2010-06-22,3.46,3.46,3.44,3.44,160
2010-06-23,3.52,3.52,3.52,3.52,120
2010-06-24,3.48,3.5,3.48,3.5,2880
2010-06-25,3.54,3.54,3.54,3.54,2120
2010-06-28,3.4,3.54,3.4,3.54,1320
2010-06-29,3.54,3.54,3.54,3.54,160
2010-07-02,3.38,3.4,3.38,3.4,760
2010-07-05,3.54,3.54,3.42,3.42,840
2010-07-06,3.42,3.54,3.42,3.54,360
2010-07-07,3.4,3.4,3.4,3.4,0
2010-07-09,3.42,3.42,3.4,3.42,920
2010-07-12,3.44,3.44,3.44,3.44,40
2010-07-14,3.48,3.48,3.48,3.48,840
2010-07-16,3.48,3.48,3.36,3.48,6960
2010-07-19,3.36,3.5,3.36,3.5,360
2010-07-20,3.54,3.54,3.5,3.5,320
2010-07-22,3.48,3.48,3.46,3.46,640
2010-07-23,3.4,3.4,3.4,3.4,840
2010-07-26,3.38,3.38,3.34,3.34,2280
2010-07-28,3.36,3.44,3.36,3.44,1840
2010-07-29,3.4,3.42,3.4,3.42,520
2010-07-30,3.46,3.46,3.46,3.46,560
2010-08-09,3.42,3.42,3.18,3.38,2440
2010-08-10,3.38,3.38,3.38,3.38,0
2010-08-11,3.22,3.22,3.1,3.1,12440
2010-08-12,3.1,3.36,3.08,3.36,2560
2010-08-13,3.22,3.3,3.22,3.3,2160
2010-08-17,3.34,3.34,3.3,3.3,720
2010-08-18,3.3,3.3,3.3,3.3,1320
2010-08-19,3.3,3.38,3.3,3.38,1360
2010-08-20,3.32,3.42,3.32,3.42,3680
2010-08-23,3.42,3.42,3.36,3.36,160
2010-08-24,3.32,3.42,3.32,3.42,720
2010-08-25,3.32,3.4,3.32,3.4,3840
2010-08-26,3.4,3.4,3.4,3.4,120
2010-08-27,3.42,3.42,3.42,3.42,80
2010-08-30,3.42,3.46,3.42,3.46,560
2010-08-31,3.42,3.42,3.42,3.42,80
2010-09-01,3.42,3.42,3.34,3.38,5320
2010-09-02,3.38,3.38,3.38,3.38,160
2010-09-03,3.38,3.38,3.38,3.38,120
2010-09-06,3.34,3.38,3.32,3.38,2600
2010-09-07,3.3,3.3,3.28,3.28,520
2010-09-08,3.4,3.4,3.24,3.24,560
2010-09-10,3.38,3.38,3.38,3.38,120
2010-09-15,3.28,3.36,3.28,3.36,360
2010-09-17,3.36,3.36,3.36,3.36,1040
2010-09-20,3.28,3.28,3.28,3.28,160
2010-09-21,3.32,3.36,3.3,3.36,4480
2010-09-22,3.28,3.28,3.26,3.26,880
2010-09-23,3.26,3.26,3.26,3.26,840
2010-09-28,3.24,3.24,3.16,3.16,4120
2010-09-29,3.2,3.2,3.2,3.2,2120
2010-09-30,3.16,3.16,3.14,3.14,1960
2010-10-01,3.14,3.14,3.12,3.12,240
2010-10-04,3.1,3.1,3.08,3.08,880
2010-10-05,3.08,3.16,3.08,3.08,3560
2010-10-08,3.02,3.02,3.0,3.0,1240
2010-10-12,3.0,3.06,2.92,3.0,1960
2010-10-13,2.98,2.98,2.98,2.98,40
2010-10-14,3.1,3.26,3.1,3.26,5760
2010-10-15,3.12,3.12,3.12,3.12,760
2010-10-18,3.18,3.18,2.92,3.0,5720
2010-10-19,3.1,3.1,3.08,3.08,240
2010-10-20,3.06,3.06,3.02,3.02,1200
2010-10-22,3.08,3.08,3.02,3.02,240
2010-10-26,3.04,3.04,3.04,3.04,520
2010-10-27,3.04,3.04,3.04,3.04,120
2010-10-28,3.04,3.04,3.02,3.02,1080
2010-10-29,3.02,3.02,3.02,3.02,520
2010-11-02,3.06,3.06,3.06,3.06,520
2010-11-03,3.04,3.04,3.0,3.0,2640
2010-11-05,3.0,3.0,3.0,3.0,240
2010-11-09,3.02,3.02,3.02,3.02,3800
2010-11-10,3.02,3.12,3.02,3.12,18880
2010-11-12,3.12,3.12,3.12,3.12,320
2010-11-16,3.02,3.02,3.02,3.02,640
2010-11-17,3.02,3.02,2.96,2.96,2160
2010-11-22,2.96,2.96,2.96,2.96,80
2010-11-23,3.02,3.02,3.02,3.02,120
2010-11-24,3.04,4.26,3.04,4.26,120720
2010-11-25,4.36,4.36,3.64,4.0,80440
2010-11-26,4.0,4.02,3.4,3.62,73320
2010-11-29,3.56,3.56,3.4,3.4,7400
2010-11-30,3.46,3.74,3.4,3.54,24600
2010-12-01,3.54,3.8,3.54,3.8,31560
2010-12-02,3.78,3.8,3.5,3.78,13240
2010-12-03,3.64,3.72,3.42,3.72,15280
2010-12-06,3.58,3.6,3.12,3.36,55920
2010-12-07,3.48,3.48,3.42,3.44,5160
2010-12-08,3.46,3.46,3.34,3.44,1920
2010-12-09,3.36,3.44,3.24,3.26,4360
2010-12-10,3.38,3.38,3.26,3.38,3440
2010-12-13,3.38,3.4,3.22,3.24,5240
2010-12-14,3.28,3.42,3.28,3.28,7400
2010-12-15,3.26,3.26,3.22,3.22,1480
2010-12-16,3.32,3.32,3.32,3.32,120
2010-12-17,3.22,3.24,3.2,3.24,4800
2010-12-20,3.16,3.22,3.16,3.22,2400
2010-12-22,3.12,3.32,3.12,3.28,4040
2010-12-23,3.36,3.42,3.24,3.36,6280
2010-12-27,3.38,3.4,3.24,3.32,3080
2010-12-28,3.3,3.38,3.22,3.22,2560
2010-12-29,3.2,3.26,3.16,3.16,6120
2010-12-30,3.18,3.18,3.18,3.18,80
2010-12-31,3.34,3.34,3.34,3.34,0
2011-01-03,3.34,3.36,3.34,3.36,1240
2011-01-05,3.18,3.18,3.18,3.18,440
2011-01-07,3.18,3.2,3.16,3.18,2640
2011-01-10,3.18,3.18,3.18,3.18,1440
2011-01-11,3.22,3.28,3.2,3.2,440
2011-01-12,3.2,3.2,3.2,3.2,440
2011-01-13,3.18,3.28,3.16,3.16,3240
2011-01-17,3.12,3.12,3.12,3.12,360
2011-01-18,3.2,3.24,3.2,3.2,520
2011-01-19,3.2,3.2,3.06,3.1,920
2011-01-20,3.1,3.2,3.1,3.12,520
2011-01-24,3.1,3.16,3.1,3.16,1680
2011-01-25,3.16,3.16,2.98,3.06,13920
2011-01-26,3.04,3.1,3.02,3.02,1280
2011-01-27,3.1,3.1,3.02,3.06,3520
2011-01-28,3.06,3.06,2.98,2.98,5600
2011-01-31,3.0,3.0,3.0,3.0,3000
2011-02-01,2.98,2.98,2.92,2.96,1280
2011-02-02,3.0,3.02,3.0,3.0,1680
2011-02-03,2.96,2.96,2.96,2.96,400
2011-02-04,2.98,2.98,2.98,2.98,920
2011-02-07,3.02,3.02,3.02,3.02,240
2011-02-08,3.04,3.04,3.04,3.04,280
2011-02-09,3.06,3.06,3.02,3.06,2000
2011-02-11,3.06,3.06,3.06,3.06,440
2011-02-14,3.06,3.06,3.04,3.04,1640
2011-02-15,3.04,3.04,3.04,3.04,160
2011-02-17,3.06,3.06,3.06,3.06,960
2011-02-21,3.0,3.0,2.98,2.98,280
2011-02-22,2.98,2.98,2.98,2.98,320
2011-02-23,3.02,3.02,3.02,3.02,680
2011-02-25,3.0,3.02,2.9,3.02,1000
2011-03-01,3.0,3.04,3.0,3.04,280
2011-03-04,3.0,3.0,3.0,3.0,520
2011-03-07,3.0,3.0,3.0,3.0,960
2011-03-08,2.94,2.94,2.94,2.94,1280
2011-03-10,3.02,3.02,3.02,3.02,680
2011-03-14,3.02,3.02,2.94,2.94,1440
2011-03-15,2.96,2.96,2.9,2.9,720
2011-03-16,2.96,2.96,2.96,2.96,280
2011-03-17,2.9,2.92,2.84,2.84,3600
2011-03-18,2.84,2.84,2.74,2.82,3520
2011-03-22,2.84,2.88,2.84,2.84,1520
2011-03-24,2.74,2.74,2.74,2.74,240
2011-03-25,2.74,2.74,2.74,2.74,1160
2011-03-28,2.82,3.0,2.82,2.94,5800
2011-03-29,2.94,3.04,2.92,2.92,1800
2011-03-30,2.92,2.92,2.92,2.92,520
2011-04-01,3.0,3.04,3.0,3.04,2360
2011-04-04,3.0,3.0,3.0,3.0,560
2011-04-06,2.92,2.92,2.8,2.92,2360
2011-04-07,2.8,3.0,2.78,3.0,8240
2011-04-08,3.0,3.0,2.84,2.84,5240
2011-04-12,2.8,2.8,2.74,2.74,3320
