Date,Open,High,Low,Close,Volume
2011-05-04,16.17,19.39,16.17,19.39,568
2011-05-05,23.24,24.64,14.84,14.84,8230
2011-05-06,15.82,15.82,11.9,11.9,5375
2011-05-09,11.2,11.55,9.52,9.52,3287
2011-05-10,10.43,10.43,7.91,8.05,2784
2011-05-11,8.05,8.4,7.84,8.26,744
2011-05-12,8.26,8.4,8.26,8.33,533
2011-05-13,8.4,8.4,7.7,8.33,601
2011-05-16,8.4,8.4,8.12,8.12,171
2011-05-17,8.19,8.19,6.58,6.58,851
2011-05-18,6.58,7.84,5.6,7.7,1115
2011-05-19,7.7,7.7,7.7,7.7,14
2011-05-20,7.0,7.0,6.44,7.0,149
2011-05-23,6.86,6.86,5.6,6.72,676
2011-05-24,6.58,7.0,5.6,7.0,1009
2011-05-25,6.86,7.0,6.09,6.3,679
2011-05-26,6.3,6.3,5.74,6.02,436
2011-05-27,6.23,6.86,6.23,6.51,405
2011-05-30,6.65,6.86,6.51,6.86,392
2011-05-31,6.86,6.86,6.09,6.3,834
2011-06-01,6.3,6.86,6.3,6.44,2972
2011-06-02,6.3,6.3,6.3,6.3,17
2011-06-03,6.51,6.86,6.51,6.86,253
2011-06-06,6.86,6.86,6.23,6.23,229
2011-06-07,6.23,6.23,6.16,6.16,1029
2011-06-08,6.23,6.58,6.23,6.58,490
2011-06-09,6.65,6.65,6.51,6.58,2014
2011-06-10,6.65,6.65,6.37,6.37,57
2011-06-13,6.37,6.37,6.37,6.37,1
2011-06-14,6.23,6.23,6.23,6.23,14
2011-06-15,6.23,6.23,6.16,6.23,937
2011-06-16,6.23,6.23,5.95,5.95,471
2011-06-17,6.16,6.16,6.16,6.16,43
2011-06-20,6.23,6.3,5.6,5.6,1225
2011-06-21,5.32,5.39,4.9,5.25,1332
2011-06-22,5.25,5.95,5.25,5.81,714
2011-06-24,5.88,6.86,5.81,6.23,2411
2011-06-27,6.65,6.65,5.53,6.23,764
2011-06-28,6.3,6.37,6.02,6.02,582
2011-06-29,5.95,6.23,5.95,6.23,72
2011-06-30,6.16,6.16,6.16,6.16,43
2011-07-04,6.23,6.23,6.23,6.23,16
2011-07-06,6.44,6.44,6.23,6.23,114
2011-07-07,6.23,6.23,5.95,5.95,123
2011-07-08,6.02,6.02,6.02,6.02,14
2011-07-11,6.02,6.02,6.02,6.02,500
2011-07-12,6.02,6.02,4.9,4.97,1065
2011-07-13,4.55,4.69,3.92,4.69,1230
2011-07-14,4.69,4.69,4.34,4.34,39
2011-07-15,4.41,4.41,4.41,4.41,171
2011-07-18,4.41,4.41,3.92,3.92,995
2011-07-19,3.92,3.92,3.22,3.22,1607
2011-07-20,3.29,3.57,3.29,3.5,821
2011-07-21,3.64,3.64,3.5,3.5,321
2011-07-22,3.64,3.64,3.43,3.43,487
2011-07-25,3.43,3.43,3.01,3.29,3364
2011-07-27,3.29,3.78,3.29,3.78,800
2011-07-29,3.92,3.99,3.71,3.71,257
2011-08-01,3.85,3.99,3.85,3.92,74
2011-08-02,3.92,3.92,3.78,3.85,448
2011-08-03,3.85,3.92,3.22,3.5,616
2011-08-04,3.85,5.04,3.85,4.2,738
2011-08-05,4.2,4.2,3.5,4.2,279
2011-08-08,4.2,4.2,4.2,4.2,2
2011-08-09,4.2,4.2,3.43,3.5,243
2011-08-10,3.5,3.5,3.5,3.5,275
2011-08-11,3.43,3.43,3.43,3.43,143
2011-08-12,3.5,3.5,2.8,3.29,956
2011-08-16,3.29,3.29,2.87,2.87,314
2011-08-17,2.87,3.08,2.87,3.08,100
2011-08-18,2.94,2.94,2.94,2.94,50
2011-08-23,2.87,2.87,2.87,2.87,86
2011-08-25,2.94,3.43,2.94,3.43,246
2011-08-26,3.43,3.43,3.43,3.43,83
2011-08-29,3.43,3.43,3.29,3.29,107
2011-08-30,3.29,3.29,3.22,3.22,100
2011-08-31,3.29,3.29,3.29,3.29,14
2011-09-01,3.15,3.15,2.94,3.01,1000
2011-09-05,3.01,3.01,3.01,3.01,29
2011-09-07,3.01,3.01,3.01,3.01,43
2011-09-08,2.8,2.8,2.8,2.8,57
2011-09-09,2.66,2.66,2.24,2.31,6112
2011-09-12,2.38,2.38,2.38,2.38,43
2011-09-14,2.24,2.24,2.1,2.1,2429
2011-09-15,2.1,2.1,2.1,2.1,43
2011-09-16,2.1,2.1,2.1,2.1,21
2011-09-19,2.17,2.17,2.17,2.17,29
2011-09-20,2.1,2.1,1.96,1.96,493
2011-09-21,2.03,2.31,2.03,2.31,1430
2011-09-22,2.1,2.1,1.89,1.89,249
2011-09-23,2.1,2.1,1.68,1.68,1187
2011-09-27,1.68,1.68,1.47,1.47,207
2011-09-28,1.4,1.75,1.4,1.47,349
2011-09-29,1.61,1.68,1.61,1.61,257
2011-09-30,1.75,2.24,1.75,2.1,4183
2011-10-03,2.17,2.73,2.17,2.73,2043
2011-10-04,2.87,2.87,2.31,2.45,2317
2011-10-05,2.45,2.45,2.38,2.45,219
2011-10-06,2.31,2.31,1.96,2.1,92
2011-10-07,2.1,2.1,2.1,2.1,86
2011-10-11,2.1,2.1,2.1,2.1,43
2011-10-12,2.1,2.1,1.75,1.75,1469
2011-10-13,1.75,1.75,1.75,1.75,300
2011-10-14,1.68,1.68,1.68,1.68,257
2011-10-18,1.68,1.68,1.61,1.68,328
2011-10-19,1.68,1.96,1.61,1.96,4040
2011-10-20,1.96,1.96,1.96,1.96,14
2011-10-21,1.96,2.31,1.96,2.31,200
2011-10-24,2.31,2.73,2.31,2.66,500
2011-10-25,2.59,2.8,2.59,2.8,378
2011-10-27,2.8,2.87,2.8,2.87,86
2011-10-28,2.87,3.01,2.8,3.01,300
2011-10-31,3.01,3.01,3.01,3.01,21
2011-11-02,3.01,3.01,2.8,2.8,100
2011-11-03,2.8,2.8,2.8,2.8,29
2011-11-04,2.59,2.59,2.52,2.52,86
2011-11-07,2.52,2.66,2.52,2.66,211
2011-11-08,2.66,2.66,2.59,2.59,264
2011-11-09,2.38,2.38,2.31,2.31,71
2011-11-10,2.45,2.66,2.31,2.66,457
2011-11-14,2.66,2.8,2.24,2.8,1507
2011-11-15,2.66,3.08,2.66,3.08,457
2011-11-16,3.08,3.08,2.66,2.94,296
2011-11-17,2.94,2.94,2.1,2.8,7213
2011-11-18,3.01,3.71,2.8,3.71,8288
2011-11-21,3.71,4.55,3.43,3.5,9244
2011-11-22,3.85,4.48,3.5,3.5,6161
2011-11-23,3.5,3.85,2.8,2.8,3543
2011-11-24,2.94,3.15,2.8,3.15,820
2011-11-25,3.08,4.27,3.08,3.78,6860
2011-11-28,3.71,4.27,3.5,3.71,2907
2011-11-29,3.71,3.99,3.5,3.85,1090
2011-11-30,3.92,3.92,3.71,3.92,445
2011-12-01,3.78,3.78,3.78,3.78,39
2011-12-02,3.5,3.78,3.22,3.57,1973
2011-12-05,3.64,3.64,3.43,3.43,57
2011-12-06,3.43,3.43,3.43,3.43,36
2011-12-07,3.43,3.43,2.8,2.8,1650
2011-12-08,2.8,2.94,2.8,2.94,77
2011-12-09,2.8,3.08,2.8,2.94,709
2011-12-12,2.87,2.87,2.8,2.8,43
2011-12-14,2.8,2.94,2.8,2.8,57
2011-12-15,2.8,2.8,2.31,2.45,3409
2011-12-16,2.52,2.52,2.31,2.31,1086
2011-12-19,2.24,2.45,2.24,2.45,319
2011-12-20,2.52,2.73,2.24,2.38,1272
2011-12-21,2.31,2.31,1.96,1.96,2500
2011-12-22,2.17,2.24,2.17,2.24,1501
2011-12-23,2.24,2.24,1.82,1.82,2175
2011-12-27,1.75,1.75,1.68,1.75,3500
2011-12-30,1.75,1.89,1.75,1.89,514
2012-01-02,1.89,1.89,1.89,1.89,286
2012-01-04,1.75,1.82,1.68,1.82,871
2012-01-05,1.82,1.82,1.82,1.82,57
2012-01-10,1.82,1.82,1.68,1.68,49
