Date,Open,High,Low,Close,Volume
2011-08-04,19.0,19.95,18.05,19.2,48504
2011-08-05,17.05,19.2,15.62,19.19,33950
2011-08-08,17.55,18.45,17.55,17.85,10805
2011-08-09,16.65,17.35,16.65,17.0,123980
2011-08-10,16.63,17.99,16.35,16.4,39052
2011-08-11,16.3,16.84,15.24,15.55,89531
2011-08-12,16.3,16.3,14.7,15.0,57092
2011-08-16,15.75,16.5,15.25,16.25,43574
2011-08-17,16.75,17.09,16.26,17.09,3144
2011-08-18,17.01,17.01,16.2,16.47,16460
2011-08-19,16.0,16.89,16.0,16.89,9966
2011-08-22,16.89,17.89,16.89,17.89,6553
2011-08-23,18.0,19.2,18.0,19.0,11773
2011-08-24,19.5,19.6,19.25,19.5,8414
2011-08-25,19.7,20.0,19.6,19.7,24550
2011-08-26,19.05,19.95,19.05,19.95,14766
2011-08-29,20.0,20.85,19.95,20.85,22271
2011-08-30,20.8,21.33,20.8,21.15,18104
2011-08-31,21.99,21.99,21.15,21.3,13485
2011-09-01,21.29,21.29,20.8,20.8,15362
2011-09-02,19.7,20.7,19.7,20.0,25466
2011-09-05,19.9,19.9,19.0,19.75,5501
2011-09-06,19.2,20.4,19.2,20.0,22200
2011-09-07,20.45,20.45,19.86,20.15,1412
2011-09-08,20.15,20.15,19.25,19.8,1908
2011-09-09,19.75,19.75,19.26,19.7,296
2011-09-12,19.64,19.64,18.8,19.43,261
2011-09-13,19.75,19.75,19.75,19.75,1
2011-09-14,19.68,20.1,19.68,20.0,16695
2011-09-15,21.45,21.7,21.0,21.2,10451
2011-09-16,21.55,21.95,21.4,21.89,11616
2011-09-19,21.95,21.95,21.35,21.4,3109
2011-09-20,21.4,21.95,21.4,21.95,6884
2011-09-21,21.77,22.7,21.77,22.7,11315
2011-09-22,22.6,22.6,21.0,21.4,9229
2011-09-23,21.0,21.65,21.0,21.65,7692
2011-09-26,21.52,22.5,21.52,22.0,11515
2011-09-27,22.69,22.99,22.5,22.85,106516
2011-09-28,22.4,24.16,22.4,24.15,25760
2011-09-29,24.32,26.25,22.8,23.5,37676
2011-09-30,23.5,24.15,22.8,23.93,62311
2011-10-03,23.37,24.0,23.37,23.89,1423
2011-10-04,23.7,23.7,22.22,22.5,1528
2011-10-05,22.05,23.5,21.4,23.15,65682
2011-10-06,23.75,23.75,23.7,23.73,6155
2011-10-07,23.75,24.4,23.6,24.25,10415
2011-10-10,24.5,24.7,24.01,24.64,53976
2011-10-11,24.55,24.95,24.55,24.75,112078
2011-10-12,25.0,25.15,25.0,25.15,49519
2011-10-13,25.0,25.2,24.96,25.0,66105
2011-10-14,25.0,25.1,24.5,25.1,279
2011-10-17,25.1,25.1,23.5,24.39,6675
2011-10-18,23.82,25.0,23.65,24.1,884
2011-10-19,24.5,24.5,23.12,23.25,7854
2011-10-20,22.9,22.9,22.05,22.63,8170
2011-10-21,22.9,23.75,22.9,23.75,3323
2011-10-24,24.48,24.48,23.1,24.0,1526
2011-10-25,24.0,24.05,24.0,24.05,12436
2011-10-26,24.0,24.1,23.51,24.1,772
2011-10-27,24.3,24.45,23.5,24.45,11957
2011-10-28,24.7,24.7,24.0,24.0,543
2011-10-31,24.0,24.23,23.95,24.23,523
2011-11-02,23.05,24.23,23.05,24.22,2651
2011-11-03,25.24,25.24,24.9,24.9,1886
2011-11-04,24.7,24.7,24.0,24.64,4886
2011-11-07,23.81,24.5,23.81,24.25,4141
2011-11-08,24.3,24.3,24.0,24.0,1180
2011-11-09,24.0,24.2,24.0,24.2,14835
2011-11-10,24.1,24.1,23.9,24.0,237
2011-11-14,24.0,24.3,24.0,24.2,178
2011-11-15,24.2,24.2,23.5,24.0,1573
2011-11-16,24.0,24.0,23.36,23.47,358
2011-11-17,24.0,24.0,22.55,22.7,2644
2011-11-18,22.47,23.4,22.47,23.4,8252
2011-11-21,23.4,23.4,22.51,22.89,1640
2011-11-22,22.5,23.1,22.5,23.1,2936
2011-11-23,23.25,23.25,22.25,22.49,2504
2011-11-24,22.5,22.55,21.8,22.3,22380
2011-11-25,23.0,23.0,21.6,21.75,1358
2011-11-28,22.4,22.4,21.5,22.1,4165
2011-11-29,22.25,22.25,21.51,21.51,1101
2011-11-30,22.0,22.25,22.0,22.25,13070
2011-12-01,22.5,22.5,22.2,22.25,253
2011-12-02,22.5,22.5,22.5,22.5,1
2011-12-05,22.5,22.5,21.81,22.0,22225
2011-12-06,22.25,22.25,22.25,22.25,1
2011-12-07,22.25,22.25,21.8,22.25,2064
2011-12-08,21.81,21.96,21.8,21.96,1537
2011-12-09,22.0,22.0,21.0,21.25,15169
2011-12-12,21.25,21.25,21.25,21.25,1
2011-12-13,21.23,22.0,21.22,22.0,27667
2011-12-14,22.0,22.0,20.76,21.5,2832
2011-12-15,21.35,21.43,21.25,21.43,1001
2011-12-16,20.81,21.84,20.81,21.39,1792
2011-12-19,21.4,21.4,21.4,21.4,26001
2011-12-20,21.85,21.85,20.76,20.99,1027
2011-12-21,20.99,20.99,20.55,20.99,1183
2011-12-22,20.99,20.99,20.5,20.74,2901
2011-12-23,21.0,21.0,20.43,21.0,1961
2011-12-27,21.85,21.85,20.75,21.23,1748
2011-12-28,21.25,21.5,20.75,20.75,1224
2011-12-29,21.85,21.85,21.25,21.4,703
2011-12-30,21.0,21.84,21.0,21.5,7074
2012-01-02,21.85,22.0,21.69,22.0,1133
2012-01-03,22.15,22.15,22.15,22.15,10
2012-01-04,22.0,22.0,21.99,21.99,122
2012-01-05,22.0,22.0,21.95,21.95,281
2012-01-09,22.15,22.15,21.0,21.0,7421
2012-01-10,21.3,22.0,21.29,22.0,1741
2012-01-11,22.0,22.45,21.99,22.45,4001
2012-01-12,21.5,22.1,21.5,22.1,5003
2012-01-13,22.25,22.25,22.25,22.25,1
2012-01-16,22.45,22.45,21.35,21.35,4860
2012-01-17,22.25,22.25,21.4,21.75,7151
2012-01-18,21.75,21.75,21.75,21.75,1
2012-01-19,21.36,21.6,21.2,21.6,4230
2012-01-20,21.5,21.5,21.5,21.5,250
2012-01-23,21.75,21.75,21.15,21.4,17502
2012-01-24,21.74,21.74,20.76,21.1,1956
2012-01-25,21.5,21.5,20.75,20.99,3145
2012-01-26,20.93,21.5,20.93,21.0,18558
2012-01-27,21.65,21.65,21.5,21.5,542
2012-01-30,21.5,21.5,21.5,21.5,1
2012-01-31,21.0,22.25,21.0,22.25,3222
2012-02-01,22.2,23.0,21.62,23.0,62544
2012-02-02,23.41,24.1,23.35,24.1,5400
2012-02-03,24.0,24.7,24.0,24.6,2153
2012-02-06,24.33,24.7,24.1,24.3,1144
2012-02-07,23.9,24.7,23.9,24.24,33754
2012-02-08,24.7,25.05,24.7,25.0,190909
2012-02-09,25.25,25.3,24.7,24.7,581
2012-02-10,25.0,25.0,24.0,24.5,703
2012-02-13,24.85,24.85,23.7,24.4,3315
2012-02-14,25.0,25.0,24.0,24.0,884
2012-02-15,23.75,24.93,23.75,24.93,3887
2012-02-16,24.93,25.0,24.0,25.0,89294
2012-02-17,25.0,26.84,25.0,26.48,299802
2012-02-20,26.45,29.0,26.45,27.5,83710
2012-02-21,28.75,28.75,26.7,27.0,2100
2012-02-22,26.89,27.0,26.0,26.5,91114
2012-02-23,26.49,26.49,24.69,25.97,15793
2012-02-24,25.55,26.26,25.55,26.1,50765
2012-02-27,26.1,26.1,25.41,25.9,1700
2012-02-28,25.89,25.89,25.25,25.5,31292
2012-02-29,25.2,26.4,25.2,26.4,13739
2012-03-01,26.5,26.5,25.4,25.65,23288
2012-03-02,25.94,26.15,25.5,26.15,30977
2012-03-05,26.15,26.25,26.15,26.25,147
2012-03-06,25.5,25.75,25.0,25.75,9409
2012-03-08,25.03,27.3,25.02,26.98,1923
2012-03-09,27.0,27.0,26.4,27.0,1684
2012-03-12,27.0,27.88,26.77,27.49,1731
2012-03-13,27.91,28.88,27.91,28.5,9182
2012-03-14,28.5,28.8,28.2,28.44,78275
2012-03-15,27.85,28.25,27.5,28.25,2087
2012-03-16,28.4,28.4,27.45,27.75,5899
2012-03-19,27.75,27.75,27.5,27.5,5088
2012-03-20,27.5,27.5,26.56,27.25,2396
2012-03-21,27.25,27.25,26.8,27.25,1876
