Date,Open,High,Low,Close,Volume
2000-01-03,153.94,153.94,151.6,153.94,2971
2000-01-04,154.49,157.2,153.81,156.52,3751
2000-01-05,155.79,157.83,154.78,157.14,4153
2000-01-07,153.47,154.48,151.81,154.48,2202
2000-01-10,153.48,153.82,151.51,153.82,4204
2000-01-11,152.51,154.51,151.84,154.51,3259
2000-01-12,151.67,154.65,151.67,154.0,1913
2000-01-13,152.16,154.16,152.16,153.48,4396
2000-01-14,152.47,152.47,149.85,152.47,5928
2000-01-17,151.2,151.84,148.24,151.2,6896
2000-01-18,150.13,152.09,149.13,152.09,3530
2000-01-19,152.21,152.21,148.61,151.55,3140
2000-01-20,148.52,151.8,148.52,151.14,2147
2000-01-21,151.31,151.31,148.38,150.99,5288
2000-01-24,149.89,151.2,148.25,151.2,7098
2000-01-25,149.94,152.92,149.94,152.92,4908
2000-01-26,152.2,152.2,149.9,151.87,2417
2000-01-27,149.34,151.29,149.01,150.96,2945
2000-01-28,147.9,150.82,147.9,150.82,1887
2000-01-31,151.5,152.47,149.54,152.15,3108
2000-02-01,150.51,152.81,149.86,152.48,579
2000-02-02,152.51,152.84,149.56,152.84,1875
2000-02-03,149.76,153.37,149.76,153.04,2101
2000-02-04,151.29,151.62,148.38,151.62,6652
2000-02-07,149.35,152.61,149.35,152.61,6120
2000-02-08,149.31,152.23,148.99,152.23,4021
2000-02-09,150.82,153.11,149.85,152.78,5166
2000-02-10,149.71,152.64,149.39,152.64,5931
2000-02-11,149.49,152.73,149.49,152.41,3444
2000-02-14,150.56,151.85,148.94,151.85,1898
2000-02-16,149.03,151.95,149.03,151.95,2147
2000-02-17,148.88,151.46,148.88,151.14,1910
2000-02-18,149.16,151.09,148.83,150.76,1899
2000-02-21,148.73,150.68,148.73,150.35,2402
2000-02-22,151.17,152.46,150.84,152.46,1509
2000-02-23,151.02,152.34,151.02,152.34,352
2000-02-24,151.53,151.53,149.91,151.53,1936
2000-02-25,149.08,150.7,149.08,150.7,1961
2000-02-28,148.73,150.34,148.73,150.34,3394
2000-02-29,149.48,149.81,149.17,149.48,5367
2000-03-01,148.32,149.27,147.37,149.27,3719
2000-03-02,148.1,149.04,147.45,149.04,1771
2000-03-03,147.15,148.41,146.83,148.41,1834
2000-03-06,146.5,148.39,146.18,148.07,4359
2000-03-07,148.31,148.31,146.11,148.31,1256
2000-03-08,147.27,149.17,147.27,149.17,1884
2000-03-09,146.44,148.33,146.44,148.33,1884
2000-03-10,146.76,148.33,146.76,148.33,3756
2000-03-14,146.46,147.71,146.15,147.71,5224
2000-03-15,148.55,148.55,146.98,148.24,4147
2000-03-16,147.35,148.61,146.72,148.29,4120
2000-03-17,146.1,148.61,146.1,147.97,9465
2000-03-20,147.51,147.82,145.94,147.51,1372
2000-03-21,147.05,147.35,145.48,146.73,3127
2000-03-22,144.56,146.11,144.56,145.49,2500
2000-03-23,145.5,147.06,145.19,146.13,2853
2000-03-24,145.48,147.05,145.48,146.42,2979
2000-03-27,145.66,145.97,144.73,145.66,980
2000-03-28,144.76,146.62,144.76,146.32,1873
2000-03-29,145.65,145.65,144.4,145.65,1935
2000-03-30,146.79,148.37,146.17,148.05,5604
2000-03-31,145.78,147.35,145.47,147.35,2136
2000-04-03,147.11,148.69,147.11,148.37,1885
2000-04-04,149.62,149.94,148.34,149.94,5693
2000-04-05,149.86,151.16,149.86,151.16,252
2000-04-06,147.33,149.87,147.33,149.23,4308
2000-04-07,146.39,148.92,146.39,148.92,1887
2000-04-10,146.93,149.47,146.93,149.15,1771
2000-04-11,149.85,149.85,147.3,149.85,3876
2000-04-12,146.44,148.97,146.44,148.66,1884
