Date,Open,High,Low,Close,Volume
2024-06-13,0.69,0.69,0.69,0.69,454
2024-06-14,0.71,0.71,0.71,0.71,100
2024-06-24,0.605,0.605,0.605,0.605,1400
2024-06-25,0.6,0.6,0.6,0.6,2250
2024-06-26,0.54,0.54,0.54,0.54,588
2024-06-27,0.54,0.54,0.54,0.54,2290
2024-07-04,0.55,0.55,0.55,0.55,150
2024-07-05,0.55,0.55,0.55,0.55,2000
2024-07-09,0.6,0.6,0.6,0.6,6
2024-07-24,0.5,0.545,0.5,0.545,637
2024-07-26,0.525,0.525,0.52,0.52,2030
2024-08-02,0.585,0.585,0.585,0.585,2
2024-08-05,0.575,0.575,0.575,0.575,15
2024-08-08,0.62,0.62,0.62,0.62,2
2024-08-14,0.58,0.58,0.58,0.58,800
2024-08-19,0.525,0.525,0.525,0.525,62
2024-08-20,0.61,0.61,0.61,0.61,10
2024-08-21,0.6,0.6,0.6,0.6,5000
2024-08-23,0.545,0.545,0.545,0.545,1601
2024-09-04,0.54,0.54,0.54,0.54,4033
2024-09-05,0.59,0.59,0.59,0.59,5
2024-09-09,0.59,0.59,0.59,0.59,400
2024-09-16,0.61,0.61,0.61,0.61,150
2024-09-25,0.595,0.595,0.595,0.595,40
2024-10-08,0.51,0.51,0.51,0.51,5000
2024-10-21,0.51,0.51,0.51,0.51,57945
2024-10-24,0.56,0.56,0.56,0.56,2045
2024-11-15,0.51,0.51,0.51,0.51,11000
2024-11-18,0.565,0.565,0.51,0.51,3710
2024-11-19,0.515,0.515,0.51,0.51,900
2024-11-20,0.51,0.56,0.51,0.56,1957
2024-11-25,0.51,0.56,0.51,0.56,5003
2024-11-28,0.505,0.505,0.505,0.505,1
2024-11-29,0.555,0.555,0.498,0.498,606
2024-12-03,0.462,0.505,0.462,0.505,310
2024-12-04,0.555,0.555,0.555,0.555,2
2024-12-11,0.462,0.5,0.462,0.5,565
2024-12-13,0.535,0.535,0.535,0.535,1
2024-12-17,0.4,0.4,0.4,0.4,29467
2024-12-18,0.41,0.41,0.41,0.41,10
2024-12-19,0.418,0.458,0.418,0.458,21992
2024-12-20,0.476,0.476,0.476,0.476,5
2024-12-30,0.43,0.45,0.43,0.45,3005
2025-01-02,0.48,0.48,0.48,0.48,4
2025-01-03,0.48,0.48,0.48,0.48,1096
2025-01-09,0.432,0.474,0.432,0.474,10
2025-01-14,0.45,0.45,0.45,0.45,3912
2025-01-15,0.45,0.47,0.45,0.47,100
2025-01-16,0.47,0.47,0.43,0.43,7800
2025-01-17,0.43,0.43,0.43,0.43,100
2025-01-20,0.45,0.45,0.43,0.43,2301
2025-01-22,0.43,0.43,0.43,0.43,140
2025-01-23,0.43,0.43,0.43,0.43,30
2025-01-30,0.535,0.535,0.535,0.535,2300
2025-01-31,0.535,0.535,0.535,0.535,1050
2025-02-10,0.45,0.45,0.45,0.45,1232
2025-02-11,0.53,0.53,0.53,0.53,5856
2025-02-12,0.53,0.53,0.53,0.53,550
2025-02-13,0.45,0.515,0.45,0.515,11484
2025-02-25,0.5,0.5,0.5,0.5,10
2025-02-27,0.498,0.498,0.498,0.498,150
2025-03-04,0.498,0.498,0.464,0.464,2000
2025-03-05,0.464,0.464,0.464,0.464,929
2025-04-07,0.464,0.464,0.464,0.464,929
2025-04-10,0.464,0.464,0.464,0.464,100
2025-04-16,0.45,0.45,0.45,0.45,5000
2025-04-17,0.45,0.45,0.45,0.45,4603
2025-04-22,0.43,0.474,0.43,0.474,2787
2025-04-25,0.474,0.474,0.474,0.474,922
2025-04-29,0.41,0.492,0.41,0.492,578
2025-05-02,0.494,0.494,0.494,0.494,2457
2025-05-06,0.49,0.49,0.49,0.49,1551
2025-05-07,0.48,0.48,0.48,0.48,1936
2025-05-09,0.49,0.49,0.49,0.49,3065
2025-05-14,0.49,0.49,0.49,0.49,5000
2025-05-19,0.49,0.49,0.49,0.49,3000
2025-05-20,0.49,0.49,0.49,0.49,2000
2025-05-26,0.51,0.51,0.51,0.51,2000
2025-05-28,0.47,0.47,0.47,0.47,13000
2025-05-29,0.426,0.47,0.426,0.47,8000
2025-05-30,0.412,0.412,0.412,0.412,90
2025-06-09,0.42,0.42,0.42,0.42,200
2025-06-16,0.424,0.424,0.424,0.424,31
2025-06-23,0.42,0.42,0.42,0.42,1490
2025-06-24,0.42,0.42,0.42,0.42,8598
2025-06-25,0.454,0.454,0.454,0.454,200
2025-06-26,0.498,0.498,0.498,0.498,6
2025-06-27,0.45,0.46,0.45,0.46,9202
2025-07-09,0.43,0.43,0.43,0.43,16
2025-07-11,0.43,0.43,0.43,0.43,11
2025-07-15,0.43,0.43,0.42,0.42,3499
2025-07-16,0.41,0.41,0.41,0.41,2002
2025-07-17,0.41,0.41,0.41,0.41,5000
2025-07-24,0.4,0.4,0.4,0.4,5555
2025-07-25,0.4,0.4,0.4,0.4,3000
2025-07-29,0.4,0.4,0.4,0.4,2640
2025-08-06,0.4,0.4,0.4,0.4,4645
2025-08-08,0.4,0.4,0.4,0.4,4391
2025-08-12,0.42,0.42,0.42,0.42,409
2025-08-18,0.45,0.45,0.45,0.45,200
2025-08-20,0.41,0.41,0.41,0.41,800
2025-08-22,0.45,0.45,0.45,0.45,200
2025-08-25,0.45,0.45,0.45,0.45,87
2025-09-04,0.47,0.47,0.47,0.47,70
2025-09-05,0.47,0.47,0.47,0.47,15
2025-09-19,0.47,0.47,0.47,0.47,430
2025-10-29,0.44,0.44,0.44,0.44,1100
2025-10-30,0.434,0.434,0.434,0.434,1000
2025-11-03,0.47,0.47,0.47,0.47,1617
2025-11-05,0.468,0.468,0.468,0.468,1210
2025-11-20,0.424,0.424,0.424,0.424,810
2025-11-21,0.46,0.46,0.46,0.46,3205
2025-11-24,0.46,0.46,0.46,0.46,8100
2025-12-02,0.416,0.416,0.416,0.416,1000
2025-12-03,0.454,0.454,0.454,0.454,4049
2025-12-10,0.414,0.42,0.414,0.42,13530
2025-12-11,0.41,0.41,0.4,0.4,5291
2025-12-12,0.352,0.352,0.352,0.352,29664
2025-12-15,0.352,0.398,0.352,0.398,7265
2025-12-16,0.4,0.4,0.4,0.4,5000
2025-12-17,0.4,0.4,0.4,0.4,700
2025-12-22,0.25,0.25,0.25,0.25,16280
2025-12-29,0.272,0.272,0.272,0.272,3759
2025-12-30,0.298,0.326,0.298,0.326,2561
2026-01-02,0.3,0.33,0.3,0.33,6800
2026-01-07,0.33,0.33,0.33,0.33,500
2026-01-08,0.4,0.4,0.4,0.4,10000
2026-01-09,0.4,0.43,0.4,0.43,3646
2026-01-12,0.448,0.448,0.448,0.448,1441
2026-01-13,0.47,0.47,0.47,0.47,600
2026-01-15,0.47,0.47,0.47,0.47,50
2026-01-20,0.47,0.47,0.47,0.47,95
2026-01-23,0.47,0.47,0.47,0.47,1500
2026-01-26,0.47,0.47,0.47,0.47,21
2026-01-28,0.46,0.46,0.46,0.46,1140
2026-01-29,0.46,0.47,0.46,0.47,649
2026-02-11,0.47,0.47,0.47,0.47,2169
2026-02-12,0.49,0.49,0.49,0.49,3306
2026-02-13,0.51,0.51,0.51,0.51,7933
2026-02-16,0.51,0.525,0.51,0.525,1200
2026-02-20,0.53,0.53,0.53,0.53,2500
2026-02-23,0.53,0.53,0.53,0.53,5000
2026-02-24,0.56,0.56,0.56,0.56,4000
2026-02-27,0.56,0.56,0.56,0.56,7450
2026-03-02,0.59,0.59,0.59,0.59,500
2026-03-09,0.47,0.47,0.47,0.47,5657
2026-03-11,0.4,0.535,0.4,0.535,1863
2026-03-12,0.43,0.43,0.43,0.43,3000
2026-03-13,0.31,0.31,0.31,0.31,8211
