Date,Open,High,Low,Close,Volume
2009-09-18,2.75801,2.9919,2.66386,2.76082,763632.8714151732
2009-09-21,2.79497,2.91845,2.71336,2.7503,183300.07808848296
2009-09-22,2.72953,2.77932,2.65062,2.75568,145247.87356855447
2009-09-23,2.75312,2.75312,2.69282,2.7503,69606.5686883224
2009-09-24,2.70339,2.71897,2.66636,2.70055,28617.53592628273
2009-09-25,2.70055,2.70055,2.58512,2.62444,69623.82722843437
2009-09-28,2.62169,2.62169,2.55866,2.58512,25211.850677844053
2009-09-29,2.50631,2.57442,2.50631,2.57201,32540.977378032738
2009-09-30,2.54049,2.56669,2.50631,2.51942,33849.750003064924
2009-10-01,2.5563,2.55866,2.52205,2.55866,9929.41341014463
2009-10-02,2.5563,2.5563,2.46688,2.5563,13723.415811066328
2009-10-05,2.53256,2.54555,2.48531,2.54555,1530.2572231161482
2009-10-06,2.49581,2.53781,2.49323,2.53781,2076.777659943344
2009-10-07,2.54555,2.54555,2.49581,2.54555,20111.952075241352
2009-10-08,2.54555,2.54555,2.48531,2.51419,9098.127061496947
2009-10-09,2.51419,2.55359,2.50631,2.50894,32986.8229975483
2009-10-12,2.51681,2.52992,2.47216,2.51942,17974.769524911022
2009-10-13,2.46428,2.50894,2.46428,2.48006,34683.912775064324
2009-10-14,2.49323,2.49323,2.45381,2.48006,12331.226908832568
2009-10-15,2.48006,2.51156,2.48006,2.48006,6077.882542188761
2009-10-16,2.48006,2.49056,2.4407,2.49056,16588.333469381796
2009-10-19,2.41974,2.47742,2.41974,2.43021,17807.936970511684
2009-10-20,2.46688,2.46688,2.39345,2.42753,23940.471556382352
2009-10-21,2.4145,2.42753,2.36453,2.42753,13898.877635521649
2009-10-22,2.37243,2.42495,2.37243,2.42495,6946.56239440883
2009-10-23,2.42753,2.47742,2.4145,2.47742,13694.65157754911
2009-10-26,2.41974,2.4748,2.4145,2.47216,7608.139765304909
2009-10-27,2.46167,2.47216,2.3882,2.3882,388.3171524824811
2009-10-28,2.47742,2.47742,2.4145,2.46428,7956.186990863282
2009-10-29,2.46428,2.47216,2.46167,2.47216,18544.30134855281
2009-10-30,2.46688,2.48006,2.42753,2.42753,11479.805596722832
2009-11-02,2.41709,2.49323,2.41709,2.49056,1141.940070633667
2009-11-03,2.49056,2.49056,2.42753,2.47742,10602.496474447596
2009-11-04,2.47742,2.47742,2.45641,2.46688,3517.865759156108
2009-11-05,2.48531,2.62169,2.46167,2.61895,31045.23723513725
2009-11-06,2.61895,2.61895,2.55091,2.57201,11730.054428322654
2009-11-09,2.5771,2.67159,2.5771,2.66386,23782.268272037632
2009-11-10,2.67711,2.72415,2.65062,2.72415,32845.87825331419
2009-11-12,2.72415,2.72415,2.67711,2.71897,7757.713779594457
2009-11-13,2.72415,2.72415,2.68205,2.7085,27340.40395811704
2009-11-16,2.72415,2.72415,2.62169,2.70339,18762.9095232826
2009-11-17,2.70339,2.72415,2.54555,2.57201,40235.40984388795
2009-11-18,2.6113,2.64815,2.55866,2.58512,15362.977121547916
2009-11-19,2.58512,2.6113,2.54555,2.57201,15475.157632264809
2009-11-20,2.64815,2.64815,2.54555,2.62444,8146.0309320769375
2009-11-23,2.62444,2.67711,2.54555,2.67711,14229.666320969687
2009-11-24,2.66386,2.66386,2.57201,2.66386,5269.607580354856
2009-11-25,2.66112,2.66112,2.62444,2.65062,2778.624957763532
2009-11-26,2.65062,2.65062,2.57201,2.6349,5102.775025954975
2009-11-27,2.54555,2.64541,2.54555,2.59823,5957.072761416433
2009-11-30,2.6374,2.6374,2.55091,2.59287,920.4554725510668
2009-12-01,2.62169,2.67711,2.49849,2.66636,39145.24539358555
2009-12-02,2.66386,2.66386,2.54555,2.56937,32900.53029699664
2009-12-03,2.56937,2.59823,2.54316,2.59017,4464.209041872672
2009-12-04,2.51942,2.59017,2.51942,2.58248,6003.095535043985
2009-12-07,2.5247,2.56669,2.51942,2.52205,12756.937564887436
2009-12-08,2.51681,2.54316,2.44856,2.5037,13375.368585507682
2009-12-09,2.50109,2.5037,2.45381,2.45381,9546.849104365592
2009-12-10,2.48792,2.49323,2.48792,2.49056,9716.558082117195
2009-12-11,2.4145,2.48792,2.4145,2.48792,17894.22967106335
2009-12-15,2.55866,2.55866,2.43021,2.54555,1999.1142294468475
2009-12-17,2.49056,2.49056,2.4407,2.48792,4953.201011665426
2009-12-18,2.4407,2.48531,2.4145,2.48531,3164.065686894291
2009-12-21,2.48531,2.72953,2.48531,2.54555,8727.068449124798
2009-12-22,2.47742,2.54555,2.39086,2.51419,3408.5616717906687
2009-12-23,2.54555,2.54555,2.4145,2.48531,6221.703709774864
2009-12-28,2.47742,2.48006,2.45121,2.46688,27564.764979553536
2009-12-29,2.49323,2.49323,2.40921,2.46688,2562.893206384376
2009-12-30,2.46688,2.49323,2.4407,2.48531,6115.276045761148
2009-12-31,2.48531,2.48531,2.48531,2.48531,4038.498385817804
2010-01-04,2.4407,2.48531,2.4407,2.48267,5574.508455637396
2010-01-05,2.48006,2.48006,2.42753,2.47216,6483.458234781575
2010-01-06,2.49056,2.49056,2.4145,2.46688,598.2960571581932
2010-01-07,2.48792,2.48792,2.36453,2.37507,7099.012832050102
2010-01-08,2.49581,2.49581,2.4145,2.48531,5065.381522382589
2010-01-11,2.49323,2.49323,2.49056,2.49056,604.0489038616374
2010-01-12,2.40135,2.49323,2.39607,2.48531,2885.052621777249
2010-01-13,2.41709,2.47742,2.4145,2.46688,5485.339331734012
2010-01-14,2.47742,2.47742,2.4145,2.46167,1294.3905082749372
2010-01-15,2.47742,2.47742,2.41709,2.45381,2939.7046654599685
2010-01-18,2.45381,2.45381,2.45381,2.45381,796.769268427017
2010-01-19,2.45121,2.45121,2.45121,2.45121,195.5967879171016
2010-01-20,2.44592,2.44592,2.44592,2.44592,379.6878824273149
2010-01-21,2.41709,2.44592,2.4145,2.44592,721.9822612822427
2010-01-22,2.42753,2.45381,2.3882,2.4145,6098.017505650815
2010-01-25,2.36195,2.45381,2.33054,2.40391,4933.066048203372
2010-01-26,2.36195,2.43807,2.33574,2.40135,3696.204006962877
2010-01-27,2.43545,2.54555,2.43282,2.49323,84279.20420545702
2010-01-28,2.53256,2.54049,2.46953,2.49323,11692.660924750266
2010-01-29,2.49323,2.58512,2.49323,2.54049,32773.9676695225
2010-02-01,2.58783,2.58783,2.50631,2.53256,6112.399622409424
2010-02-02,2.50631,2.54555,2.50631,2.54555,2706.71437397048
2010-02-03,2.55359,2.6374,2.55359,2.5771,32512.21314451552
2010-02-04,2.57974,2.65062,2.57974,2.62444,99929.82366217714
2010-02-05,2.6035,2.62444,2.49323,2.62444,63091.46979667325
2010-02-08,2.6113,2.70055,2.6113,2.64815,36260.19277180749
2010-02-09,2.67159,2.67436,2.57974,2.65062,8732.821295828244
2010-02-10,2.66912,2.67159,2.62444,2.62444,8183.424435649326
2010-02-11,2.58248,2.7821,2.51942,2.77643,576081.4396128318
2010-02-12,2.77932,2.77932,2.64016,2.73975,8994.57582083495
2010-02-15,2.73975,2.76878,2.72953,2.75801,22994.128273666058
2010-02-16,2.77932,2.77932,2.74233,2.77643,10829.73391923364
2010-02-17,2.75568,2.86032,2.75568,2.86032,231451.40499632148
2010-02-18,2.86032,2.86863,2.82142,2.863,10067.48173102729
2010-02-19,2.87394,2.87865,2.82647,2.87865,38477.91517598548
2010-02-22,2.88661,2.96041,2.83415,2.92614,19922.10813402742
2010-02-23,2.9391,2.9391,2.86596,2.86596,6132.53458587148
2010-02-24,2.87394,2.96322,2.87394,2.94467,16608.468432843034
2010-02-25,2.94467,2.94467,2.88661,2.93666,14413.757415479631
2010-02-26,2.94467,3.01542,2.94467,3.01542,34376.135476430885
2010-03-01,3.14408,3.26732,3.1363,3.22258,28718.210743594365
2010-03-02,3.14926,3.19922,3.11036,3.18886,20810.922949709267
2010-03-03,3.21218,3.21218,3.13111,3.14926,3178.4478036529013
2010-03-04,3.14926,3.35904,3.14926,3.31975,90256.41193033496
2010-03-05,3.31975,3.38545,3.31975,3.38024,61868.98987219
2010-03-08,3.41153,3.80507,3.41153,3.76578,104477.44898125004
2010-03-09,3.79255,3.88435,3.50087,3.7265,47952.85369655912
2010-03-10,3.803,3.803,3.72129,3.803,28839.02052436452
2010-03-11,3.77936,3.80022,3.67679,3.77379,21023.77827773644
2010-03-12,3.7971,3.87878,3.75536,3.795,35492.187736898515
2010-03-15,3.81864,3.85235,3.58744,3.61594,29195.697019979143
2010-03-16,3.74804,3.77379,3.59544,3.7105,42151.107796136486
2010-03-17,3.77658,3.78942,3.7265,3.78421,16369.725294650649
2010-03-18,3.75257,3.75257,3.62673,3.70044,10668.654211537205
2010-03-19,3.75257,3.75257,3.61351,3.70564,8865.136770007459
2010-03-22,3.75257,3.75257,3.56936,3.59544,14802.074567962109
2010-03-23,3.63438,3.68721,3.55581,3.55581,54597.39163903713
2010-03-24,3.59544,3.62152,3.44073,3.46402,60635.00425430151
2010-03-25,3.46402,3.51653,3.44073,3.51653,21673.84995522589
2010-03-26,3.51653,3.51653,3.45882,3.46193,12023.449610198304
2010-03-29,3.44351,3.51131,3.39901,3.504,17258.540110332495
2010-03-30,3.55337,3.70044,3.47759,3.6083,33665.65890855635
2010-03-31,3.70044,3.70323,3.57458,3.64759,37977.41751278748
2010-04-01,3.64759,3.83186,3.54294,3.83186,38173.01430070403
2010-04-06,3.83186,3.85793,3.70807,3.75257,12975.545739618314
2010-04-07,3.77936,3.77936,3.67438,3.67438,13832.719898431224
2010-04-08,3.67438,3.67438,3.6083,3.6302,5214.955536672135
2010-04-09,3.62152,3.72408,3.62152,3.72408,16499.16434547814
2010-04-12,3.50888,3.79255,3.50888,3.79255,7032.855094960493
2010-04-13,3.79255,3.79255,3.75257,3.77936,14180.76712398987
2010-04-14,3.70044,3.71365,3.70044,3.71365,7268.721809801704
2010-04-15,3.67438,3.75257,3.67438,3.75257,2608.915980011929
2010-04-16,3.7265,3.7265,3.54294,3.7265,2902.3111618875814
2010-04-19,3.54538,3.7185,3.54538,3.65837,4038.498385817804
2010-04-20,3.65837,3.67438,3.62673,3.67159,15253.673034181662
2010-04-21,3.62673,3.6302,3.59022,3.59544,9601.501148048312
2010-04-22,3.67438,3.67438,3.62152,3.62152,10947.667276654249
2010-04-23,3.58744,3.59544,3.58744,3.59544,1121.8051071716122
2010-04-26,3.64759,3.66913,3.51653,3.62152,6946.56239440883
2010-04-27,3.70044,3.70044,3.59544,3.59544,494.7448164961983
2010-04-28,3.61942,3.61942,3.59301,3.61594,4875.537581168931
2010-04-29,3.61178,3.61178,3.61178,3.61178,7619.645458711798
2010-04-30,3.61594,3.64759,3.57458,3.64759,1973.2264192813489
2010-05-04,3.65072,3.65315,3.61178,3.61178,8580.370858186972
2010-05-05,3.61178,3.61178,3.45117,3.46402,12429.02530279112
2010-05-06,3.43795,3.49045,3.42509,3.49045,21745.760539018946
2010-05-07,3.43065,3.49045,3.43065,3.46402,82855.37464635324
2010-05-10,3.46402,3.59022,3.46402,3.58744,3880.2951014730897
2010-05-11,3.49774,3.58221,3.49045,3.58221,20813.799373061265
2010-05-12,3.59544,3.59544,3.55581,3.59301,6503.593198243629
2010-05-13,3.56936,3.56936,3.49601,3.5638,3241.7291173907875
2010-05-14,3.55581,3.55581,3.52972,3.52972,1524.5043764127038
2010-05-17,3.45117,3.6083,3.45117,3.504,15791.564200954232
2010-05-18,3.504,3.6083,3.49045,3.49323,44132.963485472734
2010-05-19,3.49323,3.62152,3.49045,3.62152,24766.00505832713
2010-05-20,3.51653,3.53252,3.49045,3.53252,13671.640190734515
2010-05-21,3.43795,3.52243,3.43795,3.52243,13363.862892100797
2010-05-24,3.47759,3.60343,3.47759,3.60343,6440.311884505743
2010-05-25,3.59301,3.59301,3.504,3.54052,158168.76726449607
2010-05-27,3.51653,3.62152,3.51653,3.51653,4731.716413582827
2010-05-28,3.62152,3.62152,3.47759,3.51653,42950.75348791469
2010-05-31,3.52972,3.54294,3.49045,3.49045,69382.20766688861
2010-06-01,3.504,3.51653,3.49045,3.51653,4438.321231707173
2010-06-02,3.57701,3.85235,3.54538,3.85235,54718.20141980999
2010-06-04,3.85513,3.90763,3.79255,3.81098,51191.7063905971
2010-06-07,3.80507,3.8812,3.795,3.8812,18486.77288151837
2010-06-08,3.88435,3.8892,3.85513,3.8892,5577.384878989118
2010-06-09,3.88677,3.93648,3.88677,3.93648,25505.245859720253
2010-06-10,3.93648,4.15447,3.93648,4.15447,24320.159438810213
2010-06-11,4.15447,4.15447,4.02305,4.14405,6978.203051277774
2010-06-14,4.14405,4.15968,4.13325,4.15968,10375.259029661553
2010-06-15,4.15968,4.15968,4.02826,4.13325,6184.310206202477
2010-06-16,4.02618,4.15968,4.02618,4.13325,1441.0880992127634
2010-06-17,4.15968,4.16732,4.13604,4.15726,6687.684292753841
2010-06-18,4.10719,4.15968,4.02618,4.15968,2954.086782218579
2010-06-21,4.14647,4.14647,3.81549,3.94727,264.6309483584316
2010-06-22,3.84713,4.10997,3.8447,3.85025,5007.853055348147
2010-06-23,3.86072,3.88677,3.78421,3.78421,5764.3523968510535
2010-06-24,3.79255,3.92363,3.79255,3.92363,307.7772986342629
2010-06-25,3.80507,3.93648,3.7971,3.7971,549.3968601789178
2010-06-28,3.8447,3.8447,3.80507,3.80507,7746.208086187569
2010-06-29,3.803,3.803,3.77936,3.77936,6699.18998616073
2010-06-30,3.68341,3.73102,3.68029,3.73102,5597.519842451173
2010-07-01,3.73208,3.73208,3.56936,3.67159,19203.0022960969
2010-07-02,3.58221,3.67159,3.56936,3.63228,9661.906038434476
2010-07-05,3.63438,3.67438,3.55581,3.55581,8960.058740614288
2010-07-06,3.77936,3.77936,3.49045,3.59544,55871.64718385083
2010-07-07,3.64759,3.64759,3.51653,3.56727,3848.654444604147
2010-07-08,3.58744,3.67159,3.504,3.67159,3779.620284162817
2010-07-09,3.54815,3.67438,3.54294,3.59544,12242.057784929186
2010-07-12,3.61178,3.64759,3.59544,3.62152,3618.54057646638
2010-07-13,3.64759,3.70044,3.64759,3.67438,6267.726483402418
2010-07-14,3.70044,3.80507,3.70044,3.7689,13547.95398661101
2010-07-15,3.75257,3.91005,3.75257,3.91005,1869.6751786193536
2010-07-16,3.79255,3.79255,3.78733,3.78733,1041.265253323394
2010-07-19,3.795,3.795,3.795,3.795,7619.645458711798
2010-07-20,3.80507,3.87669,3.80507,3.87669,16217.274857008557
2010-07-22,3.87669,3.87878,3.795,3.7971,5269.607580354856
2010-07-23,3.81864,3.85793,3.80507,3.85793,4403.804151486508
2010-07-26,3.85235,3.8812,3.803,3.8812,7021.349401553606
2010-07-27,3.93648,4.09434,3.90521,4.08596,19125.338865599857
2010-07-28,4.06754,4.10997,4.06754,4.09434,18829.067260373027
2010-07-29,4.09434,4.09434,4.06754,4.06754,247.3724082480992
2010-07-30,3.94448,3.94448,3.93648,3.93648,5577.384878989118
2010-08-02,3.54815,3.98446,3.54815,3.98446,20969.12623405398
2010-08-03,4.02618,4.02618,3.84713,3.97368,5045.246558920534
2010-08-04,3.81098,3.93648,3.81098,3.93648,9753.951585689583
2010-08-05,3.90242,3.90242,3.90242,3.90242,253.1252549515433
2010-08-06,3.8972,3.8972,3.8972,3.8972,14.382116758610415
2010-08-09,3.8447,3.8447,3.73971,3.79255,17485.777555118268
2010-08-10,3.79255,3.79255,3.70323,3.77658,13801.079241562007
2010-08-11,3.70044,3.70044,3.68721,3.68721,21242.38645246758
2010-08-12,3.68721,3.68721,3.68721,3.68721,4308.88218087968
2010-08-13,3.68234,3.68234,3.68234,3.68234,765.1286115580741
2010-08-16,3.67889,3.69764,3.67889,3.69764,468.8570063306996
2010-08-17,3.7265,3.79255,3.68721,3.79255,27196.58279053229
2010-08-18,3.79255,3.79255,3.75814,3.75814,1012.5010198061732
2010-08-19,3.79255,3.85793,3.79255,3.85793,1717.2247409780837
2010-08-20,3.8447,3.8447,3.8447,3.8447,258.8781016549874
2010-08-23,3.72929,3.803,3.7265,3.803,1570.527150040257
2010-08-24,3.803,3.803,3.67679,3.78942,770.8814582615181
2010-08-25,3.84191,3.84191,3.84191,3.84191,5.752846703444166
2010-08-26,3.70044,3.83186,3.69764,3.83186,1665.449120647086
2010-08-30,3.83186,3.83186,3.83186,3.83186,80.53985384821831
2010-08-31,3.67438,3.67438,3.67438,3.67438,765.1286115580741
2010-09-01,3.62152,3.70044,3.62152,3.67438,621.30744397197
2010-09-02,3.62152,3.75536,3.56936,3.75536,6811.370496877893
2010-09-03,3.78942,3.78942,3.70044,3.78733,3759.485320700762
2010-09-06,3.7971,3.7971,3.75014,3.77936,4904.301814686152
2010-09-07,3.75257,3.77379,3.70044,3.77379,4933.066048203372
2010-09-08,3.74493,3.91005,3.74493,3.90242,4610.906632810498
2010-09-09,3.90242,3.91005,3.81864,3.85793,8597.629398297306
2010-09-13,3.73208,3.77136,3.73208,3.76578,1222.4799244818853
2010-09-15,3.68234,3.75257,3.67889,3.73971,2257.9923311018347
2010-09-20,3.68234,3.87878,3.68234,3.85793,1130.434377226779
2010-09-21,3.78141,3.85513,3.72929,3.80507,1501.4929895989271
2010-09-22,3.80507,3.80507,3.49323,3.79255,4740.345683637993
2010-09-23,3.64759,3.77658,3.62152,3.77658,6043.365461968095
2010-09-24,3.65072,3.77658,3.62152,3.77658,2551.3875129774874
2010-09-28,3.62152,3.77936,3.59022,3.63228,2378.8021118741626
2010-09-29,3.67438,3.77658,3.62428,3.75014,2424.824885501716
2010-10-01,3.67438,3.73971,3.62152,3.73971,3621.416999818103
2010-10-04,3.62152,3.74804,3.54294,3.74214,6069.253272133596
2010-10-06,3.62152,3.74214,3.62152,3.74214,5712.576776520056
2010-10-07,3.62152,3.7265,3.51653,3.62152,22151.33623161204
2010-10-08,3.62152,3.72929,3.62152,3.67438,1648.1905805367533
2010-10-11,3.67438,3.67438,3.55581,3.64759,1694.213354164307
2010-10-13,3.6455,3.6455,3.6455,3.6455,350.9236489100941
2010-10-14,3.63438,3.6455,3.57145,3.57145,3808.384517680038
2010-10-15,3.64759,3.64759,3.55893,3.58221,1504.3694129506491
2010-10-18,3.56936,3.62152,3.51653,3.62152,2715.3436440256464
2010-10-19,3.46402,3.62152,3.46402,3.54538,2749.860724246312
2010-10-20,3.54538,3.59544,3.54538,3.59544,77.66343049649625
2010-10-21,3.49045,3.58221,3.49045,3.58221,5810.375170478607
2010-10-22,3.51653,3.58221,3.51653,3.58221,1372.0539387714334
2010-10-25,3.58221,3.66079,3.56936,3.64759,4121.914663017745
2010-10-26,3.55581,3.62152,3.54294,3.62152,5545.744222120175
2010-10-27,3.55581,3.62152,3.54294,3.62152,586.790363751305
2010-10-28,3.52972,3.61594,3.52972,3.61594,379.6878824273149
2010-10-29,3.53076,3.65872,3.53076,3.65872,1213.8506544267188
2010-11-02,3.54294,3.6455,3.52972,3.6455,7251.463269691371
2010-11-04,3.6455,3.64759,3.49045,3.64759,22677.721704976622
2010-11-08,3.59544,3.59544,3.59544,3.59544,195.5967879171016
2010-11-09,3.60343,3.60343,3.54294,3.54294,6417.300497691967
2010-11-10,3.60065,3.63438,3.59544,3.59544,1280.0083915163268
2010-11-12,3.49601,3.63438,3.49601,3.63438,845.6684654062924
2010-11-15,3.61594,3.64759,3.61594,3.64759,1981.855689336515
2010-11-16,3.54815,3.59544,3.54294,3.54294,2163.0703604950063
2010-11-17,3.54294,3.56936,3.54052,3.56727,5560.126338878787
2010-11-18,3.504,3.57145,3.504,3.57145,3129.5486066736257
2010-11-19,3.50888,3.52972,3.41153,3.48488,28594.52453946949
2010-11-22,3.41709,3.43795,3.41153,3.43795,18639.223319159093
2010-11-23,3.34582,3.51443,3.34582,3.51443,6486.334658133295
2010-11-24,3.48801,3.49045,3.48801,3.49045,848.5448887580146
2010-11-26,3.48801,3.48801,3.41153,3.41153,6627.279402367678
2010-11-29,3.41153,3.41153,3.28095,3.28095,8563.11231807664
2010-11-30,3.19403,3.40909,3.19403,3.40909,7248.586846339648
2010-12-02,3.40909,3.48488,3.39901,3.48488,1699.966200867751
2010-12-03,3.48279,3.48279,3.41153,3.41153,5327.136047389297
2010-12-06,3.41153,3.46402,3.2829,3.45673,8200.682975759657
2010-12-07,3.28843,3.44873,3.28843,3.44873,258.8781016549874
2010-12-09,3.38823,3.44559,3.38545,3.44559,405.57569259281365
2010-12-10,3.38545,3.42231,3.38545,3.42231,7639.780422173852
2010-12-13,3.30688,3.30688,3.30688,3.30688,241.6195615446549
2010-12-14,3.30688,3.35904,3.2829,3.35904,1924.3272223020736
2010-12-16,3.2829,3.3566,3.2829,3.3566,411.3285392962578
2010-12-20,3.28095,3.28095,3.28095,3.28095,379.6878824273149
2010-12-22,3.18072,3.25436,3.17555,3.25436,5571.6320322856745
