Date,Open,High,Low,Close,Volume
2024-05-28,21.78,21.81,21.6,21.72,5852351
2024-05-29,21.66,21.75,21.6,21.62,4831709
2024-05-30,21.65,22.03,21.64,22.01,6517550
2024-05-31,22.12,22.36,22.05,22.29,13302230
2024-06-03,22.41,22.71,22.38,22.64,7487998
2024-06-04,22.01,22.41,22.0,22.25,16088560
2024-06-05,22.48,22.71,22.43,22.61,13321756
2024-06-06,22.65,22.76,22.47,22.63,9962614
2024-06-07,22.6,22.7,22.49,22.59,6680924
2024-06-10,22.53,22.68,22.43,22.61,6610300
2024-06-11,22.67,22.75,22.41,22.61,9198268
2024-06-12,22.69,22.79,22.44,22.54,7375902
2024-06-13,22.54,22.77,22.5,22.53,6608635
2024-06-14,22.57,22.73,22.44,22.63,11887632
2024-06-17,22.77,22.79,22.48,22.57,5811333
2024-06-18,22.74,22.8,22.6,22.8,6485263
2024-06-19,22.81,22.9,22.78,22.89,9356618
2024-06-20,22.92,22.95,22.75,22.89,7235174
2024-06-21,22.9,23.0,22.8,22.88,17880915
2024-06-24,22.95,23.2,22.91,23.15,7407324
2024-06-25,23.24,23.45,23.09,23.32,7572337
2024-06-26,23.4,23.48,23.17,23.32,5918474
2024-06-27,23.29,23.46,23.29,23.37,5880237
2024-06-28,23.47,23.54,23.39,23.48,6566638
2024-07-01,23.66,23.78,23.52,23.68,6674947
2024-07-02,23.72,23.72,23.45,23.51,4860043
2024-07-03,23.56,23.79,23.53,23.76,5386128
2024-07-04,23.74,23.86,23.73,23.75,3344679
2024-07-05,23.8,24.0,23.78,23.83,4774251
2024-07-08,23.77,24.02,23.77,23.9,6605400
2024-07-09,23.89,23.91,23.6,23.64,6995352
2024-07-10,23.74,23.88,23.67,23.85,5274708
2024-07-11,23.92,23.95,23.69,23.76,4732983
2024-07-12,23.8,23.99,23.8,23.88,7345360
2024-07-15,23.86,23.94,23.78,23.8,3958748
2024-07-16,23.77,23.9,23.68,23.81,5162290
2024-07-17,23.82,24.06,23.8,24.04,5566602
2024-07-18,24.15,24.3,24.12,24.26,7053997
2024-07-19,24.22,24.32,24.15,24.19,6712529
2024-07-22,24.36,24.41,24.22,24.31,5201146
