Date,Open,High,Low,Close,Volume
2022-05-31,2.25067,2.27943,2.23269,2.23269,41504.0
2022-06-01,2.28661,2.35493,2.28661,2.32975,66681.3
2022-06-02,2.31538,2.31538,2.31178,2.31538,6604.43
2022-06-03,2.34774,2.36931,2.31538,2.34415,13833.3
2022-06-06,2.34415,2.37291,2.30819,2.31178,64200.3
2022-06-07,2.35493,2.39088,2.34415,2.39088,32244.7
2022-06-08,2.28661,2.37291,2.28661,2.33695,25136.9
2022-06-09,2.36931,2.36931,2.32617,2.32617,15055.7
2022-06-10,2.30099,2.35133,2.30099,2.34055,10609.6
2022-06-13,2.34415,2.34415,2.24348,2.25067,21304.1
2022-06-14,2.27224,2.30099,2.25067,2.30099,42325.9
2022-06-15,2.28661,2.43761,2.28661,2.31538,61534.3
2022-06-17,2.31538,2.40167,2.31538,2.37291,8320.56
2022-06-20,2.36931,2.36931,2.32975,2.32975,6771.32
2022-06-21,2.32975,2.35133,2.32256,2.32617,12481.5
2022-06-22,2.32617,2.32975,2.30099,2.30459,96157.2
2022-06-23,2.32975,2.32975,2.2938,2.30099,169679.0
2022-06-24,2.30459,2.31538,2.2938,2.2938,10380.1
2022-06-27,2.31538,2.31538,2.30099,2.30099,4665.8
2022-06-28,2.30099,2.34055,2.28302,2.28302,34236.2
2022-06-29,2.2938,2.2938,2.27224,2.29022,45638.6
2022-06-30,2.27943,2.37291,2.27943,2.36572,27074.1
2022-07-01,2.36931,2.36931,2.33695,2.34774,51770.2
2022-07-04,2.35493,2.35852,2.30819,2.34055,70540.5
2022-07-05,2.36572,2.36572,2.30819,2.31899,55650.2
2022-07-06,2.33695,2.34055,2.27943,2.27943,72351.2
2022-07-07,2.27943,2.33336,2.27943,2.32975,25134.1
2022-07-08,2.33695,2.38728,2.28661,2.38728,63802.5
2022-07-11,2.44119,2.47199,2.41809,2.44889,26248.8
2022-07-12,2.44889,2.44889,2.34108,2.34878,42127.4
2022-07-13,2.34878,2.37189,2.28718,2.32568,43364.9
2022-07-14,2.34878,2.36033,2.25637,2.25637,154876.0
2022-07-15,2.25637,2.37189,2.15626,2.37189,76453.2
2022-07-18,2.37189,2.46429,2.31028,2.39498,37391.6
