Date,Open,High,Low,Close,Volume
2024-12-02,51.04,51.56,50.12,51.5,2611641
2024-12-03,50.98,51.58,50.42,51.24,2646057
2024-12-04,51.28,52.72,51.28,51.5,2288615
2024-12-05,51.9,53.3,51.88,53.02,2454279
2024-12-06,53.0,53.04,51.14,51.86,3617931
2024-12-09,51.88,52.82,51.3,51.64,2684228
2024-12-10,51.16,51.52,48.51,49.39,5187585
2024-12-11,45.9,51.3,45.12,51.06,7243055
2024-12-12,50.66,51.44,48.51,49.06,4182149
2024-12-13,49.34,50.14,48.88,48.88,1964083
2024-12-16,48.63,51.36,48.61,51.1,2873498
2024-12-17,51.02,51.58,50.3,51.1,2397040
2024-12-18,51.28,52.68,50.4,51.22,3076495
2024-12-19,49.86,51.2,49.3,50.0,3465279
2024-12-20,49.35,51.18,49.22,50.7,4516991
2024-12-23,50.74,51.74,50.52,51.12,1213713
2024-12-27,51.0,51.52,50.02,50.08,1712425
2024-12-30,49.75,50.38,49.36,50.38,1001181
2025-01-02,50.32,51.22,49.24,50.84,2064526
2025-01-03,51.1,51.98,50.2,51.98,2077949
2025-01-06,52.5,54.8,52.24,54.52,3428974
2025-01-07,54.74,55.26,52.38,53.7,2723128
2025-01-08,51.8,53.0,49.36,50.5,4622800
2025-01-09,50.6,52.68,50.4,51.9,1963317
2025-01-10,52.16,52.58,48.48,49.5,3319297
2025-01-13,49.48,50.06,48.99,49.23,2132449
2025-01-14,49.65,51.18,49.31,50.84,1832676
2025-01-15,51.2,53.06,50.7,52.22,2765655
2025-01-16,50.84,52.44,49.61,50.34,3798954
2025-01-17,51.02,52.3,50.32,51.88,3018346
2025-01-20,50.7,51.44,49.64,50.1,2975696
2025-01-21,49.62,51.76,49.37,51.76,3075673
2025-01-22,53.4,56.9,53.24,55.14,7283392
2025-01-23,55.5,58.8,55.38,58.8,4710777
2025-01-24,59.0,60.4,58.72,60.36,5080317
2025-01-27,50.6,52.34,46.88,48.32,16208873
2025-01-28,50.5,53.6,49.33,51.96,8922924
2025-01-29,53.6,55.0,52.44,54.52,4936780
2025-01-30,55.0,57.06,54.86,56.72,4645858
2025-01-31,57.2,59.44,56.84,57.84,4924833
2025-02-03,54.3,56.06,54.0,55.48,3698670
2025-02-04,55.6,56.16,54.12,54.12,3202013
2025-02-05,54.26,56.32,53.92,55.5,2309905
2025-02-06,56.18,58.42,55.74,56.88,3318110
2025-02-07,56.76,58.58,56.48,57.1,2873010
2025-02-10,57.5,57.74,56.1,57.38,1842806
2025-02-11,56.82,58.08,56.6,57.3,2803639
2025-02-12,57.22,60.54,55.86,60.14,5995811
2025-02-13,61.5,62.38,60.16,62.34,3860252
2025-02-14,62.5,62.58,59.6,61.54,3639279
2025-02-17,63.0,64.56,61.94,63.6,3450722
2025-02-18,64.0,64.24,63.34,63.68,2768208
2025-02-19,63.54,63.82,60.6,60.66,2790822
2025-02-20,61.4,62.36,59.62,59.86,2584291
2025-02-21,60.26,60.64,57.72,57.96,2509805
2025-02-24,58.0,58.46,50.6,55.62,7015204
2025-02-25,55.08,55.32,51.04,51.54,6033067
2025-02-26,54.2,55.96,53.14,55.94,4677434
2025-02-27,55.66,57.34,54.52,55.28,3532553
2025-02-28,52.52,55.12,52.52,54.94,6168249
2025-03-03,55.36,56.62,53.2,55.46,3530862
2025-03-04,54.0,54.44,51.1,51.1,5346215
2025-03-05,54.42,56.6,54.16,55.26,6475013
2025-03-06,56.8,60.82,56.2,58.48,7094688
2025-03-07,57.0,57.12,53.78,55.66,6065148
2025-03-10,56.3,56.82,47.86,50.56,9304250
2025-03-11,52.1,54.24,50.68,53.08,4783182
2025-03-12,54.92,57.98,54.78,57.84,5473795
2025-03-13,56.82,57.94,55.38,57.94,3334610
2025-03-14,57.0,60.88,56.5,59.26,4649132
2025-03-17,59.5,61.08,58.52,60.86,2763860
2025-03-18,61.82,63.18,58.86,60.84,3898233
2025-03-19,60.84,62.96,60.56,62.96,3393035
2025-03-20,62.12,62.52,60.8,61.34,2908272
2025-03-21,60.68,62.2,60.62,61.82,6654427
2025-03-24,62.06,62.7,60.48,60.58,1856363
2025-03-25,59.9,60.24,57.78,59.64,2917226
2025-03-26,60.56,62.32,58.4,60.68,3927320
2025-03-27,58.56,59.52,56.74,57.68,3663929
2025-03-28,56.86,57.5,53.9,55.3,5820474
2025-03-31,54.18,54.36,52.42,53.84,3553142
2025-04-01,55.0,56.22,54.54,55.84,2782444
2025-04-02,55.64,56.66,54.36,56.42,2489174
2025-04-03,53.9,55.54,52.72,53.26,3827649
2025-04-04,52.0,53.1,48.01,49.5,6671214
2025-04-07,42.75,53.8,41.81,48.56,8552960
2025-04-08,51.1,52.6,50.54,51.22,4325734
2025-04-09,50.0,51.36,49.02,50.7,3649280
2025-04-10,55.92,56.48,52.5,52.98,4092443
2025-04-11,54.3,54.3,51.64,53.74,2503026
2025-04-14,55.4,56.94,54.84,56.86,2691982
2025-04-15,57.36,58.78,57.3,58.28,2495240
2025-04-16,57.24,57.72,56.04,57.72,1879647
2025-04-17,63.5,65.58,63.12,63.8,9703411
2025-04-22,62.4,63.86,60.92,63.82,2754819
2025-04-23,65.0,66.08,64.0,65.28,3538072
2025-04-24,64.34,66.8,63.74,66.56,2144722
2025-04-25,67.56,68.18,66.46,67.92,2304494
2025-04-28,68.08,69.28,67.76,68.24,1971902
2025-04-29,69.18,70.22,68.82,69.76,3005800
2025-04-30,70.0,70.48,65.56,67.54,4615290
2025-05-02,70.9,72.6,70.0,72.6,4266338
2025-05-05,71.4,73.38,70.82,73.34,2402238
2025-05-06,72.6,73.2,71.32,72.92,2632407
2025-05-07,73.08,73.34,70.98,70.98,3104963
2025-05-08,73.34,73.88,71.16,73.34,3445333
2025-05-09,73.98,76.12,73.66,74.76,2990626
2025-05-12,76.46,76.72,73.82,75.62,3140831
2025-05-13,76.5,76.54,73.96,75.04,3504235
2025-05-14,75.6,75.98,72.86,73.86,2825472
2025-05-15,72.96,76.02,72.94,76.02,2303424
2025-05-16,76.22,76.34,75.42,75.46,2263710
2025-05-19,75.14,78.14,75.14,78.14,1842756
2025-05-20,78.9,80.34,78.42,78.74,2850761
2025-05-21,79.08,79.16,77.62,79.16,1581478
2025-05-22,79.4,81.68,79.04,81.68,2643805
