Date,Open,High,Low,Close,Volume
2023-05-30,37.2174,37.2174,36.9416,37.0335,79.438733195917
2023-05-31,37.0335,37.0335,35.5633,35.5633,331.90155650349
2023-06-01,35.839,36.9416,35.1957,35.6552,329.72515285429
2023-06-02,36.7579,36.7579,35.839,36.4822,610.4812236015
2023-06-05,36.5741,36.7579,35.1038,35.839,1335.2236387862
2023-06-06,35.839,35.839,35.4713,35.4713,482.07340829851
2023-06-07,36.2984,36.666,34.7362,34.7362,24851.265068427
2023-06-09,36.2984,36.2984,34.8281,34.92,961.97041294782
2023-06-12,36.1146,36.1146,32.8983,33.9091,1990.3211371963
2023-06-13,33.7253,34.0011,33.4497,33.5416,1545.2465909343
2023-06-14,33.4497,34.92,33.3578,34.1849,3300.5161340167
2023-06-15,34.92,34.92,33.8172,34.1849,709.50758964025
2023-06-16,34.92,36.1146,34.1849,34.6443,11112.717032831
2023-06-19,35.1038,35.1038,34.8281,34.92,408.0756842256
2023-06-20,34.92,34.92,34.4605,34.92,726.91881883387
2023-06-21,34.92,34.92,34.0011,34.7362,1400.5157482623
2023-06-22,34.92,34.92,34.6443,34.92,931.50076185897
2023-06-23,35.0119,35.1957,33.9091,34.92,369.98862036455
2023-06-26,34.92,35.5633,34.5524,35.2876,3024.1128705679
2023-06-27,34.8281,35.4713,34.8281,35.2876,38.087063861056
2023-06-28,35.4713,35.839,35.1038,35.1038,285.10887804562
2023-06-29,35.6552,35.6552,34.7362,35.1038,325.37234555588
2023-06-30,34.92,35.839,34.92,35.839,1099.0838428476
2023-07-03,35.839,36.2065,35.839,36.1146,250.28641965837
2023-07-04,36.0227,36.1146,35.3794,36.0227,603.95201265389
2023-07-05,35.3794,35.3794,34.0011,35.2876,3395.189692757
2023-07-06,35.2876,35.2876,34.093,34.92,131.67242077679
2023-07-07,35.2876,35.2876,34.0011,34.4605,903.20751441933
2023-07-10,33.8172,34.4605,33.8172,34.4605,610.4812236015
2023-07-11,34.4605,34.4605,33.8172,33.8172,1802.0622215403
2023-07-12,34.92,34.92,33.8172,33.9091,85.967944143527
2023-07-13,33.7253,36.3903,33.7253,35.839,2937.0567245997
2023-07-14,36.2984,41.3526,34.92,39.239,14730.988099632
2023-07-17,41.1689,41.1689,39.3309,40.4337,9903.7248056992
2023-07-18,40.8931,40.8931,37.6768,39.4228,8619.6466526693
2023-07-19,39.5148,40.1579,38.5957,39.6985,23581.333539117
2023-07-20,39.4228,39.6985,38.6877,39.4228,44235.404170055
2023-07-21,38.8715,39.6985,38.8715,39.4228,279.66786892261
2023-07-24,39.3309,39.3309,37.8606,39.3309,730.18342430768
2023-07-25,39.3309,39.4228,38.5957,39.0553,274.2268597996
2023-07-26,39.0553,39.0553,38.5957,38.9634,1898.9121839298
2023-07-27,38.5957,39.4228,38.3201,39.3309,570.21775609124
2023-07-28,39.3309,39.3309,38.412,39.239,188.25891565608
2023-07-31,38.9634,43.65,38.5957,43.5581,12499.086157374
2023-08-01,43.65,45.6717,41.8121,42.4553,16847.540648482
2023-08-02,42.6392,42.6392,39.9742,40.8012,5518.2714525547
2023-08-03,40.4337,42.2716,40.4337,41.5364,2406.0142341941
2023-08-04,42.2716,42.2716,41.3526,41.3526,415.69309699781
2023-08-07,40.8931,41.2607,40.4337,41.2607,1171.9933650959
2023-08-08,41.2607,41.2607,39.9742,40.8931,1797.7094142418
2023-08-09,40.8931,40.8931,40.8931,40.8931,2.1764036492032
2023-08-10,40.6175,40.8012,39.6985,40.8012,866.20865238288
2023-08-11,40.8012,43.1905,40.6175,42.0878,4017.6411364291
2023-08-14,41.904,41.904,40.985,41.904,2127.4345670961
2023-08-16,41.7202,41.7202,40.3418,40.3418,625.71604914592
2023-08-17,41.2607,41.2607,41.1689,41.1689,603.95201265389
2023-08-18,40.4337,41.3526,39.3309,39.3309,14547.081991274
2023-08-21,39.5148,40.6175,38.0444,38.1363,1372.2225008226
2023-08-22,38.1363,38.6877,38.1363,38.5957,171.93588828705
2023-08-23,38.5957,38.5957,36.5741,37.4012,2983.8494030576
2023-08-24,38.0444,38.0444,36.3903,36.4822,785.68171736236
2023-08-25,36.4822,37.4012,36.4822,36.4822,606.12841630309
2023-08-28,37.2174,37.2174,37.0335,37.2174,244.84541053536
2023-08-29,37.2174,37.8606,36.4822,37.6768,898.85470712092
2023-08-30,37.8606,37.8606,36.5741,36.5741,215.46396127112
2023-08-31,37.1255,37.1255,36.5741,36.5741,1452.7494358431
2023-09-01,36.9416,38.3201,36.9416,38.3201,693.18456227122
2023-09-04,39.5148,39.6067,37.2174,37.8606,3389.748683634
