Date,Open,High,Low,Close,Volume
2024-05-28,36.68,37.17,36.61,36.78,5891544
2024-05-29,36.43,36.62,36.13,36.18,5635713
2024-05-30,36.3,36.78,36.2,36.73,5189122
2024-05-31,36.85,37.6,36.77,37.55,12030142
2024-06-03,37.55,37.58,37.105,37.2,3995561
2024-06-04,37.0,37.53,36.9,37.36,4529485
2024-06-05,37.22,37.255,36.68,36.79,4781895
2024-06-06,36.66,37.16,36.36,36.52,4758095
2024-06-07,36.15,36.51,36.14,36.17,3199488
2024-06-10,36.27,36.54,36.015,36.21,7102773
2024-06-11,35.83,36.45,35.72,36.21,9487288
2024-06-12,36.39,36.48,34.73,34.75,11084623
2024-06-13,34.74,35.54,34.62,35.41,11503176
2024-06-14,35.3,35.55,35.07,35.54,8863468
2024-06-17,35.32,35.66,35.1,35.17,10260765
2024-06-18,35.13,35.36,34.8,34.89,9493206
2024-06-20,34.84,35.22,34.82,34.94,13698969
2024-06-21,35.05,35.295,34.635,34.78,19441810
2024-06-24,34.67,35.43,34.67,35.33,9125813
2024-06-25,35.26,35.36,34.77,34.82,9609373
2024-06-26,34.77,34.825,34.49,34.8,7809122
2024-06-27,34.77,35.0001,34.52,34.7,5575272
2024-06-28,34.67,34.835,34.46,34.61,23274021
2024-07-01,34.76,34.86,34.255,34.55,6675809
2024-07-02,34.73,34.77,34.38,34.53,4633434
2024-07-03,34.46,34.87,34.46,34.73,2614724
2024-07-05,34.66,34.735,34.24,34.31,5644949
2024-07-08,34.34,34.34,34.005,34.24,5002649
2024-07-09,34.09,34.64,34.09,34.43,7413489
2024-07-10,34.55,34.81,34.34,34.69,4998808
2024-07-11,34.86,35.505,34.73,35.32,6387339
2024-07-12,35.49,35.66,35.21,35.24,8292834
2024-07-15,34.95,35.42,34.82,35.35,8756750
2024-07-16,35.57,35.715,35.34,35.52,6030240
2024-07-17,35.79,36.595,35.65,36.43,7026372
2024-07-18,36.31,36.92,36.2,36.24,5929410
2024-07-19,36.26,36.26,35.92,36.13,4532694
2024-07-22,36.26,36.29,36.04,36.25,4941159
2024-07-23,36.16,36.23,35.84,35.87,3172675
2024-07-24,36.17,36.525,36.0,36.47,5649814
2024-07-25,36.75,37.28,36.365,36.48,7116889
2024-07-26,36.61,36.88,36.53,36.75,4552576
2024-07-29,36.75,37.05,36.65,36.89,4989195
2024-07-30,36.84,37.33,36.715,37.22,7458319
2024-07-31,37.39,37.535,36.91,37.2,6849926
2024-08-01,36.96,38.34,36.96,38.26,7254674
2024-08-02,38.72,39.02,38.015,38.77,9077691
2024-08-05,39.78,39.88,37.44,37.52,6955586
2024-08-06,37.6,37.985,37.48,37.59,6324884
2024-08-07,37.56,38.329,37.48,37.84,6224704
2024-08-08,37.59,38.005,37.44,37.54,7353956
2024-08-09,37.66,37.66,36.965,37.48,6680155
2024-08-12,37.02,37.115,36.77,36.9,6707812
2024-08-13,37.05,37.175,36.785,37.13,6332270
2024-08-14,37.01,37.415,36.83,37.03,5450221
2024-08-15,36.87,37.53,36.8,37.5,10776891
2024-08-16,37.53,37.745,37.2,37.61,5962282
2024-08-19,37.69,37.72,37.49,37.61,3423255
2024-08-20,37.65,37.78,37.401,37.54,3612329
2024-08-21,37.59,38.17,37.57,37.87,5166306
2024-08-22,37.75,37.96,37.69,37.88,5727979
2024-08-23,38.0,38.09,37.7,37.79,3723710
2024-08-26,37.97,38.18,37.9,37.97,2891432
