Date,Open,High,Low,Close,Volume
2024-12-02,41.5601,41.5847,40.8382,40.8776,5204756
2024-12-03,41.0409,41.1546,40.6724,40.9469,4618118
2024-12-04,40.7936,40.9172,40.5068,40.6255,4935772
2024-12-05,40.8926,40.8974,40.3882,40.4278,4365313
2024-12-06,40.4376,40.5909,39.963,40.0767,5221683
2024-12-09,40.2744,40.3257,39.4388,39.7157,5747315
2024-12-10,39.4338,39.7503,39.2459,39.4438,5856492
2024-12-11,39.2163,39.5723,39.0284,39.1915,5102557
2024-12-12,39.1767,39.3498,38.89,39.0828,4092707
2024-12-13,39.0828,39.0828,38.613,38.8009,4828109
2024-12-16,38.9444,39.0036,38.4771,38.6377,4956793
2024-12-17,38.5784,38.8108,38.3111,38.3905,4946942
2024-12-18,38.3262,38.4771,36.8824,36.912,7332986
2024-12-19,37.0505,37.3521,36.5956,36.6055,7585827
2024-12-20,36.3929,37.1692,36.3039,36.9962,15682549
2024-12-23,36.9269,37.0458,36.5733,36.828,4181352
2024-12-24,36.9071,37.1543,36.7143,37.1395,2158508
2024-12-26,36.8972,37.0085,36.7439,36.7983,2560099
2024-12-27,36.5412,36.561,35.7674,36.1036,5311388
2024-12-30,35.9973,35.9973,35.2407,35.5622,8098288
2024-12-31,35.6709,35.9132,35.4732,35.5572,3905552
2025-01-02,35.9676,35.9824,35.043,35.1616,4294453
2025-01-03,35.3792,35.6166,34.9688,35.4484,4996803
2025-01-06,35.399,35.8094,35.3446,35.5869,5406963
2025-01-07,35.7253,35.8984,35.394,35.755,4672034
2025-01-08,35.7599,36.1605,35.4855,36.0665,5033378
2025-01-10,35.6808,35.9281,35.2951,35.4188,5610475
2025-01-13,35.4682,36.0863,35.4188,36.0418,6910673
2025-01-14,36.1308,36.566,36.0418,36.4621,6925940
2025-01-15,37.1643,37.2581,36.6352,36.7241,6647649
2025-01-16,36.7389,37.1049,36.561,36.9714,7982034
2025-01-17,37.7402,38.0513,35.8589,37.6191,15848911
2025-01-21,37.6883,38.43,37.5302,37.6241,9000627
2025-01-22,37.6785,37.8886,37.367,37.3818,9014078
2025-01-23,37.451,37.6241,37.0802,37.3126,5356481
2025-01-24,37.1692,37.6735,37.1643,37.3472,5167878
2025-01-27,37.3175,37.7329,37.1445,37.7131,5418652
2025-01-28,37.5944,37.6191,36.9664,36.9812,5215827
2025-01-29,36.9664,37.1395,36.561,36.6302,3540862
2025-01-30,37.0654,37.1692,36.7489,37.0752,5951338
2025-01-31,36.9161,36.9658,36.3143,36.4237,10522748
2025-02-03,36.2099,37.0553,36.0358,36.6625,7629450
2025-02-04,36.4337,36.5729,36.1253,36.3989,6627450
2025-02-05,36.4983,36.6276,35.8416,36.5729,5453639
2025-02-06,36.5232,37.1523,36.3218,37.125,5796879
2025-02-07,37.2941,37.299,36.6873,36.7221,5975794
2025-02-10,36.9907,37.115,36.6127,36.6625,4053640
2025-02-11,36.5257,37.0961,36.379,36.9658,2976329
2025-02-12,36.4784,36.7669,36.2576,36.6426,4002937
2025-02-13,36.6674,37.2841,36.6326,37.1946,4883057
2025-02-14,37.2244,37.4134,37.0852,37.1896,5125881
2025-02-18,37.4383,37.4681,36.8763,37.2045,4033935
2025-02-19,37.1846,37.7093,37.0056,37.5825,4928040
