Date,Open,High,Low,Close,Volume
2023-05-31,1.32895,1.46053,1.32895,1.34211,15975.1
2023-06-01,1.34211,1.35526,1.34211,1.35526,459.8
2023-06-02,1.35526,1.47368,1.32895,1.38158,19007.6
2023-06-05,1.38158,1.56579,1.38158,1.56579,15542.0
2023-06-06,1.53947,1.68421,1.53947,1.56579,10279.0
2023-06-07,1.57895,1.73684,1.57895,1.73684,35203.2
2023-06-09,1.73684,1.77632,1.60526,1.77632,3328.79
2023-06-12,1.76316,1.76316,1.65789,1.68421,3758.2
2023-06-13,1.64474,1.65789,1.60526,1.60526,11065.6
2023-06-14,1.60526,1.65789,1.51316,1.55263,8964.2
2023-06-15,1.55263,1.69737,1.55263,1.69737,6714.59
2023-06-16,1.75,1.78947,1.64474,1.76316,3739.2
2023-06-19,1.76316,1.78947,1.64474,1.67105,900.6
2023-06-20,1.65789,1.81579,1.65789,1.65789,15245.6
2023-06-21,1.81579,1.98684,1.78947,1.89474,23058.3
2023-06-22,1.89474,1.96053,1.89474,1.89474,2489.0
2023-06-23,1.89474,1.89474,1.72368,1.89474,6532.2
2023-06-26,1.81579,1.89474,1.81579,1.89474,193.799
2023-06-27,1.78947,1.84211,1.78947,1.82895,174.799
2023-06-28,1.84211,1.84211,1.71053,1.82895,10784.4
2023-06-29,1.86842,1.86842,1.86842,1.86842,3.8
2023-06-30,1.81579,1.81579,1.76316,1.77632,7299.8
2023-07-03,1.81579,1.81579,1.76316,1.81579,15006.1
2023-07-04,1.75,1.76316,1.75,1.76316,4461.2
2023-07-05,1.71053,1.81579,1.69737,1.81579,216.6
2023-07-06,1.69737,1.81579,1.69737,1.81579,1713.8
2023-07-07,1.75,1.81579,1.75,1.81579,49.4
2023-07-10,1.81579,1.81579,1.81579,1.81579,190.0
2023-07-11,1.75,1.75,1.75,1.75,387.599
2023-07-12,1.73684,1.81579,1.73684,1.81579,4434.6
2023-07-13,1.78947,1.78947,1.78947,1.78947,258.4
2023-07-14,1.78947,1.81579,1.75,1.80263,16309.6
2023-07-17,1.78947,1.86842,1.75,1.75,7026.2
2023-07-18,1.76316,1.76316,1.76316,1.76316,7600.0
2023-07-19,1.76316,1.84211,1.76316,1.84211,1432.6
