Date,Open,High,Low,Close,Volume
2024-12-02,33.29,33.71,33.0,33.41,755184
2024-12-03,33.53,33.94,33.51,33.87,827244
2024-12-04,33.79,34.13,33.59,34.0,836865
2024-12-05,33.95,34.21,33.6,33.97,879571
2024-12-06,33.9,34.08,33.61,33.67,764033
2024-12-09,33.57,33.82,33.21,33.74,688975
2024-12-10,33.78,34.05,33.74,33.89,845837
2024-12-11,34.05,34.77,33.99,34.72,1141530
2024-12-12,34.67,35.15,34.5,34.79,1005830
2024-12-13,34.77,34.99,34.59,34.85,620208
2024-12-16,34.92,35.06,34.64,34.83,693971
2024-12-17,34.57,34.67,33.88,34.05,1119999
2024-12-18,34.0,34.39,33.94,34.19,530187
2024-12-19,34.12,34.12,33.48,33.48,1076647
2024-12-20,33.29,33.29,32.74,33.2,2142389
2024-12-23,33.0,33.56,32.89,33.45,617228
2024-12-27,33.47,33.5,33.23,33.48,672760
2024-12-30,33.35,33.63,33.21,33.54,297894
2025-01-02,33.51,33.67,33.15,33.49,586058
2025-01-03,33.42,33.63,33.22,33.49,449481
2025-01-06,33.54,34.22,33.54,34.22,768076
2025-01-07,34.12,34.44,33.9,34.17,763123
2025-01-08,34.18,34.58,33.96,34.52,833926
2025-01-09,34.48,35.11,34.47,35.07,788904
2025-01-10,35.04,35.15,34.8,35.08,1125357
2025-01-13,35.01,35.09,34.54,34.54,596986
2025-01-14,34.57,35.07,34.43,34.81,885000
2025-01-15,34.99,35.39,34.88,35.39,1465119
2025-01-16,35.48,35.6,35.2,35.6,949732
2025-01-17,35.75,36.68,35.75,36.3,1900139
2025-01-20,36.22,36.59,36.2,36.38,576344
2025-01-21,36.24,36.47,36.09,36.21,801292
2025-01-22,36.25,36.39,35.83,35.91,641849
2025-01-23,36.18,36.88,36.14,36.8,1080381
2025-01-24,36.98,37.08,36.59,36.72,987993
2025-01-27,36.72,37.0,36.59,36.92,807963
2025-01-28,36.81,37.36,36.74,37.13,951651
2025-01-29,37.01,37.31,36.54,37.16,913038
