Date,Open,High,Low,Close,Volume
1996-07-24,6.52173,6.52173,6.52173,6.52173,55810.303032504
1996-07-25,7.17262,7.17262,7.17262,7.17262,173255.06061289
1996-07-26,7.88626,7.88626,7.88626,7.88626,436608.04547176
1996-07-29,8.29834,8.29834,8.29834,8.29834,230580.03031212
1996-07-30,7.71112,7.71112,7.71112,7.71112,95096.96970072
1996-07-31,7.59205,7.59205,7.59205,7.59205,165692.48485502
1996-08-01,7.11638,7.11638,7.11638,7.11638,158189.07576381
1996-08-02,6.99739,6.99739,6.99739,6.99739,87044.924245857
1996-08-05,7.17262,7.17262,7.17262,7.17262,57493.863638631
1996-08-06,7.35417,7.35417,7.35417,7.35417,59097.818184149
1996-08-07,7.23518,7.23518,7.23518,7.23518,113774.27273176
1996-08-08,7.11638,7.11638,7.11638,7.11638,41249.924244051
1996-08-09,7.17262,7.17262,7.17262,7.17262,67878.151517828
1996-08-12,7.17262,7.17262,7.17262,7.17262,15260.696970299
1996-08-13,6.8785,6.8785,6.8785,6.8785,38816.560607591
1996-08-14,7.05363,7.05363,7.05363,7.05363,42873.242425933
1996-08-16,6.81575,6.81575,6.81575,6.81575,27571.666667754
1996-08-19,7.11638,7.11638,7.11638,7.11638,68096.530305716
1996-08-20,6.99739,6.99739,6.99739,6.99739,95620.863640135
1996-08-21,6.93483,6.93483,6.93483,6.93483,90740.15151873
1996-08-22,7.11638,7.11638,7.11638,7.11638,149755.13636954
1996-08-23,7.11638,7.11638,7.11638,7.11638,252772.90910088
1996-08-26,7.17262,7.17262,7.17262,7.17262,141825.72727832
1996-08-27,7.05363,7.05363,7.05363,7.05363,71928.378790715
1996-08-28,7.11638,7.11638,7.11638,7.11638,46726.606062449
1996-08-29,6.93483,6.93483,6.93483,6.93483,38772.454546984
1996-08-30,7.05363,7.05363,7.05363,7.05363,51661.106062643
1996-09-02,6.99739,6.99739,6.99739,6.99739,60388.727275109
1996-09-03,6.8785,6.8785,6.8785,6.8785,66225.7878814
1996-09-04,6.75952,6.75952,6.75952,6.75952,81220.772730476
1996-09-05,6.69695,6.69695,6.69695,6.69695,70145.848487615
1996-09-06,6.75952,6.75952,6.75952,6.75952,50003.363638336
1996-09-09,6.99739,6.99739,6.99739,6.99739,66890.606063244
1996-09-10,7.05363,7.05363,7.05363,7.05363,113452.6212166
1996-09-11,7.05363,7.05363,7.05363,7.05363,112389.77273171
1996-09-12,7.05363,7.05363,7.05363,7.05363,245544.89394908
1996-09-13,7.4105,7.4105,7.4105,7.4105,161438.93940031
1996-09-16,8.12404,8.12404,8.12404,8.12404,219256.60606925
1996-09-17,8.12404,8.12404,8.12404,8.12404,227687.3181908
