Date,Open,High,Low,Close,Volume
2024-05-28,173.82,176.63,173.735,175.764,20646733
2024-05-29,174.797,176.197,174.089,175.264,23473479
2024-05-30,174.567,174.587,171.17,171.488,23041904
2024-05-31,171.24,172.435,168.829,171.877,37775320
2024-06-03,171.917,173.895,170.542,172.544,27558660
2024-06-04,172.654,173.217,171.269,173.163,26977037
2024-06-05,174.567,176.006,173.306,174.777,22148519
2024-06-06,175.259,176.511,175.115,176.091,23335300
2024-06-07,176.411,177.228,173.67,173.83,19732673
2024-06-10,174.538,176.623,172.333,174.578,23838060
2024-06-11,175.785,176.404,173.341,176.184,21593885
2024-06-12,177.81,179.965,175.676,177.351,27933689
2024-06-13,175.676,176.304,174.448,174.728,20965050
2024-06-14,173.79,176.626,173.72,176.354,18108254
2024-06-17,175.026,177.92,174.378,176.802,19667043
2024-06-18,176.702,176.947,173.674,174.658,21923975
2024-06-20,174.938,176.852,174.558,175.864,20209972
2024-06-21,176.563,180.403,176.174,179.187,58727708
2024-06-24,179.715,180.443,178.229,178.777,18343291
2024-06-25,179.177,183.835,178.977,183.576,23293086
2024-06-26,182.179,184.054,182.029,183.426,19888064
2024-06-27,183.725,185.59,183.566,184.952,18895526
2024-06-28,183.865,184.673,181.511,181.701,29228793
2024-07-01,182.578,183.426,180.853,182.539,16045735
2024-07-02,181.601,185.112,181.111,184.783,17415474
2024-07-03,184.394,185.63,183.546,185.362,10267470
2024-07-05,185.397,190.389,185.342,190.129,21019335
2024-07-08,189.426,189.701,187.316,188.563,21087940
2024-07-09,189.84,190.887,188.254,188.514,15178779
2024-07-10,188.683,191.277,188.563,190.708,15991929
2024-07-11,189.376,190.389,184.623,185.112,25689196
2024-07-12,184.623,186.648,184.035,184.613,22955069
2024-07-15,184.464,187.776,184.464,186.07,16514808
2024-07-16,186.898,188.214,182.921,183.466,18335983
2024-07-17,182.514,183.097,179.456,180.573,20785378
2024-07-18,181.481,182.049,176.034,177.252,25378372
2024-07-19,178.438,179.845,176.692,177.222,18928609
2024-07-22,180.145,182.249,179.785,181.221,24159982
2024-07-23,181.601,183.157,181.091,181.341,36442670
2024-07-24,173.172,175.756,171.396,172.204,49707904
2024-07-25,172.094,172.992,166.777,166.867,44962961
2024-07-26,166.737,167.675,163.655,166.588,41439176
2024-07-29,168.413,170.009,167.575,169.111,20344040
2024-07-30,169.819,170.807,168.024,169.869,19006602
2024-07-31,172.812,173.815,169.591,171.117,25792757
2024-08-01,169.829,173.62,168.463,170.339,24592096
2024-08-02,166.029,168.094,164.264,166.248,29202185
2024-08-05,155.116,164.024,154.548,158.857,53763384
