Date,Open,High,Low,Close,Volume
2024-05-31,20.7019,21.1216,20.3756,20.9817,4195.0876772873
2024-06-03,21.2614,21.5878,20.5154,21.2148,5582.7265971261
2024-06-04,21.4946,21.4946,20.7485,21.4479,1929.1827023108
2024-06-05,21.4479,21.9142,20.935,21.8676,2699.140000954
2024-06-06,21.8676,24.5718,21.6345,23.1731,23232.764450007
2024-06-07,23.1731,25.9241,22.7535,25.7841,50668.123124781
2024-06-10,24.3854,24.8516,22.567,23.9191,31618.650348879
2024-06-11,23.4062,23.686,22.6135,23.4529,7830.4013853659
2024-06-12,23.4529,24.1056,21.9142,22.3804,9149.4090139609
2024-06-13,22.3804,22.567,21.4946,21.9142,5070.1366406478
2024-06-14,22.1007,22.1007,21.1681,21.9608,5070.1366406478
2024-06-17,21.9608,22.567,21.5412,22.0541,2414.963560647
2024-06-18,21.4946,23.313,21.3547,23.1264,8428.7804558993
2024-06-19,22.6135,23.1264,22.2872,22.4737,3822.9773950739
2024-06-20,22.94,22.9866,22.1007,22.7068,2306.6548041526
2024-06-21,22.7068,23.686,22.3339,23.313,4713.039453394
2024-06-24,23.2664,23.2664,22.3804,22.8933,3422.9856507927
2024-06-25,23.2197,23.2197,21.5412,22.1939,2348.4769972544
2024-06-26,22.1939,22.1939,21.1216,21.681,4248.7058735716
2024-06-27,21.681,21.681,20.6553,21.6345,19104.163336113
2024-06-28,21.821,21.821,21.3547,21.7743,305.62371882077
2024-07-01,21.7277,21.7277,20.9817,21.6345,5569.8582300179
2024-07-02,21.6345,21.6345,20.8885,21.3081,1580.6644264625
2024-07-03,21.0283,21.4013,20.5621,20.9817,9809.985192184
2024-07-04,20.6087,22.3804,20.6087,22.2406,6829.8858427
2024-07-05,22.4287,22.7108,21.1121,22.4287,642.2762990844
2024-07-08,22.4287,22.4287,21.6293,22.3816,1195.2294042564
2024-07-09,22.3816,22.3816,21.2061,21.9114,1450.4385297204
2024-07-10,21.9114,22.3816,21.2532,21.5823,3808.9961975502
2024-07-11,21.6763,22.1936,21.4412,21.4412,1827.9353611359
2024-07-12,21.6763,22.1936,21.4412,21.9114,1575.9163497402
2024-07-15,22.0055,22.0055,21.3942,21.6293,1060.1812420317
2024-07-16,21.6293,21.6293,20.877,21.5353,918.7528516704
2024-07-17,21.9585,21.9585,21.2532,21.4412,2574.4220531181
2024-07-18,21.2532,21.5353,20.6889,21.2532,3042.3054498021
2024-07-19,21.4883,21.4883,21.0181,21.3472,2993.3903674215
2024-07-22,21.4883,21.4883,20.783,21.1591,2294.7553864638
2024-07-23,21.3942,21.4412,20.6889,21.0181,3730.3067171988
2024-07-24,21.0181,21.0181,19.7485,20.6419,11198.363751089
2024-07-25,20.924,20.924,19.1843,20.6889,8352.7820021655
2024-07-26,20.877,20.971,19.8426,20.6889,5060.5842836799
2024-07-29,21.3472,22.1465,21.2532,21.9585,9630.9543721977
2024-07-30,21.9585,22.0055,21.1591,22.0055,731.5994929968
2024-07-31,22.0055,22.0055,21.1591,21.8644,662.4803548503
2024-08-01,21.8644,22.0995,21.2532,21.9114,2682.8859314403
2024-08-02,21.9585,21.9585,20.83,21.7704,1304.7566539347
2024-08-05,21.7704,21.7704,20.0306,21.1121,9441.6742708119
2024-08-06,21.1121,21.4412,20.5008,20.877,1755.6261089211
2024-08-07,21.2061,21.3942,20.3128,21.2532,1330.2775664811
2024-08-08,21.2061,21.2061,20.4068,21.1591,679.4942965479
2024-08-09,21.1591,21.1591,20.3598,21.0651,661.4169834942
2024-08-12,21.0651,21.1591,20.5008,21.1591,366.8631178545
2024-08-13,21.1591,21.1591,20.5008,20.6889,1936.3992394581
2024-08-14,20.6889,20.6889,20.4068,20.6889,1263.2851710468
2024-08-16,20.6889,21.5353,20.6889,21.5353,2297.9455005321
2024-08-19,21.5353,22.0525,20.783,22.0525,1439.8048161594
2024-08-20,21.4412,22.0525,20.7359,21.5823,945.3371355729
2024-08-21,21.0181,21.7234,20.924,21.5353,2219.2560201807
2024-08-22,21.5353,21.5353,20.877,21.5353,342.4055766642
