Date,Open,High,Low,Close,Volume
2024-05-31,58.5307,58.5307,57.03,57.2176,2704.7111947311
2024-06-03,57.2176,57.3114,55.4354,57.2176,16416.967949415
2024-06-04,57.2176,57.5928,56.6548,57.1238,62593.221783624
2024-06-05,57.1238,57.3114,55.5292,55.7168,7766.5829931478
2024-06-06,55.9044,57.03,55.9044,56.4672,723.88604699346
2024-06-07,56.4672,56.6548,55.9982,56.092,11776.208063461
2024-06-10,56.092,56.7486,55.9982,55.9982,3545.8689135497
2024-06-11,56.7486,57.03,55.9982,56.2796,3585.3148395273
2024-06-12,56.4672,57.499,56.2796,56.8424,41326.537151185
2024-06-13,56.4672,58.2493,56.4672,56.561,21829.588657199
2024-06-14,56.7486,56.7486,55.623,55.8106,5294.282929852
2024-06-17,56.7486,57.1238,55.7168,57.1238,3008.551435369
2024-06-18,57.4052,58.9059,56.6548,58.6245,314419.21154264
2024-06-19,58.6245,60.313,58.0617,59.844,21065.190578121
2024-06-20,60.4068,62.4703,59.7502,62.4703,9310.3046368099
2024-06-21,64.4044,64.6945,59.5692,60.633,22862.715909292
2024-06-24,62.2769,62.7604,60.7297,62.2769,80403.670455252
2024-06-25,60.9231,61.8901,60.5363,61.6,3885.0795454887
2024-06-26,62.3736,62.3736,60.3429,60.3429,5789.8750000509
2024-06-27,59.956,60.3429,59.3758,60.2462,42220.897727644
2024-06-28,60.2462,60.2462,59.8593,60.2462,1005.1363636452
2024-07-01,60.2462,60.4396,58.4088,59.1824,5286.2727273192
2024-07-02,59.0857,59.0857,57.0549,58.7956,14379.034091035
2024-07-03,58.7956,60.2462,58.7956,60.2462,27389.965909332
2024-07-04,59.956,60.8264,58.022,59.5692,8697.7386364401
2024-07-05,58.989,60.0527,58.3121,58.3121,3804.4204545789
2024-07-08,58.5055,58.5055,58.022,58.022,7001.8295455161
2024-07-09,58.022,59.956,58.022,59.0857,3155.0113636641
2024-07-10,58.7956,59.0857,58.022,59.0857,973.0795454631
2024-07-11,58.4088,59.3758,58.1187,59.3758,249.2159090931
2024-07-12,58.3121,58.8923,58.3121,58.4088,1843.7840909253
2024-07-15,58.4088,59.956,58.2154,58.7956,4338.0113636745
2024-07-16,58.2154,58.989,57.8286,58.989,12636.590909202
2024-07-17,58.989,59.956,55.1209,58.2154,4815.7613636787
2024-07-18,59.8593,59.956,58.022,59.956,25718.875000226
2024-07-19,59.956,59.956,57.7319,59.3758,8673.9545455308
2024-07-22,59.4725,59.956,58.7956,59.956,1448.7613636491
2024-07-23,59.956,59.956,57.6352,59.8593,893.4545454624
2024-07-24,59.3758,59.3758,57.3451,58.989,4707.1818182232
2024-07-25,58.022,58.022,56.2813,57.6352,4210.8181818552
2024-07-26,58.022,58.022,55.8945,57.6352,3607.9431818499
2024-07-29,57.6352,58.3121,56.8615,57.3451,2802.386363661
2024-07-30,58.022,58.022,55.8945,56.7648,1426.0113636489
2024-07-31,56.7648,58.022,55.8945,56.378,6077.3522727807
2024-08-01,56.9582,56.9582,55.8945,56.1846,6714.3522727863
2024-08-02,56.5714,57.0549,55.1209,55.1209,40304.727273082
2024-08-05,55.2176,55.6044,52.6066,54.1538,15513.431818318
2024-08-06,54.1538,56.0879,53.9604,55.1209,8817.6931818957
2024-08-07,55.1209,55.9912,54.6374,55.6044,7317.2272727916
2024-08-08,55.1209,55.1209,53.1868,53.6703,6351.3863636922
2024-08-09,53.8637,54.1538,53.1868,53.1868,68129.011364235
2024-08-12,53.5736,54.1538,53.1868,54.0571,38382.352273065
2024-08-13,54.1538,54.1538,53.3802,53.9604,251.2840909113
2024-08-14,54.0571,54.0571,53.3802,53.9604,32324.647727557
2024-08-16,53.9604,54.1538,53.1868,53.5736,161793.86363779
2024-08-19,53.5736,55.8945,53.5736,55.411,4035.0227273082
2024-08-20,55.1209,58.3121,55.1209,56.7648,5632.6931818677
2024-08-21,56.7648,56.7648,55.0242,55.5077,4688.5681818594
2024-08-22,55.5077,56.1846,53.767,53.767,10143.397727362
2024-08-23,54.6374,56.0879,53.767,54.1538,19593.954545627
2024-08-26,54.1538,54.1538,53.767,54.1538,3820.9659091245
2024-08-27,54.1538,54.5407,52.6066,52.7033,10083.420454634
2024-08-28,53.3802,54.1538,51.9297,54.1538,1158.181818192
2024-08-29,53.1868,55.0242,52.1231,52.7033,3996.7613636715
2024-08-30,52.8,53.1868,51.833,52.1231,17497.852272881
2024-09-02,52.6066,53.6703,52.3165,52.6066,4235.6363636736
2024-09-03,53.0901,53.0901,50.9626,51.5429,31400.170454821
