Date,Open,High,Low,Close,Volume
2024-12-02,11.505,11.63,11.225,11.355,774410
2024-12-03,11.32,11.98,11.3,11.81,962968
2024-12-04,11.8,11.935,11.765,11.8,732440
2024-12-05,12.48,13.49,12.47,13.09,2991866
2024-12-06,13.15,13.39,12.995,13.12,1632868
2024-12-09,12.465,12.58,11.55,11.835,3430058
2024-12-10,11.785,12.645,11.785,12.31,1825385
2024-12-11,12.22,12.31,11.96,12.225,772497
2024-12-12,12.345,12.8,12.205,12.46,1163264
2024-12-13,12.41,12.875,12.385,12.655,914260
2024-12-16,12.72,12.87,12.27,12.35,813290
2024-12-17,12.31,12.455,12.205,12.27,596993
2024-12-18,12.3,12.485,12.3,12.46,358555
2024-12-19,12.3,12.44,11.895,12.04,742109
2024-12-20,11.95,12.255,11.855,12.08,954545
2024-12-23,11.99,12.07,11.68,12.07,629261
2024-12-27,12.055,12.475,11.95,12.285,686810
2024-12-30,12.2,12.235,11.58,11.76,693009
2025-01-02,11.76,12.77,11.76,12.705,1154704
2025-01-03,12.815,12.99,12.735,12.85,634979
2025-01-06,12.825,12.86,12.385,12.635,938606
2025-01-07,12.62,12.94,12.535,12.665,588353
2025-01-08,12.695,12.695,12.415,12.55,539244
2025-01-09,12.93,13.125,12.69,12.71,396151
2025-01-10,12.65,12.73,11.735,11.92,1010435
2025-01-13,11.88,12.04,11.7,11.95,696194
2025-01-14,11.97,12.29,11.79,12.13,689421
2025-01-15,12.56,13.06,12.15,12.825,1163821
2025-01-16,12.75,13.09,12.62,12.81,683207
2025-01-17,12.85,13.13,12.835,12.96,502921
2025-01-20,12.875,12.955,12.545,12.94,475315
2025-01-21,12.915,12.96,12.545,12.545,451116
2025-01-22,12.465,12.465,11.825,11.93,1344647
2025-01-23,11.82,11.935,11.545,11.585,1071612
2025-01-24,11.575,11.66,11.265,11.4,1104728
2025-01-27,11.4,11.9,11.4,11.43,812144
2025-01-28,11.465,11.665,11.395,11.4,652682
2025-01-29,11.45,11.52,11.135,11.195,835394
2025-01-30,11.21,11.245,10.7,10.755,1131893
2025-01-31,10.8,11.34,10.59,10.65,1366825
2025-02-03,10.5,10.68,10.12,10.58,1470744
2025-02-04,10.6,10.755,10.365,10.45,635165
2025-02-05,10.35,10.66,10.14,10.49,935947
2025-02-06,10.755,11.16,10.515,11.05,1193996
2025-02-07,11.0,11.56,10.825,11.52,1104084
2025-02-10,11.48,12.2,11.39,11.645,899559
2025-02-11,11.43,11.92,11.42,11.895,643841
2025-02-12,12.18,12.365,11.745,11.985,870822
2025-02-13,12.055,12.85,12.055,12.62,1260629
2025-02-14,12.65,12.82,12.475,12.57,1051199
2025-02-17,12.46,13.62,12.255,13.515,1801967
2025-02-18,13.5,13.92,13.285,13.44,1088702
2025-02-19,13.3,13.445,12.94,13.13,941403
2025-02-20,13.295,13.42,12.73,12.8,829262
2025-02-21,12.88,13.16,12.68,12.91,671420
2025-02-24,13.3,13.35,12.69,12.985,814620
2025-02-25,12.805,12.99,12.505,12.505,870889
2025-02-26,12.445,12.445,11.61,12.0,1388600
2025-02-27,11.95,12.315,11.835,12.275,892290
2025-02-28,12.055,12.225,11.85,11.875,802281
2025-03-03,11.85,12.095,11.355,11.545,968314
2025-03-04,11.385,11.47,10.55,10.76,1298943
2025-03-05,10.915,11.045,10.335,10.515,2025830
2025-03-06,10.5,10.975,10.385,10.385,1854759
2025-03-07,10.365,10.4,9.944,10.37,1363064
2025-03-10,10.385,10.535,9.88,10.055,1007228
2025-03-11,9.2,9.274,8.2,8.2,4525182
2025-03-12,8.21,8.366,7.64,8.304,4359544
2025-03-13,7.996,8.328,7.45,7.932,2341550
2025-03-14,7.978,8.316,7.926,8.04,1965706
2025-03-17,8.01,8.624,8.01,8.444,2155870
2025-03-18,8.8,8.82,8.254,8.454,2107977
2025-03-19,8.73,8.94,8.39,8.444,1496719
2025-03-20,8.5,8.86,8.062,8.25,1911607
2025-03-21,8.17,8.18,7.696,7.722,3116449
2025-03-24,7.798,8.008,7.666,7.902,1240065
2025-03-25,7.942,8.146,7.808,8.06,1373859
2025-03-26,8.104,8.384,8.06,8.384,1559762
2025-03-27,8.34,8.53,8.17,8.246,1274177
2025-03-28,8.162,8.284,7.9,7.916,1016751
2025-03-31,7.832,7.832,7.468,7.774,1707538
2025-04-01,7.822,7.978,7.722,7.942,802861
2025-04-02,8.0,8.14,7.822,8.14,1116896
2025-04-03,7.9,8.24,7.888,7.968,1253121
2025-04-04,7.888,7.986,7.31,7.436,2330379
2025-04-07,7.158,8.062,6.9,7.616,2328064
2025-04-08,7.792,7.92,7.69,7.87,1355054
2025-04-09,7.644,7.644,7.126,7.302,1672327
2025-04-10,7.466,8.092,7.466,7.692,1659489
2025-04-11,7.56,7.65,7.086,7.278,2545646
2025-04-14,7.48,7.888,7.416,7.814,1119219
2025-04-15,7.892,8.138,7.854,8.008,1215043
2025-04-16,8.004,8.088,7.862,8.088,977966
2025-04-17,8.028,8.1,7.916,8.086,795074
2025-04-22,8.042,8.242,7.95,8.182,1907328
2025-04-23,8.326,8.384,8.168,8.242,1807484
2025-04-24,8.248,8.446,8.106,8.43,2128990
2025-04-25,8.458,8.59,8.33,8.488,629915
2025-04-28,8.508,8.68,8.352,8.454,1564133
2025-04-29,8.68,9.47,8.604,8.888,2321225
2025-04-30,9.004,9.408,8.734,9.154,1603541
2025-05-02,9.134,9.48,9.0,9.42,1331495
2025-05-05,9.39,9.54,9.356,9.39,730365
2025-05-06,9.348,9.64,9.16,9.364,1294187
2025-05-07,9.448,9.57,9.262,9.57,692551
2025-05-08,9.6,9.898,9.574,9.808,593989
2025-05-09,9.89,10.06,9.774,9.84,757213
2025-05-12,9.922,10.4,9.896,10.4,897132
2025-05-13,10.35,10.73,10.345,10.65,691872
2025-05-14,10.63,10.795,10.38,10.435,526213
2025-05-15,10.315,10.485,10.2,10.485,623915
2025-05-16,10.49,10.49,10.16,10.295,463093
2025-05-19,10.205,10.34,10.175,10.18,662334
2025-05-20,10.13,10.92,9.938,10.745,1277570
2025-05-21,10.705,10.865,10.585,10.695,581992
2025-05-22,10.625,10.85,10.475,10.7,680302
2025-05-23,10.635,10.86,10.52,10.815,836678
2025-05-26,10.965,11.02,10.765,10.88,507375
2025-05-27,10.865,11.13,10.865,11.07,957073
2025-05-28,11.05,11.05,10.735,10.755,476425
2025-05-29,10.86,10.945,10.525,10.6,585671
2025-05-30,10.525,10.6,10.345,10.455,480061
2025-06-02,10.385,10.765,10.345,10.72,530850
2025-06-03,10.82,10.82,9.7,10.095,1721972
2025-06-04,10.19,10.245,9.974,10.09,733306
2025-06-05,10.05,10.075,9.704,9.764,634572
2025-06-06,9.702,9.76,9.412,9.43,810646
