Date,Open,High,Low,Close,Volume
2005-07-27,145.32,147.55,138.62,139.74,13368
2005-07-28,139.74,139.74,134.15,135.26,4385
2005-07-29,136.38,136.38,130.79,134.15,975
2005-08-01,134.15,135.26,133.02,135.26,946
2005-08-02,135.26,135.26,131.9,135.26,466
2005-08-03,135.26,135.26,134.15,134.15,86
2005-08-04,134.15,135.26,134.15,135.26,253
2005-08-05,134.15,135.26,134.15,135.26,529
2005-08-08,134.15,135.26,134.15,135.26,247
2005-08-09,134.15,134.15,134.15,134.15,170
2005-08-10,134.15,134.15,131.9,131.9,375
2005-08-11,131.9,131.9,128.56,128.56,143
2005-08-12,126.32,127.43,121.84,124.09,294
2005-08-16,122.96,125.2,118.5,124.09,183
2005-08-17,122.96,122.96,122.96,122.96,376
2005-08-18,122.96,126.32,122.96,126.32,246
2005-08-19,126.32,133.02,126.32,133.02,163
2005-08-22,133.02,133.02,131.9,133.02,47
2005-08-23,129.68,129.68,128.56,129.68,155
2005-08-24,129.68,129.68,128.56,128.56,556
2005-08-25,134.15,134.15,126.32,129.68,182
2005-08-26,130.79,130.79,125.2,128.56,118
2005-08-29,130.79,130.79,128.56,130.79,238
2005-08-30,129.68,134.15,129.68,130.79,1440
2005-08-31,130.79,130.79,126.32,126.32,43
2005-09-01,128.56,131.9,128.56,128.56,130
2005-09-02,127.43,128.56,126.32,128.56,179
2005-09-05,126.32,128.56,126.32,128.56,27
2005-09-06,128.56,128.56,128.56,128.56,1
2005-09-07,128.56,129.68,128.56,128.56,38
2005-09-08,127.43,128.56,124.09,124.09,210
2005-09-09,126.32,128.56,126.32,126.32,6
2005-09-12,126.32,128.56,124.09,128.56,176
2005-09-13,124.09,128.56,124.09,126.32,158
2005-09-14,124.09,124.09,118.5,122.96,266
2005-09-15,121.84,121.84,115.14,121.84,33
2005-09-16,118.5,120.73,116.26,120.73,60
2005-09-19,117.37,122.96,117.37,120.73,233
2005-09-20,117.37,118.5,117.37,117.37,169
2005-09-21,118.5,118.5,116.26,116.26,66
2005-09-22,115.14,115.14,105.08,114.03,877
2005-09-23,114.03,116.26,111.78,115.14,358
2005-09-26,115.14,125.2,114.03,124.09,452
2005-09-27,121.84,121.84,120.73,121.84,266
2005-09-28,122.96,122.96,120.73,121.84,385
2005-09-29,116.26,120.73,116.26,120.73,161
2005-09-30,119.62,122.96,119.62,121.84,912
2005-10-03,122.96,122.96,117.37,119.62,416
2005-10-04,118.5,119.62,118.5,118.5,61
2005-10-05,118.5,118.5,117.37,117.37,163
2005-10-06,118.5,118.5,115.14,115.14,67
2005-10-07,114.03,120.73,114.03,116.26,161
2005-10-10,118.5,118.5,118.5,118.5,98
2005-10-11,117.37,120.73,117.37,120.73,45
2005-10-12,120.73,120.73,117.37,118.5,108
2005-10-13,118.5,118.5,117.37,117.37,235
2005-10-14,117.37,117.37,115.14,115.14,229
2005-10-17,117.37,117.37,115.14,115.14,6
2005-10-18,117.37,117.37,115.14,117.37,98
2005-10-19,117.37,117.37,115.14,115.14,51
2005-10-20,115.14,115.14,108.44,109.56,303
2005-10-21,109.56,114.03,109.56,109.56,19
2005-10-24,112.9,115.14,112.9,115.14,36
2005-10-25,115.14,118.5,115.14,118.5,30
2005-10-26,118.5,119.62,117.37,118.5,15365
2005-10-27,117.37,117.37,117.37,117.37,59
2005-10-28,115.14,117.37,115.14,117.37,136
2005-10-31,117.37,120.73,117.37,117.37,102
2005-11-02,117.37,117.37,116.26,116.26,319
2005-11-03,116.26,118.5,115.14,117.37,561
2005-11-04,119.62,122.96,118.5,118.5,1448
2005-11-07,121.84,122.96,116.26,116.26,1506
2005-11-08,118.5,118.5,116.26,116.26,124
2005-11-09,117.37,118.5,116.26,117.37,617
2005-11-10,117.37,118.5,116.26,118.5,2943
2005-11-14,120.73,126.32,119.62,125.2,1638
2005-11-15,126.32,128.56,125.2,125.2,626
2005-11-16,126.32,127.43,124.09,126.32,411
2005-11-17,126.32,130.79,125.2,130.79,670
2005-11-18,131.9,131.9,128.56,129.68,820
2005-11-21,127.43,128.56,125.2,125.2,127
2005-11-22,125.2,127.43,125.2,127.43,37
2005-11-23,124.09,127.43,124.09,127.43,25
2005-11-24,127.43,127.43,125.2,127.43,188
2005-11-25,127.43,127.43,124.09,127.43,287
2005-11-28,128.56,129.68,128.56,128.56,388
2005-11-29,128.56,129.68,128.56,128.56,757
2005-11-30,128.56,128.56,128.56,128.56,289
2005-12-01,127.43,128.56,127.43,128.56,217
2005-12-02,127.43,130.79,127.43,130.79,317
2005-12-05,130.79,137.49,130.79,134.15,1859
2005-12-06,137.49,138.62,133.02,137.49,1261
2005-12-07,138.62,139.74,136.38,138.62,195
2005-12-08,139.74,139.74,136.38,139.74,161
2005-12-09,139.74,143.08,135.26,139.74,734
2005-12-12,139.74,140.85,137.49,140.85,99
2005-12-13,139.74,139.74,138.62,139.74,87
2005-12-14,138.62,140.85,138.62,140.85,178
2005-12-15,143.08,152.03,143.08,148.68,1999
2005-12-16,152.03,155.39,148.68,149.8,1013
2005-12-19,149.8,154.27,149.8,154.27,485
2005-12-20,155.39,166.56,150.91,165.44,6763
2005-12-21,166.56,172.14,166.56,168.8,2976
