Date,Open,High,Low,Close,Volume
2008-02-28,419.559,453.621,359.1,361.011,4538.523845832
2008-02-29,361.011,368.55,292.95,343.98,642.9047670479999
2008-03-03,336.441,340.179,308.091,340.179,258.047621112
2008-03-04,343.98,368.55,326.949,347.781,108.714286584
2008-03-05,364.749,364.749,332.64,340.179,47.285714664
2008-03-06,343.98,343.98,330.75,330.75,15.95238108
2008-03-07,336.441,336.441,313.719,334.551,20.71428588
2008-03-10,317.52,319.41,308.091,309.981,120.047620008
2008-03-11,298.599,332.64,287.259,332.64,243.238097184
2008-03-12,326.949,349.671,323.211,340.179,259.095240168
2008-03-13,328.86,338.289,311.829,338.289,238.57143048
2008-03-14,334.551,334.551,321.321,332.64,7.761904823999999
2008-03-17,332.64,332.64,311.829,317.52,21.571428744
2008-03-18,304.29,323.211,304.29,309.981,20.71428588
2008-03-19,306.18,321.321,302.4,321.321,74.666667264
2008-03-20,321.321,328.86,321.321,326.949,16.142857272
2008-03-25,330.75,347.781,313.719,334.551,36.571428864
2008-03-26,334.551,334.551,334.551,334.551,0.047619048
2008-03-27,313.719,326.949,302.4,302.4,272.238097416
2008-03-28,302.4,311.829,302.4,304.29,55.904762352
2008-03-31,308.091,308.091,283.521,296.751,185.523811008
2008-04-01,289.17,296.751,283.521,283.521,94.809524568
2008-04-02,294.861,294.861,283.521,289.17,59.52381
2008-04-03,292.95,296.751,291.06,296.751,28.904762136
2008-04-04,292.95,296.751,292.95,296.751,4.428571464
2008-04-07,291.06,294.861,289.17,289.17,20.428571592
2008-04-08,294.861,294.861,275.94,275.94,6.42857148
2008-04-09,289.17,289.17,266.49,266.49,34.380952656
2008-04-10,258.909,268.401,255.171,268.401,35.333333616
2008-04-11,258.909,262.71,255.171,262.71,17.380952519999997
2008-04-14,264.6,264.6,264.6,264.6,13.238095344
2008-04-15,243.831,321.321,243.831,321.321,84.333334008
2008-04-16,270.291,298.599,270.291,298.599,1.809523824
2008-04-17,277.83,292.95,270.291,292.95,39.380952696
2008-04-18,285.369,296.751,275.94,275.94,21.857143032
2008-04-21,275.94,289.17,266.49,266.49,22.428571608
2008-04-22,291.06,291.06,251.37,274.029,24.095238288
2008-04-23,262.71,262.71,262.71,262.71,0.047619048
2008-04-24,274.029,274.029,253.26,253.26,4.333333368
2008-04-25,270.291,270.291,253.26,264.6,12.85714296
2008-04-28,253.26,262.71,253.26,253.26,10.7142858
2008-04-29,253.26,262.71,253.26,262.71,0.190476192
2008-04-30,260.799,260.799,236.25,260.799,6.523809576
2008-05-05,264.6,264.6,245.679,260.799,12.190476288
2008-05-06,255.171,268.401,232.449,266.49,40.71428604
2008-05-07,240.03,255.171,240.03,253.26,62.61904812
2008-05-08,247.569,257.061,238.14,238.14,4.380952416
2008-05-09,240.03,257.061,238.14,257.061,9.428571504
2008-05-12,238.14,253.26,234.339,238.14,21.380952552
2008-05-13,249.48,260.799,226.8,243.831,151.285715496
2008-05-14,230.601,245.679,204.12,230.601,26.761904976
2008-05-15,226.8,241.941,213.57,224.91,33.57142884
2008-05-16,224.91,236.25,209.79,236.25,133.476191544
2008-05-19,215.46,234.339,209.79,221.109,28.380952608
2008-05-20,232.449,232.449,217.35,226.8,6.666666719999999
2008-05-21,215.46,215.46,211.68,215.46,10.428571512
2008-05-26,207.9,207.9,190.892,190.892,4.619047655999999
2008-05-27,223.02,223.02,190.892,217.35,0.333333336
2008-05-28,221.109,221.109,198.45,202.23,15.23809536
2008-05-29,213.57,236.25,211.68,226.8,89.190476904
2008-05-30,236.25,241.941,221.109,241.941,33.09523836
2008-06-02,247.569,247.569,221.109,238.14,17.904762048
2008-06-03,221.109,223.02,209.79,221.109,21.571428744
2008-06-05,207.9,221.109,204.12,213.57,33.80952408
2008-06-06,207.9,213.57,202.23,202.23,19.28571444
2008-06-09,202.23,217.35,202.23,217.35,18.285714432
2008-06-10,209.79,209.79,209.79,209.79,6.523809576
2008-06-11,204.12,209.79,192.778,209.79,33.761905032
2008-06-12,213.57,213.57,213.57,213.57,1.0476190559999998
2008-06-16,213.57,213.57,213.57,213.57,4.238095272
2008-06-17,213.57,215.46,213.57,215.46,3.476190504
2008-06-19,207.9,207.9,207.9,207.9,4.238095272
2008-06-20,190.892,215.46,190.892,215.46,2.14285716
2008-06-23,215.46,215.46,215.46,215.46,0.4761904799999999
2008-06-24,215.46,215.46,215.46,215.46,0.047619048
2008-06-26,194.67,211.68,194.67,194.67,12.714285816
2008-06-27,196.558,209.79,190.892,209.79,33.3333336
2008-06-30,209.79,209.79,194.67,194.67,34.333333608
2008-07-01,179.548,181.44,179.548,179.548,25.380952584
2008-07-02,162.54,162.54,160.652,160.652,0.619047624
2008-07-03,160.652,175.77,160.652,175.77,58.142857608
2008-07-04,189.0,189.0,151.202,179.548,16.428571559999998
2008-07-07,153.088,168.21,153.088,168.21,10.00000008
2008-07-08,168.21,168.21,168.21,168.21,0.0
2008-07-09,153.088,171.99,153.088,171.99,62.904762408
2008-07-11,171.99,187.112,171.99,187.112,15.857142984
2008-07-14,162.54,181.44,162.54,181.44,10.571428656
2008-07-16,181.44,181.44,181.44,181.44,0.95238096
2008-07-17,164.432,187.112,164.432,185.22,55.285714728
2008-07-18,170.098,187.112,168.21,187.112,146.285715456
2008-07-21,190.892,190.892,187.112,187.112,12.952381056
2008-07-22,190.892,190.892,187.112,187.112,15.428571552
2008-07-23,187.112,200.34,187.112,198.45,8.285714352
2008-07-24,204.12,204.12,183.328,202.23,1.1904762
2008-07-28,192.778,192.778,192.778,192.778,3.190476216
2008-07-29,183.328,183.328,177.662,177.662,4.7619048
2008-07-30,171.99,198.45,171.99,198.45,22.714285896
2008-07-31,198.45,198.45,175.77,175.77,0.5238095279999999
2008-08-01,179.548,196.558,179.548,196.558,6.142857191999999
2008-08-05,179.548,202.23,179.548,200.34,11.047619136
2008-08-06,200.34,202.23,189.0,202.23,13.0952382
2008-08-07,185.22,202.23,185.22,202.23,5.809523855999999
2008-08-08,183.328,202.23,181.44,196.558,97.904762688
2008-08-11,196.558,196.558,187.112,189.0,41.761905096
2008-08-12,202.23,202.23,202.23,202.23,0.619047624
2008-08-13,202.23,204.12,190.892,204.12,23.761904952
2008-08-14,204.12,221.109,194.67,209.79,32.38095264
2008-08-18,209.79,209.79,198.45,206.01,6.333333384
2008-08-19,187.112,207.9,187.112,192.778,49.619048016
2008-08-21,198.45,198.45,198.45,198.45,5.666666712
2008-08-22,194.67,206.01,187.112,202.23,5.857142904
2008-08-25,202.23,202.23,202.23,202.23,10.571428656
2008-08-26,187.112,187.112,187.112,187.112,5.285714328
2008-08-27,190.892,190.892,190.892,190.892,3.190476216
2008-08-28,190.892,209.79,190.892,209.79,5.619047664
2008-08-29,190.892,206.01,190.892,206.01,20.190476352
