Date,Open,High,Low,Close,Volume
2025-02-19,0.98,1.46,0.98,1.46,54385
2025-02-20,1.69,1.7,1.44,1.5,61823
2025-02-21,1.5,1.75,1.5,1.65,55622
2025-02-24,1.6,1.6,1.49,1.51,22169
2025-02-25,1.5,1.54,1.46,1.5,6698
2025-02-26,1.54,1.54,1.48,1.48,636
2025-02-27,1.46,1.46,1.4,1.42,14086
2025-02-28,1.45,1.45,1.42,1.42,938
2025-03-03,1.41,1.5,1.4,1.43,16757
2025-03-04,1.4,1.4,1.38,1.38,7251
2025-03-05,1.38,1.38,1.38,1.38,1206
2025-03-06,1.38,1.41,1.35,1.38,13934
2025-03-07,1.35,1.35,1.26,1.34,15527
2025-03-10,1.29,1.29,1.22,1.27,5355
2025-03-11,1.29,1.39,1.29,1.39,7211
2025-03-12,1.3,1.4,1.3,1.4,4301
2025-03-13,1.3,1.3,1.3,1.3,4
2025-03-14,1.31,1.32,1.3,1.32,436
2025-03-17,1.46,1.5,1.33,1.33,28316
2025-03-18,1.31,1.32,1.3,1.3,1283
2025-03-19,1.3,1.3,1.3,1.3,112
2025-03-20,1.3,1.3,1.3,1.3,1307
2025-03-21,1.3,1.36,1.3,1.31,337
2025-03-24,1.3,1.4,1.3,1.4,105
2025-03-25,1.31,1.4,1.31,1.4,8
2025-03-26,1.31,1.31,1.31,1.31,3
2025-03-27,1.35,1.35,1.31,1.35,1472
2025-03-28,1.33,1.33,1.33,1.33,368
2025-03-31,1.32,1.32,1.32,1.32,1
2025-04-01,1.32,1.32,1.32,1.32,700
2025-04-02,1.32,1.32,1.32,1.32,649
2025-04-03,1.32,1.32,1.25,1.25,6892
2025-04-04,1.25,1.25,1.25,1.25,11
2025-04-07,1.25,1.25,1.22,1.22,20968
2025-04-08,1.3,1.3,1.22,1.22,1159
2025-04-09,1.25,1.26,1.2,1.2,15545
2025-04-10,1.2,1.2,1.1,1.1,38356
2025-04-11,1.1,1.17,1.05,1.06,14285
2025-04-14,1.1,1.2,1.1,1.2,17950
2025-04-15,1.2,1.2,1.09,1.18,23043
2025-04-16,1.1,1.1,1.1,1.1,228
2025-04-17,1.1,1.11,1.1,1.11,36
2025-04-22,1.12,1.2,1.12,1.2,4250
2025-04-23,1.15,1.2,1.15,1.2,2570
2025-04-24,1.21,1.29,1.2,1.29,9502
2025-04-25,1.21,1.28,1.2,1.25,2014
2025-04-28,1.2,1.2,1.13,1.13,852
2025-04-29,1.13,1.13,1.13,1.13,12
2025-04-30,1.13,1.13,1.13,1.13,542
