Date,Open,High,Low,Close,Volume
2024-05-28,49.65,50.1,44.51,48.06,33410128
2024-05-29,46.0,53.98,45.85,53.55,13367772
2024-05-30,54.78,58.82,54.67,56.98,16341565
2024-05-31,56.98,57.61,53.69,55.05,7193953
2024-06-03,54.71,58.24,54.71,55.94,7055575
2024-06-04,56.05,57.1035,54.73,57.0,3588387
2024-06-05,57.78,58.27,55.81,57.83,2616963
2024-06-06,57.59,58.9899,56.51,57.17,2664106
2024-06-07,57.17,57.357,55.74,56.85,2186330
2024-06-10,56.85,60.74,56.03,59.9,4578805
2024-06-11,59.68,62.69,57.92,61.87,4158865
2024-06-12,62.12,63.23,60.82,61.65,3660886
2024-06-13,61.35,65.0,61.35,61.63,4327450
2024-06-14,60.84,64.005,60.84,63.92,3300019
2024-06-17,62.99,64.98,61.66,64.7,3074122
2024-06-18,64.8,65.98,63.64,65.58,3088536
2024-06-20,65.41,66.98,63.8,64.71,2365940
2024-06-21,65.28,68.08,64.7901,67.99,5547096
2024-06-24,67.38,69.74,67.37,68.43,3283959
2024-06-25,69.54,70.65,68.75,69.71,3882363
2024-06-26,70.0,70.0,67.75,68.98,2018330
2024-06-27,69.35,70.48,66.69,66.95,2382015
2024-06-28,67.25,67.4999,65.14,67.0,4800029
2024-07-01,66.45,67.35,65.08,66.34,3966947
2024-07-02,65.83,66.88,63.88,64.5,2824770
2024-07-03,64.29,64.68,61.52,62.0,1993076
2024-07-05,63.06,70.0,62.84,70.0,4139258
2024-07-08,69.59,70.75,67.92,70.05,2679797
2024-07-09,70.05,71.32,68.75,70.27,3013202
2024-07-10,71.25,73.2799,70.28,73.1,2283130
2024-07-11,73.77,77.26,73.43,77.03,3687908
2024-07-12,77.0,77.93,75.57,76.71,4877109
2024-07-15,76.39,78.03,75.04,77.47,2183535
2024-07-16,78.3,78.87,76.245,77.98,2077625
2024-07-17,77.45,77.74,74.64,75.54,2271967
2024-07-18,75.57,77.1194,73.7,75.06,2390655
2024-07-19,75.66,77.0001,74.34,75.97,1260725
2024-07-22,76.54,77.4,75.2375,76.28,1659137
2024-07-23,75.61,76.95,75.6,75.99,1218270
2024-07-24,75.32,75.86,73.2417,74.43,1580535
2024-07-25,74.27,76.13,73.62,74.5,1718631
2024-07-26,75.28,75.28,72.9,74.54,1423882
2024-07-29,75.0,75.68,73.15,74.56,1206333
2024-07-30,74.56,77.1,72.88,72.91,1770364
2024-07-31,73.45,74.62,72.055,72.75,1576972
2024-08-01,72.85,75.64,72.33,75.33,1782560
2024-08-02,73.45,74.08,71.07,71.81,1862893
2024-08-05,67.31,72.4,67.22,71.19,2129422
2024-08-06,72.29,74.2,71.15,72.68,1306224
2024-08-07,73.67,73.67,70.29,70.99,1219912
2024-08-08,69.04,72.82,68.25,71.81,1586880
2024-08-09,72.81,74.01,71.895,73.98,1535316
2024-08-12,73.5,74.14,72.2,74.09,2219149
2024-08-13,75.81,77.05,74.95,76.38,1909282
2024-08-14,76.5,76.9317,74.41,74.87,1665378
2024-08-15,75.41,75.55,70.56,74.14,2854887
2024-08-16,73.34,78.5,73.26,76.2,5121134
2024-08-19,75.9,77.64,75.5,77.59,2425767
2024-08-20,77.23,77.5,74.625,76.19,2216387
2024-08-21,76.15,77.19,75.64,77.01,1725063
2024-08-22,77.2,80.53,76.51,79.01,3396093
2024-08-23,79.09,80.3,76.74,78.84,4967392
2024-08-26,79.0,79.06,75.02,75.21,2381301
2024-08-27,74.99,77.3599,74.06,77.11,1636417
2024-08-28,76.97,77.7594,76.01,76.53,1520251
2024-08-29,76.7,78.24,76.23,76.33,1166758
2024-08-30,76.49,76.785,74.74,76.47,1721936
2024-09-03,77.55,78.1,73.18,73.305,2175793
2024-09-04,72.62,75.49,71.8201,75.25,1347439
2024-09-05,75.39,75.68,72.73,72.91,889557
2024-09-06,72.72,73.22,70.19,71.04,1752036
2024-09-09,71.29,72.88,71.06,71.82,2344995
2024-09-10,71.46,72.12,70.6325,71.57,2057965
2024-09-11,71.25,74.43,71.13,72.76,1567524
2024-09-12,72.73,74.93,72.68,73.91,1366141
2024-09-13,74.14,74.91,73.52,74.66,1495656
2024-09-16,74.93,75.56,72.44,73.23,1402957
2024-09-17,73.58,75.48,72.38,73.26,1368213
2024-09-18,73.58,74.53,72.58,72.87,1489359
2024-09-19,74.1,76.26,73.67,74.97,1873729
2024-09-20,74.86,75.53,73.8325,74.21,7110696
2024-09-23,74.01,74.615,71.19,71.82,1737361
2024-09-24,71.79,72.78,70.0,72.63,1900758
2024-09-25,72.74,73.46,72.22,72.735,1457025
2024-09-26,73.33,73.8,72.1602,72.87,1560937
2024-09-27,73.05,73.28,72.04,72.48,879133
2024-09-30,72.63,74.19,71.65,73.0,1780769
2024-10-01,73.0,73.12,71.74,72.88,1291180
2024-10-02,72.0,73.6,71.17,73.02,2059617
2024-10-03,72.62,73.81,71.11,71.4,1121943
2024-10-04,72.31,72.68,71.17,72.27,1251808
2024-10-07,72.14,72.36,70.2,70.5,960338
2024-10-08,70.78,72.59,70.4,71.37,1033454
2024-10-09,71.27,71.39,69.71,69.96,1150596
2024-10-10,69.36,71.75,69.08,71.7,911660
2024-10-11,72.15,74.59,71.54,74.56,1327808
2024-10-14,74.56,75.46,73.74,75.08,1028965
2024-10-15,75.27,75.67,74.0567,74.66,813455
2024-10-16,74.87,77.7,74.6766,76.65,991959
2024-10-17,76.51,76.9,73.99,74.27,1211499
2024-10-18,74.46,75.75,74.16,74.54,906260
