Date,Open,High,Low,Close,Volume
2024-05-31,3.7,3.7,3.33,3.7,6134
2024-06-03,3.68,3.75,3.4,3.75,23051
2024-06-04,3.75,3.9,3.58,3.78,17537
2024-06-05,3.79,3.79,3.68,3.77,2111
2024-06-06,3.77,3.87,3.76,3.87,3849
2024-06-07,3.87,3.87,3.6,3.86,4607
2024-06-10,3.78,3.78,3.55,3.66,6266
2024-06-11,4.1,4.25,3.5,3.67,231699
2024-06-12,3.67,3.72,3.0,3.02,207823
2024-06-13,3.0,3.13,2.91,3.07,65063
2024-06-14,3.02,3.08,2.84,3.02,31083
2024-06-17,3.1,3.11,2.92,2.92,23322
2024-06-18,3.0,3.0,2.72,2.83,25725
2024-06-19,2.83,2.83,2.71,2.78,15858
2024-06-20,2.79,2.79,2.62,2.7,33821
2024-06-21,2.7,2.7,2.51,2.62,45427
2024-06-24,2.57,2.71,2.52,2.65,33481
2024-06-25,2.7,2.75,2.62,2.7,19960
2024-06-26,2.7,2.9,2.7,2.88,19926
2024-06-27,3.09,3.19,2.97,3.07,71992
2024-06-28,3.12,3.13,3.0,3.1,12369
2024-07-01,3.1,3.19,3.02,3.12,5034
2024-07-02,3.15,3.15,3.01,3.08,18104
2024-07-03,3.08,3.29,3.08,3.27,40491
2024-07-04,3.26,3.37,3.17,3.3,25528
2024-07-05,3.3,3.36,3.16,3.26,11734
2024-07-08,3.28,3.3,3.17,3.17,10981
2024-07-09,3.17,3.18,3.11,3.12,7404
2024-07-10,3.11,3.3,3.11,3.24,7619
2024-07-11,3.24,3.24,3.08,3.1,9629
2024-07-12,3.06,3.19,3.06,3.07,2419
2024-07-15,3.16,3.22,3.05,3.05,5182
2024-07-16,3.05,3.05,2.8,2.9,32013
2024-07-17,2.77,2.88,2.73,2.8,14395
2024-07-18,2.8,2.8,2.72,2.79,6121
2024-07-19,2.87,2.87,2.63,2.76,16626
2024-07-22,2.68,2.83,2.55,2.69,38193
2024-07-23,2.64,2.76,2.6,2.72,9971
2024-07-24,2.72,2.72,2.6,2.71,1091
2024-07-25,2.58,2.7,2.52,2.6,6178
2024-07-26,2.52,2.68,2.52,2.66,2896
2024-07-29,2.66,2.72,2.51,2.68,3916
2024-07-30,2.67,2.67,2.57,2.67,530
2024-07-31,2.6,2.6,2.35,2.47,13539
2024-08-01,2.56,2.57,2.39,2.39,13610
2024-08-02,2.4,2.45,2.36,2.4,10517
2024-08-05,2.36,2.41,2.13,2.29,13313
2024-08-06,2.32,2.35,2.32,2.34,3773
2024-08-07,2.33,2.37,2.19,2.37,4330
2024-08-08,2.37,2.41,2.05,2.05,98242
2024-08-09,2.12,2.23,2.06,2.09,17350
2024-08-12,2.18,2.18,2.11,2.16,1153
2024-08-13,2.19,2.38,2.13,2.34,15689
2024-08-14,2.31,2.31,2.21,2.31,9180
2024-08-16,2.35,2.35,2.21,2.35,1343
2024-08-19,2.25,2.35,2.22,2.32,2205
2024-08-20,2.2,2.32,2.2,2.3,1673
2024-08-21,2.3,2.3,2.21,2.28,7481
2024-08-22,2.26,2.33,2.15,2.2,4415
2024-08-23,2.21,2.33,2.19,2.33,8940
2024-08-26,2.32,2.37,2.23,2.36,7156
2024-08-27,2.43,2.43,2.26,2.36,1370
2024-08-28,2.35,2.41,2.25,2.33,13614
2024-08-29,2.25,2.33,2.2,2.32,11510
2024-08-30,2.24,2.32,2.23,2.32,520
2024-09-02,2.3,2.3,2.11,2.28,3973
2024-09-03,2.2,2.28,2.19,2.28,2356
2024-09-04,2.28,2.3,2.12,2.16,4755
2024-09-05,2.18,2.27,2.17,2.27,3562
2024-09-06,2.27,2.36,2.27,2.3,1010
2024-09-09,2.3,2.36,2.16,2.29,2788
2024-09-10,2.29,2.29,2.16,2.29,4947
2024-09-11,2.27,2.27,2.18,2.27,151
2024-09-12,2.27,2.27,2.18,2.18,2910
2024-09-13,2.24,2.36,2.2,2.3,3935
2024-09-16,2.25,2.4,2.25,2.4,2433
2024-09-17,2.4,2.4,2.18,2.24,2420
2024-09-18,2.36,2.44,2.28,2.28,9509
2024-09-19,2.28,2.37,2.2,2.34,2465
2024-09-20,2.39,2.39,2.2,2.34,1468
2024-09-23,2.35,2.35,2.22,2.31,496
2024-09-24,2.31,2.32,2.2,2.31,4672
2024-09-25,2.2,2.31,2.2,2.31,10030
2024-09-26,2.37,2.39,2.22,2.36,2044
2024-09-27,2.27,2.31,2.2,2.31,1537
2024-09-30,2.32,2.39,2.2,2.39,7887
2024-10-01,2.2,2.31,2.2,2.31,1605
2024-10-02,2.31,2.38,2.21,2.38,2094
2024-10-03,2.37,2.38,2.37,2.38,50
2024-10-04,2.22,2.38,2.21,2.38,1825
