Date,Open,High,Low,Close,Volume
1998-02-17,1.93121,2.0726,1.93121,2.0726,1804.2226971202
1998-02-18,2.2137,2.2137,2.0726,2.0726,2006.4565792505
1998-02-19,2.26102,2.44943,2.26102,2.44943,7430.7716481161
1998-02-20,2.63785,2.82627,2.5435,2.82627,11357.920699536
1998-02-23,3.01469,3.39152,3.01469,3.39152,27599.101422028
1998-02-24,3.48559,3.48559,3.29717,3.29717,5838.3121783574
1998-02-25,3.39152,3.39152,3.10875,3.10875,4002.3249971329
1998-02-26,3.08042,3.11811,3.08042,3.10875,10582.867287392
1998-02-27,2.82627,3.10875,2.82627,3.10875,2122.9263542993
1998-03-02,2.82627,3.20311,2.82627,3.20311,3396.6821668789
1998-03-06,2.63785,2.63785,2.63785,2.63785,1061.9925852181
1998-03-09,2.63785,2.63785,2.40212,2.49647,8598.6458470149
1998-03-10,2.63785,2.63785,2.63785,2.63785,3184.9189395174
1998-03-11,2.35508,2.35508,2.35508,2.35508,1061.9925852181
1998-03-12,2.16666,2.40212,2.16666,2.26102,2897.9797664425
1998-03-16,2.35508,2.35508,2.26102,2.35508,2335.7483977977
1998-03-17,2.36443,2.36443,2.36443,2.36443,849.17054171973
1998-03-18,2.3174,2.3174,2.02528,2.03491,9256.1706679724
1998-03-20,2.2137,2.2137,2.20435,2.2137,4426.9102679928
1998-03-23,2.2137,2.2137,2.16666,2.16666,4628.0853339862
1998-03-24,2.16666,2.2137,2.16666,2.19499,7749.4753052952
1998-03-25,2.16666,2.16666,2.16666,2.16666,1061.9925852181
1998-03-26,2.16666,2.16666,2.12898,2.12898,1550.1068242864
1998-03-27,2.16666,2.16666,2.16666,2.16666,3184.9189395174
1998-03-30,2.16666,2.16666,2.16666,2.16666,530.46688454063
1998-04-01,2.04426,2.14796,2.04426,2.14796,2547.5116251592
1998-04-02,2.02528,2.02528,2.02528,2.02528,318.7036571791
1998-04-06,2.0726,2.0726,2.03491,2.03491,1666.5765993352
1998-04-07,2.02528,2.0726,2.02528,2.0726,2845.0389596021
1998-04-08,2.0726,2.0726,2.0726,2.0726,1061.9925852181
1998-04-09,2.05362,2.05362,2.05362,2.05362,1061.9925852181
1998-04-14,2.04426,2.05362,2.04426,2.05362,1783.0463743841
1998-04-15,2.04426,2.0726,2.04426,2.0726,4670.4379794585
1998-04-16,2.02528,2.0726,2.02528,2.0726,1857.1635039606
1998-04-17,2.0726,2.0726,2.06296,2.06296,2122.9263542993
1998-04-20,2.0726,2.0726,2.0726,2.0726,530.46688454063
1998-04-21,2.0726,2.0726,2.0726,2.0726,1486.5778560779
1998-04-23,2.0726,2.0726,2.0726,2.0726,1061.9925852181
1998-04-27,1.97824,1.99723,1.97824,1.97824,2653.39323884
1998-04-28,1.93121,1.93121,1.93121,1.93121,647.99547572628
1998-04-30,1.97824,1.97824,1.97824,1.97824,158.82242052115
1998-05-04,1.89353,1.89353,1.89353,1.89353,1061.9925852181
1998-05-08,1.88418,1.88418,1.88418,1.88418,530.46688454063
1998-05-11,1.88418,1.88418,1.83715,1.83715,3184.9189395174
1998-05-12,1.83715,1.83715,1.80881,1.80881,2122.9263542993
1998-05-13,1.88418,1.88418,1.88418,1.88418,1061.9925852181
1998-05-14,1.88418,1.88418,1.88418,1.88418,743.28892803897
1998-05-19,1.80881,1.80881,1.80881,1.80881,1592.4594697587
1998-05-20,1.80881,1.80881,1.78983,1.78983,1804.2226971202
1998-05-22,1.79946,1.79946,1.79946,1.79946,1061.9925852181
1998-05-25,1.78983,1.78983,1.78048,1.78048,1911.1631269378
1998-05-26,1.78048,1.78048,1.69576,1.69576,3991.7368357648
1998-05-27,1.69576,1.69576,1.69576,1.69576,105.88161368076
1998-06-01,1.69576,1.69576,1.60141,1.60141,3842.4437604749
1998-06-05,1.50734,1.50734,1.50734,1.50734,1740.6937289118
1998-06-10,1.60141,1.60141,1.50734,1.50734,4564.5563657778
1998-06-15,1.60141,1.60141,1.60141,1.60141,1061.9925852181
1998-06-16,1.74279,1.74279,1.48836,1.48836,5200.9048639992
1998-06-24,1.50734,1.50734,1.49799,1.49799,2122.9263542993
1998-06-25,1.43198,1.43198,1.43198,1.43198,1061.9925852181
1998-06-29,1.41299,1.41299,1.39429,1.39429,3683.6213399538
1998-06-30,1.39429,1.41299,1.31893,1.41299,3715.385824058
1998-07-01,1.31893,1.31893,1.31893,1.31893,1114.9333920585
1998-07-20,1.36596,1.36596,1.36596,1.36596,1061.9925852181
1998-07-21,1.31893,1.31893,1.31893,1.31893,1061.9925852181
1998-07-22,1.31893,1.31893,1.31893,1.31893,1273.7558125796
1998-08-07,1.31893,1.31893,1.31893,1.31893,1061.9925852181
1998-08-10,1.31893,1.31893,1.31893,1.31893,1061.9925852181
1998-08-11,1.31893,1.31893,1.31893,1.31893,530.46688454063
1998-08-13,1.27189,1.27189,1.22457,1.22457,2122.9263542993
1998-08-14,1.13051,1.13051,1.11153,1.11153,2122.9263542993
1998-08-27,0.94209,0.94209,0.94209,0.94209,2122.9263542993
1998-08-28,0.753672,0.753672,0.659321,0.659321,3184.9189395174
1998-08-31,0.94209,0.94209,0.94209,0.94209,2122.9263542993
1998-10-06,0.565254,0.565254,0.51822,0.51822,2122.9263542993
1998-11-10,0.51822,0.51822,0.376836,0.376836,4245.8527085987
1998-11-17,0.386186,0.386186,0.386186,0.386186,827.99421898358
1998-11-18,0.386186,0.386186,0.386186,0.386186,3184.9189395174
1998-11-23,0.376836,0.376836,0.376836,0.376836,6368.779062898
1998-11-24,0.376836,0.376836,0.376836,0.376836,10614.631771496
1998-11-25,0.329802,0.329802,0.329802,0.329802,1061.9925852181
1998-11-26,0.376836,0.376836,0.376836,0.376836,1061.9925852181
1998-11-27,0.376836,0.376836,0.376836,0.376836,20518.797915196
1998-11-30,0.395536,0.395536,0.395536,0.395536,1061.9925852181
1998-12-01,0.395536,0.461553,0.395536,0.461553,7536.6532617968
1998-12-07,0.612288,0.612288,0.612288,0.612288,105.88161368076
1998-12-11,0.612288,0.612288,0.612288,0.612288,2473.3944955827
1998-12-23,0.499237,0.499237,0.499237,0.499237,7324.8900344353
1998-12-30,0.565254,0.565254,0.565254,0.565254,2388.689204638
1998-12-31,0.602938,0.602938,0.602938,0.602938,105.88161368076
1999-01-04,0.51822,0.51822,0.51822,0.51822,2122.9263542993
1999-01-05,0.602938,0.602938,0.602938,0.602938,105.88161368076
1999-01-15,0.51822,0.51822,0.51822,0.51822,10402.868544135
1999-02-05,0.470903,0.470903,0.470903,0.470903,265.76285033872
1999-02-09,0.470903,0.470903,0.470903,0.470903,2122.9263542993
1999-02-10,0.470903,0.470903,0.470903,0.470903,2122.9263542993
1999-03-11,0.46637,0.46637,0.46637,0.46637,1061.9925852181
1999-03-22,0.395536,0.395536,0.395536,0.395536,1061.9925852181
1999-03-30,0.391003,0.391003,0.391003,0.391003,1061.9925852181
1999-04-09,0.405169,0.405169,0.405169,0.405169,424.58527085987
1999-04-12,0.405169,0.405169,0.405169,0.405169,849.17054171973
1999-04-14,0.405169,0.405169,0.405169,0.405169,849.17054171973
1999-04-22,0.447386,0.452203,0.447386,0.452203,2653.39323884
1999-04-26,0.42387,0.42387,0.42387,0.42387,1061.9925852181
1999-04-27,0.391003,0.391003,0.391003,0.391003,4245.8527085987
1999-05-04,0.47572,0.513404,0.47572,0.513404,2122.9263542993
1999-05-06,0.386186,0.386186,0.386186,0.386186,1061.9925852181
1999-05-10,0.386186,0.386186,0.386186,0.386186,1061.9925852181
1999-05-12,0.42387,0.42387,0.42387,0.42387,2653.39323884
1999-05-13,0.442853,0.499237,0.442853,0.489887,13799.550711014
1999-05-14,0.513404,0.697005,0.513404,0.659321,33914.939678085
1999-05-17,0.772372,0.772372,0.697005,0.697005,16452.943949854
1999-05-18,0.767839,0.767839,0.767839,0.767839,3184.9189395174
1999-05-19,0.772372,0.791356,0.753672,0.782005,18151.285033294
1999-05-20,0.791356,0.791356,0.786539,0.786539,9340.875958917
1999-05-21,0.782005,0.791356,0.777189,0.777189,4108.2066108137
1999-05-24,0.810056,0.843206,0.796172,0.838389,23671.952370608
1999-05-25,0.800706,0.800706,0.800706,0.800706,10614.631771496
1999-05-27,0.748855,0.753672,0.706638,0.706638,4426.9102679928
1999-06-01,0.659321,0.659321,0.659321,0.659321,1061.9925852181
1999-06-07,0.659321,0.659321,0.659321,0.659321,1061.9925852181
1999-06-11,0.659321,0.659321,0.659321,0.659321,318.7036571791
1999-06-15,0.583954,0.583954,0.583954,0.583954,743.28892803897
1999-06-16,0.565254,0.583954,0.565254,0.583954,1804.2226971202
1999-06-28,0.574604,0.574604,0.574604,0.574604,1061.9925852181
1999-06-29,0.574604,0.612288,0.574604,0.612288,2866.2152823383
1999-07-12,0.621638,0.621638,0.621638,0.621638,2122.9263542993
1999-07-23,0.574604,0.574604,0.574604,0.574604,1061.9925852181
1999-08-06,0.565254,0.565254,0.565254,0.565254,1061.9925852181
1999-08-10,0.51822,0.51822,0.51822,0.51822,1061.9925852181
1999-08-30,0.470903,0.470903,0.46637,0.46637,1539.5186629183
1999-09-01,0.470903,0.470903,0.470903,0.470903,2122.9263542993
1999-09-03,0.51822,0.51822,0.51822,0.51822,424.58527085987
1999-09-17,0.555904,0.555904,0.376836,0.376836,955.0521554005
