Date,Open,High,Low,Close,Volume
2023-05-30,2.55577,2.58266,2.54679,2.56473,17402.676287244
2023-05-31,2.56473,2.56473,2.52886,2.55577,29772.783172699
2023-06-01,2.55577,2.55577,2.47506,2.51989,29856.417718486
2023-06-02,2.51092,2.57369,2.47506,2.55577,28972.121787703
2023-06-05,2.57369,2.57369,2.52886,2.52886,16168.230391436
2023-06-06,2.52886,2.56473,2.52886,2.56473,3055.4487393983
2023-06-07,2.56473,2.65441,2.56473,2.61853,38338.075788508
2023-06-09,2.64544,2.65441,2.60059,2.60957,42661.424242029
2023-06-12,2.65441,2.77995,2.64544,2.71718,103406.86753764
2023-06-13,2.70821,2.75305,2.69924,2.69924,20186.033971018
2023-06-14,2.73512,2.73512,2.69027,2.69027,51862.339405815
2023-06-15,2.69027,2.71718,2.61853,2.68131,18632.661673944
2023-06-16,2.69027,2.72614,2.69027,2.69027,17109.397813353
2023-06-19,2.69027,2.70821,2.67233,2.70821,3519.3416866938
2023-06-20,2.67233,2.68131,2.65441,2.65441,4730.3699096816
2023-06-21,2.67233,2.69924,2.60059,2.69027,14869.107113554
2023-06-22,2.68131,2.69027,2.61853,2.65441,4962.3163833293
2023-06-23,2.67233,2.67233,2.61853,2.64544,6250.2883884406
2023-06-26,2.61853,2.67233,2.59163,2.61853,10854.648915804
2023-06-27,2.64544,2.64544,2.58266,2.60059,15717.718971466
2023-06-28,2.58266,2.61853,2.56473,2.58266,16372.298683155
2023-06-29,2.63647,2.66338,2.58266,2.64544,19221.44887628
2023-06-30,2.60957,2.67233,2.58266,2.60059,28892.947751025
2023-07-03,2.60059,2.63647,2.60059,2.6275,9842.1133481493
2023-07-04,2.60957,2.6275,2.56473,2.61853,21966.89223263
2023-07-05,2.61853,2.82479,2.52886,2.61853,90548.334904795
2023-07-06,2.64659,2.67465,2.59983,2.63724,21906.751737344
2023-07-07,2.64659,2.73076,2.62789,2.64659,28916.014081186
2023-07-10,2.65594,2.71205,2.59983,2.63724,36335.887674462
2023-07-11,2.63724,2.66529,2.60918,2.62789,12526.851008102
2023-07-12,2.64659,2.67465,2.64659,2.64659,8174.7994841605
2023-07-13,2.67465,2.684,2.65594,2.67465,19180.036409076
2023-07-14,2.67465,2.69335,2.62789,2.62789,27104.619663113
2023-07-17,2.66529,2.69335,2.61853,2.67465,15505.921166751
2023-07-18,2.67465,2.7027,2.61853,2.69335,32864.939456596
2023-07-19,2.69335,2.69335,2.62789,2.64659,25514.570371688
2023-07-20,2.66529,2.69335,2.62789,2.66529,7688.2679255872
2023-07-21,2.65594,2.72141,2.64659,2.72141,14937.053498265
2023-07-24,2.71205,2.76817,2.62789,2.69335,31851.242934557
2023-07-25,2.684,2.684,2.59983,2.64659,39845.330696962
2023-07-26,2.61853,2.61853,2.52501,2.55307,100806.13103601
2023-07-27,2.55307,2.59983,2.52501,2.52501,55947.921335546
2023-07-28,2.51566,2.53437,2.48761,2.50631,30342.460452915
2023-07-31,2.49696,2.53437,2.4689,2.53437,15850.235808203
2023-08-01,2.51566,2.61853,2.51566,2.59983,35626.941689112
2023-08-02,2.59983,2.59983,2.50631,2.56242,14493.293944841
2023-08-03,2.51566,2.54372,2.51566,2.53437,3779.9759550696
2023-08-04,2.55307,2.55307,2.50631,2.50631,13190.886388045
2023-08-07,2.50631,2.58113,2.50631,2.53437,21393.487675553
2023-08-08,2.51566,2.51566,2.49696,2.49696,5967.7640184565
2023-08-09,2.49696,2.52501,2.45955,2.49696,16206.312751071
2023-08-10,2.49696,2.55307,2.49696,2.53437,19021.779990024
2023-08-11,2.53437,2.53437,2.51566,2.51566,4581.9510516191
2023-08-14,2.52501,2.52501,2.48761,2.48761,4731.6530696416
2023-08-16,2.49696,2.52501,2.47825,2.49696,11883.132330605
2023-08-17,2.50631,2.52501,2.49696,2.51566,5393.5498493271
2023-08-18,2.49696,2.52501,2.47825,2.47825,6327.0488617106
2023-08-21,2.48761,2.48761,2.4689,2.47825,8453.8868177597
2023-08-22,2.4689,2.4689,2.44085,2.4689,11776.202317732
2023-08-23,2.4502,2.50631,2.44085,2.4689,17220.009273109
2023-08-24,2.48761,2.48761,2.44085,2.47825,5708.9933873032
2023-08-25,2.47825,2.47825,2.4502,2.47825,2403.7866893908
2023-08-28,2.48761,2.48761,2.4502,2.48761,3207.9003861977
2023-08-29,2.45955,2.48761,2.43149,2.44085,16913.120136163
2023-08-30,2.47825,2.48761,2.41279,2.45955,4422.6253324379
2023-08-31,2.4689,2.47825,2.41279,2.4502,9392.7323307869
2023-09-01,2.4502,2.4689,2.4502,2.4689,1457.4560754625
2023-09-04,2.4689,2.4689,2.39409,2.45955,23435.850921432
2023-09-05,2.45955,2.45955,2.43149,2.45955,1241.4574494585
2023-09-06,2.44085,2.4689,2.41279,2.42214,6213.703048065
2023-09-07,2.42214,2.4689,2.39409,2.44085,3416.4139113006
2023-09-08,2.42214,2.49696,2.41279,2.49696,20366.959551969
2023-09-11,2.47825,2.49696,2.40344,2.4689,9706.0372685056
