Date,Open,High,Low,Close,Volume
2007-08-23,7.0292,7.1032,6.2893,6.317,977597
2007-08-24,6.2708,6.5205,6.0395,6.391,114498
2007-08-27,6.613,6.613,6.3818,6.391,141115
2007-08-28,6.4558,6.4558,6.243,6.2893,61321
2007-08-29,6.1505,6.1505,5.8453,6.0488,53165
2007-08-30,6.28,6.317,5.9563,6.1413,118701
2007-08-31,6.1968,6.2708,6.0118,6.2523,39098
2007-09-03,6.2893,6.3263,6.1413,6.28,71481
2007-09-04,6.4095,6.4095,5.9193,6.28,40131
2007-09-05,6.1505,6.2893,6.0211,6.0211,28489
2007-09-06,5.9378,6.1598,5.9378,5.9656,22405
2007-09-07,6.132,6.132,5.7713,5.9563,34656
2007-09-10,5.8916,5.8916,5.6603,5.7528,11641
2007-09-11,5.7436,5.8731,5.6881,5.7806,6187
2007-09-12,5.7343,5.8083,5.7066,5.7251,16805
2007-09-13,5.6973,5.8638,5.6973,5.7991,4991
2007-09-14,5.8268,5.8453,5.6048,5.6973,12899
2007-09-17,5.6511,5.8176,5.3274,5.4939,25997
2007-09-18,5.5401,5.7066,5.5031,5.5031,18825
2007-09-19,5.7066,5.7806,5.5679,5.7066,15230
2007-09-20,5.6881,5.6881,5.5216,5.5494,15883
2007-09-21,5.5494,5.8083,5.5494,5.6696,27995
2007-09-24,5.5401,5.5956,5.4754,5.5956,21584
2007-09-25,5.4846,5.4846,5.4199,5.4476,10893
2007-09-26,5.5494,5.5771,5.5309,5.5494,9265
2007-09-27,5.5494,5.5494,5.4199,5.5309,5769
2007-09-28,5.5864,5.5864,5.3644,5.4106,13452
2007-10-01,5.2349,5.4106,5.1332,5.2256,12556
2007-10-02,5.2256,5.3829,5.1332,5.2719,13732
2007-10-03,5.3644,5.4569,5.1794,5.4014,10656
2007-10-04,5.3644,5.7343,5.1794,5.5494,50222
2007-10-05,5.7621,5.7621,5.5494,5.6233,14910
2007-10-08,6.2893,6.2893,5.6881,5.6973,17440
2007-10-09,5.8731,5.8731,5.4291,5.6696,8005
2007-10-10,5.5494,5.6418,5.4106,5.4199,17370
2007-10-11,5.4106,5.4846,5.3644,5.4569,17112
2007-10-12,5.3274,5.4569,5.0869,5.3644,18083
2007-10-15,5.2719,5.4939,5.2719,5.3274,8839
2007-10-16,5.3644,5.3644,5.2256,5.3644,7646
2007-10-17,5.3644,5.5494,5.2719,5.4569,10949
2007-10-18,5.5031,5.5031,5.3181,5.4106,18967
2007-10-19,5.4569,5.4569,5.3181,5.4014,6074
2007-10-22,5.4014,5.4014,5.2534,5.2626,14482
2007-10-23,5.3644,5.3736,5.2626,5.3644,3877
2007-10-24,5.2719,5.4476,5.2719,5.4014,1758
2007-10-25,5.4014,5.4014,5.2996,5.3921,1088
2007-10-26,5.3089,5.3829,5.2626,5.3829,10144
2007-10-29,5.2811,5.4291,5.2441,5.2441,15534
2007-10-30,5.2441,5.3921,5.1794,5.3736,47534
2007-10-31,5.3644,5.5309,5.3274,5.5031,12457
2007-11-02,5.3551,5.6233,5.3459,5.5031,7451
2007-11-05,5.5679,5.5679,5.3274,5.4939,2913
2007-11-06,5.4754,5.4846,5.2996,5.3089,5014
2007-11-07,5.3644,5.3644,4.9482,4.9574,15229
2007-11-08,4.3285,5.0407,4.3285,4.9574,39775
2007-11-09,5.0869,5.2626,4.7262,4.8094,18747
2007-11-12,4.6337,4.7632,4.569,4.6985,21103
2007-11-13,4.532,4.5967,4.4395,4.5782,20132
2007-11-14,4.5967,4.5967,4.3932,4.532,31817
2007-11-15,4.532,4.569,4.0788,4.1158,51484
2007-11-16,4.1158,4.1158,3.7921,3.9955,17777
2007-11-19,4.0233,4.2453,3.7921,3.8661,4528
2007-11-20,3.7921,3.8106,3.4868,3.7828,67368
2007-11-21,3.7088,3.7921,3.4129,3.5053,40848
2007-11-22,3.5053,3.5516,3.1724,3.5146,38329
2007-11-23,3.977,4.0603,3.3759,3.3759,35461
2007-11-26,3.3574,3.5793,3.2834,3.2834,34008
2007-11-27,3.2834,3.6071,3.2371,3.6071,30731
2007-11-28,3.6718,3.7828,3.5146,3.7828,46903
2007-11-29,3.8938,4.0233,3.6348,3.7921,32200
2007-11-30,3.7921,3.94,3.6996,3.8845,16533
2007-12-03,3.7921,3.7921,3.6996,3.7921,4898
2007-12-04,3.6718,3.7921,3.5146,3.7366,8624
2007-12-05,3.5886,3.94,3.5886,3.9308,20061
2007-12-06,3.9308,3.9955,3.8291,3.9678,24727
2007-12-07,3.9493,3.9678,3.7921,3.9215,11842
2007-12-10,3.9493,3.9863,3.7551,3.903,22404
2007-12-11,3.8198,3.8753,3.6996,3.7366,18538
2007-12-12,3.6718,3.7458,3.6626,3.7366,16214
2007-12-13,3.6718,3.6996,3.5608,3.6996,16562
2007-12-14,3.6903,3.6996,3.6071,3.6996,11808
2007-12-17,3.6533,3.6533,3.5331,3.6071,56585
2007-12-18,3.5146,3.6533,3.4221,3.6071,22126
2007-12-19,3.5608,3.6626,3.5608,3.6163,39645
2007-12-20,3.5701,3.6718,3.4683,3.6256,74616
2007-12-21,3.5146,3.6533,3.4961,3.6441,140427
2007-12-27,3.6533,3.9585,3.6533,3.6996,10315
2007-12-28,3.8661,3.8661,3.6533,3.6533,2623
2008-01-02,3.6256,3.6718,3.5793,3.6718,13632
2008-01-03,3.6071,3.6718,3.5793,3.6718,48752
2008-01-04,3.6163,3.6626,3.5701,3.6071,24843
2008-01-07,3.5701,3.6071,3.5701,3.5886,10184
2008-01-08,3.5978,3.6441,3.5886,3.6071,69732
2008-01-09,3.5516,3.5608,3.4961,3.5608,18188
2008-01-10,3.5978,3.5978,3.4683,3.5608,5686
2008-01-11,3.5701,3.5701,3.4221,3.4314,9225
2008-01-14,3.3759,3.3759,3.0614,3.3574,38932
2008-01-15,3.3296,3.3296,3.1446,3.1446,8282
2008-01-16,2.9967,3.1169,2.8672,3.0059,19636
