Date,Open,High,Low,Close,Volume
2023-05-30,6.62,6.8,6.62,6.7,11207
2023-05-31,6.64,6.66,6.5,6.6,8420
2023-06-01,6.64,6.64,6.44,6.6,17933
2023-06-02,6.64,6.64,6.34,6.5,11386
2023-06-05,6.56,6.7,6.52,6.6,4892
2023-06-06,6.68,6.68,6.6,6.62,818
2023-06-07,6.7,6.76,6.62,6.76,16040
2023-06-09,6.78,6.94,6.76,6.76,24311
2023-06-12,6.78,7.26,6.76,7.1,40840
2023-06-13,7.18,7.52,7.14,7.5,39551
2023-06-14,7.62,7.88,7.26,7.4,38310
2023-06-15,7.48,7.54,7.32,7.38,12405
2023-06-16,7.34,8.46,7.24,8.18,130475
2023-06-19,8.28,8.48,7.8,7.9,30159
2023-06-20,7.96,7.98,7.68,7.7,10009
2023-06-21,7.7,7.8,7.54,7.74,15051
2023-06-22,7.72,7.72,7.4,7.5,7848
2023-06-23,7.5,7.74,7.32,7.5,13667
2023-06-26,7.36,7.5,7.3,7.36,5076
2023-06-27,7.34,7.34,7.12,7.28,11911
2023-06-28,7.24,7.5,7.18,7.48,13874
2023-06-29,7.32,7.52,7.3,7.52,4545
2023-06-30,7.5,7.68,7.5,7.66,5356
2023-07-03,7.84,7.86,7.06,7.16,71890
2023-07-04,7.18,7.2,7.06,7.06,20636
2023-07-05,7.08,7.12,6.7,7.1,26362
2023-07-06,7.06,7.08,6.82,6.82,13181
2023-07-07,6.9,6.98,6.86,6.88,1052
2023-07-10,6.88,6.88,6.72,6.86,13115
2023-07-11,6.8,6.86,6.78,6.84,3260
2023-07-12,6.8,6.94,6.8,6.88,4205
2023-07-13,6.94,7.04,6.94,7.04,8867
2023-07-14,6.98,7.2,6.94,7.1,15661
2023-07-17,7.1,7.24,7.1,7.14,5926
2023-07-18,7.14,7.18,6.86,7.18,18468
2023-07-19,7.02,7.12,6.86,7.0,4397
2023-07-20,6.98,7.06,6.94,7.06,7015
2023-07-21,6.98,7.14,6.88,7.14,16414
2023-07-24,7.12,7.14,6.96,7.08,6116
2023-07-25,7.08,7.1,6.86,7.04,4158
2023-07-26,6.9,7.02,6.84,7.02,6643
2023-07-27,7.0,7.0,6.9,7.0,840
2023-07-28,7.0,7.0,6.92,7.0,1414
2023-07-31,6.98,7.0,6.9,6.98,8756
2023-08-01,6.98,6.98,6.9,6.98,1539
2023-08-02,6.98,6.98,6.9,6.94,8132
2023-08-03,6.92,7.0,6.88,6.94,913
2023-08-04,6.98,6.98,6.86,6.9,1304
2023-08-07,6.9,6.9,6.7,6.7,21012
2023-08-08,6.8,6.8,6.7,6.7,13359
2023-08-09,6.7,6.7,6.5,6.58,15637
2023-08-10,6.58,6.6,6.44,6.56,10689
2023-08-11,6.56,6.66,6.0,6.12,49968
2023-08-14,6.1,6.38,6.08,6.08,13812
2023-08-16,6.08,6.44,6.08,6.42,13618
2023-08-17,6.4,6.48,6.24,6.46,3937
2023-08-18,6.08,6.18,5.56,5.92,54491
2023-08-21,5.82,6.02,5.82,5.82,6164
2023-08-22,5.9,6.12,5.84,6.02,13084
2023-08-23,6.1,6.1,5.9,5.92,5833
2023-08-24,6.04,6.06,5.88,5.92,4958
2023-08-25,5.9,6.0,5.74,5.74,21120
2023-08-28,5.86,5.86,5.84,5.86,538
2023-08-29,5.88,5.88,5.78,5.82,2957
2023-08-30,5.76,5.86,5.6,5.7,1864
2023-08-31,5.6,5.8,5.6,5.62,3860
2023-09-01,5.56,5.72,5.28,5.48,19245
2023-09-04,5.54,5.66,5.38,5.6,13354
2023-09-05,5.62,5.7,5.62,5.68,2540
2023-09-06,5.64,5.66,5.5,5.66,938
2023-09-07,5.6,5.64,5.42,5.42,6703
2023-09-08,5.38,5.56,5.24,5.3,18600
2023-09-11,5.44,5.44,5.2,5.2,10388
2023-09-12,5.2,5.2,5.12,5.2,8034
2023-09-13,5.14,5.3,5.14,5.3,949
2023-09-14,5.3,5.3,5.02,5.3,7395
2023-09-15,5.3,5.3,5.04,5.3,3869
2023-09-18,5.28,5.3,5.22,5.3,4072
2023-09-19,5.3,5.38,5.14,5.38,790
2023-09-20,5.38,5.38,5.32,5.36,232
2023-09-21,5.26,5.3,5.18,5.28,1647
2023-09-22,5.3,5.38,5.2,5.2,1908
2023-09-25,5.22,5.22,5.02,5.1,9998
2023-09-26,5.1,5.18,5.1,5.14,14490
2023-09-27,5.12,5.12,5.04,5.1,57
2023-09-28,5.08,5.16,4.75,4.98,6892
2023-09-29,4.85,4.95,4.73,4.91,17172
2023-10-02,4.91,4.95,4.76,4.78,4988
2023-10-03,4.78,4.89,4.78,4.78,2317
2023-10-04,4.78,4.82,4.59,4.76,13795
2023-10-05,4.74,4.89,4.74,4.89,3949
2023-10-06,4.89,4.98,4.89,4.98,3304
2023-10-09,5.0,5.0,4.87,4.95,1362
2023-10-10,4.99,5.22,4.86,5.1,16658
2023-10-11,5.08,5.22,5.02,5.2,3798
2023-10-12,5.2,5.2,5.04,5.2,1158
2023-10-13,5.18,5.22,5.1,5.2,2167
2023-10-16,5.18,5.2,5.02,5.02,2299
2023-10-17,5.08,5.1,5.0,5.0,2477
2023-10-18,5.0,5.2,5.0,5.2,4852
2023-10-19,5.2,5.28,5.04,5.22,4081
2023-10-20,5.16,5.16,5.06,5.16,703
2023-10-23,5.04,5.2,5.0,5.1,5532
2023-10-24,5.1,5.18,5.1,5.18,1005
2023-10-25,5.1,5.2,5.06,5.14,5904
2023-10-26,5.12,5.14,5.0,5.08,2038
2023-10-27,5.2,5.2,5.06,5.06,5059
2023-10-30,5.08,5.24,4.88,5.06,5701
2023-10-31,5.16,5.24,5.0,5.08,6366
2023-11-02,5.1,5.2,5.06,5.14,3725
2023-11-03,5.16,5.16,5.02,5.08,2772
2023-11-06,5.08,5.24,5.04,5.14,4879
2023-11-07,5.16,5.24,5.06,5.16,10817
2023-11-08,5.12,5.12,5.08,5.08,443
2023-11-09,5.08,5.08,4.95,5.0,5334
2023-11-10,5.02,5.04,4.91,5.0,3537
2023-11-13,5.0,5.08,4.8,4.85,5031
2023-11-14,4.84,5.0,4.84,5.0,3745
2023-11-15,4.99,5.02,4.98,4.99,4831
2023-11-16,4.99,5.0,4.81,4.97,11961
2023-11-17,4.87,4.9,4.87,4.89,6165
2023-11-20,4.88,4.89,4.8,4.84,4043
2023-11-21,4.84,4.84,4.7,4.75,9437
2023-11-22,4.78,4.86,4.78,4.79,3994
2023-11-23,4.79,4.85,4.77,4.8,11499
2023-11-24,4.85,4.95,4.77,4.88,2946
2023-11-27,4.77,4.88,4.75,4.78,4914
2023-11-28,4.76,4.95,4.72,4.95,4538
2023-11-29,4.95,4.97,4.8,4.9,3841
2023-11-30,4.92,4.92,4.8,4.8,2182
2023-12-01,4.84,4.85,4.74,4.8,6590
2023-12-04,4.8,4.8,4.7,4.76,4571
2023-12-05,4.73,5.0,4.7,5.0,17776
2023-12-06,5.0,5.0,4.89,4.97,4517
2023-12-07,4.98,4.98,4.8,4.98,1938
2023-12-08,4.87,5.14,4.82,5.14,14508
2023-12-11,5.12,5.6,5.04,5.46,28161
2023-12-12,5.5,5.5,5.3,5.42,15437
2023-12-13,5.44,5.88,5.42,5.62,20121
2023-12-14,5.68,5.68,5.5,5.6,4190
2023-12-15,5.58,5.58,5.3,5.4,9067
2023-12-18,5.16,5.2,5.0,5.0,33563
2023-12-19,5.0,5.0,4.87,4.93,20753
2023-12-20,4.94,4.94,4.91,4.92,7400
2023-12-21,4.93,4.94,4.76,4.76,21474
2023-12-22,4.85,4.92,4.8,4.81,7638
2023-12-27,4.76,4.81,4.59,4.73,28024
2023-12-28,4.71,5.1,4.71,4.94,18637
2023-12-29,4.98,5.14,4.98,5.0,23627
2024-01-02,5.06,5.3,5.0,5.04,11007
2024-01-03,5.04,5.04,4.85,5.0,7508
2024-01-04,5.0,5.16,4.95,5.14,3315
2024-01-05,5.12,5.12,5.0,5.02,505
2024-01-08,5.12,5.12,5.0,5.02,5419
2024-01-09,5.0,5.02,4.92,4.96,1805
2024-01-10,4.98,5.08,4.98,5.0,8444
2024-01-11,5.0,5.18,5.0,5.1,6224
2024-01-12,5.1,5.1,5.0,5.08,6684
2024-01-15,5.06,5.08,4.95,5.0,7700
2024-01-16,5.0,5.0,4.95,5.0,583
2024-01-17,4.94,5.0,4.93,4.93,2257
2024-01-18,4.95,4.99,4.9,4.99,2342
2024-01-19,5.0,5.0,4.9,4.9,2452
2024-01-22,4.91,4.91,4.9,4.91,11494
2024-01-23,4.91,4.92,4.9,4.92,6854
2024-01-24,4.9,5.02,4.9,5.0,2340
2024-01-25,5.0,5.0,4.97,5.0,2914
2024-01-26,5.02,5.02,5.02,5.02,2514
2024-01-29,5.02,5.1,5.0,5.0,1906
2024-01-30,5.08,5.14,5.02,5.02,1047
2024-01-31,5.0,5.12,4.96,5.12,5848
2024-02-01,5.1,5.1,4.96,5.08,952
2024-02-02,4.98,5.08,4.98,5.08,1509
2024-02-05,5.02,5.1,5.0,5.1,558
2024-02-06,5.02,5.12,4.98,5.08,3163
2024-02-07,5.08,5.14,4.99,5.06,7145
2024-02-08,5.1,5.12,5.06,5.08,2481
2024-02-09,5.08,5.08,5.0,5.0,917
2024-02-12,5.06,5.12,5.02,5.12,3644
2024-02-13,5.12,5.12,5.02,5.04,2292
2024-02-14,5.1,5.12,5.04,5.08,1554
2024-02-15,5.08,5.16,5.0,5.16,90929
2024-02-16,5.16,5.16,5.08,5.12,1164
2024-02-19,5.16,5.16,5.04,5.06,2001
2024-02-20,5.06,5.12,5.0,5.1,6563
2024-02-21,5.12,5.14,5.04,5.1,3871
2024-02-22,5.12,5.12,5.06,5.1,2818
2024-02-23,5.06,5.1,4.99,5.08,12061
2024-02-26,5.04,5.1,5.0,5.1,1315
2024-02-27,5.02,5.06,4.99,4.99,3433
2024-02-28,5.0,5.1,4.98,5.1,2337
2024-02-29,4.99,5.0,4.98,4.98,968
2024-03-01,4.97,5.0,4.93,5.0,878
2024-03-04,5.0,5.0,4.82,4.82,7042
2024-03-05,4.8,4.96,4.72,4.94,9755
2024-03-06,4.9,5.0,4.9,4.91,18102
2024-03-07,4.92,4.99,4.88,4.88,6350
2024-03-08,4.87,4.91,4.82,4.9,6727
2024-03-11,4.8,4.81,4.77,4.79,1783
2024-03-12,4.85,4.93,4.79,4.88,2521
2024-03-13,4.81,4.93,4.8,4.89,6353
2024-03-14,4.88,4.89,4.79,4.8,821
2024-03-15,4.8,4.84,4.65,4.65,14078
2024-03-18,4.65,4.77,4.64,4.72,5951
2024-03-19,4.64,4.77,4.6,4.77,3756
2024-03-20,4.76,4.77,4.74,4.76,2253
2024-03-21,4.76,4.77,4.6,4.68,9637
2024-03-22,4.68,4.68,4.65,4.65,3376
2024-03-25,4.6,4.68,4.55,4.55,3875
2024-03-26,4.51,4.54,4.41,4.5,6283
2024-03-27,4.49,4.55,4.43,4.49,2828
2024-03-28,4.47,4.5,4.45,4.47,2940
2024-04-02,4.5,4.5,4.465,4.49,956
2024-04-03,4.495,4.89,4.495,4.8,4072
2024-04-04,4.75,4.76,4.68,4.75,1757
2024-04-05,4.755,4.8,4.64,4.7,2320
2024-04-08,4.64,4.75,4.64,4.685,2634
2024-04-09,4.71,4.735,4.675,4.73,8681
2024-04-10,4.73,4.79,4.69,4.7,1887
2024-04-11,4.705,4.78,4.65,4.67,2979
2024-04-12,4.765,4.78,4.76,4.78,664
2024-04-15,4.77,4.86,4.655,4.71,7154
2024-04-16,4.71,4.78,4.7,4.7,3621
2024-04-17,4.745,4.905,4.7,4.905,1849
2024-04-18,4.9,4.9,4.82,4.82,1446
2024-04-19,4.825,5.08,4.81,5.06,9728
2024-04-22,4.935,5.04,4.93,5.02,1751
2024-04-23,5.01,5.02,4.92,5.0,14964
2024-04-24,5.0,5.0,4.92,4.92,3151
2024-04-25,4.92,5.03,4.82,4.9,2148
2024-04-26,4.97,4.97,4.825,4.89,532
2024-04-29,4.88,4.9,4.835,4.855,41
2024-04-30,4.855,4.855,4.75,4.77,576
2024-05-02,4.85,4.9,4.77,4.77,2642
2024-05-06,4.9,4.9,4.665,4.68,7845
2024-05-07,4.77,4.77,4.55,4.59,11144
2024-05-08,4.55,4.605,4.55,4.605,17049
2024-05-09,4.605,4.795,4.575,4.62,1224
2024-05-10,4.695,4.795,4.65,4.67,2430
2024-05-13,4.67,4.67,4.51,4.63,5658
2024-05-14,4.635,4.68,4.505,4.66,3754
2024-05-15,4.6,4.6,4.505,4.595,3940
2024-05-16,4.61,4.675,4.515,4.515,9532
2024-05-17,4.59,4.675,4.59,4.67,1147
2024-05-20,4.67,4.74,4.55,4.57,8510
2024-05-21,4.56,4.675,4.54,4.57,2117
2024-05-22,4.555,4.65,4.54,4.55,16217
2024-05-23,4.55,4.59,4.52,4.525,3316
2024-05-24,4.52,4.545,4.51,4.51,7103
2024-05-27,4.56,4.645,4.5,4.64,6684
2024-05-28,4.63,4.63,4.52,4.63,1560
2024-05-29,4.56,4.63,4.53,4.565,1092
2024-05-31,4.62,4.625,4.545,4.55,844
2024-06-03,4.55,4.62,4.52,4.55,2360
2024-06-04,4.55,4.58,4.54,4.54,4581
2024-06-05,4.545,4.585,4.52,4.55,1064
2024-06-06,4.55,4.57,4.51,4.57,1210
2024-06-07,4.55,4.55,4.49,4.49,3486
2024-06-10,4.53,4.54,4.49,4.5,600
2024-06-11,4.5,4.53,4.495,4.5,2362
2024-06-12,4.5,4.52,4.495,4.495,276
2024-06-13,4.495,4.525,4.44,4.44,4626
2024-06-14,4.44,4.46,4.4,4.4,3128
2024-06-17,4.565,5.37,4.45,5.1,169849
2024-06-18,5.1,5.8,5.1,5.68,157637
2024-06-19,5.56,5.68,5.12,5.22,69198
2024-06-20,5.33,5.48,5.27,5.4,21936
2024-06-21,5.38,5.44,5.3,5.3,7406
2024-06-24,5.24,5.39,5.13,5.24,13090
2024-06-25,5.12,5.28,4.86,5.07,24121
2024-06-26,5.06,5.38,5.0,5.28,23854
2024-06-27,5.2,5.28,5.14,5.26,2717
2024-06-28,5.27,5.46,5.25,5.28,8121
2024-07-01,5.37,5.42,5.14,5.14,3790
2024-07-02,5.15,5.23,5.1,5.23,4827
2024-07-03,5.23,5.27,5.01,5.17,3882
2024-07-04,5.17,5.22,5.15,5.18,364
2024-07-05,5.18,5.33,5.12,5.25,12164
2024-07-08,5.25,5.25,5.03,5.17,3353
2024-07-09,5.19,5.19,5.1,5.15,1704
2024-07-10,5.16,5.19,5.08,5.08,1327
2024-07-11,5.1,5.25,5.1,5.1,1115
2024-07-12,5.24,5.24,5.1,5.2,270
2024-07-15,5.21,5.21,5.01,5.1,17888
2024-07-16,5.1,5.15,5.01,5.02,16531
2024-07-17,5.09,5.1,5.01,5.07,4265
2024-07-18,5.14,5.14,5.01,5.09,1328
2024-07-19,5.09,5.09,5.01,5.08,2233
2024-07-22,5.07,5.07,5.03,5.03,178
2024-07-23,5.02,5.1,5.01,5.01,2105
2024-07-24,5.01,5.07,5.0,5.0,531
2024-07-25,4.94,5.0,4.68,4.78,7752
2024-07-26,4.68,4.78,4.65,4.7,5813
2024-07-29,4.75,4.75,4.67,4.67,1133
2024-07-30,4.675,4.75,4.635,4.635,1011
2024-07-31,4.7,4.75,4.635,4.635,3211
2024-08-01,4.75,4.8,4.7,4.74,1575
2024-08-02,4.745,4.745,4.64,4.64,5171
2024-08-05,4.6,4.6,4.23,4.4,24711
2024-08-06,4.48,4.65,4.3,4.45,6855
2024-08-07,4.49,4.65,4.415,4.54,2617
2024-08-08,4.52,4.6,4.505,4.53,2160
2024-08-09,4.595,4.75,4.595,4.63,716
2024-08-12,4.63,4.84,4.55,4.84,464
2024-08-13,4.83,4.9,4.71,4.835,737
2024-08-14,4.84,4.845,4.72,4.83,129
2024-08-16,4.79,4.825,4.78,4.82,5662
2024-08-19,4.71,4.8,4.71,4.75,1716
2024-08-20,4.64,4.71,4.51,4.57,4647
2024-08-21,4.57,4.64,4.5,4.5,3621
2024-08-22,4.59,4.625,4.5,4.5,3132
2024-08-23,4.565,4.65,4.52,4.54,1106
2024-08-26,4.61,4.94,4.5,4.87,8412
2024-08-27,4.89,4.89,4.51,4.52,6631
2024-08-28,4.55,4.69,4.55,4.69,1795
2024-08-29,4.55,4.69,4.55,4.68,60
2024-08-30,4.68,4.69,4.68,4.69,557
2024-09-02,4.67,4.67,4.525,4.67,1365
2024-09-03,4.65,4.69,4.57,4.57,644
2024-09-04,4.645,4.65,4.53,4.65,648
2024-09-05,4.58,4.65,4.54,4.55,479
2024-09-06,4.54,4.64,4.5,4.64,2658
2024-09-09,4.5,4.64,4.5,4.64,787
2024-09-10,4.635,4.64,4.525,4.595,374
2024-09-11,4.525,4.595,4.48,4.48,1320
2024-09-12,4.505,4.63,4.5,4.63,1343
2024-09-13,4.505,4.635,4.485,4.62,1412
2024-09-16,4.62,4.64,4.62,4.62,9775
2024-09-17,4.62,4.78,4.62,4.78,16916
2024-09-18,4.77,4.77,4.465,4.675,378
2024-09-19,4.67,4.67,4.49,4.495,2724
2024-09-20,4.655,4.66,4.45,4.645,1046
2024-09-23,4.51,4.68,4.505,4.68,2025
2024-09-24,4.635,4.7,4.6,4.695,1344
2024-09-25,4.68,4.69,4.665,4.665,28
2024-09-26,4.67,4.68,4.55,4.675,1845
2024-09-27,4.6,4.665,4.55,4.665,461
2024-09-30,4.57,4.57,4.57,4.57,4
2024-10-01,4.595,4.6,4.53,4.54,4737
2024-10-02,4.59,4.6,4.54,4.54,32
2024-10-03,4.575,4.6,4.5,4.5,1897
2024-10-04,4.555,4.555,4.48,4.48,1344
2024-10-07,4.48,4.48,4.35,4.4,3349
2024-10-08,4.43,4.45,4.2,4.26,4777
2024-10-09,4.26,4.62,4.235,4.59,19199
2024-10-10,4.54,4.56,4.42,4.42,796
2024-10-11,4.545,4.56,4.4,4.56,1375
2024-10-14,4.55,4.55,4.5,4.54,3609
2024-10-15,4.53,4.59,4.415,4.57,1317
2024-10-16,4.565,4.59,4.52,4.55,319
2024-10-17,4.555,4.62,4.4,4.52,2976
2024-10-18,4.47,4.65,4.315,4.65,5131
2024-10-21,4.64,4.79,4.5,4.68,4363
2024-10-22,4.675,4.79,4.585,4.695,2117
2024-10-23,4.79,4.79,4.36,4.75,5053
2024-10-24,4.68,4.75,4.465,4.75,384
2024-10-25,4.695,4.7,4.55,4.7,358
2024-10-28,4.69,4.69,4.55,4.63,1407
2024-10-29,4.62,4.63,4.51,4.63,616
2024-10-30,4.63,4.63,4.62,4.62,1862
2024-10-31,4.595,4.61,4.52,4.54,1403
2024-11-04,4.54,4.54,4.415,4.5,5921
2024-11-05,4.49,4.54,4.3,4.495,16436
2024-11-06,4.45,4.53,4.35,4.53,5290
2024-11-07,4.4,4.54,4.345,4.48,3046
2024-11-08,4.35,4.475,4.31,4.37,2316
2024-11-12,4.38,4.4,4.335,4.335,3985
2024-11-13,4.335,4.425,4.315,4.32,2362
2024-11-14,4.31,4.31,3.95,4.19,26649
2024-11-15,4.145,4.23,4.08,4.23,7562
2024-11-18,4.23,4.23,4.1,4.12,2279
2024-11-19,4.09,4.2,3.98,4.175,12672
2024-11-20,4.1,4.25,3.99,4.18,4040
2024-11-21,4.18,4.2,3.99,4.2,4105
2024-11-22,4.195,4.21,4.09,4.11,1315
2024-11-25,4.19,4.21,4.13,4.19,1047
2024-11-26,4.21,4.48,4.2,4.48,5289
2024-11-27,4.46,4.48,4.22,4.445,2017
2024-11-28,4.43,4.445,4.26,4.26,357
2024-11-29,4.26,4.44,4.26,4.4,4061
2024-12-02,4.4,4.4,4.37,4.38,1400
2024-12-03,4.32,4.32,4.26,4.3,1278
2024-12-04,4.32,4.4,4.2,4.345,4134
2024-12-05,4.395,4.395,4.3,4.395,1625
2024-12-06,4.35,4.395,4.34,4.34,1193
2024-12-09,4.34,4.475,4.34,4.36,12127
2024-12-10,4.36,4.42,4.25,4.4,5865
2024-12-11,4.4,4.43,4.355,4.43,1285
2024-12-12,4.42,4.44,4.26,4.44,2495
2024-12-13,4.46,4.5,4.29,4.5,6551
2024-12-16,4.52,4.56,4.32,4.485,5059
2024-12-17,4.35,4.39,4.23,4.23,27797
2024-12-18,4.25,4.38,4.25,4.3,10432
2024-12-19,4.3,4.4,4.3,4.315,13068
2024-12-20,4.31,4.385,4.31,4.36,3242
2024-12-23,4.375,4.39,4.31,4.35,11451
2024-12-27,4.35,4.35,4.31,4.31,3119
2024-12-30,4.31,4.37,4.31,4.37,6454
2025-01-02,4.325,4.51,4.325,4.4,5079
2025-01-03,4.38,4.395,4.32,4.325,2438
2025-01-07,4.38,4.49,4.325,4.4,7535
2025-01-08,4.4,4.53,4.4,4.48,7672
2025-01-09,4.4,4.75,4.4,4.75,11787
2025-01-10,4.74,4.87,4.6,4.87,24786
2025-01-13,4.85,4.86,4.8,4.83,3444
2025-01-14,4.83,4.845,4.7,4.8,6872
2025-01-15,4.8,4.81,4.71,4.75,2318
2025-01-16,4.75,4.87,4.72,4.865,1738
2025-01-17,4.865,4.95,4.8,4.93,6214
2025-01-20,4.955,5.1,4.93,5.0,4914
2025-01-21,5.0,5.28,4.94,5.15,21642
2025-01-22,5.1,5.28,4.85,5.07,11852
2025-01-23,5.0,5.03,4.8,4.83,10036
2025-01-24,4.94,4.945,4.8,4.87,7428
2025-01-27,4.78,4.825,4.65,4.8,3875
2025-01-28,4.79,4.8,4.79,4.8,688
2025-01-29,4.78,4.895,4.74,4.75,9098
2025-01-30,4.76,4.88,4.75,4.88,2427
2025-01-31,4.78,4.87,4.78,4.84,2326
2025-02-03,4.785,4.835,4.705,4.745,892
2025-02-04,4.805,4.85,4.8,4.85,389
2025-02-05,4.845,4.94,4.805,4.845,3866
2025-02-06,4.935,4.935,4.83,4.835,8593
2025-02-07,4.835,4.92,4.82,4.92,2553
2025-02-10,4.9,4.9,4.76,4.82,7594
2025-02-11,4.895,4.94,4.83,4.9,11596
2025-02-12,4.9,4.9,4.815,4.9,308
2025-02-13,4.82,4.85,4.755,4.755,8770
2025-02-14,4.8,4.85,4.76,4.85,1345
2025-02-17,4.85,4.9,4.755,4.8,5751
2025-02-18,4.895,4.9,4.81,4.9,6901
2025-02-19,4.825,4.91,4.81,4.9,7396
2025-02-20,4.89,4.89,4.89,4.89,4
2025-02-21,4.89,4.89,4.85,4.89,1600
2025-02-24,4.89,4.96,4.81,4.81,14406
2025-02-25,4.87,4.96,4.83,4.96,5533
2025-02-26,4.96,5.1,4.915,5.01,9066
2025-02-27,5.11,5.17,5.02,5.03,8594
2025-02-28,5.04,5.16,5.04,5.16,1987
2025-03-03,5.16,5.48,5.1,5.4,32662
2025-03-04,5.38,5.38,5.06,5.06,14432
2025-03-05,5.15,5.21,5.0,5.0,8288
2025-03-06,5.0,5.14,5.0,5.1,22998
2025-03-07,5.0,5.08,4.9,5.07,4322
2025-03-10,5.06,5.06,4.9,5.0,1380
2025-03-11,5.05,5.14,4.96,5.1,14526
2025-03-12,5.0,5.12,4.91,5.07,10203
2025-03-13,5.07,5.08,4.91,5.08,8679
2025-03-14,5.08,5.09,4.9,5.05,2092
2025-03-17,4.93,5.09,4.93,5.09,4735
2025-03-18,5.07,5.14,5.04,5.08,2677
2025-03-19,5.14,5.17,4.94,5.05,5419
2025-03-20,5.2,5.2,4.96,4.96,8875
2025-03-21,5.14,5.14,4.91,5.07,2287
2025-03-24,5.07,5.09,4.97,4.97,3720
2025-03-25,5.01,5.1,4.98,5.0,8267
2025-03-26,5.0,5.09,4.97,4.975,4298
2025-03-27,4.98,4.99,4.98,4.98,1570
2025-03-28,4.97,5.0,4.91,5.0,4696
2025-03-31,5.0,5.04,4.94,5.01,9851
2025-04-01,5.04,5.14,5.0,5.02,6297
2025-04-02,5.02,5.14,4.95,5.12,75606
2025-04-03,4.92,5.08,4.9,4.94,1366
2025-04-04,5.06,5.06,4.61,4.97,28178
2025-04-07,4.53,4.96,4.1,4.84,5186
2025-04-08,4.83,4.85,4.8,4.82,1440
2025-04-09,4.85,4.85,4.6,4.61,7003
2025-04-10,4.55,4.92,4.55,4.83,18746
2025-04-11,4.84,4.93,4.69,4.81,12259
2025-04-14,4.83,4.87,4.72,4.8,8676
2025-04-15,4.76,4.9,4.74,4.86,4382
2025-04-16,4.85,4.9,4.63,4.9,56657
2025-04-17,4.75,4.9,4.75,4.79,156
2025-04-22,4.79,4.9,4.79,4.88,3533
2025-04-23,4.88,4.89,4.74,4.81,5259
2025-04-24,4.8,5.08,4.8,5.08,20633
2025-04-25,5.12,5.14,4.87,5.14,8929
2025-04-28,5.14,5.18,4.97,4.98,5589
2025-04-29,4.98,5.14,4.93,5.12,12531
2025-04-30,5.12,5.12,4.91,5.08,4506
2025-05-02,5.06,5.14,5.02,5.02,5732
2025-05-05,5.04,5.08,5.0,5.0,9515
2025-05-06,5.1,5.1,4.69,4.69,87432
2025-05-07,4.8,4.89,4.77,4.85,15921
2025-05-08,4.85,5.32,4.85,5.0,27500
2025-05-09,5.08,5.12,4.91,5.1,10447
2025-05-12,5.1,5.1,5.0,5.02,731
2025-05-13,5.02,5.1,5.02,5.02,1591
2025-05-14,5.1,5.26,5.02,5.1,9913
2025-05-15,5.12,5.46,5.12,5.3,51085
2025-05-16,5.36,5.7,5.36,5.54,35050
2025-05-19,5.62,5.62,5.24,5.48,12966
2025-05-20,5.4,5.84,5.4,5.58,7969
2025-05-21,5.8,5.8,5.4,5.6,14401
2025-05-22,5.5,5.5,5.28,5.4,8119
2025-05-23,6.88,7.0,5.84,7.0,383969
2025-05-26,7.32,8.4,7.3,8.16,458516
2025-05-27,8.14,8.14,7.42,7.54,113389
2025-05-28,7.52,7.94,6.8,7.1,92225
2025-05-29,6.96,7.64,6.9,7.24,47070
2025-05-30,7.2,7.22,6.54,6.96,54552
2025-06-02,6.88,7.5,6.8,7.0,23571
2025-06-03,7.0,7.08,6.6,6.86,12522
2025-06-04,6.9,6.94,6.68,6.8,5921
2025-06-05,6.78,6.78,6.2,6.4,82706
2025-06-06,6.4,6.52,6.06,6.16,56769
