Date,Open,High,Low,Close,Volume
2023-05-30,0.536,0.58,0.534,0.548,126687
2023-05-31,0.556,0.556,0.534,0.534,57033
2023-06-01,0.53,0.538,0.508,0.538,7115
2023-06-02,0.538,0.54,0.52,0.54,9809
2023-06-05,0.542,0.556,0.526,0.528,7434
2023-06-06,0.526,0.578,0.526,0.542,74827
2023-06-07,0.592,0.68,0.592,0.678,756315
2023-06-09,0.69,0.72,0.67,0.682,328668
2023-06-12,0.688,0.69,0.612,0.648,336087
2023-06-13,0.63,0.64,0.604,0.604,54546
2023-06-14,0.62,0.62,0.592,0.618,31920
2023-06-15,0.62,0.65,0.6,0.64,86012
2023-06-16,0.64,0.64,0.61,0.62,49715
2023-06-19,0.62,0.682,0.612,0.68,270161
2023-06-20,0.69,0.73,0.664,0.716,145873
2023-06-21,0.72,0.72,0.65,0.65,131994
2023-06-22,0.68,0.68,0.594,0.602,371215
2023-06-23,0.6,0.604,0.57,0.596,112805
2023-06-26,0.596,0.604,0.576,0.576,80523
2023-06-27,0.576,0.604,0.576,0.58,26497
2023-06-28,0.596,0.6,0.578,0.582,77045
2023-06-29,0.58,0.584,0.57,0.584,24322
2023-06-30,0.59,0.598,0.57,0.592,38765
2023-07-03,0.59,0.6,0.57,0.6,66989
2023-07-04,0.6,0.6,0.58,0.6,4425
2023-07-05,0.6,0.6,0.566,0.58,30638
2023-07-06,0.578,0.592,0.578,0.592,1209
2023-07-07,0.592,0.592,0.56,0.592,9390
2023-07-10,0.588,0.606,0.576,0.606,15114
2023-07-11,0.602,0.602,0.566,0.594,16658
2023-07-12,0.598,0.618,0.598,0.618,49196
2023-07-13,0.618,0.618,0.598,0.598,18804
2023-07-14,0.61,0.61,0.59,0.59,72467
2023-07-17,0.604,0.606,0.58,0.6,144185
2023-07-18,0.6,0.6,0.57,0.58,76826
2023-07-19,0.582,0.598,0.572,0.594,33993
2023-07-20,0.594,0.61,0.574,0.574,113588
2023-07-21,0.592,0.592,0.56,0.584,49901
2023-07-24,0.58,0.584,0.54,0.55,229515
2023-07-25,0.55,0.578,0.54,0.55,75806
2023-07-26,0.544,0.55,0.54,0.54,102026
2023-07-27,0.548,0.55,0.51,0.54,269941
2023-07-28,0.54,0.56,0.54,0.54,91046
2023-07-31,0.55,0.55,0.495,0.506,674053
2023-08-01,0.51,0.512,0.5,0.512,262026
2023-08-02,0.512,0.512,0.48,0.5,208606
2023-08-03,0.512,0.512,0.489,0.5,18173
2023-08-04,0.506,0.51,0.497,0.51,51160
2023-08-07,0.51,0.51,0.485,0.495,74160
2023-08-08,0.495,0.495,0.48,0.488,65728
2023-08-09,0.6,0.6,0.526,0.54,1588917
2023-08-10,0.54,0.542,0.49,0.5,882588
2023-08-11,0.5,0.508,0.466,0.471,495359
2023-08-14,0.471,0.499,0.457,0.466,820286
2023-08-16,0.47,0.483,0.446,0.456,635628
2023-08-17,0.45,0.469,0.431,0.44,503248
2023-08-18,0.448,0.452,0.41,0.449,425452
2023-08-21,0.449,0.451,0.435,0.449,38966
2023-08-22,0.454,0.467,0.443,0.455,303873
2023-08-23,0.465,0.465,0.419,0.427,410537
2023-08-24,0.427,0.437,0.418,0.431,174461
2023-08-25,0.432,0.432,0.413,0.421,86703
2023-08-28,0.431,0.44,0.413,0.418,123317
2023-08-29,0.421,0.421,0.398,0.404,738515
2023-08-30,0.395,0.395,0.35,0.358,1452019
2023-08-31,0.362,0.388,0.35,0.355,427324
2023-09-01,0.356,0.366,0.35,0.353,314149
2023-09-04,0.354,0.357,0.34,0.355,287841
2023-09-05,0.355,0.362,0.317,0.352,486376
2023-09-06,0.352,0.352,0.33,0.35,158038
2023-09-07,0.349,0.349,0.325,0.336,107025
2023-09-08,0.335,0.335,0.308,0.322,736508
2023-09-11,0.31,0.317,0.299,0.31,387641
2023-09-12,0.309,0.325,0.3,0.325,151313
2023-09-13,0.325,0.325,0.3,0.313,192452
2023-09-14,0.312,0.313,0.279,0.28,1150460
2023-09-15,0.28,0.296,0.268,0.287,257708
2023-09-18,0.286,0.286,0.27,0.277,64109
2023-09-19,0.276,0.286,0.275,0.28,53011
2023-09-20,0.28,0.325,0.28,0.32,209292
2023-09-21,0.322,0.35,0.31,0.311,498240
2023-09-22,0.32,0.346,0.312,0.339,235891
2023-09-25,0.339,0.339,0.306,0.319,211405
2023-09-26,0.319,0.323,0.303,0.323,41636
2023-09-27,0.321,0.321,0.3,0.308,54018
2023-09-28,0.303,0.305,0.294,0.305,40653
2023-09-29,0.3,0.307,0.28,0.282,557423
2023-10-02,0.281,0.281,0.255,0.261,730178
2023-10-03,0.25,0.261,0.248,0.256,271711
2023-10-04,0.256,0.275,0.248,0.269,350578
2023-10-05,0.275,0.275,0.255,0.26,105964
2023-10-06,0.269,0.269,0.25,0.263,137709
2023-10-09,0.262,0.262,0.25,0.25,152740
2023-10-10,0.256,0.259,0.248,0.252,180572
2023-10-11,0.252,0.258,0.25,0.258,37012
2023-10-12,0.258,0.264,0.251,0.263,10252
2023-10-13,0.263,0.263,0.253,0.262,37601
2023-10-16,0.263,0.265,0.254,0.264,37117
2023-10-17,0.265,0.278,0.255,0.27,189878
2023-10-18,0.27,0.27,0.257,0.26,46837
2023-10-19,0.258,0.266,0.252,0.262,63011
2023-10-20,0.26,0.26,0.251,0.255,33558
2023-10-23,0.258,0.26,0.244,0.25,129222
2023-10-24,0.255,0.255,0.231,0.252,313383
2023-10-25,0.252,0.252,0.24,0.247,155467
2023-10-26,0.249,0.257,0.246,0.252,142185
2023-10-27,0.252,0.252,0.246,0.252,1004
2023-10-30,0.252,0.252,0.245,0.252,34816
2023-10-31,0.252,0.252,0.245,0.247,57574
2023-11-02,0.25,0.277,0.25,0.26,324174
2023-11-03,0.263,0.265,0.256,0.259,214530
2023-11-06,0.259,0.265,0.258,0.265,184066
2023-11-07,0.265,0.269,0.239,0.239,606342
2023-11-08,0.249,0.249,0.229,0.23,316140
2023-11-09,0.236,0.236,0.215,0.22,446663
2023-11-10,0.22,0.227,0.209,0.214,497922
2023-11-13,0.214,0.219,0.201,0.208,276837
2023-11-14,0.208,0.214,0.206,0.209,274490
2023-11-15,0.209,0.209,0.196,0.204,593917
2023-11-16,0.2,0.246,0.1955,0.24,678479
2023-11-17,0.24,0.248,0.231,0.24,176248
2023-11-20,0.247,0.247,0.223,0.231,95477
2023-11-21,0.232,0.237,0.229,0.236,59959
2023-11-22,0.236,0.236,0.223,0.225,70236
2023-11-23,0.235,0.255,0.225,0.253,310621
2023-11-24,0.254,0.262,0.25,0.256,304553
2023-11-27,0.258,0.266,0.24,0.265,232183
2023-11-28,0.253,0.27,0.253,0.264,149128
2023-11-29,0.256,0.264,0.235,0.242,299736
2023-11-30,0.24,0.246,0.24,0.246,68782
2023-12-01,0.242,0.246,0.22,0.237,153717
2023-12-04,0.237,0.237,0.22,0.234,20570
2023-12-05,0.221,0.249,0.22,0.249,227086
2023-12-06,0.249,0.249,0.234,0.238,73192
2023-12-07,0.237,0.24,0.23,0.23,10557
2023-12-08,0.232,0.232,0.209,0.224,499875
2023-12-11,0.216,0.224,0.207,0.216,39404
2023-12-12,0.216,0.216,0.201,0.213,275292
2023-12-13,0.213,0.224,0.213,0.223,344468
2023-12-14,0.222,0.224,0.216,0.219,41156
2023-12-15,0.217,0.22,0.202,0.219,228219
2023-12-18,0.22,0.22,0.205,0.21,126804
2023-12-19,0.21,0.21,0.2,0.202,195934
2023-12-20,0.202,0.205,0.2,0.201,111645
2023-12-21,0.201,0.208,0.196,0.2,247511
2023-12-22,0.1965,0.1975,0.1855,0.191,601327
2023-12-27,0.1915,0.2,0.1855,0.1905,347668
2023-12-28,0.194,0.208,0.188,0.2,114793
2023-12-29,0.197,0.208,0.1925,0.2,107181
2024-01-02,0.2,0.223,0.196,0.212,344904
2024-01-03,0.217,0.273,0.208,0.273,1949466
2024-01-04,0.273,0.3,0.25,0.252,2277855
2024-01-05,0.257,0.257,0.236,0.246,751367
2024-01-08,0.245,0.26,0.239,0.259,607235
2024-01-09,0.258,0.261,0.244,0.252,237114
2024-01-10,0.254,0.26,0.246,0.25,155937
2024-01-11,0.252,0.254,0.246,0.252,45669
2024-01-12,0.255,0.264,0.246,0.25,185295
2024-01-15,0.253,0.253,0.23,0.238,282317
