Date,Open,High,Low,Close,Volume
1997-06-12,200.44,200.44,200.44,200.44,5030
1997-06-13,216.37,216.37,216.37,216.37,13570
1997-06-16,214.49,214.49,214.49,214.49,9057
1997-06-17,200.44,200.44,200.44,200.44,9550
1997-06-18,193.88,193.88,193.88,193.88,7970
1997-06-19,187.33,187.33,187.33,187.33,6034
1997-06-20,192.94,192.94,192.94,192.94,4148
1997-06-23,174.21,174.21,174.21,174.21,7576
1997-06-24,162.03,162.03,162.03,162.03,2059
1997-06-25,162.03,162.03,162.03,162.03,3221
1997-06-26,156.41,156.41,156.41,156.41,4536
1997-06-27,157.36,157.36,157.36,157.36,3310
1997-06-30,162.03,162.03,162.03,162.03,2662
1997-07-01,161.11,161.11,158.29,158.29,2980
1997-07-02,157.36,157.36,156.41,156.41,1402
1997-07-03,157.36,160.16,157.36,159.23,5711
1997-07-04,159.23,159.23,157.36,157.36,696
1997-07-07,157.36,157.36,157.36,157.36,2589
1997-07-08,154.55,155.48,153.6,153.6,3103
1997-07-09,154.55,156.41,154.55,156.41,2332
1997-07-10,155.48,156.41,154.55,154.55,4497
1997-07-11,155.48,155.48,152.67,152.67,4864
1997-07-14,140.49,140.49,137.68,138.62,744
1997-07-15,135.81,135.81,135.81,135.81,2641
1997-07-16,135.81,137.68,135.81,137.68,6316
1997-07-17,135.81,137.68,135.81,137.68,949
1997-07-18,133.93,133.93,133.93,133.93,2217
1997-07-21,135.81,135.81,132.07,132.07,3143
1997-07-22,132.07,133.0,130.2,130.2,685
1997-07-23,132.07,132.07,130.2,130.2,1284
1997-07-24,133.93,133.93,131.12,131.12,3547
1997-07-25,133.93,133.93,129.25,130.2,3477
1997-07-28,134.87,134.87,132.07,133.93,1875
1997-07-29,133.93,137.68,133.93,136.75,1911
1997-07-30,138.62,143.3,138.62,143.3,2627
1997-07-31,142.37,142.37,137.68,138.62,6779
1997-08-01,140.49,142.37,139.56,140.49,3919
1997-08-04,142.37,142.37,137.68,137.68,2518
1997-08-05,142.37,145.18,142.37,145.18,2243
1997-08-06,143.3,145.18,143.3,145.18,1950
1997-08-07,146.11,149.85,146.11,149.85,3246
1997-08-08,150.8,157.36,150.8,155.48,3494
1997-08-11,158.29,158.29,154.55,158.29,5816
1997-08-12,159.23,162.98,159.23,162.03,5306
1997-08-13,163.91,163.91,163.91,163.91,5964
1997-08-14,157.36,161.11,157.36,160.16,1955
1997-08-18,157.36,157.36,154.55,154.55,3522
1997-08-19,162.03,164.85,159.23,160.16,4520
1997-08-20,165.78,165.78,162.98,163.91,4707
1997-08-21,165.78,165.78,160.16,161.11,3495
