Date,Open,High,Low,Close,Volume
2024-12-02,1988.0,2000.0,1931.7901,1952.44,385048
2024-12-03,1952.44,1958.39,1928.13,1929.49,299688
2024-12-04,1929.49,2000.0,1921.63,1987.43,367548
2024-12-05,1979.54,2007.0,1965.5,1984.95,325519
2024-12-06,1977.97,1994.75,1943.47,1947.18,311188
2024-12-09,1941.69,1965.7742,1839.99,1844.3,584171
2024-12-10,1857.0,1880.55,1842.6201,1879.18,393307
2024-12-11,1897.97,1903.13,1872.47,1897.87,283213
2024-12-12,1892.16,1924.95,1870.77,1870.77,232262
2024-12-13,1857.0,1878.41,1813.02,1823.86,411336
2024-12-16,1825.99,1829.6126,1793.5401,1796.72,562907
2024-12-17,1795.0,1826.12,1780.5063,1809.12,559738
2024-12-18,1819.5,1847.98,1701.5,1716.38,773942
2024-12-19,1746.97,1746.97,1662.765,1666.0,930447
2024-12-20,1651.76,1727.165,1646.0,1720.36,717828
2024-12-23,1725.22,1758.32,1719.06,1729.85,502744
2024-12-24,1730.0,1743.78,1720.0,1743.29,104943
2024-12-26,1743.2,1749.98,1727.84,1732.76,156125
2024-12-27,1734.52,1739.544,1711.8059,1725.47,183800
2024-12-30,1702.34,1726.0,1693.01,1721.8,241968
2024-12-31,1721.81,1729.28,1698.53,1700.44,173294
2025-01-02,1715.38,1774.0,1707.31,1765.0,392344
2025-01-03,1800.13,1850.0,1791.76,1834.17,519665
2025-01-06,1851.3,1851.3,1781.5601,1799.42,365601
2025-01-07,1799.01,1805.88,1762.78,1771.22,307598
2025-01-08,1750.0,1761.0,1731.12,1739.0,388773
2025-01-10,1730.15,1780.62,1727.41,1758.77,364848
2025-01-13,1740.0,1749.02,1730.14,1740.0,298825
2025-01-14,1751.0,1776.145,1746.44,1753.61,240375
2025-01-15,1795.0,1843.53,1785.03,1838.15,364235
2025-01-16,1841.38,1851.3899,1815.06,1837.18,242096
2025-01-17,1876.42,1876.42,1832.905,1836.0,245168
2025-01-21,1852.66,1863.305,1829.12,1834.51,262778
2025-01-22,1847.96,1885.0,1808.02,1818.49,402943
2025-01-23,1818.0,1834.48,1793.0,1828.73,267880
2025-01-24,1839.56,1871.4465,1835.16,1843.45,325072
2025-01-27,1800.06,1859.2062,1787.26,1846.0,356039
2025-01-28,1847.59,1905.0,1826.53,1895.53,352017
2025-01-29,1900.52,1901.995,1869.43,1889.76,181861
