Date,Open,High,Low,Close,Volume
2024-06-12,84.0,84.0,80.4,82.6,676
2024-06-13,82.6,82.6,80.4,80.6,81
2024-06-14,82.0,82.4,80.4,82.0,406
2024-06-17,82.2,82.2,82.2,82.2,2
2024-06-18,80.8,83.0,80.6,83.0,414
2024-06-19,83.0,83.0,81.0,82.8,150
2024-06-20,83.0,83.8,83.0,83.6,57
2024-06-21,83.4,83.4,80.8,83.0,60
2024-06-24,83.2,85.0,81.0,83.8,580
2024-06-25,83.8,83.8,80.8,83.0,394
2024-06-26,83.0,83.2,82.2,83.0,405
2024-06-27,83.0,83.0,82.8,83.0,398
2024-06-28,83.0,83.0,81.0,83.0,125
2024-07-01,82.8,82.8,80.8,82.4,401
2024-07-02,82.4,82.4,81.0,82.4,552
2024-07-03,82.6,82.6,80.0,80.0,80
2024-07-04,80.0,83.0,80.0,83.0,1162
2024-07-05,83.0,83.0,81.0,81.0,20
2024-07-08,81.0,81.6,81.0,81.6,26
2024-07-09,82.8,82.8,81.2,82.6,454
2024-07-10,82.6,82.6,82.4,82.4,5
2024-07-11,81.6,82.6,81.0,81.2,403
2024-07-12,82.6,82.6,80.4,80.4,6
2024-07-15,80.4,80.4,79.2,79.2,517
2024-07-16,80.4,81.0,77.0,81.0,462
2024-07-17,81.0,81.0,77.6,80.0,399
2024-07-18,80.0,80.4,79.0,79.0,170
2024-07-19,81.2,81.2,79.0,79.0,28
2024-07-22,81.0,81.0,75.4,75.4,1470
2024-07-23,75.2,76.2,70.0,76.2,2350
2024-07-24,73.2,74.8,73.0,74.8,425
2024-07-25,77.8,77.8,70.2,72.4,496
2024-07-26,71.0,73.6,71.0,73.6,165
2024-07-29,77.6,77.6,76.8,77.6,33
2024-07-30,77.6,77.6,77.6,77.6,10
2024-07-31,77.4,78.0,72.0,78.0,618
2024-08-01,78.0,78.0,71.8,75.0,254
2024-08-02,78.0,78.0,73.0,76.0,73
2024-08-05,72.8,72.8,69.6,71.4,971
2024-08-06,75.6,75.6,70.2,71.2,485
2024-08-07,75.2,75.2,70.6,75.0,597
2024-08-08,75.0,75.0,71.6,74.4,118
2024-08-09,74.8,76.0,74.8,76.0,76
2024-08-12,77.2,77.2,77.2,77.2,1
2024-08-13,77.2,77.6,75.2,77.6,455
2024-08-14,77.6,80.0,77.0,80.0,406
2024-08-16,80.0,82.6,80.0,82.6,408
2024-08-19,82.6,84.6,81.2,82.8,406
2024-08-20,82.8,82.8,80.0,82.2,31
2024-08-21,82.4,82.4,80.0,80.0,14
2024-08-22,82.0,82.0,80.0,81.2,32
2024-08-23,82.0,82.0,76.0,82.0,956
2024-08-26,81.8,83.8,81.6,83.2,673
2024-08-27,83.0,83.2,81.0,83.2,461
2024-08-28,82.6,83.0,81.6,83.0,465
2024-08-29,83.0,83.8,82.0,83.8,1131
2024-08-30,83.6,83.8,82.4,83.8,1019
2024-09-02,83.0,83.0,83.0,83.0,10
2024-09-03,83.0,83.0,83.0,83.0,10
2024-09-04,83.0,83.0,83.0,83.0,15
2024-09-05,82.8,82.8,82.0,82.4,505
2024-09-06,82.0,82.0,82.0,82.0,53
2024-09-09,81.8,82.0,79.0,82.0,404
2024-09-10,81.8,82.0,80.0,82.0,32
2024-09-11,82.0,82.0,80.0,81.8,98
2024-09-12,81.8,81.8,80.0,81.8,36
2024-09-13,81.8,82.0,80.8,82.0,438
2024-09-16,81.8,82.0,81.8,82.0,69
2024-09-17,81.8,83.6,81.8,83.6,458
2024-09-18,83.8,84.2,83.8,84.0,9936
2024-09-19,84.8,85.0,84.0,85.0,400
2024-09-20,85.0,88.0,84.0,88.0,11063
2024-09-23,88.6,89.0,86.0,88.8,569
2024-09-24,89.0,89.0,87.6,89.0,463
2024-09-25,89.0,90.0,87.6,90.0,490
2024-09-26,90.0,91.0,87.6,91.0,1106
2024-09-27,91.0,91.0,89.6,91.0,167
2024-09-30,91.0,93.0,85.0,93.0,20162
2024-10-01,91.2,94.4,89.0,94.4,4838
2024-10-02,94.2,94.2,94.2,94.2,5
2024-10-03,92.6,92.6,89.2,90.0,138
2024-10-04,92.0,92.0,85.8,88.8,528
2024-10-07,87.0,89.0,87.0,89.0,30
2024-10-08,88.6,88.6,88.6,88.6,5
2024-10-09,88.0,88.4,85.4,86.8,406
2024-10-10,86.8,86.8,86.8,86.8,4
2024-10-11,88.4,88.4,88.4,88.4,14
2024-10-14,89.0,89.0,83.8,88.8,398
2024-10-15,88.6,88.6,84.6,87.2,146
2024-10-16,88.8,88.8,83.6,86.8,96
2024-10-17,86.4,86.4,83.6,83.6,71
2024-10-18,83.6,85.6,81.8,83.0,987
2024-10-21,85.8,85.8,81.8,84.8,215
2024-10-22,85.6,85.6,80.2,81.2,597
2024-10-23,83.0,83.0,83.0,83.0,5
2024-10-24,82.6,82.6,79.2,81.2,56
2024-10-25,82.2,82.2,78.8,80.6,405
2024-10-28,80.2,80.8,78.4,79.8,410
2024-10-29,80.0,80.8,78.6,80.8,106
2024-10-30,80.8,83.0,79.4,82.8,276
2024-10-31,83.8,84.4,78.8,84.4,1738
2024-11-04,85.6,85.6,81.6,82.8,191
2024-11-05,85.6,85.6,79.8,81.4,416
2024-11-06,81.6,81.6,79.4,80.4,469
2024-11-07,80.4,80.4,79.0,80.0,427
2024-11-08,84.8,84.8,78.6,82.4,417
2024-11-12,80.0,81.0,78.8,81.0,86
2024-11-13,80.0,80.0,79.0,79.0,424
2024-11-14,79.0,81.0,76.0,81.0,267
2024-11-15,80.0,80.0,78.8,78.8,79
2024-11-18,78.8,78.8,76.0,76.4,432
2024-11-19,77.0,77.0,74.6,76.4,417
2024-11-20,76.4,76.4,74.4,76.4,48
2024-11-21,78.0,78.0,74.6,74.6,1024
2024-11-22,76.6,76.6,75.8,76.6,26
2024-11-25,76.6,77.4,74.6,74.6,486
2024-11-26,77.8,77.8,76.0,76.0,25
2024-11-27,77.8,77.8,74.4,75.6,312
2024-11-28,77.6,77.6,74.4,74.4,17
2024-11-29,74.4,76.6,70.0,70.0,465
2024-12-02,75.0,78.0,73.0,78.0,435
2024-12-03,76.6,78.0,75.8,78.0,117
2024-12-04,77.6,77.6,74.8,77.4,163
2024-12-05,77.2,77.2,75.0,75.0,30
2024-12-06,73.4,77.8,73.4,77.8,16
2024-12-09,75.8,79.8,74.4,79.8,432
2024-12-10,80.0,80.6,78.0,80.6,417
2024-12-11,81.2,81.2,78.0,80.0,29
2024-12-12,80.0,81.2,77.4,79.0,467
2024-12-13,82.4,82.4,75.4,82.4,3
2024-12-16,78.4,84.0,77.2,84.0,416
2024-12-17,83.8,83.8,77.2,77.2,477
2024-12-18,79.4,79.4,74.0,75.0,428
2024-12-19,78.6,78.6,70.8,71.0,1506
2024-12-20,75.2,75.2,67.6,67.8,2298
2024-12-23,67.6,71.4,67.6,70.4,1150
2024-12-27,72.6,72.6,67.0,68.0,3352
2024-12-30,68.2,68.8,67.6,68.0,2033
2025-01-02,68.0,71.0,68.0,70.0,2801
2025-01-03,70.0,70.0,67.6,68.0,1159
2025-01-07,69.4,71.4,69.0,71.4,17770
2025-01-08,72.0,72.0,69.4,69.4,641
2025-01-09,70.0,70.0,68.4,69.4,461
2025-01-10,71.0,71.4,70.0,71.4,16
2025-01-13,71.2,71.2,71.2,71.2,5
2025-01-14,68.0,73.6,68.0,71.6,919
2025-01-15,73.0,73.0,70.6,73.0,126
2025-01-16,73.6,73.6,70.0,72.8,1250
2025-01-17,72.8,72.8,72.0,72.0,3383
2025-01-20,72.8,72.8,70.2,72.6,34
2025-01-21,73.2,73.2,71.2,72.0,53
2025-01-22,73.0,73.0,70.6,71.8,95
2025-01-23,72.0,72.0,70.2,72.0,335
2025-01-24,72.0,72.2,70.4,72.2,556
2025-01-27,71.4,72.2,71.4,72.2,492
2025-01-28,72.2,72.2,70.0,71.6,493
2025-01-29,71.6,71.6,69.4,71.0,40
2025-01-30,71.0,71.4,71.0,71.2,4
2025-01-31,71.4,73.8,70.0,73.0,1394
2025-02-03,73.0,73.0,71.4,72.2,63
2025-02-04,72.2,72.8,72.2,72.8,7
2025-02-05,72.8,72.8,70.6,72.8,61
2025-02-06,72.6,75.0,70.6,75.0,362
2025-02-07,74.8,74.8,74.8,74.8,1
2025-02-10,74.4,76.0,72.2,76.0,432
2025-02-11,76.6,78.6,74.2,78.0,380
2025-02-12,78.0,78.4,76.0,78.4,387
2025-02-13,78.4,78.4,71.2,71.2,566
2025-02-14,73.6,74.0,72.4,73.8,383
2025-02-17,73.8,78.4,73.8,78.2,385
2025-02-18,77.8,77.8,75.0,77.2,378
2025-02-19,76.8,77.0,75.8,77.0,422
2025-02-20,77.0,79.8,76.0,77.6,574
2025-02-21,77.6,77.6,76.0,77.6,72
2025-02-24,78.2,79.8,77.0,77.8,614
2025-02-25,79.6,79.6,77.2,79.4,399
2025-02-26,79.2,81.4,79.2,81.0,238
2025-02-27,81.2,81.4,81.0,81.0,6
2025-02-28,81.0,81.4,80.8,81.4,198
2025-03-03,81.8,81.8,79.0,81.6,9
2025-03-04,81.6,82.0,79.0,82.0,386
2025-03-05,83.0,83.0,80.6,80.6,34
2025-03-06,80.6,83.0,80.0,80.4,882
2025-03-07,80.8,84.0,80.8,83.8,398
2025-03-10,83.6,83.6,81.4,81.4,77
2025-03-11,83.0,83.0,80.2,83.0,382
2025-03-12,83.0,83.0,80.0,83.0,140
2025-03-13,82.6,82.6,80.0,80.0,562
2025-03-14,81.8,84.8,79.2,84.8,353
2025-03-17,83.4,85.0,83.4,84.6,397
2025-03-18,85.0,87.2,83.6,86.4,8954
2025-03-19,88.0,90.8,87.2,88.6,931
2025-03-20,89.8,89.8,86.4,88.6,7385
2025-03-21,88.6,89.4,87.2,89.4,10421
2025-03-24,89.4,89.4,87.4,88.0,88
2025-03-25,88.0,90.0,85.0,90.0,355
2025-03-26,90.0,90.0,85.4,88.0,54
2025-03-27,87.8,90.0,87.0,90.0,227
2025-03-28,90.0,90.0,85.0,87.6,901
2025-03-31,87.0,88.4,86.6,86.8,528
2025-04-01,86.8,86.8,86.0,86.8,55
2025-04-02,86.8,86.8,86.0,86.8,6647
2025-04-03,86.8,86.8,84.8,84.8,190
2025-04-04,85.0,85.0,79.2,83.4,470
2025-04-07,83.8,83.8,78.6,81.4,383
2025-04-08,83.8,83.8,82.0,82.0,6
2025-04-09,82.0,82.2,82.0,82.0,34
