Date,Open,High,Low,Close,Volume
2018-12-18,20.6838,24.0515,18.2788,19.2404,30666.0159140608
2018-12-19,20.203,20.203,17.49,17.5,6693.0915117053
2018-12-20,17.5,17.5,15.7774,17.1244,2849.7732094507
2018-12-21,16.3545,18.702,16.3545,18.702,2109.8992041712
2018-12-27,19.145,19.145,17.4125,17.7404,1343.8527850995
2018-12-28,17.6539,18.1824,17.1244,18.0871,1685.1007956978
2019-01-02,18.4228,18.4228,17.3172,18.1824,379.4999999869
2019-01-03,18.1735,18.1735,17.3172,17.9808,769.0663129708
2019-01-04,17.9808,17.9808,17.3172,17.3172,1089.1750662754
2019-01-07,17.3172,17.7781,17.3172,17.7602,1031.7970821925
2019-01-08,17.7602,17.7602,17.1244,17.7404,330.1750663016
2019-01-09,17.7016,17.9808,17.3172,17.9808,543.580901838
2019-01-10,17.7602,17.9718,17.7602,17.9718,36.2387267892
2019-01-11,17.346,17.9231,17.2208,17.9231,828.4575596531
2019-01-14,17.4125,17.8457,17.346,17.8457,906.9748010297
2019-01-15,17.8655,18.1636,17.6053,18.1248,1908.5729442312
2019-01-16,18.1159,18.1824,17.798,18.1824,1197.891246643
2019-01-17,17.9897,18.2788,17.9897,18.2788,2421.9549070782
2019-01-18,18.2788,20.0113,18.2788,19.6547,8789.9045089804
2019-01-21,19.7222,20.6838,19.6547,20.4722,1954.8779840174
2019-01-22,20.2994,20.4911,19.6636,20.0113,1054.9496020856
2019-01-23,20.0113,20.2795,18.4328,20.203,3035.9999998952
2019-01-24,20.2517,21.6465,20.2517,21.3574,1869.3143235429
2019-01-25,21.1647,25.3986,21.1647,23.9551,6941.7294427312
2019-01-28,23.9363,26.1675,22.6568,24.9168,8655.0159148206
2019-01-29,24.9943,26.9374,24.0515,26.9374,11124.2824929847
2019-01-30,26.7446,27.4182,25.639,25.9757,4090.9496019808
2019-01-31,25.639,25.7343,24.0515,25.4939,5396.5503976917
2019-02-01,25.4939,25.4939,24.5323,25.0042,2883.9986736405
2019-02-04,25.0141,25.8784,25.0042,25.0042,2878.965517142
2019-02-05,24.725,25.783,24.5323,25.7731,1121.3872678658
2019-02-06,26.2162,26.2648,25.4463,26.2162,1786.7705569675
2019-02-07,26.2162,26.2162,24.5323,25.9658,1359.9588858947
2019-02-08,24.4747,25.2923,24.436,25.2923,804.2984084603
2019-02-11,25.2923,25.2923,24.4836,25.0141,860.6697612435
2019-02-12,24.436,25.6668,24.0515,25.6668,961.3328912135
2019-02-13,25.6668,25.6668,21.4249,25.1959,982.4721485072
2019-02-14,25.5814,27.4569,25.1582,25.5903,13291.5596812388
2019-02-15,25.5903,27.149,25.2059,27.149,3958.0742704204
2019-02-18,27.5334,27.5334,26.6493,26.697,1468.6750662623
2019-02-19,26.9374,27.4182,25.9757,27.4182,2481.3461537605
2019-02-20,27.1291,28.4772,27.0337,27.9,8457.7161800794
2019-02-21,27.7361,27.7361,26.995,27.7361,498.2824933515
2019-02-22,27.1291,27.9,27.1291,27.9,230.5185676313
2019-02-25,27.8901,27.8901,27.4182,27.8901,385.5397877851
2019-02-26,27.8612,27.8612,26.9374,27.3228,656.3236074044
2019-02-27,27.0526,27.2265,26.2837,26.9374,376.4801060878
2019-02-28,26.9374,26.9374,26.1774,26.9374,480.1631299569
2019-03-01,26.9374,27.3029,26.5718,27.3029,2275.9933686217
2019-03-04,27.3029,28.8616,26.9374,26.9374,2114.9323606697
2019-03-05,27.3228,27.4182,26.9374,27.4182,1013.6777187979
2019-03-06,27.4182,27.5722,27.0824,27.5155,913.0145888279
2019-03-07,27.3228,27.3228,26.5231,26.9374,252.6644562247
2019-03-08,27.0824,27.0824,26.4566,26.9274,1074.0755967799
2019-03-11,26.9374,29.7279,26.8897,28.8517,18918.6286465618
2019-03-12,29.2461,32.0753,28.8616,31.5548,13704.2785141158
2019-03-13,32.2293,32.2293,29.8232,30.1312,4609.3647213263
2019-03-14,30.2087,31.9402,29.4388,29.8232,7218.5530501487
2019-03-15,30.5931,31.9352,30.0636,31.7286,7143.0557026712
2019-03-18,31.2667,31.6322,30.7858,31.6322,1583.4310344281
2019-03-19,31.6322,31.6322,29.3911,31.1703,5354.2718831043
2019-03-20,30.7858,30.7858,29.0921,29.7855,2587.042440229
2019-03-21,29.7954,30.2087,29.7954,30.2087,735.8474800806999
