Date,Open,High,Low,Close,Volume
2024-12-02,421.57,433.0,421.31,430.98,20207223
2024-12-03,429.84,432.47,427.74,431.2,18301987
2024-12-04,433.03,439.67,432.63,437.42,26009429
2024-12-05,437.92,444.66,436.171,442.62,21697775
2024-12-06,442.3,446.1,441.7703,443.57,18821002
2024-12-09,442.6,448.33,440.5,446.02,19144388
2024-12-10,444.39,449.62,441.6,443.33,18469459
2024-12-11,444.05,450.35,444.05,448.99,19200208
2024-12-12,449.11,456.1648,449.11,449.56,20834779
2024-12-13,448.435,451.43,445.58,447.27,20177833
2024-12-16,447.27,452.18,445.28,451.59,23598834
2024-12-17,451.01,455.29,449.57,454.46,22733494
2024-12-18,451.32,452.65,437.02,437.39,24444545
2024-12-19,441.62,443.1834,436.32,437.03,22963681
2024-12-20,433.11,443.74,428.63,436.6,64263694
2024-12-23,436.74,437.65,432.83,435.25,19152519
2024-12-24,434.65,439.6,434.19,439.33,7164543
2024-12-26,439.08,440.94,436.63,438.11,8199927
2024-12-27,434.6,435.22,426.35,430.53,18117713
2024-12-30,426.06,427.55,421.9,424.83,13158703
2024-12-31,426.1,426.73,420.66,421.5,13246509
2025-01-02,425.53,426.07,414.85,418.58,16896469
2025-01-03,421.08,424.03,419.54,423.35,16662943
2025-01-06,428.0,434.32,425.4774,427.85,20573648
2025-01-07,429.0,430.65,420.8,422.37,18139065
2025-01-08,423.46,426.97,421.54,424.56,15054575
2025-01-10,424.63,424.71,415.02,418.95,20201132
2025-01-13,415.235,418.5,412.29,417.19,17604780
2025-01-14,417.81,419.74,410.72,415.67,16935856
2025-01-15,419.13,428.15,418.265,426.31,19637838
2025-01-16,428.695,429.49,424.39,424.58,15300023
2025-01-17,434.085,434.48,428.17,429.03,26197507
2025-01-21,430.2,430.8999,425.595,428.5,26085703
2025-01-22,437.56,447.27,436.0,446.2,27803811
2025-01-23,442.0,446.75,441.5048,446.71,18389270
2025-01-24,445.16,446.65,441.4,444.06,15549453
2025-01-27,424.01,435.2,423.5,434.56,35647805
2025-01-28,434.6,448.38,431.38,447.2,23491703
2025-01-29,446.69,446.88,440.4,442.33,23581370
2025-01-30,418.77,422.86,413.16,414.99,54586260
2025-01-31,418.98,420.69,414.91,415.06,34223388
2025-02-03,411.6,415.41,408.66,410.92,25679149
2025-02-04,412.685,413.9199,409.74,412.37,20532096
2025-02-05,412.35,413.827,410.4,413.29,16336188
2025-02-06,414.0,418.2,414.0,415.82,16309755
2025-02-07,416.48,418.65,408.1,409.75,22886844
2025-02-10,413.71,415.4624,410.92,412.22,20817919
2025-02-11,409.64,412.49,409.3,411.44,18140592
2025-02-12,407.21,410.75,404.3673,409.04,19121734
2025-02-13,407.0,411.0,406.36,410.54,23891731
2025-02-14,407.79,408.91,405.88,408.43,22758464
2025-02-18,408.0,410.597,406.5,409.64,21423051
2025-02-19,407.88,415.49,407.65,414.77,24114197
2025-02-20,415.29,419.31,412.54,416.13,23508728
2025-02-21,417.335,418.048,407.89,408.21,27524799
2025-02-24,408.51,409.37,399.32,404.0,26443656
2025-02-25,401.1,401.915,396.7,397.9,29387402
2025-02-26,398.01,403.6,394.245,399.73,19618954
2025-02-27,401.265,405.74,392.17,392.53,21127406
2025-02-28,392.655,397.63,386.57,396.99,32845658
2025-03-03,398.82,398.82,386.155,388.49,23007726
2025-03-04,383.4,392.58,381.0,388.61,29342923
2025-03-05,389.34,401.67,388.81,401.02,23433132
2025-03-06,394.28,402.15,392.6777,396.89,23304625
2025-03-07,392.32,394.8,385.54,393.31,22034087
2025-03-10,385.84,386.4,377.22,380.16,32840134
2025-03-11,379.0,386.0,376.91,380.45,30380177
2025-03-12,382.95,385.2165,378.9507,383.27,24253567
2025-03-13,383.155,385.32,377.45,378.77,20473017
2025-03-14,379.775,390.23,379.51,388.56,19952846
2025-03-17,386.7,392.705,385.57,388.7,22474272
2025-03-18,387.07,387.37,381.1,383.52,19486850
2025-03-19,385.525,389.68,384.0,387.82,19185532
2025-03-20,385.735,391.785,383.28,386.84,18470542
2025-03-21,383.215,391.74,382.8,391.26,39675928
2025-03-24,395.4,395.4,389.81,393.08,21004548
2025-03-25,393.915,396.36,392.64,395.16,15774968
2025-03-26,395.0,395.31,388.57,389.97,16132906
2025-03-27,390.13,392.24,387.395,390.58,13766761
2025-03-28,388.08,389.13,376.93,378.8,21632016
2025-03-31,372.535,377.07,367.24,375.39,35184676
2025-04-01,374.65,382.85,373.23,382.19,19689503
2025-04-02,377.965,385.08,376.62,382.14,16092555
2025-04-03,374.785,377.48,369.35,373.11,30197997
2025-04-04,364.125,374.59,359.48,359.84,49209854
2025-04-07,350.88,370.9999,344.79,357.86,50424998
2025-04-08,368.255,373.65,350.25,354.56,35868918
2025-04-09,353.535,393.225,353.1,390.49,50199696
2025-04-10,382.06,383.9,367.8,381.35,38024368
2025-04-11,380.635,390.05,378.89,388.45,23839220
2025-04-14,393.22,394.65,384.21,387.81,19251172
2025-04-15,388.505,391.89,384.1599,385.73,17199890
2025-04-16,380.67,381.61,368.0,371.61,21967826
2025-04-17,373.745,374.3215,366.89,367.78,21120192
2025-04-21,362.815,364.48,355.67,359.12,20807279
2025-04-22,363.375,367.77,359.8602,366.82,19484993
2025-04-23,376.06,380.39,373.02,374.39,20545526
2025-04-24,375.695,388.45,375.19,387.3,22232289
2025-04-25,387.0,392.16,384.6,391.85,18973165
2025-04-28,391.955,392.74,386.638,391.16,16579430
2025-04-29,391.3,395.1,390.38,394.04,14973976
2025-04-30,390.3,396.66,384.44,395.26,36461075
2025-05-01,431.11,436.99,424.9,425.4,58938100
2025-05-02,431.74,439.44,429.985,435.28,30757434
2025-05-05,432.87,439.5,432.11,436.17,20136053
2025-05-06,432.2,437.73,431.17,433.31,15104204
2025-05-07,433.84,438.12,431.1103,433.35,23307241
2025-05-08,437.93,443.67,435.66,438.17,23491330
2025-05-09,440.0,440.74,435.88,438.73,15324233
2025-05-12,445.94,449.37,439.78,449.26,22821935
2025-05-13,447.78,450.6733,445.36,449.14,23618819
2025-05-14,448.14,453.9,448.14,452.94,19902796
2025-05-15,450.765,456.19,450.4301,453.13,21992323
2025-05-16,452.05,454.36,448.73,454.27,23849781
2025-05-19,450.875,459.585,450.8,458.87,21336509
2025-05-20,455.59,458.34,454.3201,458.17,15441808
2025-05-21,454.57,457.78,451.814,452.57,19216906
2025-05-22,454.95,460.25,453.9,454.86,18025612
2025-05-23,449.98,453.69,448.91,450.18,16883509
2025-05-27,456.48,460.95,456.115,460.69,20974293
2025-05-28,461.22,462.52,456.93,457.36,17086261
2025-05-29,461.55,461.72,455.3105,458.68,13982211
2025-05-30,459.715,461.68,455.54,460.36,34770475
2025-06-02,457.14,462.11,456.89,461.97,16626495
2025-06-03,461.47,464.14,460.8622,462.97,15743760
2025-06-04,464.0,465.69,463.0201,463.87,14162688
2025-06-05,464.955,469.65,464.03,467.68,20154460
2025-06-06,470.085,473.335,468.78,470.38,15285624
2025-06-09,469.70001220703125,473.42999267578125,468.6199951171875,472.75,16469900
2025-06-10,471.19000244140625,472.79998779296875,466.9599914550781,470.9200134277344,15375900
2025-06-11,470.0199890136719,475.4700012207031,469.6600036621094,472.6199951171875,16399200
2025-06-12,475.0199890136719,480.4200134277344,473.5199890136719,478.8699951171875,18950600
2025-06-13,476.41,479.18,472.76,474.96,16814456
2025-06-16,475.21,480.6943,475.0,479.14,15626104
2025-06-17,475.395,478.7399,474.08,478.04,15414128
2025-06-18,478.0,481.0,474.46,480.24,17526452
2025-06-20,482.23,483.46,476.87,477.4,37576206
2025-06-23,478.21,487.75,472.51,486.0,24863952
2025-06-24,488.95,491.849,486.795,490.11,22305642
2025-06-25,492.04,494.5556,489.39,492.27,17495099
2025-06-26,492.98,498.04,492.81,497.45,21578853
2025-06-27,497.55,499.3,493.03,495.94,34539236
2025-06-30,497.04,500.76,495.33,497.41,28368991
2025-07-01,496.47,498.05,490.98,492.05,19945375
2025-07-02,489.99,493.5,488.7,491.09,16319641
2025-07-03,493.81,500.13,493.44,498.84,13984829
2025-07-07,497.38,498.75,495.225,497.72,13981605
2025-07-08,497.24,498.2,494.11,496.62,11846586
2025-07-09,500.3,506.78,499.74,503.51,18659538
2025-07-10,503.05,504.44,497.75,501.48,16498740
2025-07-11,498.47,505.03,497.795,503.32,16459512
2025-07-14,501.515,503.97,501.03,503.02,12058848
2025-07-15,503.02,508.3,502.79,505.82,14927202
2025-07-16,505.18,506.72,501.89,505.62,15154374
2025-07-17,505.68,513.37,505.62,511.7,17503129
2025-07-18,514.48,514.64,507.43,510.05,21209666
2025-07-21,506.705,512.09,505.55,510.06,14066805
2025-07-22,510.97,511.2,505.27,505.27,13868644
2025-07-23,506.75,506.79,500.7,505.87,16396585
2025-07-24,508.7699890136719,513.6699829101562,507.29998779296875,510.8800048828125,16107000
2025-07-25,512.469970703125,518.2899780273438,510.3599853515625,513.7100219726562,19125700
2025-07-28,514.08,515.0,510.12,512.5,14308027
2025-07-29,515.53,517.62,511.56,512.57,16469235
2025-07-30,515.1699829101562,515.9500122070312,509.44000244140625,513.239990234375,26380400
2025-07-31,555.225,555.45,531.9,533.5,51617326
2025-08-01,535.0,535.7999877929688,520.8599853515625,524.1099853515625,28977600
2025-08-04,528.27,538.25,528.13,535.64,25349004
2025-08-05,537.18,537.3,527.24,527.75,19171569
2025-08-06,530.9,531.7,524.03,524.94,21355702
2025-08-07,526.7999877929688,528.0900268554688,517.5499877929688,520.8400268554688,16079100
2025-08-08,522.6,524.66,519.41,522.04,15531009
2025-08-11,522.3,527.59,519.72,521.77,20194372
2025-08-12,523.75,530.98,522.7,529.24,18688921
