Date,Open,High,Low,Close,Volume
2024-05-31,7.28,7.38,7.18,7.38,1139
2024-06-03,7.36,7.36,7.2,7.28,844
2024-06-04,7.2,7.28,7.12,7.24,8638
2024-06-05,7.16,7.3,7.16,7.28,12939
2024-06-06,7.28,7.28,7.16,7.18,2598
2024-06-07,7.26,7.3,7.16,7.16,2425
2024-06-10,7.14,7.26,7.14,7.2,1353
2024-06-11,7.14,7.14,7.0,7.12,1599
2024-06-12,7.12,7.12,7.02,7.1,645
2024-06-13,7.0,7.1,6.94,6.94,3690
2024-06-14,6.96,7.06,6.46,6.86,10796
2024-06-17,6.64,6.9,6.6,6.84,3535
2024-06-18,6.76,6.86,6.7,6.8,4183
2024-06-19,6.76,6.82,6.68,6.82,5595
2024-06-20,6.8,6.86,6.8,6.86,604
2024-06-21,6.82,6.86,6.82,6.86,1508
2024-06-24,6.82,6.82,6.64,6.76,7709
2024-06-25,6.78,6.84,6.72,6.84,2350
2024-06-26,6.72,6.88,6.7,6.86,5206
2024-06-27,6.8,6.88,6.76,6.84,2115
2024-06-28,6.84,6.94,6.8,6.94,5180
2024-07-01,6.98,7.08,6.84,6.92,7271
2024-07-02,6.92,6.96,6.92,6.96,1318
2024-07-03,6.98,7.1,6.98,7.02,4048
2024-07-04,7.1,7.1,6.96,7.04,1974
2024-07-05,7.04,7.12,6.94,7.06,7693
2024-07-08,7.04,7.08,6.98,7.08,1257
2024-07-09,7.04,7.04,6.94,7.02,1659
2024-07-10,7.04,7.04,6.8,6.9,7645
2024-07-11,6.86,6.88,6.8,6.88,2681
2024-07-12,6.84,6.9,6.84,6.9,1822
2024-07-15,6.9,7.02,6.9,7.02,1300
2024-07-16,6.94,6.94,6.78,6.88,4355
2024-07-17,6.88,6.88,6.76,6.86,4644
2024-07-18,6.78,6.8,6.76,6.8,631
2024-07-19,6.82,6.82,6.76,6.8,1716
2024-07-22,6.76,6.86,6.76,6.86,441
2024-07-23,6.88,6.9,6.8,6.8,256
2024-07-24,6.8,6.8,6.8,6.8,12
2024-07-25,6.54,6.7,6.54,6.7,3200
2024-07-26,6.7,6.74,6.52,6.74,3822
2024-07-29,6.78,6.78,6.46,6.64,16037
2024-07-30,6.6,6.6,6.56,6.6,429
2024-07-31,6.54,6.62,6.46,6.5,4354
2024-08-01,6.6,6.62,6.52,6.52,368
2024-08-02,6.4,6.4,6.4,6.4,600
2024-08-05,6.38,6.38,5.84,6.08,9690
2024-08-06,6.26,6.32,5.7,5.98,20790
2024-08-07,5.82,5.98,5.8,5.94,3244
2024-08-08,5.84,6.04,5.8,5.98,1522
2024-08-09,6.0,6.06,6.0,6.02,793
2024-08-12,6.02,6.1,5.98,6.1,4288
2024-08-13,6.14,6.14,5.92,6.0,3890
2024-08-14,6.0,6.2,5.78,5.96,3857
2024-08-16,6.0,6.18,6.0,6.18,797
2024-08-19,6.22,6.22,6.02,6.2,1179
2024-08-20,6.18,6.18,6.02,6.1,3585
2024-08-21,6.04,6.06,5.94,6.06,1335
2024-08-22,6.0,6.0,6.0,6.0,1
2024-08-23,6.0,6.06,5.8,5.9,13537
2024-08-26,5.9,5.9,5.78,5.84,1580
2024-08-27,5.82,6.0,5.8,5.84,11390
2024-08-28,5.9,5.9,5.9,5.9,1
2024-08-29,5.86,5.98,5.86,5.98,3454
2024-08-30,5.98,6.0,5.84,5.94,4133
2024-09-02,5.92,5.94,5.7,5.94,2229
2024-09-03,5.94,5.96,5.9,5.94,2513
2024-09-04,5.94,5.94,5.8,5.88,814
2024-09-05,5.88,5.88,5.82,5.88,297
2024-09-06,5.9,5.96,5.88,5.96,1745
2024-09-09,5.94,5.94,5.78,5.78,2316
2024-09-10,5.9,5.9,5.78,5.88,82
2024-09-11,5.9,5.9,5.7,5.76,2874
2024-09-12,5.8,5.96,5.7,5.74,7948
2024-09-13,5.72,5.88,5.7,5.72,4256
2024-09-16,5.82,5.82,5.78,5.8,1686
2024-09-17,5.86,6.1,5.8,5.96,11173
2024-09-18,6.04,6.16,5.9,6.1,10962
2024-09-19,6.1,6.1,5.9,5.92,1121
2024-09-20,5.98,6.08,5.9,6.0,1395
2024-09-23,5.72,5.84,5.46,5.72,16212
2024-09-24,5.76,5.8,5.5,5.68,4838
2024-09-25,5.7,5.8,5.52,5.62,4995
2024-09-26,5.58,5.68,5.58,5.68,1362
2024-09-27,5.58,5.68,5.58,5.68,853
2024-09-30,5.68,5.78,5.62,5.74,578
2024-10-01,5.74,5.74,5.26,5.48,6273
2024-10-02,5.34,5.48,5.3,5.44,2431
2024-10-03,5.32,5.46,5.32,5.44,1571
2024-10-04,5.36,5.36,5.3,5.36,1322
2024-10-07,5.4,5.4,5.38,5.4,286
2024-10-08,5.4,5.4,5.14,5.4,3150
2024-10-09,5.26,5.5,5.26,5.3,1076
2024-10-10,5.52,5.96,5.52,5.64,3553
2024-10-11,5.84,5.84,5.66,5.66,1926
2024-10-14,5.62,5.8,5.56,5.68,2490
2024-10-15,5.7,5.7,5.68,5.7,187
2024-10-16,5.68,5.8,5.68,5.8,454
2024-10-17,5.78,5.78,5.54,5.78,276
2024-10-18,5.54,5.6,5.52,5.52,1567
2024-10-21,5.6,5.7,5.6,5.6,1711
2024-10-22,5.6,5.66,5.52,5.52,1132
2024-10-23,5.52,5.6,5.5,5.6,709
2024-10-24,5.5,5.6,5.36,5.44,2315
2024-10-25,5.52,5.52,5.38,5.38,314
2024-10-28,5.52,5.58,5.4,5.58,483
2024-10-29,5.58,5.58,5.36,5.42,1681
2024-10-30,5.54,5.6,5.36,5.5,2631
2024-10-31,5.6,5.6,5.6,5.6,6
2024-11-04,5.36,5.58,5.28,5.56,225
2024-11-05,5.32,5.56,5.3,5.32,55
2024-11-06,5.52,5.52,5.44,5.44,361
2024-11-07,5.52,5.54,5.44,5.54,807
2024-11-08,5.54,5.54,5.3,5.42,3869
2024-11-12,5.36,5.4,5.36,5.4,2983
2024-11-13,5.36,5.4,5.3,5.4,875
2024-11-14,5.4,5.4,5.3,5.4,1124
2024-11-15,5.3,5.6,5.3,5.54,5014
2024-11-18,5.6,5.68,5.42,5.58,5999
2024-11-19,5.42,5.42,5.34,5.4,988
2024-11-20,5.36,5.44,5.32,5.44,1472
2024-11-21,5.4,5.46,5.4,5.4,6199
2024-11-22,5.42,5.42,5.3,5.34,2681
2024-11-25,5.32,5.42,5.3,5.4,1381
2024-11-26,5.42,5.44,5.4,5.4,2042
2024-11-27,5.44,5.84,5.44,5.66,22008
2024-11-28,5.66,5.68,5.56,5.56,1204
2024-11-29,5.66,5.8,5.56,5.8,1424
2024-12-02,5.84,5.84,5.5,5.68,11036
2024-12-03,5.68,5.68,5.44,5.52,2759
2024-12-04,5.52,5.64,5.5,5.6,2767
2024-12-05,5.52,5.6,5.48,5.6,2204
2024-12-06,5.5,5.5,5.5,5.5,861
2024-12-09,5.5,5.5,5.38,5.48,2712
2024-12-10,5.6,5.6,5.46,5.46,1392
2024-12-11,5.56,5.56,5.4,5.46,1069
2024-12-12,5.38,5.5,5.34,5.4,713
2024-12-13,5.36,5.4,5.32,5.4,2239
2024-12-16,5.3,5.4,5.26,5.4,1883
2024-12-17,5.4,5.4,5.22,5.3,18912
2024-12-18,5.3,5.4,5.3,5.38,1817
2024-12-19,5.38,5.4,5.24,5.28,525
2024-12-20,5.28,5.48,5.24,5.28,5597
2024-12-23,5.26,5.28,5.26,5.26,8893
2024-12-27,5.28,5.38,5.14,5.36,3430
2024-12-30,5.22,5.36,5.22,5.26,6465
2025-01-02,5.36,5.6,5.32,5.5,7830
2025-01-03,5.5,5.68,5.46,5.64,7653
2025-01-07,5.68,5.8,5.62,5.74,3343
2025-01-08,5.74,5.88,5.64,5.76,6110
2025-01-09,5.66,5.66,5.56,5.58,6553
2025-01-10,5.58,5.58,5.52,5.58,966
2025-01-13,5.56,6.7,5.5,6.7,42309
2025-01-14,6.8,6.9,6.22,6.48,10850
2025-01-15,6.7,6.7,6.16,6.3,5399
2025-01-16,6.28,6.42,5.82,6.42,4353
2025-01-17,6.64,6.64,6.22,6.5,1039
2025-01-20,6.48,6.5,6.3,6.48,4244
2025-01-21,6.48,6.6,6.3,6.54,4411
2025-01-22,6.54,6.54,6.54,6.54,49
2025-01-23,6.32,6.54,6.32,6.54,218
2025-01-24,6.4,6.54,6.4,6.54,1017
2025-01-27,6.54,6.54,6.26,6.5,1549
2025-01-28,6.28,6.48,6.2,6.48,4587
2025-01-29,6.4,6.4,6.0,6.18,10226
2025-01-30,6.04,6.28,6.04,6.24,2059
2025-01-31,6.14,6.18,6.0,6.1,3689
2025-02-03,6.02,6.08,6.0,6.08,1545
2025-02-04,6.04,6.16,5.98,6.16,2356
2025-02-05,6.16,6.16,6.0,6.04,1177
2025-02-06,6.04,6.38,6.02,6.1,23211
2025-02-07,6.1,6.16,6.0,6.14,6422
2025-02-10,6.06,6.34,6.02,6.32,22798
2025-02-11,6.36,6.48,6.22,6.36,8946
2025-02-12,6.3,6.36,6.14,6.14,6530
2025-02-13,6.2,6.28,6.14,6.24,3878
2025-02-14,6.24,6.26,6.16,6.26,3496
2025-02-17,6.18,6.56,6.18,6.48,14862
2025-02-18,6.48,6.76,6.48,6.7,10147
2025-02-19,6.88,7.0,6.64,6.64,16543
2025-02-20,6.78,6.78,6.56,6.56,2270
2025-02-21,6.72,6.78,6.6,6.7,2115
2025-02-24,6.7,8.16,6.7,8.16,116105
2025-02-25,8.16,8.94,7.72,8.1,123691
2025-02-26,8.0,8.0,7.42,7.74,28352
2025-02-27,7.64,8.04,7.42,7.86,32556
2025-02-28,7.84,7.98,7.72,7.96,20270
2025-03-03,8.0,8.0,7.8,7.82,14624
2025-03-04,7.82,7.9,7.58,7.58,16227
2025-03-05,7.58,7.82,7.58,7.7,8697
2025-03-06,7.78,7.9,7.42,7.6,40549
2025-03-07,7.38,7.5,7.24,7.5,5404
2025-03-10,7.48,7.48,7.16,7.3,9800
2025-03-11,7.24,7.24,6.74,7.14,37730
2025-03-12,7.14,7.8,7.14,7.58,27021
2025-03-13,7.58,7.68,7.36,7.36,6442
2025-03-14,7.32,7.4,7.2,7.28,10934
2025-03-17,7.4,7.9,7.12,7.66,19150
2025-03-18,7.56,7.88,7.42,7.46,17204
2025-03-19,7.46,7.6,7.36,7.6,1805
2025-03-20,7.58,7.58,7.32,7.4,7332
2025-03-21,7.32,7.5,7.2,7.48,4240
2025-03-24,7.46,7.46,7.2,7.4,4041
2025-03-25,7.3,7.34,7.22,7.24,3311
2025-03-26,7.24,7.28,7.22,7.24,1106
2025-03-27,7.3,7.3,7.2,7.3,284
2025-03-28,7.16,7.24,7.12,7.24,816
2025-03-31,7.2,7.2,6.96,7.12,6463
2025-04-01,7.12,7.16,7.06,7.16,1112
2025-04-02,7.1,7.1,7.1,7.1,2200
2025-04-03,7.0,7.04,6.3,6.44,15244
2025-04-04,6.44,6.54,6.2,6.38,7379
2025-04-07,5.9,6.1,5.44,6.1,32175
2025-04-08,6.1,6.26,6.1,6.24,3932
2025-04-09,6.18,6.22,6.1,6.18,10033
2025-04-10,6.28,6.54,6.28,6.4,12763
2025-04-11,6.52,6.64,6.4,6.48,1208
2025-04-14,6.48,6.54,6.44,6.48,4065
2025-04-15,6.5,6.96,6.48,6.7,16576
2025-04-16,6.68,7.32,6.68,7.0,14834
2025-04-17,7.12,7.12,6.8,6.86,7930
