Date,Open,High,Low,Close,Volume
2024-05-31,6.13833,6.13833,5.88947,6.12174,48550.705067455
2024-06-03,6.05538,6.08856,5.90607,6.00561,25743.097261451
2024-06-04,5.93924,6.00561,5.90607,5.95584,43939.515265776
2024-06-05,5.80653,5.88947,5.70699,5.78993,70609.672646832
2024-06-06,5.80653,5.90607,5.77335,5.90607,28308.485992947
2024-06-07,5.88947,5.98901,5.87289,5.98901,16090.33994327
2024-06-10,5.98901,5.98901,5.80653,5.8563,30917.274157871
2024-06-11,5.87289,5.92266,5.72358,5.72358,26001.082782382
2024-06-12,5.80653,5.80653,5.64062,5.65722,35716.528171069
2024-06-13,5.70699,5.70699,5.60745,5.60745,19354.941768877
2024-06-14,5.59085,5.67381,5.5245,5.55768,33715.332074132
2024-06-17,5.54108,5.64062,5.54108,5.55768,7375.4926030514
2024-06-18,5.57427,5.70699,5.5245,5.55768,15582.807680131
2024-06-19,5.55768,5.70699,5.55768,5.62404,11430.928548894
2024-06-20,5.64062,5.80653,5.64062,5.69039,5326.0749134163
2024-06-21,5.70699,5.97243,5.70699,5.92266,30648.438778584
2024-06-24,5.92266,5.92266,5.64062,5.90607,10491.813031114
2024-06-25,5.93924,5.93924,5.72358,5.93924,6737.7620396296
2024-06-26,5.88947,5.97243,5.82312,5.8563,4270.0220333455
2024-06-27,5.95584,5.95584,5.8563,5.88947,1864.9700975679
2024-06-28,5.8397,5.90607,5.82312,5.8397,5429.7513377155
2024-07-01,5.80653,5.92266,5.77335,5.87289,11909.527856415
2024-07-02,5.87289,5.88947,5.75676,5.87289,13156.05602764
2024-07-03,5.77335,5.90607,5.74016,5.78993,17553.865281633
2024-07-04,5.87289,5.88947,5.82312,5.8397,4476.1693421265
2024-07-05,5.87289,5.88947,5.82312,5.8397,4872.7919420617
2024-07-08,5.8397,5.88947,5.75676,5.87289,10864.324834701
2024-07-09,5.87289,6.10515,5.82312,5.92266,36659.260308302
2024-07-10,5.98901,6.07197,5.95584,5.97243,17564.71513999
2024-07-11,5.98901,6.08856,5.98901,6.05538,10132.562165519
2024-07-12,6.05538,6.12174,6.03879,6.05538,8331.4856782752
2024-07-15,6.08856,6.12174,6.05538,6.12174,3761.2842303891
2024-07-16,6.12174,6.20469,5.90607,6.03879,15729.883537858
2024-07-17,6.03879,6.07197,5.90607,5.97243,3207.9414541876
2024-07-18,5.97243,6.03879,5.90607,6.00561,5464.711992421
2024-07-19,5.93924,6.10515,5.88947,6.08856,15672.017626621
2024-07-22,6.05538,6.05538,5.93924,6.0222,4928.2467736636
2024-07-23,6.00561,6.0222,5.90607,6.00561,9250.1070191587
2024-07-24,6.00561,6.00561,5.8397,5.93924,8118.1051305897
2024-07-25,5.87289,5.87289,5.69039,5.8397,16310.95372986
2024-07-26,5.8397,5.90607,5.72358,5.72358,9136.7862763201
2024-07-29,5.80653,5.80653,5.72358,5.74016,4097.6298394527
2024-07-30,5.74016,5.8563,5.74016,5.8563,9083.7425243531
2024-07-31,5.75676,5.97243,5.75676,5.97243,9764.8725212024
2024-08-01,5.93924,6.00561,5.93924,6.00561,6785.9836323269
2024-08-02,5.97243,5.97243,5.78993,5.78993,6884.8378973564
2024-08-05,5.64062,5.78993,5.40837,5.59085,45853.912495858
2024-08-06,5.49131,5.62404,5.42496,5.60745,16643.682719472
2024-08-07,5.60745,5.72358,5.60745,5.65722,9375.4831601717
2024-08-08,5.65722,5.72358,5.55768,5.72358,8779.9464903601
2024-08-09,5.59085,5.80653,5.59085,5.80653,2464.1233868318
2024-08-12,5.88947,5.92266,5.69039,5.8563,4110.8907774444
2024-08-13,5.88947,5.88947,5.72358,5.82312,9831.1772111611
2024-08-14,5.87289,5.87289,5.69039,5.87289,8104.844192598
2024-08-16,5.75676,5.87289,5.72358,5.80653,3738.3789738578
2024-08-19,5.72358,5.78993,5.69039,5.77335,3714.2681775092
2024-08-20,5.75676,5.80653,5.74016,5.74016,3767.3119294762
2024-08-21,5.75676,5.8563,5.75676,5.8563,5937.2836008545
2024-08-22,5.77335,5.92266,5.77335,5.88947,6319.4397229806
2024-08-23,5.88947,5.88947,5.77335,5.88947,8398.9959080515
2024-08-26,5.93924,5.93924,5.72358,5.8397,8763.068932916
2024-08-27,5.74016,5.80653,5.74016,5.77335,3393.5945860722
2024-08-28,5.78993,5.8563,5.77335,5.8563,2155.5051935691
2024-08-29,5.77335,5.98901,5.77335,5.97243,12435.143216815
2024-08-30,5.97243,6.20469,5.88947,6.10515,36767.75889187
2024-09-02,6.10515,6.10515,5.92266,6.00561,28500.166823919
2024-09-03,6.00561,6.10515,5.97243,6.05538,12336.288951786
2024-09-04,6.03879,6.03879,5.78993,5.95584,35274.095058072
2024-09-05,5.95584,5.97243,5.82312,5.95584,4055.4359458426
2024-09-06,5.95584,5.95584,5.80653,5.93924,5465.9175322385
2024-09-09,5.93924,6.03879,5.87289,5.93924,16112.039659984
2024-09-10,6.00561,6.00561,5.87289,5.97243,927.06011960551
2024-09-11,5.95584,5.95584,5.77335,5.88947,14882.389046203
2024-09-12,5.80653,5.93924,5.77335,5.93924,4087.9855209132
2024-09-13,5.92266,5.93924,5.80653,5.93924,6816.1221277627
2024-09-16,5.78993,5.90607,5.78993,5.78993,3177.8029587518
2024-09-17,5.78993,5.93924,5.77335,5.88947,1619.0399748117
2024-09-18,5.80653,5.88947,5.80653,5.87289,1346.587976072
2024-09-19,5.87289,5.90607,5.72358,5.77335,10687.110481538
2024-09-20,5.78993,5.8563,5.65722,5.8397,9875.7821844061
2024-09-23,5.8563,5.8563,5.75676,5.75676,7250.1164620384
2024-09-24,5.72358,5.82312,5.72358,5.72358,6059.0431224152
2024-09-25,5.72358,5.75676,5.67381,5.75676,14794.38463953
2024-09-26,5.72358,5.75676,5.65722,5.70699,8015.634246108
2024-09-27,5.77335,5.77335,5.67381,5.69039,64533.751966973
2024-09-30,5.67381,5.78993,5.67381,5.78993,12268.778722009
2024-10-01,5.72358,5.87289,5.65722,5.72358,7187.4283915319
2024-10-02,5.77335,5.88947,5.60745,5.65722,29000.465848154
2024-10-03,5.65722,5.78993,5.64062,5.64062,5952.9556184811
2024-10-04,5.75676,5.75676,5.60745,5.72358,8335.1022977275
2024-10-07,5.62404,5.70699,5.49131,5.67381,5206.7264714905
2024-10-08,5.67381,5.69039,5.50791,5.64062,15280.217185956
2024-10-09,5.64062,5.65722,5.55768,5.59085,3756.4620711193
2024-10-10,5.65722,5.69039,5.57427,5.57427,1455.0865596409
2024-10-11,5.69039,5.78993,5.62404,5.62404,4845.0645262608
2024-10-14,5.64062,5.77335,5.64062,5.65722,2221.8098835279
2024-10-15,5.72358,5.77335,5.59085,5.59085,9329.6726471093
2024-10-16,5.67381,5.69039,5.57427,5.69039,4966.8240478214
2024-10-17,5.62404,5.70699,5.54108,5.54108,6575.0141642763
2024-10-18,5.57427,5.65722,5.5245,5.64062,8936.6666666263
2024-10-21,5.64062,5.65722,5.57427,5.62404,6441.1992445413
