Date,Open,High,Low,Close,Volume
2024-06-11,2.37481,2.40389,2.30696,2.30696,64240.577834588
2024-06-12,2.36512,2.42327,2.33604,2.40389,38818.356199426
2024-06-13,2.40389,2.40389,2.32634,2.35542,28899.955144298
2024-06-14,2.35542,2.35542,2.29726,2.29726,26801.554088949
2024-06-17,2.35542,2.40389,2.22941,2.29726,37843.435355126
2024-06-18,2.31665,2.36512,2.25849,2.30696,4544.4722953855
2024-06-19,2.35542,2.35542,2.29726,2.32634,11614.453825528
2024-06-20,2.32634,2.33604,2.26818,2.31665,18555.477572033
2024-06-21,2.33604,2.33604,2.2488,2.30696,13404.387862416
2024-06-24,2.31665,2.31665,2.25849,2.27788,7881.899735924
2024-06-25,2.2488,2.28757,2.19064,2.19064,32282.775724677
2024-06-26,2.19064,2.2488,2.19064,2.2488,41884.456463191
2024-06-27,2.25849,2.25849,2.21972,2.2488,4589.8654352259
2024-06-28,2.25849,2.26818,2.22941,2.22941,3007.2955144265
2024-07-01,2.22941,2.33604,2.21972,2.28757,28526.493402884
2024-07-02,2.29726,2.31665,2.22941,2.28757,15723.564643353
2024-07-03,2.28757,2.29726,2.22941,2.26818,17844.662268623
2024-07-04,2.26818,2.27788,2.2391,2.2391,2084.9894458511
2024-07-05,2.2488,2.2488,2.22941,2.2488,6711.9947227646
2024-07-08,2.22941,2.25849,2.21972,2.22941,11842.451186999
2024-07-09,2.18095,2.2391,2.17125,2.22941,14731.105540479
2024-07-10,2.21003,2.22941,2.16156,2.18095,34087.153033333
2024-07-11,2.18095,2.18095,2.08402,2.12279,41434.651713863
2024-07-12,2.1034,2.13248,2.08402,2.09371,22800.767809379
2024-07-15,2.04524,2.12279,1.99678,2.04524,53382.33245231
2024-07-16,2.00647,2.03555,1.95801,2.02586,62305.179417756
2024-07-17,2.02586,2.03555,1.97739,1.99678,7951.0211079537
2024-07-18,2.02586,2.04524,1.98708,2.01616,18292.403693412
2024-07-19,2.01616,2.06463,1.98708,2.02586,66531.899734259
2024-07-22,2.00647,2.02586,1.94831,1.99678,38084.844326096
2024-07-23,1.99678,2.00647,1.92893,1.97739,38649.163587293
2024-07-24,1.97739,1.97739,1.89015,1.90469,38805.976252196
2024-07-25,1.90469,1.93377,1.87561,1.91923,53440.10553938
2024-07-26,1.92893,1.97739,1.89015,1.91923,36267.055407941
2024-07-29,1.91923,1.91923,1.86107,1.895,29261.036938483
2024-07-30,2.15,2.29,2.01,2.1,466978.0
2024-07-31,2.1,2.1,2.02,2.08,92629.0
2024-08-01,2.08,2.08,2.0,2.03,107244.0
2024-08-02,2.03,2.09,1.95,1.98,1600700.0
2024-08-05,1.93,1.93,1.74,1.865,304923.0
2024-08-06,1.94,1.985,1.87,1.95,48338.0
2024-08-07,2.0,2.05,1.98,2.0,82114.0
2024-08-08,2.04,2.04,1.97,2.01,21373.0
2024-08-09,2.04,2.04,1.96,1.995,22146.0
2024-08-12,1.995,2.01,1.96,1.96,58317.0
2024-08-13,2.01,2.01,1.965,1.98,6303.0
2024-08-14,1.98,1.99,1.96,1.96,17651.0
2024-08-16,1.96,2.01,1.94,1.99,48955.0
2024-08-19,1.99,2.14,1.99,2.12,131063.0
2024-08-20,2.15,2.15,2.09,2.09,41662.0
2024-08-21,2.09,2.14,2.09,2.09,24757.0
2024-08-22,2.14,2.14,2.04,2.04,35047.0
2024-08-23,2.04,2.1,2.04,2.1,11684.0
2024-08-26,2.1,2.1,1.96,2.03,70243.0
2024-08-27,2.03,2.05,2.01,2.05,8860.0
2024-08-28,2.06,2.06,1.965,2.01,15029.0
2024-08-29,2.01,2.02,2.0,2.02,7994.0
2024-08-30,1.98,2.02,1.91,1.97,101776.0
2024-09-02,1.97,2.02,1.97,1.995,5322.0
2024-09-03,2.0,2.0,1.95,1.995,50016.0
2024-09-04,1.99,2.03,1.98,2.02,22093.0
2024-09-05,1.995,2.03,1.99,1.99,26958.0
2024-09-06,1.99,2.0,1.955,2.0,9663.0
2024-09-09,1.98,2.03,1.955,1.965,12701.0
2024-09-10,2.0,2.0,1.955,1.965,6451.0
2024-09-11,2.0,2.0,1.95,1.955,4812.0
2024-09-12,1.965,1.965,1.92,1.93,16771.0
2024-09-13,1.93,1.955,1.9,1.9,26548.0
2024-09-16,1.9,1.97,1.9,1.93,18250.0
2024-09-17,1.97,1.97,1.9,1.9,14429.0
2024-09-18,1.91,1.95,1.78,1.825,59130.0
2024-09-19,1.85,1.86,1.81,1.83,17346.0
2024-09-20,1.83,1.885,1.815,1.885,13947.0
2024-09-23,1.82,1.855,1.82,1.85,14329.0
2024-09-24,1.85,1.85,1.805,1.805,21360.0
2024-09-25,1.81,1.815,1.8,1.815,25329.0
2024-09-26,1.815,1.89,1.8,1.815,54713.0
2024-09-27,1.81,1.86,1.8,1.83,20389.0
2024-09-30,1.855,1.86,1.82,1.85,16169.0
2024-10-01,1.865,1.865,1.76,1.79,19135.0
2024-10-02,1.95,1.95,1.78,1.835,220742.0
2024-10-03,1.84,1.85,1.77,1.85,18850.0
2024-10-04,1.825,1.825,1.745,1.825,13390.0
2024-10-07,1.825,1.825,1.75,1.79,14273.0
2024-10-08,1.79,1.79,1.735,1.745,34277.0
2024-10-09,1.76,1.81,1.74,1.78,12746.0
2024-10-10,1.795,1.795,1.735,1.75,20879.0
2024-10-11,1.785,1.8,1.74,1.75,11487.0
2024-10-14,1.75,1.75,1.73,1.73,9208.0
2024-10-15,1.75,1.78,1.73,1.765,19155.0
2024-10-16,1.73,1.795,1.73,1.78,11131.0
2024-10-17,1.785,1.79,1.73,1.77,6666.0
2024-10-18,1.765,1.765,1.73,1.75,11273.0
2024-10-21,1.75,1.775,1.74,1.76,6543.0
2024-10-22,1.755,1.76,1.74,1.755,21875.0
2024-10-23,1.76,1.76,1.73,1.755,15382.0
2024-10-24,1.75,1.75,1.73,1.73,13184.0
2024-10-25,1.75,1.75,1.71,1.75,11587.0
2024-10-28,1.74,1.755,1.74,1.75,5513.0
2024-10-29,1.75,1.835,1.75,1.77,58536.0
2024-10-30,1.77,1.82,1.77,1.77,12838.0
2024-10-31,1.81,1.81,1.75,1.75,19556.0
2024-11-04,1.72,1.77,1.67,1.72,110977.0
2024-11-05,1.72,1.73,1.67,1.71,23455.0
2024-11-06,1.695,1.74,1.69,1.695,21294.0
2024-11-07,1.7,1.71,1.66,1.71,46571.0
2024-11-08,1.71,1.73,1.66,1.7,43928.0
2024-11-12,1.72,1.725,1.66,1.695,31608.0
2024-11-13,1.7,1.7,1.675,1.7,22412.0
2024-11-14,1.7,1.7,1.64,1.7,41927.0
2024-11-15,1.675,1.7,1.645,1.68,15970.0
2024-11-18,1.69,1.69,1.64,1.64,7964.0
2024-11-19,1.6,1.665,1.6,1.64,45738.0
2024-11-20,1.64,1.72,1.6,1.72,32280.0
2024-11-21,1.715,1.715,1.655,1.68,6989.0
2024-11-22,1.7,1.745,1.66,1.675,42910.0
2024-11-25,1.675,1.71,1.675,1.7,14586.0
2024-11-26,1.7,1.7,1.63,1.65,94262.0
2024-11-27,1.65,1.68,1.61,1.67,161824.0
2024-11-28,1.63,1.665,1.6,1.665,49195.0
2024-11-29,1.665,1.67,1.61,1.66,9384.0
2024-12-02,1.66,1.66,1.495,1.53,256195.0
2024-12-03,1.55,1.57,1.5,1.565,122627.0
2024-12-04,1.53,1.57,1.49,1.53,100571.0
2024-12-05,1.525,1.55,1.495,1.52,102105.0
2024-12-06,1.52,1.535,1.5,1.53,78009.0
2024-12-09,1.525,1.55,1.51,1.52,40610.0
2024-12-10,1.52,1.53,1.5,1.5,98172.0
2024-12-11,1.51,1.51,1.47,1.47,52610.0
2024-12-12,1.46,1.46,1.375,1.4,92709.0
2024-12-13,1.375,1.41,1.29,1.345,70444.0
2024-12-16,1.335,1.335,1.27,1.28,90449.0
2024-12-17,1.29,1.3,1.24,1.24,88744.0
2024-12-18,1.25,1.25,1.125,1.185,353656.0
2024-12-19,1.19,1.19,1.12,1.13,148346.0
2024-12-20,1.13,1.13,1.11,1.13,138873.0
2024-12-23,1.14,1.25,1.14,1.17,233985.0
2024-12-27,1.15,1.24,1.145,1.19,46800.0
2024-12-30,1.24,1.36,1.24,1.36,84807.0
2025-01-02,1.34,1.36,1.26,1.33,114561.0
2025-01-03,1.33,1.33,1.265,1.3,43507.0
2025-01-07,1.32,1.39,1.3,1.32,122469.0
2025-01-08,1.33,1.33,1.29,1.33,27525.0
2025-01-09,1.33,1.35,1.3,1.325,48740.0
2025-01-10,1.325,1.325,1.3,1.31,16219.0
2025-01-13,1.31,1.32,1.28,1.315,35938.0
2025-01-14,1.315,1.32,1.205,1.205,31925.0
2025-01-15,1.24,1.305,1.22,1.295,29305.0
