Date,Open,High,Low,Close,Volume
2013-12-05,15.8949,16.2412,15.584,16.069,5335865.615287875
2013-12-06,16.069,16.069,15.41,15.826,715381.1463180104
2013-12-09,15.9312,15.9312,15.7368,15.7925,366534.2240390179
2013-12-10,15.7497,15.7497,15.41,15.4519,204267.2240192765
2013-12-11,15.3904,15.4519,14.9334,15.2379,161870.5586451704
2013-12-12,15.0991,15.168,14.8218,14.9334,199769.92430675105
2013-12-13,14.8916,15.2248,14.8916,14.9744,51561.01476443895
2013-12-16,15.2248,15.2248,15.0424,15.168,46543.72148743595
2013-12-17,15.168,15.168,14.6906,14.8916,91119.20287134514
2013-12-18,14.7519,15.168,14.7519,14.9605,24151.76720921403
2013-12-19,15.168,15.2248,14.6226,14.656,78826.297159254
2013-12-20,14.6906,14.7519,14.5658,14.6906,70693.33996291236
2013-12-23,14.7798,15.168,14.7798,15.0302,22922.69151137837
2013-12-27,15.0302,15.155,14.8916,15.155,28037.75217343632
2013-12-30,15.1066,15.1959,14.9809,15.0787,25693.483665852164
2014-01-02,15.168,15.2312,15.0991,15.0991,98754.72820746157
2014-01-03,15.0991,15.168,14.9744,15.1196,15114.193109396148
2014-01-07,15.168,15.168,14.927,15.0302,91747.70748955656
2014-01-08,15.0852,15.0852,14.7194,14.8218,30187.5602777794
2014-01-09,14.7399,14.7519,14.1302,14.2335,60686.68694749348
2014-01-10,14.2335,14.7519,14.1637,14.7519,137738.13003958887
2014-01-13,14.8916,14.9605,14.683,14.9605,154526.18673048122
2014-01-14,14.9465,14.9465,14.7519,14.8004,81221.06090966937
2014-01-15,14.8916,14.8916,14.7798,14.7798,104356.47706106072
2014-01-16,14.7798,14.8916,14.683,14.7594,6965.120410023709
2014-01-17,14.7873,14.8916,14.6906,14.8292,102577.32552642892
2014-01-20,15.0302,15.2043,14.8637,15.0787,18620.926568954583
2014-01-21,15.168,15.2379,14.9744,15.0302,58298.369398291004
2014-01-22,15.0302,15.0917,14.9744,15.0032,195378.98691421663
2014-01-23,14.9605,15.0302,14.9129,15.0154,22518.729568732808
2014-01-24,14.9949,14.9949,14.8218,14.8366,8615.347920404218
2014-01-27,14.7873,14.8766,14.7873,14.8218,29786.821435741305
2014-01-28,14.8218,14.94,14.7873,14.8916,21298.248805847667
2014-01-29,14.94,15.2165,14.8981,14.9055,127990.39943953896
2014-01-30,14.8916,14.9605,14.8004,14.9605,11014.40913829412
2014-01-31,14.9605,15.0228,14.683,14.9605,74050.73642771684
2014-02-03,14.9605,14.9605,14.6226,14.8366,18344.81428368873
2014-02-04,14.683,14.8366,14.6272,14.8218,21183.291550892714
2014-02-05,14.7873,14.9605,14.7594,14.9055,55797.24332787017
2014-02-06,14.7669,14.9129,14.7669,14.8366,205486.63041529385
2014-02-07,14.8916,14.8916,14.683,14.8096,160075.2916075136
2014-02-10,14.697,14.7873,14.3852,14.6766,130206.81828974235
2014-02-11,14.5444,14.683,14.4764,14.6346,16844.998134931284
2014-02-12,14.5723,14.6346,14.4895,14.5797,61963.03478755389
2014-02-13,14.5444,14.6477,14.5444,14.5518,42465.42485370919
2014-02-14,14.5797,14.724,14.5174,14.724,13389.834285072871
2014-02-17,14.6346,14.8096,14.6142,14.7045,92798.43828718232
2014-02-18,14.8004,14.8096,14.6142,14.7399,34684.8599903141
2014-02-19,14.683,15.168,14.683,14.8981,28494.35809264969
2014-02-20,14.8152,14.8916,14.5518,14.71,101837.08675386902
2014-02-21,14.7519,14.7594,14.4969,14.697,152467.6998099802
2014-02-24,14.7194,14.7798,14.6142,14.6906,17331.686326469415
2014-02-25,14.6906,14.7194,14.3852,14.4066,255594.0268063354
2014-02-26,14.4066,14.4066,13.782,13.782,209738.97448176245
2014-02-27,13.782,13.9766,13.715,13.782,134767.50564753712
2014-02-28,13.715,13.782,13.325,13.4917,60248.34526504893
2014-03-03,13.2916,13.299,12.814,12.8895,51918.77893172856
2014-03-04,12.828,13.2627,12.828,13.1594,45206.13473585823
2014-03-05,13.1594,13.1938,13.0906,13.1455,13858.258239842176
2014-03-06,13.1538,13.1938,12.9592,12.9592,12046.875699151073
2014-03-07,12.9658,13.083,12.9528,12.9592,126450.8317166374
2014-03-10,12.9444,12.9871,12.6335,12.6613,11534.402702763447
2014-03-11,12.6474,12.9183,12.6409,12.869,161571.88465566255
2014-03-12,12.8829,13.0207,12.6335,12.6819,10680.281042117404
2014-03-13,12.667,12.814,12.667,12.7442,14525.440065327815
