Date,Open,High,Low,Close,Volume
2010-09-29,16.733,16.733,13.47,13.545,27078
2010-09-30,13.545,14.003,13.367,13.461,49206
2010-10-01,13.442,13.554,13.414,13.452,4692
2010-10-04,13.414,13.414,13.377,13.414,1712
2010-10-05,13.452,13.452,13.367,13.433,1218
2010-10-06,13.442,13.554,13.367,13.461,1842
2010-10-07,13.508,13.508,13.442,13.461,834
2010-10-08,13.648,13.648,13.629,13.629,418
2010-10-11,13.62,13.62,13.508,13.554,6418
2010-10-14,13.526,13.526,13.377,13.377,442
2010-10-15,13.377,13.377,13.377,13.377,4463
2010-10-18,13.367,13.367,13.199,13.367,1420
2010-10-19,13.367,13.414,13.367,13.414,22924
2010-10-20,13.414,13.414,13.367,13.367,1224
2010-10-21,13.367,13.414,13.367,13.414,8013
2010-10-22,13.461,13.461,13.461,13.461,32
2010-10-25,13.414,13.414,13.367,13.367,278
2010-10-26,13.414,13.452,13.414,13.414,465
2010-10-27,13.461,13.975,13.452,13.975,51257
2010-10-28,14.162,15.05,14.162,14.629,49647
2010-10-29,14.601,14.807,14.517,14.807,23881
2010-11-02,14.91,15.564,14.91,15.396,49636
2010-11-03,15.779,15.779,15.2,15.405,43436
2010-11-04,15.424,15.564,15.05,15.377,22748
2010-11-05,15.424,15.424,14.639,14.91,16571
2010-11-08,15.33,15.33,14.442,14.461,27465
2010-11-09,14.442,14.91,14.022,14.639,27788
2010-11-10,14.685,14.723,14.489,14.555,16377
2010-11-12,14.489,14.555,14.396,14.555,12360
2010-11-15,14.77,14.77,14.639,14.639,6179
2010-11-16,14.798,14.798,14.601,14.639,24141
2010-11-17,14.657,14.657,14.583,14.611,5966
2010-11-18,14.676,14.957,14.62,14.957,10546
2010-11-19,14.957,14.957,14.723,14.732,7525
2010-11-22,14.732,14.957,14.676,14.854,2297
2010-11-23,14.676,14.723,14.629,14.629,4494
2010-11-24,14.592,14.807,14.592,14.807,7688
2010-11-25,14.732,14.807,14.629,14.657,3954
2010-11-26,14.676,14.77,14.611,14.611,4681
2010-11-29,14.583,14.732,14.583,14.583,2899
2010-11-30,14.742,14.742,14.648,14.732,3092
2010-12-01,14.676,14.732,14.583,14.713,18205
2010-12-02,14.713,14.957,14.713,14.872,10469
2010-12-03,14.957,15.265,14.957,15.218,23410
2010-12-06,15.293,15.555,14.854,15.237,33245
2010-12-07,15.19,15.368,15.059,15.358,3573
2010-12-08,15.33,15.33,15.106,15.312,249
2010-12-09,15.312,15.312,15.097,15.312,3454
2010-12-10,15.284,15.284,14.966,15.162,2316
2010-12-13,15.05,15.209,14.77,15.209,2933
2010-12-14,14.742,15.143,14.742,15.143,3263
2010-12-15,14.77,15.087,14.77,15.087,2402
2010-12-16,14.957,15.05,14.816,14.91,2303
2010-12-17,14.77,14.957,14.676,14.957,3668
2010-12-20,14.863,14.928,14.863,14.928,3709
2010-12-21,14.77,14.938,14.629,14.938,7124
2010-12-22,14.957,15.115,14.723,15.022,1476
2010-12-23,14.957,14.957,14.882,14.882,830
2010-12-27,14.863,14.863,14.742,14.844,2068
2010-12-28,14.685,14.863,14.657,14.863,6274
2010-12-29,14.957,14.957,14.77,14.77,239
2010-12-30,14.742,14.77,14.555,14.742,1428
2010-12-31,14.676,14.957,14.592,14.938,20706
2011-01-03,14.592,14.957,14.592,14.676,2916
2011-01-04,14.676,14.676,14.068,14.171,4532
2011-01-05,14.134,14.377,14.106,14.115,16295
2011-01-07,14.115,14.386,14.106,14.386,1267
2011-01-10,14.386,14.396,14.031,14.031,2920
2011-01-11,14.068,14.134,14.068,14.134,1843
