Date,Open,High,Low,Close,Volume
2009-11-09,2.08273,2.26053,1.98961,2.07427,2217063.268565595
2009-11-10,2.07427,2.07427,1.95574,2.03194,277731.74583349965
2009-11-12,2.03194,2.11661,1.94728,2.03194,157692.63139880964
2009-11-13,2.015,2.0658,1.98961,2.0404,101811.78378472308
2009-11-16,2.03194,2.0912,1.98961,2.08273,214187.6710773068
2009-11-17,2.07427,2.07427,2.00654,2.03194,34464.442783526705
2009-11-18,2.015,2.0658,1.98961,2.02347,91437.84358911272
2009-11-19,1.99807,2.00654,1.98961,2.00654,46054.95572210402
2009-11-20,2.00654,2.05734,1.9642,2.05734,108481.673376504
2009-11-23,2.015,2.04887,2.015,2.015,8114.422081730987
2009-11-24,2.015,2.03194,1.9642,2.03194,33634.10235798713
2009-11-25,1.98961,2.03194,1.9642,2.03194,27166.18746431044
2009-11-26,1.97267,1.98961,1.9642,1.9642,19171.060379705334
2009-11-27,1.9642,1.98961,1.93034,1.98961,90081.896493068
2009-11-30,2.015,2.015,1.94728,1.98961,3147.7343301037963
2009-12-01,1.94728,1.9642,1.93034,1.93881,10621.97929854538
2009-12-02,1.93034,1.9642,1.93034,1.9642,1064.2058654497262
2009-12-03,1.93034,1.9642,1.93034,1.9642,10388.11385863523
2009-12-04,1.94728,1.94728,1.93034,1.93881,5587.966647550116
2009-12-07,1.9642,1.9642,1.92187,1.94728,12168.089706840266
2009-12-08,1.95574,1.95574,1.90494,1.90494,35848.73720562113
2009-12-09,1.95574,1.95574,1.89648,1.94728,10464.887866686542
2009-12-10,1.89648,1.92187,1.89648,1.92187,10672.768257717787
2009-12-11,1.87954,1.9642,1.87954,1.9642,12156.278320986215
2009-12-14,1.90494,2.015,1.89648,1.98961,14426.426682134246
2009-12-15,1.90494,1.97267,1.90494,1.97267,3546.959171970619
2009-12-16,1.97267,2.03194,1.9642,2.03194,9700.691201929636
2009-12-17,2.0658,2.11661,2.015,2.015,40513.05347938469
2009-12-18,2.0404,2.0404,2.015,2.015,380.3266245003461
2009-12-21,2.015,2.12506,2.015,2.0912,22084.92926989898
2009-12-22,2.08273,2.09967,2.015,2.09967,26795.30994849333
2009-12-23,2.10814,2.10814,1.98961,2.0912,10045.583668867836
2009-12-28,2.04887,2.12506,2.015,2.10814,128461.81368721162
2009-12-29,2.10814,2.10814,2.0404,2.09967,10102.278320967269
2009-12-30,2.04887,2.09967,1.9642,2.09967,16706.024151965514
2009-12-31,2.00654,2.09967,2.00654,2.00654,29684.37492839348
2010-01-04,2.015,2.015,2.00654,2.00654,2834.732604971524
2010-01-05,2.00654,2.00654,2.00654,2.00654,1181.1385854048017
2010-01-07,2.0404,2.07427,2.0404,2.07427,1124.443933305371
2010-01-08,1.98114,2.08273,1.98114,2.0658,3445.3812536258065
2010-01-11,2.00654,2.12506,2.00654,2.11661,25605.90339299069
2010-01-12,2.03194,2.10814,2.02347,2.10814,3785.549166222389
2010-01-13,1.99807,2.09967,1.97267,1.99807,13031.502012771176
2010-01-14,1.99807,2.10814,1.99807,2.10814,24004.27947118178
2010-01-15,2.0912,2.0912,2.08273,2.08273,12294.47153547858
2010-01-18,2.04887,2.07427,2.04887,2.04887,2765.0454284326406
2010-01-19,2.0404,2.07427,2.0404,2.07427,8104.972973047748
2010-01-20,2.08273,2.08273,2.0404,2.08273,11703.90224277618
2010-01-21,2.08273,2.09967,2.08273,2.09967,62282.6187469806
2010-01-22,2.09967,2.72618,2.09967,2.72618,259631.97815075645
2010-01-25,2.87858,3.13257,2.59919,2.59919,484703.8412925684
2010-01-26,2.66692,2.66692,2.40446,2.46372,112055.79873593894
2010-01-27,2.41292,2.78544,2.36213,2.62458,88096.40253100253
2010-01-28,2.64152,2.67538,2.53146,2.53992,39833.89879277693
2010-01-29,2.46372,2.64152,2.46372,2.53992,21967.996549943902
2010-02-01,2.53992,2.53992,2.40446,2.45525,18071.420356693463
2010-02-02,2.48066,2.52299,2.37906,2.45525,25334.24151834759
2010-02-03,2.46372,2.49759,2.38753,2.40446,31517.502012941724
2010-02-04,2.39599,2.43833,2.37906,2.37906,24266.49223714165
2010-02-05,2.37059,2.45525,2.31133,2.37059,21605.38700422463
2010-02-08,2.45525,2.45525,2.33673,2.34519,54672.54284121745
2010-02-09,2.49759,2.49759,2.37059,2.42986,10918.445083481984
2010-02-10,2.43833,2.48913,2.37059,2.37059,24945.64692374941
2010-02-11,2.37906,2.43833,2.20973,2.37059,25870.47843612137
2010-02-12,2.36213,2.45525,2.36213,2.41292,11963.752731565237
2010-02-15,2.33673,2.4468,2.30286,2.40446,13085.834387699795
2010-02-16,2.40446,2.42986,2.34519,2.42986,17594.240368189923
2010-02-17,2.43833,2.45525,2.37906,2.45525,18520.253019147287
2010-02-18,2.47219,2.48066,2.40446,2.48066,20981.74583113089
2010-02-19,2.33673,2.48066,2.33673,2.45525,15346.533640164584
2010-02-22,2.45525,2.61612,2.4468,2.55686,76026.34732675087
2010-02-23,2.59072,2.79391,2.52299,2.71772,56554.09660776731
2010-02-24,2.72618,2.77699,2.54839,2.54839,45821.09028219387
2010-02-25,2.54839,2.70078,2.51452,2.55686,42076.880966460645
2010-02-26,2.64152,2.64999,2.56532,2.62458,8173.479011001226
2010-03-01,2.64999,2.79391,2.64999,2.74311,8239.622771783896
2010-03-02,2.74311,2.92938,2.74311,2.91244,20052.18976441732
2010-03-03,2.96324,3.02251,2.75158,2.96324,85086.86141539109
2010-03-04,2.94631,2.96324,2.83624,2.96324,39454.753306862
2010-03-05,3.03097,3.04791,2.89551,2.89551,35949.13398538054
2010-03-08,3.03944,3.03944,2.79391,2.84471,82222.60034578445
2010-03-09,2.83624,2.90398,2.70925,2.82778,54139.849339199885
2010-03-10,2.90398,2.91244,2.71772,2.83624,45601.39850530858
2010-03-11,2.86165,2.89551,2.76852,2.87011,24888.952271649978
2010-03-12,2.89551,2.90398,2.80238,2.83624,13200.404830484062
2010-03-15,2.85318,2.85318,2.71772,2.79391,41923.33295035802
2010-03-16,2.79391,2.82778,2.75158,2.78544,33793.556067016776
2010-03-17,2.80238,2.80238,2.67538,2.73465,36788.92351960336
2010-03-18,2.72618,2.79391,2.72618,2.79391,70991.15353717019
2010-03-19,2.78544,2.83624,2.78544,2.83624,29659.57101809997
2010-03-22,2.87011,2.87858,2.75158,2.87858,42233.97239831949
2010-03-23,3.13257,3.16643,2.96324,3.04791,84571.88499215459
2010-03-24,3.04791,3.05637,2.93785,2.95477,45962.82691244245
2010-03-25,3.00557,3.00557,2.87858,2.97171,24089.321449330928
2010-03-26,2.96324,2.96324,2.87858,2.95477,30295.02357704776
2010-03-29,2.98864,3.11563,2.95477,2.96324,92994.58424467624
2010-03-30,3.06484,3.06484,2.92938,2.96324,25874.021851877584
2010-03-31,2.96324,2.96324,2.92938,2.96324,14742.971823022734
2010-04-01,2.99711,3.00557,2.87858,2.94631,19035.229442383785
2010-04-06,2.94631,2.98018,2.92938,2.94631,10059.757331892695
2010-04-07,2.92938,2.98864,2.92091,2.94631,18983.259344625967
2010-04-08,2.98864,2.98864,2.87858,2.93785,14732.34157575409
2010-04-09,2.96324,2.97171,2.77699,2.97171,33132.11845919009
2010-04-12,2.98864,2.98864,2.80238,2.95477,8781.765382484698
2010-04-13,2.91244,2.95477,2.88705,2.95477,3235.1385854237515
2010-04-14,2.95477,2.95477,2.87858,2.92091,19712.021851820733
2010-04-15,2.91244,2.91244,2.83624,2.90398,8448.684301400546
2010-04-16,2.94631,2.94631,2.83624,2.92091,10034.953421599195
2010-04-19,2.93785,2.93785,2.76005,2.76852,17504.47383569916
2010-04-20,2.82778,2.82778,2.78544,2.82778,13518.131109957954
2010-04-21,2.82778,2.91244,2.76852,2.90398,26945.31454883973
2010-04-22,2.81085,2.91244,2.81085,2.87011,21284.11730899452
2010-04-23,2.87011,2.91244,2.80238,2.80238,9541.237492899989
2010-04-26,2.88705,3.03944,2.76005,2.98018,29769.41690654262
2010-04-27,3.04791,3.09871,2.96324,2.99711,57651.37435360837
2010-04-28,2.92091,2.96324,2.83624,2.87858,81754.86946596415
2010-04-29,2.93785,2.93785,2.83624,2.90398,33879.77918375133
2010-04-30,2.93785,3.0733,2.86165,2.92091,40192.96492273999
2010-05-04,3.0733,3.0733,2.92091,2.96324,55302.08970723821
2010-05-05,3.01404,3.01404,2.92091,2.94631,28752.456584509084
2010-05-06,2.96324,2.98864,2.92938,2.96324,8106.154111633154
2010-05-07,2.92091,2.92091,2.83624,2.86165,34134.90511819877
2010-05-10,2.86165,2.92091,2.85318,2.85318,16323.335250294356
2010-05-11,2.87011,2.95477,2.69232,2.85318,41887.89879279588
2010-05-12,2.84471,2.87858,2.84471,2.87858,6838.792409493801
2010-05-13,2.87858,2.98018,2.87011,2.87858,37714.93617056072
2010-05-14,2.87858,2.87858,2.81932,2.87858,2755.596319749402
2010-05-17,2.87858,2.87858,2.71772,2.86165,13560.652099032528
2010-05-18,2.87858,2.98018,2.75158,2.87858,34567.201840456924
2010-05-19,2.87858,2.87858,2.75158,2.83624,39346.088557004754
2010-05-20,2.87858,2.87858,2.75158,2.79391,11879.891892001497
2010-05-21,2.71772,2.87011,2.70925,2.83624,21903.03392774664
2010-05-24,2.83624,2.84471,2.72618,2.84471,4119.811385891948
2010-05-25,2.76005,2.83624,2.73465,2.79391,5934.040253073723
2010-05-26,2.74311,2.86165,2.74311,2.79391,8767.591719459842
2010-05-27,2.75158,2.79391,2.73465,2.79391,18879.319149110343
2010-05-28,2.76852,2.79391,2.71772,2.77699,18535.607820757552
2010-05-31,2.78544,2.78544,2.52299,2.54839,362259.9286979943
2010-06-01,2.61612,2.61612,2.37059,2.51452,90890.9764240703
2010-06-02,2.48066,2.53992,2.45525,2.52299,22292.809660930223
2010-06-04,2.53146,2.61612,2.48066,2.48913,47984.93617065547
2010-06-07,2.49759,2.54839,2.47219,2.53992,46862.85451452091
2010-06-08,2.56532,2.56532,2.53146,2.53992,31493.87924123363
2010-06-09,2.56532,2.61612,2.53992,2.53992,35246.35652706468
2010-06-10,2.53146,2.53992,2.51452,2.53992,5173.387004073031
2010-06-11,2.53992,2.53992,2.39599,2.49759,26940.58999449812
2010-06-14,2.53992,2.53992,2.39599,2.52299,4233.200690090809
2010-06-15,2.51452,2.51452,2.42139,2.46372,7742.363427328474
2010-06-16,2.46372,2.46372,2.33673,2.43833,19316.340425710125
2010-06-17,2.42986,2.4468,2.36213,2.42139,20884.892467127705
2010-06-18,2.37059,2.43833,2.30286,2.36213,18917.1155838433
2010-06-21,2.41292,2.41292,2.32826,2.37059,16933.983898948638
2010-06-22,2.41292,2.41292,2.29439,2.39599,6771.467510125727
2010-06-23,2.39599,2.39599,2.22667,2.32826,14544.540540674729
2010-06-24,2.31133,2.3198,2.142,2.3198,25662.59804509012
2010-06-25,2.3198,2.52299,2.3198,2.51452,23674.74180585384
2010-06-28,2.52299,2.58225,2.51452,2.58225,20810.4807362472
2010-06-29,2.57379,2.59919,2.45525,2.45525,19112.00345043509
2010-06-30,2.53146,2.53146,2.42139,2.53146,7767.167337621975
2010-07-01,2.53146,2.53146,2.41292,2.53146,5824.194364631077
2010-07-02,2.53146,2.53146,2.41292,2.47219,12026.35307659169
2010-07-05,2.53146,2.53146,2.40446,2.40446,9075.868890250496
2010-07-06,2.41292,2.51452,2.37059,2.4468,10994.037952947894
2010-07-07,2.34519,2.49759,2.28593,2.34519,18840.34157579199
2010-07-08,2.4468,2.48066,2.37059,2.46372,3681.6089707067663
2010-07-09,2.46372,2.47219,2.41292,2.45525,1732.730304788844
2010-07-12,2.45525,2.45525,2.39599,2.45525,2799.29844740938
2010-07-13,2.47219,2.51452,2.40446,2.51452,10132.987924187792
2010-07-14,2.51452,2.57379,2.46372,2.57379,19080.112708629164
2010-07-15,2.57379,2.63305,2.52299,2.58225,18550.962622367813
2010-07-16,2.62458,2.62458,2.48913,2.57379,7215.575618237933
2010-07-19,2.58225,2.58225,2.48913,2.56532,8661.28924677341
2010-07-20,2.57379,2.57379,2.48913,2.56532,13737.822886843249
2010-07-21,2.56532,2.56532,2.46372,2.46372,20603.78148380136
2010-07-22,2.53146,2.53146,2.47219,2.47219,18471.82633714569
2010-07-23,2.53146,2.53146,2.42139,2.48913,8310.491086908185
2010-07-26,2.52299,2.52299,2.45525,2.48913,2129.592869484857
2010-07-27,2.42139,2.48913,2.41292,2.41292,15836.70615310758
2010-07-28,2.47219,2.47219,2.42139,2.45525,601.199539971044
2010-07-29,2.46372,2.46372,2.39599,2.45525,720.494537096929
2010-07-30,2.40446,2.45525,2.37059,2.45525,6854.147211104064
2010-08-02,2.37906,2.51452,2.37059,2.51452,18379.69752748412
2010-08-03,2.48913,2.51452,2.42986,2.49759,7496.686601564275
2010-08-04,2.45525,2.50605,2.42986,2.49759,18894.67395072061
