Date,Open,High,Low,Close,Volume
2000-03-09,26.532,26.532,26.532,26.532,3826
2000-03-10,29.185,29.185,29.185,29.185,7645
2000-03-13,32.066,32.066,32.066,32.066,7747
2000-03-14,35.25,35.25,35.25,35.25,5115
2000-03-15,37.903,37.903,37.903,37.903,7926
2000-03-16,34.113,34.113,34.113,34.113,0
2000-03-17,30.702,30.702,30.702,30.702,0
2000-03-20,29.185,29.185,29.185,29.185,3699
2000-03-21,30.323,30.323,30.323,30.323,5081
2000-03-22,28.731,28.731,28.731,28.731,1392
2000-03-23,27.29,27.29,27.29,27.29,1950
2000-03-24,27.442,27.442,27.442,27.442,2269
2000-03-27,28.048,28.048,28.048,28.048,2481
2000-03-28,28.048,28.048,28.048,28.048,928
2000-03-29,29.565,29.565,29.565,29.565,5886
2000-03-30,26.608,26.608,26.608,26.608,1314
2000-03-31,27.745,27.745,27.745,27.745,756
2000-04-03,27.29,27.29,27.29,27.29,740
2000-04-04,27.29,27.29,27.29,27.29,805
2000-04-05,26.456,26.456,26.456,26.456,609
2000-04-06,24.258,24.258,24.258,24.258,944
2000-04-07,25.016,25.016,25.016,25.016,1713
2000-04-10,24.334,24.334,24.334,24.334,1065
2000-04-11,22.894,22.894,22.894,22.894,2204
2000-04-12,22.894,22.894,22.894,22.894,1564
2000-04-13,23.121,23.121,23.121,23.121,1030
2000-04-14,22.742,22.742,22.742,22.742,972
2000-04-17,21.226,21.226,21.226,21.226,927
2000-04-18,21.226,21.226,21.226,21.226,1176
2000-04-19,22.742,22.742,22.742,22.742,1303
2000-04-20,22.742,22.742,22.742,22.742,654
2000-04-25,21.984,21.984,21.984,21.984,71
2000-04-26,21.302,21.302,21.302,21.302,382
2000-04-27,21.605,21.605,21.605,21.605,40
2000-04-28,21.605,21.605,21.605,21.605,185
2000-05-04,21.529,21.529,21.529,21.529,145
2000-05-05,21.605,21.605,21.605,21.605,460
2000-05-08,21.226,21.226,21.226,21.226,763
2000-05-09,21.832,21.832,21.832,21.832,975
2000-05-10,21.377,21.377,21.377,21.377,377
2000-05-11,21.226,21.226,21.226,21.226,420
2000-05-12,21.377,21.377,21.377,21.377,1761
2000-05-15,21.681,21.681,21.681,21.681,835
2000-05-16,21.226,21.226,21.226,21.226,1031
2000-05-17,21.226,21.226,21.226,21.226,1133
2000-05-18,21.908,21.908,21.908,21.908,423
2000-05-19,19.861,19.861,19.861,19.861,818
2000-05-22,20.468,20.468,20.468,20.468,446
2000-05-23,19.71,19.71,19.71,19.71,1199
2000-05-24,18.952,18.952,18.952,18.952,259
2000-05-25,18.269,18.269,18.269,18.269,3374
2000-05-26,18.952,18.952,18.952,18.952,732
2000-05-29,20.847,20.847,20.847,20.847,1261
2000-05-30,22.59,22.59,22.59,22.59,2073
2000-05-31,21.302,21.302,21.302,21.302,136
2000-06-01,22.363,22.363,22.363,22.363,1081
2000-06-02,21.984,21.984,21.984,21.984,390
2000-06-05,22.135,22.135,22.135,22.135,2269
2000-06-06,19.937,19.937,19.937,19.937,509
2000-06-07,20.24,20.24,20.24,20.24,265
2000-06-08,20.316,20.316,20.316,20.316,66
2000-06-09,20.316,20.316,20.316,20.316,694
2000-06-12,19.558,19.558,19.558,19.558,132
2000-06-13,19.558,19.558,19.558,19.558,145
2000-06-14,19.027,19.027,19.027,19.027,264
2000-06-15,19.255,19.255,19.255,19.255,132
2000-06-16,19.558,19.558,19.558,19.558,123
2000-06-19,19.331,19.331,19.331,19.331,165
2000-06-20,19.482,19.482,19.482,19.482,83
2000-06-21,18.952,18.952,18.952,18.952,554
2000-06-23,19.482,19.482,19.482,19.482,158
2000-06-26,18.952,18.952,18.952,18.952,326
2000-06-27,18.952,18.952,18.952,18.952,346
2000-06-28,18.573,18.573,18.573,18.573,337
2000-06-29,18.194,18.194,18.194,18.194,393
2000-06-30,17.966,17.966,17.966,17.966,53
2000-07-03,19.482,19.482,19.482,19.482,164
2000-07-04,18.952,18.952,18.952,18.952,150
2000-07-05,18.8,18.8,18.8,18.8,40
2000-07-06,18.648,18.648,18.648,18.648,86
2000-07-07,18.573,18.573,18.573,18.573,688
2000-07-10,18.194,18.194,18.194,18.194,284
2000-07-11,18.876,18.876,18.876,18.876,686
2000-07-12,18.345,18.345,18.345,18.345,284
2000-07-13,18.194,18.194,18.194,18.194,108
2000-07-14,18.345,18.345,18.345,18.345,713
2000-07-17,18.194,18.194,18.194,18.194,243
2000-07-18,18.345,18.345,18.345,18.345,251
2000-07-19,17.36,17.36,17.36,17.36,383
2000-07-20,17.815,17.815,17.815,17.815,547
2000-07-21,18.194,18.194,18.194,18.194,455
