Date,Open,High,Low,Close,Volume
2022-05-31,68.7404,68.7404,67.2244,67.9532,1940074.6869057
2022-06-01,68.0844,68.7695,67.0932,67.3265,397033.8817502
2022-06-02,67.7784,69.6879,67.0641,69.0318,526877.59172201
2022-06-03,69.3817,69.4547,65.9563,66.1312,373905.42803273
2022-06-06,66.4811,68.4488,66.3353,68.3613,430719.42629007
2022-06-07,67.4867,67.6909,66.4081,67.0641,749340.76979914
2022-06-08,67.341,67.6471,65.2712,65.9563,986279.8132488
2022-06-09,65.9418,66.7435,63.5949,63.7554,689335.22056013
2022-06-10,63.4056,63.4056,60.3446,60.811,929683.982062
2022-06-13,59.6012,59.6157,58.0124,58.3477,1150611.7579257
2022-06-14,58.7704,62.1228,58.4497,60.8401,1283884.3956289
2022-06-15,61.1171,61.8022,59.3243,61.4961,1245552.8529704
2022-06-17,59.7616,61.1171,59.3972,59.3972,1338367.1621073
2022-06-20,59.9948,60.4175,59.4846,59.7616,336650.99952755
2022-06-21,60.709,61.4815,60.0968,60.7381,339094.74514163
2022-06-22,59.8344,60.3446,59.1639,59.849,518267.53909522
2022-06-23,59.6887,61.569,59.0911,59.7616,791029.88995209
2022-06-24,60.2425,61.4669,59.47,61.3358,555932.23146261
2022-06-27,61.9479,61.9479,60.4175,60.8548,646585.45169316
2022-06-28,61.2192,63.1578,60.8839,62.3123,1504190.6011595
2022-06-29,61.3649,61.9917,60.8548,61.2483,878273.39213044
2022-06-30,60.5049,60.5049,58.6829,59.4263,1905847.1549893
2022-07-01,59.2661,61.3649,58.8287,58.9599,641737.75194329
2022-07-04,59.6887,59.6887,55.2576,56.992,1060864.1368559
2022-07-05,58.0853,58.9016,55.2576,56.0884,619812.64741365
2022-07-06,56.6569,57.4002,55.2138,56.9046,707080.84775093
2022-07-07,57.6918,59.3972,57.1963,57.6626,1269537.5095307
2022-07-08,57.5751,59.5282,56.3362,59.5282,1132657.5685039
2022-07-11,58.406,60.0386,57.9104,58.4497,963160.96437091
2022-07-12,58.2019,58.2602,55.1263,55.2721,1978102.9910573
2022-07-13,55.3887,56.1612,54.1789,55.0973,886036.84675392
2022-07-14,55.3158,55.4617,53.2314,53.5521,952598.38506875
2022-07-15,53.9311,54.4996,52.4006,53.9311,1210662.5871227
2022-07-18,54.6454,55.9134,54.6307,55.6802,1205968.5648062
