Date,Open,High,Low,Close,Volume
1995-12-22,158.6,158.6,158.6,158.6,6871
1995-12-27,173.0,173.0,173.0,173.0,5625
1995-12-28,165.3,165.3,165.3,165.3,3082
1995-12-29,167.2,167.2,167.2,167.2,3735
1996-01-02,173.0,173.0,173.0,173.0,1575
1996-01-03,168.2,168.2,168.2,168.2,3336
1996-01-04,164.3,164.3,164.3,164.3,4968
1996-01-05,180.7,180.7,180.7,180.7,6656
1996-01-08,187.4,187.4,187.4,187.4,3236
1996-01-09,192.2,192.2,192.2,192.2,6035
1996-01-10,189.3,189.3,189.3,189.3,3127
1996-01-11,201.8,201.8,201.8,201.8,4360
1996-01-12,199.9,199.9,199.9,199.9,2994
1996-01-15,197.0,197.0,197.0,197.0,1606
1996-01-16,193.2,193.2,193.2,193.2,1827
1996-01-17,198.9,198.9,198.9,198.9,2260
1996-01-18,191.2,191.2,191.2,191.2,1378
1996-01-19,183.6,183.6,183.6,183.6,2141
1996-01-22,183.6,183.6,183.6,183.6,1242
1996-01-23,181.6,181.6,181.6,181.6,818
1996-01-24,188.4,188.4,188.4,188.4,2344
1996-01-25,195.1,195.1,195.1,195.1,1597
1996-01-26,192.2,192.2,192.2,192.2,3954
1996-01-29,190.3,190.3,190.3,190.3,1527
1996-01-30,182.6,182.6,182.6,182.6,3343
1996-01-31,190.3,190.3,190.3,190.3,6051
1996-02-01,182.6,182.6,182.6,182.6,2727
1996-02-02,189.3,189.3,189.3,189.3,3985
1996-02-05,187.4,187.4,187.4,187.4,1857
1996-02-06,187.4,187.4,187.4,187.4,2532
1996-02-07,185.5,185.5,185.5,185.5,2030
1996-02-08,188.4,188.4,188.4,188.4,650
1996-02-09,192.2,192.2,192.2,192.2,2979
1996-02-12,211.4,211.4,211.4,211.4,5576
1996-02-13,201.8,201.8,201.8,201.8,3275
1996-02-14,201.8,201.8,201.8,201.8,4700
1996-02-15,204.7,204.7,204.7,204.7,3583
1996-02-16,206.6,206.6,206.6,206.6,2171
1996-02-19,211.4,211.4,211.4,211.4,1608
1996-02-20,211.4,211.4,211.4,211.4,3762
1996-02-21,213.4,213.4,213.4,213.4,2784
1996-02-22,230.6,230.6,230.6,230.6,4908
1996-02-23,234.5,234.5,234.5,234.5,2070
1996-02-26,244.1,244.1,244.1,244.1,1688
1996-02-27,246.0,246.0,246.0,246.0,2640
1996-02-28,242.2,242.2,242.2,242.2,1577
1996-02-29,250.8,250.8,250.8,250.8,5478
1996-03-01,264.3,264.3,264.3,264.3,2758
1996-03-04,264.3,264.3,264.3,264.3,2113
1996-03-05,263.3,263.3,263.3,263.3,2360
1996-03-06,251.8,251.8,251.8,251.8,5044
1996-03-07,248.9,248.9,248.9,248.9,2075
1996-03-08,239.3,239.3,239.3,239.3,2833
1996-03-11,235.5,235.5,235.5,235.5,2160
1996-03-12,232.6,232.6,232.6,232.6,1346
1996-03-13,232.6,232.6,232.6,232.6,780
1996-03-14,230.6,230.6,230.6,230.6,1272
1996-03-15,232.6,232.6,232.6,232.6,980
1996-03-18,238.3,238.3,238.3,238.3,3927
1996-03-19,239.3,239.3,239.3,239.3,1958
1996-03-20,223.0,223.0,223.0,223.0,1480
1996-03-21,223.9,223.9,223.9,223.9,1117
1996-03-22,218.2,218.2,218.2,218.2,2528
1996-03-25,217.2,217.2,217.2,217.2,525
1996-03-26,219.1,219.1,219.1,219.1,543
1996-03-27,222.0,222.0,222.0,222.0,712
1996-03-28,213.4,213.4,213.4,213.4,265
1996-03-29,216.2,216.2,216.2,216.2,1135
1996-04-01,219.1,219.1,219.1,219.1,721
1996-04-02,216.2,216.2,216.2,216.2,541
1996-04-03,216.2,216.2,216.2,216.2,733
1996-04-04,219.1,219.1,219.1,219.1,929
1996-04-05,221.0,221.0,221.0,221.0,909
1996-04-09,219.1,219.1,219.1,219.1,1068
1996-04-10,225.8,225.8,225.8,225.8,1180
1996-04-11,227.8,227.8,227.8,227.8,1181
1996-04-12,223.0,223.0,223.0,223.0,195
1996-04-15,228.7,228.7,228.7,228.7,1049
1996-04-16,231.6,231.6,231.6,231.6,2079
1996-04-17,231.6,231.6,231.6,231.6,1546
1996-04-18,236.4,236.4,236.4,236.4,2126
1996-04-19,239.3,239.3,239.3,239.3,4346
1996-04-22,243.1,243.1,243.1,243.1,5207
1996-04-23,249.9,249.9,249.9,249.9,3068
1996-04-24,246.0,246.0,246.0,246.0,2286
1996-04-25,240.3,240.3,240.3,240.3,1915
1996-04-26,238.3,238.3,238.3,238.3,1886
1996-04-29,238.3,238.3,238.3,238.3,1055
1996-04-30,238.3,238.3,238.3,238.3,1529
1996-05-06,245.1,245.1,245.1,245.1,1340
1996-05-07,247.9,247.9,247.9,247.9,1946
1996-05-08,248.9,248.9,248.9,248.9,1448
1996-05-09,254.7,254.7,254.7,254.7,3208
1996-05-10,249.9,249.9,249.9,249.9,1413
