Date,Open,High,Low,Close,Volume
2024-06-12,11.2,11.2,11.2,11.2,180.0
2024-06-13,11.2,11.2,10.85,11.0,1326.0
2024-06-14,11.15,11.2,10.85,10.85,322.0
2024-06-17,11.0,11.0,10.9,10.9,462.0
2024-06-18,11.0,11.35,10.95,11.05,3557.0
2024-06-19,11.3,11.3,11.0,11.0,214.0
2024-06-20,11.35,11.35,11.15,11.15,373.0
2024-06-21,11.35,11.35,11.15,11.15,101.0
2024-06-24,11.35,11.35,11.2,11.35,380.0
2024-06-25,11.35,11.35,11.1,11.35,215.0
2024-06-26,11.35,11.35,10.95,11.25,2532.0
2024-06-27,11.0,11.3,11.0,11.2,2340.0
2024-06-28,11.2,11.25,11.0,11.25,1663.0
2024-07-01,11.25,11.3,11.1,11.3,409.0
2024-07-02,11.3,11.3,11.1,11.3,1906.0
2024-07-03,11.3,11.3,11.0,11.3,2040.0
2024-07-04,11.3,11.3,11.0,11.3,225.0
2024-07-05,11.3,11.3,11.3,11.3,10.0
2024-07-08,11.3,11.3,11.3,11.3,10.0
2024-07-09,11.3,11.3,11.3,11.3,10.0
2024-07-10,11.25,11.25,11.15,11.2,53.0
2024-07-11,11.15,11.25,11.15,11.25,335.0
2024-07-12,11.25,11.25,11.0,11.25,2378.0
2024-07-15,11.3,11.3,11.15,11.3,2252.0
2024-07-16,11.3,11.3,11.0,11.0,2509.0
2024-07-17,11.2,11.2,10.5,11.0,13641.0
2024-07-18,10.9,11.2,10.9,11.2,2483.0
2024-07-19,11.2,11.3,10.6,11.1,42688.0
2024-07-22,11.35,11.35,10.95,11.0,18049.0
2024-07-23,11.25,11.25,10.95,10.95,118.0
2024-07-24,11.0,11.0,10.9,10.9,429.0
2024-07-25,11.0,11.0,10.8,11.0,1350.0
2024-07-26,11.0,11.0,10.8,11.0,985.0
2024-07-29,11.0,11.0,10.4,10.9,5974.0
2024-07-30,10.9,10.9,10.5,10.5,15342.0
2024-07-31,10.85,10.85,10.45,10.5,1844.0
2024-08-01,10.5,10.55,10.0,10.15,22789.0
2024-08-02,10.2,10.2,9.9,10.15,16744.0
2024-08-05,9.92,10.05,9.7,10.0,6460.0
2024-08-06,10.0,10.4,9.86,10.05,5674.0
2024-08-07,10.2,10.25,10.1,10.1,836.0
2024-08-08,10.15,10.15,9.92,10.15,2178.0
2024-08-09,10.15,10.15,9.98,10.15,574.0
2024-08-12,10.15,10.15,9.94,10.15,1505.0
2024-08-13,10.15,10.2,10.0,10.0,2014.0
2024-08-14,10.0,10.0,10.0,10.0,327.0
2024-08-16,10.15,10.15,9.98,10.15,757.0
2024-08-19,10.15,10.2,10.15,10.2,1860.0
2024-08-20,10.15,10.15,10.0,10.15,520.0
2024-08-21,10.0,10.2,10.0,10.05,119.0
2024-08-22,10.2,10.6,10.05,10.6,183885.0
2024-08-23,10.6,10.6,10.4,10.4,510.0
2024-08-26,10.55,10.55,10.1,10.5,4422.0
2024-08-27,10.25,10.25,10.1,10.25,424.0
2024-08-28,10.2,10.25,10.05,10.25,3658.0
2024-08-29,10.25,10.25,10.2,10.25,412.0
2024-08-30,10.2,10.2,10.0,10.1,4383.0
2024-09-02,10.2,10.2,10.2,10.2,1020.0
2024-09-03,10.2,10.2,10.05,10.2,2112.0
2024-09-04,10.2,10.2,10.05,10.15,902.0
2024-09-05,10.0,10.1,9.96,10.0,14081.0
2024-09-06,10.0,10.0,9.96,9.96,5224.0
2024-09-09,10.0,10.0,9.94,10.0,240.0
2024-09-10,10.0,10.0,9.94,10.0,15581.0
2024-09-11,10.0,10.0,10.0,10.0,1102.0
2024-09-12,10.0,10.1,9.96,10.0,8710.0
2024-09-13,10.1,10.2,10.0,10.2,1049.0
2024-09-16,10.05,10.2,10.0,10.2,2237.0
2024-09-17,10.0,10.15,10.0,10.1,2864.0
2024-09-18,10.15,10.15,10.1,10.1,12.0
2024-09-19,10.15,10.15,10.0,10.1,414.0
2024-09-20,10.15,10.15,10.15,10.15,10.0
2024-09-23,10.15,10.2,10.15,10.15,100.0
2024-09-24,10.15,10.15,10.15,10.15,4.0
2024-09-25,10.15,10.15,9.98,10.15,2303.0
2024-09-26,10.15,10.15,10.0,10.15,410.0
2024-09-27,10.0,10.15,9.96,10.15,336.0
2024-09-30,10.15,10.2,10.0,10.2,2310.0
2024-10-01,10.2,10.2,10.0,10.0,1385.0
2024-10-02,10.2,10.2,9.92,10.0,864.0
2024-10-03,10.2,10.2,10.0,10.0,612.0
2024-10-04,10.0,10.0,9.98,10.0,520.0
2024-10-07,10.0,10.0,9.9,9.9,297.0
2024-10-08,9.9,9.9,9.9,9.9,133.0
2024-10-09,9.8,9.88,9.8,9.88,10230.0
2024-10-10,9.98,9.98,9.9,9.9,6200.0
2024-10-11,10.0,10.0,10.0,10.0,164.0
2024-10-14,10.0,10.0,9.82,9.92,2277.0
2024-10-15,9.9,9.9,9.78,9.9,1187.0
2024-10-16,9.9,9.9,9.76,9.88,3217.0
2024-10-17,9.9,9.9,9.6,9.7,10830.0
2024-10-18,9.84,9.84,9.6,9.7,3962.0
2024-10-21,9.88,9.98,9.76,9.96,1322.0
2024-10-22,9.96,9.98,9.7,9.98,1030.0
2024-10-23,9.8,9.8,9.54,9.8,9343.0
2024-10-24,9.8,9.8,9.62,9.62,4135.0
2024-10-25,9.62,9.7,9.6,9.7,8838.0
2024-10-28,9.68,9.68,9.6,9.6,3820.0
2024-10-29,9.6,9.6,9.6,9.6,1304.0
2024-10-30,9.62,9.62,9.58,9.6,1452.0
2024-10-31,9.6,9.6,9.5,9.6,2609.0
2024-11-04,9.32,9.6,9.32,9.42,5103.0
2024-11-05,9.5,9.5,9.4,9.4,483.0
2024-11-06,9.58,9.58,9.3,9.3,8245.0
2024-11-07,9.48,9.48,9.42,9.48,344.0
2024-11-08,9.5,9.5,9.3,9.3,1072.0
2024-11-12,9.52,9.98,9.52,9.9,8976.0
2024-11-13,9.9,9.9,9.66,9.72,3395.0
2024-11-14,9.86,9.86,9.7,9.7,84.0
2024-11-15,9.82,9.86,9.54,9.54,1458.0
2024-11-18,9.72,9.72,9.34,9.48,2178.0
2024-11-19,9.48,9.48,9.26,9.42,4172.0
2024-11-20,9.28,9.42,8.9,9.26,19007.0
2024-11-21,9.0,9.42,9.0,9.26,1551.0
2024-11-22,9.0,9.4,8.98,9.4,797.0
2024-11-25,9.1,9.34,9.1,9.34,1622.0
2024-11-26,9.34,9.7,9.24,9.26,3345.0
2024-11-27,9.5,9.5,9.16,9.16,1682.0
2024-11-28,9.5,9.68,9.24,9.68,596.0
2024-11-29,9.68,9.68,9.68,9.68,14.0
2024-12-02,9.44,9.68,9.24,9.5,106119.0
2024-12-03,9.12,9.66,9.12,9.66,469.0
2024-12-04,9.5,9.66,9.5,9.66,204.0
2024-12-05,9.66,9.66,9.24,9.42,646.0
2024-12-06,9.42,9.42,9.26,9.36,1397.0
2024-12-09,9.36,9.36,9.08,9.08,5037.0
2024-12-10,9.08,9.18,9.08,9.08,775.0
2024-12-11,9.2,9.22,9.08,9.08,2208.0
2024-12-12,9.5,9.5,9.0,9.1,3619.0
2024-12-13,9.2,9.2,9.16,9.18,1215.0
2024-12-16,9.2,9.24,9.1,9.24,3099.0
2024-12-17,9.26,9.26,9.0,9.1,3594.0
2024-12-18,9.2,9.2,9.0,9.18,26142.0
2024-12-19,8.92,9.2,8.92,9.16,1899.0
2024-12-20,9.16,9.2,9.0,9.0,5099.0
2024-12-23,9.0,9.0,8.9,8.9,2975.0
2024-12-27,8.9,9.18,8.8,9.16,3438.0
2024-12-30,9.1,9.1,8.7,8.94,3005.0
2025-01-02,9.0,9.1,9.0,9.1,1722.0
2025-01-03,9.1,9.24,9.1,9.24,971.0
2025-01-07,9.26,9.26,9.0,9.0,2260.0
2025-01-08,9.26,9.3,9.0,9.0,275.0
2025-01-09,9.22,9.22,9.2,9.2,12.0
2025-01-10,9.24,9.24,9.02,9.2,593.0
2025-01-13,9.26,9.54,9.2,9.2,2377.0
2025-01-14,9.5,9.5,9.14,9.3,223.0
2025-01-15,9.5,9.5,9.3,9.3,20.0
2025-01-16,9.5,9.5,9.2,9.42,332.0
2025-01-17,9.42,9.42,9.3,9.3,154.0
2025-01-20,9.3,9.4,9.26,9.26,343.0
2025-01-21,9.38,9.4,9.04,9.26,1180.0
2025-01-22,9.26,9.38,9.26,9.38,6.0
2025-01-23,9.34,9.42,9.1,9.26,404.0
2025-01-24,9.26,9.36,9.2,9.36,651.0
2025-01-27,9.22,9.36,9.2,9.36,280.0
2025-01-28,9.36,9.38,9.14,9.3,6368.0
2025-01-29,8.94,9.3,8.94,9.2,786.0
2025-01-30,9.28,9.38,9.14,9.38,757.0
2025-01-31,9.36,9.36,9.28,9.36,580.0
2025-02-03,9.34,9.34,9.06,9.28,211.0
2025-02-04,9.28,9.28,9.28,9.28,9.0
2025-02-05,9.26,9.28,9.2,9.26,464.0
2025-02-06,9.26,9.34,9.26,9.34,2190.0
2025-02-07,9.34,9.34,9.2,9.28,110.0
2025-02-10,9.28,9.36,9.28,9.36,1229.0
2025-02-11,9.36,9.36,9.36,9.36,80.0
2025-02-12,9.36,9.36,9.36,9.36,874.0
2025-02-13,9.36,9.36,9.2,9.34,2763.0
2025-02-14,9.2,9.52,9.2,9.52,2208.0
2025-02-17,9.5,9.52,9.36,9.4,807.0
2025-02-18,9.4,10.15,9.4,10.1,12536.0
2025-02-19,10.1,10.1,9.76,10.05,855.0
2025-02-20,9.82,10.05,9.82,10.05,964.0
2025-02-21,10.05,10.05,9.94,10.0,1274.0
2025-02-24,10.0,10.2,9.98,10.0,3602.0
2025-02-25,10.0,10.0,10.0,10.0,10.0
2025-02-26,10.0,10.0,9.92,9.92,297.0
2025-02-27,9.92,9.92,9.92,9.92,10.0
2025-02-28,9.92,9.92,9.74,9.92,2000.0
2025-03-03,9.5,9.74,9.5,9.74,632.0
2025-03-04,9.74,9.74,9.56,9.74,9.0
2025-03-05,9.76,9.9,9.7,9.7,1083.0
2025-03-06,9.7,9.7,9.7,9.7,254.0
2025-03-07,9.7,9.7,9.7,9.7,14.0
2025-03-10,9.88,9.94,9.64,9.84,112.0
2025-03-11,9.84,9.84,9.6,9.6,171.0
2025-03-12,9.62,10.4,9.62,10.15,26886.0
2025-03-13,10.3,10.35,9.96,10.1,1445.0
2025-03-14,10.1,10.5,9.96,10.5,7277.0
2025-03-17,10.55,10.6,10.4,10.6,1605.0
2025-03-18,11.2,11.3,10.65,10.9,12157.0
2025-03-19,10.9,10.9,10.5,10.8,3089.0
2025-03-20,10.75,11.0,10.7,10.95,7610.0
2025-03-21,10.95,11.0,10.8,10.85,762.0
2025-03-24,11.0,11.15,10.85,11.05,17018.0
2025-03-25,11.05,11.05,11.0,11.05,32.0
2025-03-26,11.1,11.15,10.9,11.0,2932.0
2025-03-27,10.9,11.0,10.9,11.0,271.0
2025-03-28,10.9,11.15,10.9,11.15,4005.0
2025-03-31,11.1,11.1,10.65,10.95,1190.0
2025-04-01,11.0,11.0,10.7,11.0,1261.0
2025-04-02,11.0,11.0,10.5,10.5,2892.0
2025-04-03,10.65,10.8,10.45,10.8,732.0
2025-04-04,10.8,10.8,10.25,10.3,6683.0
2025-04-07,10.3,10.3,9.6,10.2,6887.0
2025-04-08,10.25,10.4,10.0,10.1,10434.0
2025-04-09,10.1,10.3,10.0,10.0,805.0
2025-04-10,10.4,10.4,10.2,10.2,674.0
2025-04-11,10.45,10.45,10.25,10.25,1011.0
2025-04-14,10.25,10.9,10.25,10.75,5072.0
2025-04-15,10.75,10.75,10.5,10.75,1340.0
2025-04-16,10.7,10.8,10.5,10.75,6589.0
2025-04-17,10.8,10.95,10.5,10.85,1612.0
2025-04-22,10.55,10.85,10.5,10.85,146.0
2025-04-23,10.85,10.85,10.55,10.85,902.0
2025-04-24,10.85,10.9,10.7,10.9,380.0
2025-04-25,10.9,10.95,10.8,10.9,346.0
2025-04-28,10.95,10.95,10.75,10.95,3812.0
2025-04-29,10.95,10.95,10.75,10.8,1286.0
2025-04-30,10.8,10.8,10.75,10.75,1312.0
2025-05-02,10.75,10.8,10.7,10.8,1228.0
2025-05-05,10.85,10.85,10.1,10.5,23628.0
2025-05-06,10.5,10.75,10.4,10.4,1451.0
2025-05-07,10.55,10.55,10.3,10.4,2297.0
2025-05-08,10.4,10.45,10.0,10.45,7601.0
2025-05-09,10.35,10.7,10.2,10.55,8353.0
2025-05-12,10.55,10.55,10.55,10.55,201.0
2025-05-13,10.45,10.5,10.3,10.4,829.0
2025-05-14,10.4,10.45,10.2,10.4,1171.0
2025-05-15,10.4,10.4,10.25,10.25,1732.0
2025-05-16,10.5,10.5,10.25,10.4,171.0
2025-05-19,10.4,10.4,10.3,10.3,2313.0
2025-05-20,10.45,10.45,10.4,10.45,367.0
2025-05-21,10.45,10.55,10.4,10.55,6334.0
2025-05-22,10.55,10.55,10.2,10.5,1225.0
2025-05-23,10.5,10.5,10.25,10.5,5299.0
2025-05-26,10.5,10.5,10.3,10.5,2383.0
2025-05-27,10.9,10.9,10.5,10.75,17390.0
2025-05-28,10.85,11.15,10.8,11.15,54107.0
2025-05-29,11.15,11.25,10.4,10.9,45855.0
2025-05-30,10.8,10.8,10.5,10.75,4752.0
2025-06-02,10.7,10.75,10.45,10.75,860.0
2025-06-03,10.7,10.7,10.4,10.65,2195.0
2025-06-04,10.65,10.75,10.35,10.75,2070.0
2025-06-05,10.6,10.7,10.55,10.7,1749.0
2025-06-06,10.7,10.7,10.4,10.65,1333.0
2025-06-09,10.65,10.65,10.4,10.45,1179.0
2025-06-10,10.45,10.55,10.4,10.4,805.0
2025-06-11,10.5,10.5,10.4,10.45,1404.0
