Date,Open,High,Low,Close,Volume
2008-04-14,5.2564,5.2564,4.0951,4.1868,21393
2008-04-15,3.9422,4.5841,3.9422,4.5841,36940
2008-04-16,4.4619,4.7552,4.1562,4.7552,5194
2008-04-17,4.8224,4.8224,4.5841,4.7979,1113
2008-04-18,4.7979,4.7979,4.3702,4.7979,4550
2008-04-21,4.5841,4.792,4.5841,4.792,4089
2008-04-22,4.7674,4.7674,4.2785,4.639,10083
2008-04-23,4.4313,4.6451,4.4313,4.6451,1423
2008-04-24,4.5841,4.5841,4.4313,4.5779,1735
2008-04-25,4.5841,4.5841,4.4373,4.5841,3906
2008-04-28,4.5841,4.6146,4.5841,4.6146,236
2008-04-29,4.4619,4.6819,4.4619,4.6451,998
2008-04-30,4.6146,4.6451,4.4619,4.6451,1501
2008-05-05,4.6451,4.6451,4.3396,4.6451,1746
2008-05-06,4.639,4.639,4.639,4.639,164
2008-05-07,4.639,4.639,4.639,4.639,81
2008-05-08,4.639,4.6451,4.4007,4.6451,4963
2008-05-09,4.6451,4.6451,4.6451,4.6451,33
2008-05-12,4.6451,4.6451,4.4313,4.639,3804
2008-05-13,4.6451,4.6451,4.4313,4.5841,998
2008-05-14,4.4313,4.5474,4.3702,4.5474,1048
2008-05-15,4.5535,4.5535,4.3823,4.5535,573
2008-05-16,4.4068,4.4619,4.3457,4.4619,5890
2008-05-19,4.5228,4.5228,4.2478,4.4923,7804
2008-05-20,4.4923,4.4923,4.2785,4.4923,1898
2008-05-21,4.4619,4.4619,4.2785,4.4619,1112
2008-05-23,4.4619,4.4619,4.1868,4.4619,604
2008-05-26,4.4619,4.4619,4.2785,4.4619,2995
2008-05-27,4.4619,4.4619,4.1562,4.4007,11960
2008-05-28,4.5474,4.5474,4.5474,4.5474,17
2008-05-29,4.5351,4.5351,4.3396,4.4619,443
2008-06-02,4.3396,4.5228,4.2357,4.5228,2862
2008-06-03,4.2846,4.2907,4.2846,4.2846,4909
2008-06-04,4.2785,4.4619,4.1562,4.4619,2208
2008-06-05,4.2173,4.4619,4.2173,4.4619,359
2008-06-06,4.4619,4.4619,4.4619,4.4619,17
2008-06-09,4.4558,4.4558,4.2173,4.4313,1342
2008-06-10,4.4558,4.4558,4.4558,4.4558,33
2008-06-11,4.4558,4.4558,4.254,4.309,1669
2008-06-12,4.2785,4.2785,4.0951,4.2785,672
2008-06-13,4.2785,4.2785,4.0951,4.2785,2158
2008-06-16,4.2785,4.2785,4.2785,4.2785,17
2008-06-17,4.2785,4.2785,4.2785,4.2785,17
2008-06-18,4.1012,4.3212,4.1012,4.3212,850
2008-06-19,4.1562,4.3579,4.1562,4.3579,819
2008-06-20,4.1562,4.3396,4.1562,4.3396,719
2008-06-23,4.3396,4.3396,4.1623,4.3396,3338
2008-06-24,4.3334,4.3334,4.1562,4.2785,687
2008-06-25,4.309,4.309,4.309,4.309,17
2008-06-26,4.0951,4.0951,4.0951,4.0951,655
2008-06-27,4.0951,4.0951,3.8262,4.0951,2011
2008-06-30,4.0646,4.2785,3.9117,4.2785,4369
2008-07-01,4.1072,4.1072,3.9117,4.0951,2454
2008-07-02,4.0951,4.0951,3.8506,3.9729,1635
2008-07-03,3.9729,3.9729,3.9729,3.9729,164
2008-07-04,3.9729,3.9729,3.7895,3.9729,5890
2008-07-08,3.8506,3.9117,3.8506,3.9117,833
2008-07-09,3.9117,3.9117,3.6672,3.7895,769
2008-07-10,3.9117,4.034,3.5145,3.9422,4854
2008-07-11,3.7589,3.9117,3.7589,3.8201,2364
2008-07-14,3.9117,3.9422,3.9117,3.9422,1226
