Date,Open,High,Low,Close,Volume
1994-06-30,8.0641,8.0641,8.0641,8.0641,105272
1994-07-04,7.5772,7.5772,7.5772,7.5772,112918
1994-07-05,8.0641,8.0641,8.0641,8.0641,142012
1994-07-06,8.8672,8.8672,8.8672,8.8672,118104
1994-07-07,9.755,9.755,9.755,9.755,0
1994-07-11,10.73,10.73,10.73,10.73,89723
1994-07-12,11.772,11.772,11.772,11.772,0
1994-07-13,12.908,12.908,12.908,12.908,155800
1994-07-14,12.097,12.097,12.097,12.097,115316
1994-07-18,13.309,13.309,13.309,13.309,159551
1994-07-19,12.908,12.908,12.908,12.908,56077
1994-07-20,12.181,12.181,12.181,12.181,78713
1994-07-21,12.908,12.908,12.908,12.908,132837
1994-07-25,11.61,11.61,11.61,11.61,76679
1994-07-26,11.371,11.371,11.371,11.371,36559
1994-07-27,11.934,11.934,11.934,11.934,34974
1994-07-28,11.61,11.61,11.61,11.61,35221
1994-08-01,11.695,11.695,11.695,11.695,31521
1994-08-02,12.097,12.097,12.097,12.097,79897
1994-08-03,12.583,12.583,12.583,12.583,69599
1994-08-04,12.908,12.908,12.908,12.908,135576
1994-08-08,12.908,12.908,12.908,12.908,45382
1994-08-09,12.583,12.583,12.583,12.583,50406
1994-08-10,12.259,12.259,12.259,12.259,34260
1994-08-11,12.097,12.097,12.097,12.097,40702
1994-08-16,12.583,12.583,12.583,12.583,29189
1994-08-17,12.498,12.498,12.498,12.498,51241
1994-08-18,12.335,12.335,12.335,12.335,19039
1994-08-22,12.335,12.335,12.335,12.335,20081
1994-08-23,11.772,11.772,11.772,11.772,29313
1994-08-24,11.455,11.455,11.455,11.455,36529
1994-08-25,11.293,11.293,11.293,11.293,22413
1994-08-29,11.046,11.046,11.046,11.046,27774
1994-08-30,11.293,11.293,11.293,11.293,46777
1994-08-31,10.568,10.568,10.568,10.568,23138
1994-09-01,10.32,10.32,10.32,10.32,12908
1994-09-05,10.32,10.32,10.32,10.32,15208
1994-09-06,9.3544,9.3544,9.3544,9.3544,32220
1994-09-07,8.5511,8.5511,8.5511,8.5511,52139
1994-09-08,9.3544,9.3544,9.3544,9.3544,67093
1994-09-12,10.003,10.003,10.003,10.003,54163
1994-09-13,9.0299,9.0299,9.0299,9.0299,149520
1994-09-14,8.8672,8.8672,8.8672,8.8672,47125
1994-09-15,8.0641,8.0641,8.0641,8.0641,31179
1994-09-19,8.628,8.628,8.628,8.628,71357
1994-09-20,8.8672,8.8672,8.8672,8.8672,52636
1994-09-21,8.1495,8.1495,8.1495,8.1495,58321
1994-09-22,8.8672,8.8672,8.8672,8.8672,63077
1994-09-26,8.7135,8.7135,8.7135,8.7135,22852
1994-09-27,8.628,8.628,8.628,8.628,27130
1994-09-28,8.7135,8.7135,8.7135,8.7135,38272
1994-09-29,9.1917,9.1917,9.1917,9.1917,48977
1994-10-03,9.679,9.679,9.679,9.679,60347
1994-10-04,10.166,10.166,10.166,10.166,63454
1994-10-05,10.482,10.482,10.482,10.482,40205
1994-10-06,10.08,10.08,10.08,10.08,43279
1994-10-07,9.679,9.679,9.679,9.679,28829
1994-10-10,9.3544,9.3544,9.3544,9.3544,48593
1994-10-11,9.0299,9.0299,9.0299,9.0299,43931
1994-10-12,9.0299,9.0299,9.0299,9.0299,40017
1994-10-13,8.8672,8.8672,8.8672,8.8672,45667
1994-10-14,9.0299,9.0299,9.0299,9.0299,11403
1994-10-17,8.8672,8.8672,8.8672,8.8672,10658
1994-10-18,9.0299,9.0299,9.0299,9.0299,15251
1994-10-19,9.4398,9.4398,9.4398,9.4398,45524
1994-10-20,9.3544,9.3544,9.3544,9.3544,33559
1994-10-21,8.4656,8.4656,8.4656,8.4656,54044
1994-10-24,8.3887,8.3887,8.3887,8.3887,32338
1994-10-25,8.0641,8.0641,8.0641,8.0641,42548
1994-10-26,7.7395,7.7395,7.7395,7.7395,30844
