Date,Open,High,Low,Close,Volume
1998-07-14,0.6855,0.6855,0.6855,0.6855,68371
1998-07-15,0.6855,0.6855,0.6855,0.6855,9093
1998-07-16,0.6148,0.6148,0.6148,0.6148,5471
1998-07-17,0.5653,0.5653,0.5653,0.5653,107261
1998-07-20,0.5088,0.5088,0.5088,0.5088,22042
1998-07-21,0.45928,0.45928,0.45928,0.45928,0
1998-07-22,0.41688,0.41688,0.41688,0.41688,18857
1998-07-23,0.37451,0.37451,0.37451,0.37451,0
1998-07-24,0.33918,0.33918,0.33918,0.33918,77371
1998-07-27,0.35332,0.35332,0.35332,0.35332,21946
1998-07-28,0.35332,0.35332,0.35332,0.35332,30055
1998-07-29,0.35332,0.35332,0.35332,0.35332,8285
1998-07-30,0.31799,0.31799,0.31799,0.31799,11022
1998-07-31,0.31799,0.31799,0.31799,0.31799,21058
1998-08-03,0.30385,0.30385,0.30385,0.30385,21195
1998-08-04,0.29679,0.29679,0.29679,0.29679,22973
1998-08-05,0.28972,0.28972,0.28972,0.28972,31041
1998-08-06,0.28972,0.28972,0.28972,0.28972,13673
1998-08-07,0.28265,0.28265,0.28265,0.28265,408
1998-08-10,0.28265,0.28265,0.28265,0.28265,44414
1998-08-11,0.28972,0.28972,0.28972,0.28972,54697
1998-08-12,0.26145,0.26145,0.26145,0.26145,15711
1998-08-13,0.25439,0.25439,0.25439,0.25439,244200
1998-08-14,0.26145,0.26145,0.26145,0.26145,202573
1998-08-17,0.26145,0.26145,0.26145,0.26145,20512
1998-08-18,0.2756,0.2756,0.2756,0.2756,19882
1998-08-19,0.28265,0.28265,0.28265,0.28265,15191
1998-08-20,0.26145,0.26145,0.26145,0.26145,10773
1998-08-21,0.24026,0.24026,0.24026,0.24026,36920
1998-08-24,0.26145,0.26145,0.26145,0.26145,28715
1998-08-25,0.25439,0.25439,0.25439,0.25439,13645
1998-08-26,0.23319,0.23319,0.23319,0.23319,75209
1998-08-27,0.21198,0.21198,0.21198,0.21198,41392
1998-08-28,0.1908,0.1908,0.1908,0.1908,43047
1998-08-31,0.21198,0.21198,0.21198,0.21198,12578
1998-09-01,0.19786,0.19786,0.19786,0.19786,1368
1998-09-02,0.21906,0.21906,0.21906,0.21906,39451
1998-09-03,0.21198,0.21198,0.21198,0.21198,11623
1998-09-04,0.21906,0.21906,0.21906,0.21906,1368
1998-09-07,0.22613,0.22613,0.22613,0.22613,1641
1998-09-08,0.22613,0.22613,0.22613,0.22613,4784
1998-09-09,0.21906,0.21906,0.21906,0.21906,5471
1998-09-10,0.20493,0.20493,0.20493,0.20493,23793
1998-09-11,0.18372,0.18372,0.18372,0.18372,59511
1998-09-14,0.1908,0.1908,0.1908,0.1908,36360
1998-09-15,0.18372,0.18372,0.18372,0.18372,61657
1998-09-16,0.1908,0.1908,0.1908,0.1908,18337
1998-09-17,0.17666,0.17666,0.17666,0.17666,30248
1998-09-18,0.17666,0.17666,0.17666,0.17666,35676
1998-09-21,0.15546,0.15546,0.15546,0.15546,97251
1998-09-22,0.15546,0.15546,0.15546,0.15546,66881
1998-09-23,0.16252,0.16252,0.16252,0.16252,42171
1998-09-24,0.16252,0.16252,0.16252,0.16252,888
1998-09-25,0.16252,0.16252,0.16252,0.16252,10939
1998-09-28,0.16252,0.16252,0.16252,0.16252,29386
1998-09-29,0.16252,0.16252,0.16252,0.16252,19266
1998-09-30,0.16252,0.16252,0.16252,0.16252,6153
1998-10-01,0.14839,0.14839,0.14839,0.14839,54697
1998-10-02,0.14132,0.14132,0.14132,0.14132,16408
1998-10-05,0.14132,0.14132,0.14132,0.14132,1914
1998-10-06,0.14132,0.14132,0.14132,0.14132,6836
1998-10-07,0.14132,0.14132,0.14132,0.14132,5880
1998-10-08,0.14132,0.14132,0.14132,0.14132,15725
1998-10-09,0.14132,0.14132,0.14132,0.14132,6836
1998-10-12,0.14132,0.14132,0.14132,0.14132,19143
1998-10-13,0.14839,0.14839,0.14839,0.14839,14083
1998-10-14,0.14132,0.14132,0.14132,0.14132,1368
1998-10-15,0.14132,0.14132,0.14132,0.14132,1641
1998-10-16,0.14839,0.14839,0.14839,0.14839,3555
1998-10-19,0.14839,0.14839,0.14839,0.14839,136
1998-10-20,0.14839,0.14839,0.14839,0.14839,136
1998-10-21,0.14132,0.14132,0.14132,0.14132,30096
1998-10-22,0.14132,0.14132,0.14132,0.14132,13523
1998-10-23,0.14132,0.14132,0.14132,0.14132,4101
1998-10-26,0.14839,0.14839,0.14839,0.14839,21605
1998-10-27,0.14839,0.14839,0.14839,0.14839,136
1998-10-28,0.13425,0.13425,0.13425,0.13425,45561
1998-10-29,0.12013,0.12013,0.12013,0.12013,84234
1998-10-30,0.12013,0.12013,0.12013,0.12013,41583
