Date,Open,High,Low,Close,Volume
1997-10-15,50.82,50.82,50.82,50.82,41552
1997-10-17,48.99,48.99,48.99,48.99,28611
1997-10-20,47.16,47.16,47.16,47.16,6322
1997-10-21,47.16,47.16,47.16,47.16,4288
1997-10-22,46.695,46.695,46.695,46.695,3628
1997-10-23,46.245,46.245,46.245,46.245,9242
1997-10-24,45.325,45.325,45.325,45.325,8057
1997-10-27,40.75,40.75,40.75,40.75,2538
1997-10-28,37.085,37.085,37.085,37.085,8149
1997-10-29,40.75,40.75,40.75,40.75,10998
1997-10-30,40.75,40.75,40.75,40.75,7729
1997-10-31,40.75,40.75,40.75,40.75,1872
1997-11-03,44.865,44.865,44.865,44.865,1192
1997-11-04,45.325,45.325,45.325,45.325,4511
1997-11-05,46.245,46.245,46.245,46.245,4183
1997-11-06,45.325,45.325,45.325,45.325,5156
1997-11-07,44.415,44.415,44.415,44.415,6445
1997-11-12,43.035,43.035,43.035,43.035,6644
1997-11-13,41.665,41.665,41.665,41.665,14380
1997-11-14,42.125,42.125,42.125,42.125,580
1997-11-17,44.415,44.415,44.415,44.415,4046
1997-11-18,44.415,44.415,44.415,44.415,3315
1997-11-19,43.495,43.495,43.495,43.495,2505
1997-11-20,43.495,43.495,43.495,43.495,5292
1997-11-21,44.415,44.415,44.415,44.415,7857
1997-11-24,42.58,42.58,42.58,42.58,1789
1997-11-25,41.665,41.665,41.665,41.665,3399
1997-11-26,42.58,42.58,42.58,42.58,2688
1997-11-27,41.205,41.205,41.205,41.205,5324
1997-11-28,40.75,40.75,40.75,40.75,8478
1997-12-01,43.035,43.035,43.035,43.035,1385
1997-12-02,43.035,43.035,43.035,43.035,3854
1997-12-03,43.035,43.035,43.035,43.035,3664
1997-12-04,42.58,42.58,42.58,42.58,1253
1997-12-05,42.58,42.58,42.58,42.58,3781
1997-12-08,42.58,42.58,42.58,42.58,4226
1997-12-09,42.58,42.58,42.58,42.58,7192
1997-12-10,42.58,42.58,42.58,42.58,1267
1997-12-11,41.665,41.665,41.665,41.665,4774
1997-12-12,41.665,41.665,41.665,41.665,3895
1997-12-15,41.665,41.665,41.665,41.665,1426
1997-12-16,41.665,41.665,41.665,41.665,3459
1997-12-17,41.665,41.665,41.665,41.665,658
1997-12-18,41.665,41.665,41.665,41.665,1099
1997-12-19,41.205,41.205,41.205,41.205,6164
1997-12-22,40.75,40.75,40.75,40.75,3178
1997-12-23,39.835,39.835,39.835,39.835,3123
1997-12-29,39.375,39.375,39.375,39.375,2178
1997-12-30,39.835,39.835,39.835,39.835,1626
1997-12-31,36.165,36.165,36.165,36.165,1998
1998-01-05,38.46,38.46,38.46,38.46,5780
1998-01-06,38.0,38.0,38.0,38.0,4382
1998-01-07,38.0,38.0,38.0,38.0,4566
1998-01-08,38.46,38.46,38.46,38.46,5977
1998-01-09,38.46,38.46,38.46,38.46,7056
1998-01-12,37.085,37.085,37.085,37.085,5508
1998-01-13,37.085,37.085,37.085,37.085,4508
1998-01-14,36.635,36.635,36.635,36.635,5745
1998-01-15,35.71,35.71,35.71,35.71,4240
1998-01-16,35.71,35.71,35.71,35.71,5222
1998-01-19,38.0,38.0,38.0,38.0,1830
1998-01-20,36.635,36.635,36.635,36.635,1426
1998-01-21,37.085,37.085,37.085,37.085,6351
1998-01-22,35.71,35.71,35.71,35.71,5690
1998-01-23,35.71,35.71,35.71,35.71,2939
1998-01-26,35.71,35.71,35.71,35.71,1987
1998-01-27,35.71,35.71,35.71,35.71,4478
1998-01-28,35.71,35.71,35.71,35.71,7797
1998-01-29,36.635,36.635,36.635,36.635,5929
1998-01-30,37.085,37.085,37.085,37.085,6012
1998-02-02,38.0,38.0,38.0,38.0,8214
1998-02-03,39.835,39.835,39.835,39.835,14954
1998-02-04,38.915,38.915,38.915,38.915,13950
1998-02-05,39.835,39.835,39.835,39.835,10597
1998-02-06,40.29,40.29,40.29,40.29,11498
1998-02-09,41.665,41.665,41.665,41.665,7561
1998-02-10,41.665,41.665,41.665,41.665,4439
1998-02-11,41.665,41.665,41.665,41.665,881
1998-02-12,40.75,40.75,40.75,40.75,8694
1998-02-13,41.665,41.665,41.665,41.665,2747
1998-02-16,41.665,41.665,41.665,41.665,3889
1998-02-17,40.75,40.75,40.75,40.75,14925
1998-02-18,38.0,38.0,38.0,38.0,10358
1998-02-19,37.545,37.545,37.545,37.545,4194
1998-02-20,37.085,37.085,37.085,37.085,5627
1998-02-23,34.795,34.795,34.795,34.795,7476
