Date,Open,High,Low,Close,Volume
2024-12-02,44.5567,44.9015,44.4005,44.9015,406905
2024-12-03,44.7291,45.0739,44.686,44.686,329712
2024-12-04,44.6322,44.8854,44.3952,44.8854,421757
2024-12-05,44.7667,44.9231,44.3359,44.5837,500324
2024-12-06,44.4437,44.5891,44.2551,44.4113,240118
2024-12-09,44.6322,44.9877,44.0449,44.8745,257857
2024-12-10,46.0652,47.4119,46.0652,47.0886,955878
2024-12-11,47.2826,47.4496,46.954,47.0834,388244
2024-12-12,46.9809,47.5412,46.9809,47.3365,279707
2024-12-13,47.4064,47.5089,46.8894,47.024,451878
2024-12-16,46.7601,47.0348,46.4476,46.9702,321542
2024-12-17,46.5768,47.2503,46.5284,46.5662,436451
2024-12-18,46.6577,46.7601,46.2914,46.5877,316155
2024-12-19,46.2214,46.4206,45.882,46.2052,602777
2024-12-20,46.0597,46.3128,45.4295,46.2214,854396
2024-12-23,46.2214,46.8894,46.0005,46.3453,330242
2024-12-27,45.3055,46.6631,45.0038,46.6631,265360
2024-12-30,46.6361,46.6361,46.1728,46.3776,203580
2025-01-02,46.1137,47.0079,46.0866,47.0079,392605
2025-01-03,46.9647,47.1425,46.5231,46.8785,266278
2025-01-06,46.6469,46.9109,46.0436,46.4315,582903
2025-01-07,46.6416,47.4173,46.1891,47.0834,479434
2025-01-08,47.2073,47.5304,46.7277,47.3257,388356
2025-01-09,47.3526,47.8052,47.3473,47.6058,258355
2025-01-10,47.6004,47.7028,47.2125,47.5089,360819
2025-01-13,47.3311,48.5055,47.2125,48.2038,600035
2025-01-14,48.2361,48.3816,47.4388,47.6651,575238
2025-01-15,47.7566,48.2954,47.5573,47.5951,710616
2025-01-16,47.6004,48.1931,47.4712,48.1015,435942
2025-01-17,48.2146,48.4408,47.8805,48.4139,792516
2025-01-20,48.4085,48.6617,48.1931,48.6617,212894
2025-01-21,48.6779,49.2866,48.5055,49.1197,534466
2025-01-22,49.1088,49.6044,49.0712,49.5991,564517
2025-01-23,49.3674,49.4644,47.7566,48.0098,835087
2025-01-24,47.6435,47.6651,46.6739,47.1318,625039
2025-01-27,47.1211,47.9937,46.7332,46.9702,817270
2025-01-28,45.7493,46.6396,45.5817,45.8644,753401
2025-01-29,46.1211,46.1211,44.2618,44.4032,286643
2025-01-30,44.2199,45.1732,43.8847,44.9375,610684
2025-01-31,44.9426,45.2674,44.8484,44.9322,395426
2025-02-03,44.8588,45.0632,44.576,44.6022,507832
2025-02-04,44.3352,44.5132,43.8114,44.0314,312639
2025-02-05,43.7904,44.3142,43.5652,43.8847,533264
2025-02-06,42.7901,43.3715,42.0882,42.4758,1249021
2025-02-07,42.5229,42.6696,41.3864,41.5383,722616
2025-02-10,41.0564,41.0669,40.2604,40.8522,871340
2025-02-11,40.826,41.0094,40.0876,40.1346,553129
2025-02-12,39.9095,40.7318,39.8938,40.2971,894503
2025-02-13,40.6008,40.8469,39.8466,40.5641,843983
2025-02-14,40.0457,40.318,39.6423,39.8047,592041
2025-02-17,39.6214,40.1661,39.5847,40.0823,332521
2025-02-18,40.0771,40.2918,39.9095,40.1189,567177
2025-02-19,40.0142,40.098,39.1448,39.37,520185
2025-02-20,39.3491,39.5272,39.1919,39.2809,450699
2025-02-21,38.7415,39.3596,38.5373,39.15,816701
2025-02-24,39.8047,40.2342,39.3753,40.1137,656195
2025-02-25,40.1504,40.1871,39.4643,39.4643,411238
2025-02-26,39.6109,39.7,39.26,39.6319,438240
2025-02-27,39.0139,39.1972,38.6524,39.0348,511221
2025-02-28,38.7729,38.9039,38.5425,38.5792,1246334
2025-03-03,38.5373,38.9877,38.2492,38.642,533616
2025-03-04,38.3225,38.3697,37.4636,37.5736,667524
2025-03-05,37.3326,37.8459,36.9241,37.584,738999
2025-03-06,37.584,38.8096,37.4426,38.8096,1400364
2025-03-07,38.7154,38.7939,38.0816,38.244,667521
2025-03-10,38.5686,38.5686,37.9821,38.2597,511472
2025-03-11,37.6521,38.3382,37.406,37.4321,942399
2025-03-12,37.4217,37.9193,37.4217,37.9193,611301
2025-03-13,37.8197,38.0187,37.5683,37.9559,468507
2025-03-14,37.6468,37.9193,37.3798,37.7883,483209
2025-03-17,37.9873,38.1392,37.7674,38.0082,292130
2025-03-18,38.2597,38.5373,37.8931,38.0554,330525
2025-03-19,38.0082,38.3278,37.9193,38.2754,415395
2025-03-20,38.3435,38.4692,37.9244,38.0606,493720
2025-03-21,37.8197,38.3958,37.6468,38.2963,705561
2025-03-24,38.5425,38.8043,38.2492,38.642,433609
2025-03-25,38.7782,38.9511,38.4848,38.5111,369139
2025-03-26,38.6892,38.6892,38.1654,38.4116,359676
2025-03-27,38.3644,38.7048,38.2229,38.5896,390656
2025-03-28,38.6001,38.8934,38.5163,38.5477,526386
2025-03-31,38.244,38.4586,38.0763,38.4167,628977
2025-04-01,39.1919,39.3334,38.5948,38.8986,539391
2025-04-02,38.1444,38.6839,38.0187,38.6629,431911
2025-04-03,38.5006,39.2809,37.7464,37.9193,1152239
2025-04-04,38.1706,38.3382,37.0079,37.0079,930006
2025-04-07,37.7464,39.4853,35.8609,37.8616,1302869
2025-04-08,38.1392,38.9405,37.7516,38.7205,773244
2025-04-09,36.9869,38.1025,36.9869,37.2332,985203
2025-04-10,38.3539,38.6577,36.8979,36.8979,781511
2025-04-11,37.5945,38.3173,37.1703,38.0344,592995
2025-04-14,38.6158,39.0086,38.3539,38.8986,491703
2025-04-15,39.2338,39.4485,38.7729,38.9405,424906
2025-04-16,38.8253,39.2234,38.1392,38.422,600947
