Date,Open,High,Low,Close,Volume
2024-05-28,6.04,6.2,5.64,5.78,139835
2024-05-29,5.72,6.5,5.7,6.44,258146
2024-05-31,6.48,6.88,6.48,6.82,248671
2024-06-03,6.84,6.88,6.16,6.16,210492
2024-06-04,6.2,6.3,5.8,6.04,237982
2024-06-05,6.02,6.48,6.0,6.06,92521
2024-06-06,6.08,6.32,5.92,6.1,42601
2024-06-07,6.1,6.16,5.96,6.08,19955
2024-06-10,6.08,6.08,5.78,5.98,44437
2024-06-11,6.0,6.96,6.0,6.8,111901
2024-06-12,6.8,6.94,6.44,6.88,71721
2024-06-13,6.88,6.88,6.58,6.64,155367
2024-06-14,6.64,6.7,6.5,6.7,49429
2024-06-17,6.74,6.74,6.1,6.3,70047
2024-06-18,6.24,6.5,6.14,6.48,22965
2024-06-19,6.48,6.54,6.26,6.26,15658
2024-06-20,6.42,6.42,5.82,6.0,52424
2024-06-21,5.98,6.08,5.68,5.9,57629
2024-06-24,6.0,6.8,5.9,6.48,62903
2024-06-25,6.42,7.2,6.3,7.18,225063
2024-06-26,7.18,7.34,6.8,7.22,140451
2024-06-27,7.22,7.24,6.92,6.98,80857
2024-06-28,6.9,7.44,6.78,7.3,149806
2024-07-01,7.38,7.64,7.22,7.42,170432
2024-07-02,7.44,7.84,7.22,7.82,300606
2024-07-03,7.86,8.06,7.7,7.96,183929
2024-07-04,7.98,8.0,7.42,7.96,360473
2024-07-05,7.84,7.96,7.5,7.78,123626
2024-07-08,7.82,8.0,7.42,7.88,73432
2024-07-09,7.8,8.0,7.64,7.98,54549
2024-07-10,8.0,8.04,7.82,8.0,36608
2024-07-11,7.98,8.06,7.52,7.72,156101
2024-07-12,7.72,7.82,7.2,7.66,307189
2024-07-15,7.74,7.9,7.5,7.74,29504
2024-07-16,7.74,7.92,6.98,7.02,355298
2024-07-17,7.12,7.14,6.46,6.46,203859
2024-07-18,6.46,7.8,6.28,7.5,132360
2024-07-19,7.5,7.74,7.2,7.72,105714
2024-07-22,7.72,8.04,7.62,7.96,106548
2024-07-23,7.96,7.96,7.62,7.72,17244
2024-07-24,7.62,7.84,7.5,7.76,17110
2024-07-25,7.38,7.7,7.24,7.3,54276
2024-07-26,7.3,7.5,7.22,7.44,56822
2024-07-29,7.42,7.44,7.24,7.34,14855
2024-07-30,7.2,7.44,7.2,7.38,44656
2024-07-31,7.38,7.44,7.3,7.4,27378
2024-08-01,7.36,7.36,7.3,7.36,13190
2024-08-02,7.16,7.28,7.02,7.28,41022
2024-08-05,7.02,7.32,6.7,7.2,130647
2024-08-06,7.1,7.18,7.0,7.1,21500
2024-08-07,7.02,7.4,7.0,7.1,25538
2024-08-08,7.14,7.26,6.94,7.22,46420
2024-08-09,7.22,7.28,7.06,7.28,7582
2024-08-12,7.3,7.42,7.28,7.42,29768
2024-08-13,7.5,7.5,7.38,7.5,10066
2024-08-14,7.58,7.68,7.44,7.68,19012
2024-08-16,7.62,7.68,7.52,7.66,10209
2024-08-19,7.64,7.64,7.36,7.5,7876
2024-08-20,7.5,7.5,7.36,7.48,792
2024-08-21,7.46,7.48,7.08,7.08,24505
2024-08-22,7.16,7.16,6.92,6.96,23659
2024-08-23,6.96,7.12,6.92,7.1,12184
2024-08-26,7.08,7.08,6.74,6.78,21032
2024-08-27,6.74,6.98,6.72,6.9,18141
2024-08-28,6.9,6.9,5.76,6.6,233965
2024-08-29,6.6,7.1,6.34,6.9,68289
2024-08-30,6.9,6.98,6.66,6.98,11357
2024-09-02,6.82,6.94,6.62,6.72,36836
2024-09-03,6.6,6.7,6.4,6.4,17109
2024-09-04,6.3,6.8,6.0,6.32,52654
2024-09-05,6.3,6.44,6.0,6.18,45592
2024-09-06,6.22,6.3,6.02,6.24,20477
2024-09-09,6.24,6.24,5.9,6.08,9600
2024-09-10,6.08,6.26,6.0,6.1,12277
2024-09-11,6.2,6.5,6.06,6.24,33513
2024-09-12,6.24,6.8,6.14,6.7,55542
2024-09-13,6.64,7.7,6.64,7.22,128636
2024-09-16,7.16,7.2,6.6,6.6,45621
2024-09-17,6.76,6.76,6.58,6.58,30174
2024-09-18,6.5,6.66,6.38,6.58,34350
2024-09-19,6.52,6.54,6.34,6.44,16922
2024-09-20,6.5,6.74,6.4,6.6,77956
2024-09-23,6.44,6.58,6.26,6.3,23066
2024-09-24,6.26,6.26,6.12,6.16,12774
2024-09-25,6.18,6.3,6.08,6.16,38115
2024-09-26,6.28,6.46,6.0,6.1,50852
