Date,Open,High,Low,Close,Volume
2024-12-02,566.44,569.29,561.94,568.63,595914
2024-12-03,564.28,567.51,559.785,566.86,508989
2024-12-04,571.27,580.085,567.7,575.95,699692
2024-12-05,571.0,571.0,550.415,557.9,750913
2024-12-06,557.0,560.0,550.06,551.2,544767
2024-12-09,549.83,551.065,547.0619,548.42,528395
2024-12-10,547.83,552.27,540.91,549.47,587941
2024-12-11,551.88,553.4598,549.71,550.39,495725
2024-12-12,549.41,552.2,545.2847,548.03,324484
2024-12-13,543.65,545.855,540.34,543.66,590430
2024-12-16,543.04,545.85,541.775,542.04,598226
2024-12-17,540.82,543.65,536.4,536.75,1086999
2024-12-18,536.75,538.02,526.34,526.72,841014
2024-12-19,528.56,532.685,521.45,521.75,644796
2024-12-20,519.64,530.54,518.5,525.4,1742123
2024-12-23,522.91,526.25,522.05,524.94,547202
2024-12-24,522.83,528.175,521.635,528.14,228105
2024-12-26,525.31,528.555,525.225,527.24,312642
2024-12-27,525.06,527.59,520.21,523.91,422367
2024-12-30,519.51,521.8199,513.91,519.87,357430
2024-12-31,521.06,522.02,516.91,519.85,452254
2025-01-02,524.7,524.7,513.62,513.79,653431
2025-01-03,520.66,520.66,513.205,514.64,478676
2025-01-06,512.74,513.45,504.755,507.1,968975
2025-01-07,508.47,513.66,504.53,507.1,621714
2025-01-08,507.32,511.87,504.305,510.3,960728
2025-01-10,507.47,510.755,502.1,502.71,575576
2025-01-13,499.47,509.86,499.47,508.0,572715
2025-01-14,506.76,511.865,505.6,510.69,535830
2025-01-15,517.98,521.01,513.77,517.96,1000760
2025-01-16,518.8,520.2019,515.81,519.1,619737
2025-01-17,529.06,529.06,520.07,522.32,763769
2025-01-21,524.09,531.42,523.045,530.79,686373
2025-01-22,530.88,535.93,529.91,534.45,481134
2025-01-23,531.1,533.36,528.035,533.24,387632
2025-01-24,532.46,535.0,529.34,531.37,385457
2025-01-27,527.91,541.67,527.195,541.33,748500
2025-01-28,540.11,553.245,535.69,549.62,686055
2025-01-29,547.9,549.905,542.86,543.02,691267
2025-01-30,565.99,584.31,561.6,570.6,1153931
2025-01-31,572.0,581.92,570.065,575.65,1158091
2025-02-03,575.24,581.5,569.68,577.04,892395
2025-02-04,578.07,579.615,571.16,577.67,768127
2025-02-05,578.14,582.25,573.12,581.42,484786
2025-02-06,582.37,583.77,577.7127,583.42,714835
2025-02-07,583.45,584.435,572.58,572.76,496633
2025-02-10,573.3,575.255,567.41,574.52,569137
2025-02-11,570.5,581.435,570.5,581.35,552898
2025-02-12,573.63,575.815,566.46,566.76,688509
2025-02-13,569.38,575.43,565.28,573.43,400407
2025-02-14,575.0,577.93,572.93,573.58,353179
2025-02-18,572.93,574.135,569.48,572.53,550804
2025-02-19,572.53,577.945,568.135,577.04,477988
2025-02-20,574.96,581.875,569.01,581.42,474682
2025-02-21,579.39,580.4,573.54,574.05,634305
2025-02-24,575.12,579.895,572.28,576.77,512121
2025-02-25,578.14,593.91,577.085,587.34,984014
2025-02-26,585.2,586.91,574.43,575.15,646057
2025-02-27,574.04,579.95,571.98,572.5,549102
2025-02-28,579.05,584.93,573.66,584.5,911149
2025-03-03,588.49,592.0,583.15,585.81,710009
2025-03-04,586.41,590.0,582.45,584.83,870725
2025-03-05,582.57,595.1668,581.99,593.81,629127
2025-03-06,589.75,592.35,582.8556,588.29,569801
2025-03-07,585.62,589.92,577.97,588.38,462663
2025-03-10,586.83,591.16,574.08,576.45,748722
2025-03-11,576.1,576.7,563.93,565.75,611709
2025-03-12,566.66,569.23,559.6,566.42,621547
2025-03-13,563.44,567.9,560.78,562.88,431875
2025-03-14,566.31,571.79,565.72,569.29,428941
2025-03-17,569.29,578.24,569.29,575.59,499081
2025-03-18,573.84,577.38,569.66,576.86,459797
2025-03-19,579.21,580.325,572.275,577.83,488827
2025-03-20,574.31,577.44,570.85,575.45,439205
2025-03-21,569.92,573.09,564.26,572.18,879815
2025-03-24,577.29,579.5434,574.155,576.65,568913
2025-03-25,575.77,582.16,572.52,579.07,735472
2025-03-26,579.56,585.27,579.56,582.71,336491
2025-03-27,587.665,594.25,578.1113,592.55,627321
2025-03-28,589.36,591.72,580.62,582.64,876484
2025-03-31,582.83,592.01,580.19,589.58,994758
2025-04-01,585.8,593.0,584.225,590.78,438696
2025-04-02,584.19,592.9525,580.065,590.36,412309
2025-04-03,589.86,590.5,576.81,579.7,994410
2025-04-04,576.78,578.34,540.76,541.8,1672576
2025-04-07,533.05,547.685,519.52,532.54,1109405
2025-04-08,534.82,541.89,513.92,519.19,806344
2025-04-09,517.505,556.26,513.865,553.76,1153144
2025-04-10,547.94,554.47,533.1,549.6,944045
2025-04-11,548.75,564.72,543.3201,560.16,669076
2025-04-14,568.44,570.73,558.66,565.88,378444
2025-04-15,569.88,571.68,563.34,567.08,340906
2025-04-16,562.58,569.89,552.53,556.27,635202
2025-04-17,561.5,564.47,556.43,557.24,343270
2025-04-21,550.42,555.335,534.9125,539.27,372634
2025-04-22,545.58,551.79,543.55,551.3,517643
2025-04-23,555.82,564.12,550.35,551.08,623474
2025-04-24,551.12,561.43,548.0,559.66,674272
2025-04-25,559.24,559.24,551.045,557.7,671093
2025-04-28,537.95,558.2,535.53,551.95,805873
2025-04-29,553.42,558.06,552.03,556.17,716454
2025-04-30,554.9,560.9,547.75,560.08,670604
2025-05-01,564.14,564.205,556.53,557.59,590223
2025-05-02,562.1,569.4,562.1,566.04,556042
2025-05-05,565.92,575.315,563.31,571.13,647852
2025-05-06,565.45,574.02,560.94,569.7,584884
2025-05-07,570.43,576.435,569.4901,574.29,395996
2025-05-08,576.76,582.17,572.5225,574.98,485178
2025-05-09,574.54,574.54,564.37,570.48,333226
2025-05-12,579.92,579.92,566.805,575.84,750902
2025-05-13,577.82,582.57,575.455,577.07,554650
2025-05-14,572.81,576.865,563.49,565.94,623069
2025-05-15,565.74,574.77,565.275,574.4,515867
2025-05-16,579.01,583.02,574.22,582.88,611453
2025-05-19,581.75,584.03,578.4,580.47,533524
2025-05-20,577.91,578.67,573.74,578.21,460214
2025-05-21,573.76,583.949,569.93,572.81,432177
2025-05-22,568.45,573.085,568.45,569.07,346357
2025-05-23,564.43,569.73,563.8,567.03,375130
2025-05-27,571.21,574.73,568.43,573.82,433662
2025-05-28,574.27,576.55,568.65,569.13,361112
2025-05-29,570.13,571.515,562.5364,564.27,782005
2025-05-30,564.95,572.7,563.195,570.27,808786
2025-06-02,565.94,568.3799,563.075,566.69,385718
2025-06-03,564.39,568.209,561.8401,567.87,332538
2025-06-04,567.28,569.295,563.3,568.01,737257
2025-06-05,568.41,571.08,565.5,569.485,656700
2025-06-06,572.79,575.0,570.99,572.87,336683
2025-06-09,572.24,576.49,568.2,573.08,419372
2025-06-10,562.73,574.32,562.73,572.18,352937
2025-06-11,572.08,573.7999,568.72,569.56,336686
2025-06-12,570.06,573.08,569.765,572.03,275030
2025-06-13,566.68,570.84,560.27,560.75,436801
2025-06-16,562.48,567.8989,562.48,565.66,372780
2025-06-17,565.32,565.91,559.57,562.58,454915
2025-06-18,562.58,562.58,555.045,555.75,447163
2025-06-20,558.98,564.36,557.775,561.99,1124299
2025-06-23,562.59,566.29,558.135,566.18,374935
2025-06-24,568.5,571.55,563.275,571.02,460562
2025-06-25,570.84,573.1,562.99,566.94,494639
2025-06-26,566.08,566.375,558.28,565.31,509808
2025-06-27,565.31,569.365,560.65,563.51,652988
2025-06-30,564.69,567.63,561.9965,566.84,910366
2025-07-01,567.24,574.95,565.905,572.71,563428
2025-07-02,571.73,571.73,563.57,566.08,460664
2025-07-03,569.95,574.81,568.73,573.0,243956
2025-07-07,573.0,575.77,565.32,566.0,651882
2025-07-08,564.45,569.34,562.19,564.59,699366
2025-07-09,566.0,571.36,551.51,558.64,861904
2025-07-10,553.59,555.88,544.67,549.8,944922
2025-07-11,549.83,551.97,545.745,547.46,742977
2025-07-14,546.02,548.575,541.2,548.33,545778
2025-07-15,548.42,551.015,544.78,544.82,669080
2025-07-16,545.59,548.95,541.9,545.23,669576
2025-07-17,543.28,546.99,543.28,546.35,461009
2025-07-18,549.52,549.52,540.4,544.79,642430
2025-07-21,549.62,555.935,535.7,551.91,914233
2025-07-22,554.16,564.63,551.42,563.84,812455
2025-07-23,563.85,566.24,556.415,557.02,885403
2025-07-24,556.54,562.86,554.21,560.365,544540
2025-07-25,560.7,563.41,557.11,563.03,278462
2025-07-28,561.62,564.155,558.76,559.03,439750
2025-07-29,561.7,563.33,556.19,563.06,695805
2025-07-30,563.58,564.6799,549.95,552.34,666592
2025-07-31,550.68,556.23,549.0,550.4,708140
2025-08-01,551.1,551.112,539.91,542.11,497000
2025-08-04,543.04,547.14,542.05,546.42,473791
2025-08-05,549.24,549.24,537.365,537.93,668792
2025-08-06,539.83,542.2099,535.88,541.84,493872
2025-08-07,546.03,546.515,535.32,536.71,423341
2025-08-08,536.71,538.825,531.6,534.38,358734
2025-08-11,534.38,536.955,525.765,527.48,504937
2025-08-12,527.77,529.95,518.22,519.5,844943
2025-08-13,521.425,523.955,514.05,522.53,1105849
2025-08-14,523.55,526.1,518.1,524.96,889987
2025-08-15,523.63,530.62,523.19,529.64,697650
2025-08-18,529.99,533.98,529.99,532.28,735569
2025-08-19,532.28,538.035,531.0,532.59,762761
2025-08-20,536.27,544.94,533.39,540.52,1337557
2025-08-21,537.37,540.335,526.66,526.94,1191411
2025-08-22,529.75,538.205,528.01,536.84,673668
2025-08-25,535.9,536.565,529.26,530.29,571040
2025-08-26,529.0,531.085,522.34,524.45,752668
2025-08-27,525.31,529.84,523.49,528.66,656999
2025-08-28,528.21,528.8325,524.88,526.59,794020
2025-08-29,529.5,532.18,524.105,526.31,872087
2025-09-02,524.09,525.005,516.25,518.99,681104
2025-09-03,517.28,524.68,517.28,524.13,713035
2025-09-04,523.09,527.225,521.32,527.12,441627
2025-09-05,530.0,530.0,516.78,518.44,700588
2025-09-08,519.1,524.07,517.505,523.43,1085960
2025-09-09,521.69,524.9,518.47,519.67,968962
2025-09-10,519.44,519.44,509.13,513.23,1117909
2025-09-11,514.0,519.195,513.0,517.38,849768
2025-09-12,515.58,517.1632,512.04,512.53,615448
2025-09-15,512.53,514.385,504.26,505.23,689115
2025-09-16,505.0,506.255,499.0,502.44,1871724
2025-09-17,504.38,517.44,503.74,509.65,940796
2025-09-18,509.65,513.12,507.6101,509.01,736959
2025-09-19,508.51,509.47,502.95,504.62,1437868
2025-09-22,501.5,510.46,501.45,509.63,665375
2025-09-23,507.39,508.74,502.15,503.99,1097937
2025-09-24,503.49,507.335,502.3706,505.68,765695
2025-09-25,506.22,506.82,492.25,495.03,949397
2025-09-26,495.22,500.316,494.08,499.31,560937
2025-09-29,500.22,501.14,494.7767,500.96,729209
2025-09-30,500.45,502.08,495.81,498.69,804827
2025-10-01,499.26,504.0,495.55,497.97,969092
2025-10-02,495.44,500.285,495.44,497.59,881239
2025-10-03,497.27,504.91,497.27,499.95,1075544
2025-10-06,501.9,507.36,497.12,506.99,1210328
2025-10-07,505.84,511.02,503.64,510.57,1019471
2025-10-08,512.13,521.28,509.445,520.0,1513256
2025-10-09,519.9,520.05,511.4501,518.07,776956
2025-10-10,520.72,520.85,503.9,509.0,1290927
2025-10-13,507.35,513.85,504.105,512.73,731376
2025-10-14,508.4,515.32,506.7943,513.82,712829
2025-10-15,507.8,515.57,499.16,499.73,1057482
2025-10-16,500.17,503.325,497.57,500.08,837068
2025-10-17,500.04,505.04,498.42,504.52,716308
2025-10-20,504.51,506.965,501.52,505.89,887184
2025-10-21,507.28,517.5,505.895,514.52,622343
2025-10-22,510.98,519.1,508.57,508.95,1147927
2025-10-23,467.06,481.48,456.985,479.96,2230249
2025-10-24,482.59,483.355,474.795,478.8,1059278
2025-10-27,476.52,476.525,458.92,463.73,1631106
2025-10-28,463.73,464.98,455.71,456.16,1500539
2025-10-29,451.58,454.78,444.13,446.28,1657931
2025-10-30,446.31,453.03,442.69,443.4,1443281
2025-10-31,439.08,448.0,435.42,446.15,1164854
2025-11-03,447.54,448.84,437.37,448.54,1440212
2025-11-04,450.11,451.45,444.57,449.31,1193602
2025-11-05,446.13,451.41,444.355,445.83,1076111
2025-11-06,443.56,447.32,440.95,444.48,991286
2025-11-07,444.97,448.8499,443.77,447.05,769738
2025-11-10,445.0,451.98,441.84,449.82,821790
2025-11-11,448.79,449.385,441.285,443.27,772964
2025-11-12,443.3,455.8,441.0269,455.2,923652
2025-11-13,453.47,454.66,446.86,447.75,859491
2025-11-14,446.89,451.05,441.375,449.5,874862
2025-11-17,448.66,449.97,443.5,443.88,652199
2025-11-18,443.4,448.64,442.225,444.41,1071056
2025-11-19,442.07,445.58,437.4,444.78,1021087
2025-11-20,448.45,448.45,440.15,440.86,774291
2025-11-21,440.94,449.79,440.94,443.75,1084973
2025-11-24,442.57,445.9708,438.73,439.64,1453113
2025-11-25,440.61,447.3,439.395,446.41,756112
2025-11-26,445.74,448.18,443.73,446.08,532479
2025-11-28,447.96,449.8,446.0,446.22,328339
2025-12-01,444.46,446.26,441.8,443.58,884212
2025-12-02,445.32,446.05,440.8097,444.15,706439
2025-12-03,439.96,446.29,439.96,445.89,566000
2025-12-04,445.905,448.14,442.6401,444.78,609117
2025-12-05,444.08,449.7,443.97,447.56,802228
2025-12-08,448.36,449.76,445.75,446.71,801692
2025-12-09,446.13,449.06,439.25,440.635,759556
2025-12-10,440.38,445.07,439.41,442.28,1175871
2025-12-11,442.5,449.69,441.7635,445.84,954915
2025-12-12,445.84,450.35,445.15,445.86,1765581
2025-12-15,447.66,448.86,439.83,443.6,1915411
2025-12-16,442.42,445.92,439.89,443.78,1351996
2025-12-17,442.49,453.84,441.04,452.24,2056924
2025-12-18,449.06,454.805,446.81,450.51,2344111
2025-12-19,449.63,451.03,443.65,444.99,2952724
2025-12-22,443.34,450.585,442.0,449.25,742950
2025-12-23,449.14,449.44,446.02,449.34,598752
2025-12-24,447.91,451.69,446.87,451.18,233689
2025-12-26,450.56,451.6,449.2,450.83,283613
2025-12-29,450.83,452.78,449.42,450.84,528443
2025-12-30,449.735,452.28,449.3801,450.08,430857
2025-12-31,450.4,451.53,444.53,445.13,507466
2026-01-02,444.73,445.0,428.18952,434.54,914348
2026-01-05,429.94,436.31,427.89,431.66,1189381
2026-01-06,430.0,437.38,430.0,436.54,774418
2026-01-07,436.54,440.0,433.96,437.6,894955
2026-01-08,433.12,439.29,432.29,434.47,752298
2026-01-09,433.42,437.16,431.81,434.81,612481
2026-01-12,433.565,434.786,430.81,432.39,639180
2026-01-13,430.37,431.17,420.42,426.36,796657
2026-01-14,424.06,428.93,421.475,424.2,822955
2026-01-15,423.74,424.05,412.3301,414.25,1774254
2026-01-16,412.41,416.74,407.03,416.14,1421422
2026-01-20,412.45,414.32,400.2,403.76,1483553
2026-01-21,403.76,406.36,399.09,404.66,1415115
2026-01-22,404.02,410.0,402.97,407.48,1302943
2026-01-23,406.02,412.0999,403.7328,407.61,1712315
2026-01-26,409.49,413.0,407.32,408.67,1524365
2026-01-27,368.5,382.855,345.93,369.27,5077749
2026-01-28,367.96,368.195,356.005,360.37,2940727
2026-01-29,355.68,365.66,353.35,365.0,2487456
2026-01-30,362.275,371.59,360.0,371.23,3072328
2026-02-02,372.79,375.56,369.85,372.61,2476445
2026-02-03,362.8,364.365,343.9233,348.82,3248588
2026-02-04,346.14,361.1616,346.14,359.71,2805558
2026-02-05,358.855,365.2139,349.57,351.0,2827418
2026-02-06,353.46,363.54,351.0,362.42,1945708
2026-02-09,357.21,358.475,349.025,351.71,1966489
2026-02-10,350.46,354.97,345.25,348.84,1776080
2026-02-11,347.2,347.6401,331.22,333.8,2433747
2026-02-12,334.47,335.01,317.67,319.82,2736053
2026-02-13,319.85,325.61,318.01,321.41,1640577
2026-02-17,321.72,323.39,313.07,315.53,1808481
2026-02-18,316.8,328.8,313.74,327.6,2136331
2026-02-19,329.49,335.0,328.29,332.0,1753497
2026-02-20,330.26,337.625,330.26,335.79,2482719
