Date,Open,High,Low,Close,Volume
2024-12-02,31.74,32.22,31.67,31.83,2737757
2024-12-03,32.0,32.11,31.51,31.7,3711036
2024-12-04,31.82,31.93,30.92,30.97,3206018
2024-12-05,30.89,31.27,30.72,30.75,2872558
2024-12-06,30.8,30.93,30.61,30.73,1585643
2024-12-09,30.86,30.94,30.72,30.94,1737391
2024-12-10,30.84,31.0,30.71,30.8,1741011
2024-12-11,30.85,30.88,30.1,30.2,2724004
2024-12-12,30.16,30.31,29.9,29.9,2208165
2024-12-13,29.93,29.97,29.13,29.28,3496233
2024-12-16,29.22,29.31,28.4,28.58,3803260
2024-12-17,28.4,28.54,28.17,28.33,3861280
2024-12-18,28.28,28.44,27.89,28.26,2875581
2024-12-19,27.9,28.43,27.76,28.33,2862344
2024-12-20,28.05,28.25,27.88,28.25,4082329
2024-12-23,28.25,28.46,28.02,28.46,1604176
2024-12-27,28.26,28.58,28.02,28.58,2222263
2024-12-30,28.48,28.83,28.44,28.83,1548094
2025-01-02,28.93,29.66,28.88,29.56,2958886
2025-01-03,29.67,30.5,29.32,30.33,3711652
2025-01-06,30.44,30.47,30.08,30.27,1864312
2025-01-07,30.23,30.41,29.93,29.99,2022927
2025-01-08,29.72,29.78,29.08,29.27,3027150
2025-01-09,29.18,29.33,28.52,28.54,2620368
2025-01-10,28.5,28.55,27.98,28.14,3319307
2025-01-13,28.18,28.92,28.16,28.58,2145733
2025-01-14,28.67,28.69,28.22,28.36,1889060
2025-01-15,28.57,29.19,28.39,28.98,2211092
2025-01-16,29.03,29.13,28.68,29.01,2199882
2025-01-17,29.29,29.76,29.22,29.35,2916752
2025-01-20,29.43,29.67,29.09,29.51,1840904
2025-01-21,28.8,29.41,28.66,29.4,2180355
2025-01-22,29.34,29.4,28.64,28.65,2649237
2025-01-23,28.66,28.92,28.61,28.89,1341818
2025-01-24,28.93,29.02,28.54,28.71,1696612
2025-01-27,28.7,29.08,28.52,28.52,2314282
2025-01-28,28.55,29.65,28.41,29.01,2852191
2025-01-29,29.01,29.37,28.72,29.37,2248247
2025-01-30,29.38,29.76,29.16,29.61,1730979
2025-01-31,29.72,30.04,29.67,29.88,2033260
2025-02-03,29.65,29.81,29.29,29.63,1835614
2025-02-04,29.63,29.74,29.31,29.72,2200517
2025-02-05,29.65,30.06,29.43,30.0,2661215
2025-02-06,29.99,30.12,29.16,29.34,3403325
2025-02-07,29.36,29.77,28.65,28.65,4134849
2025-02-10,28.81,29.24,28.71,29.2,2336385
2025-02-11,29.19,29.35,28.95,29.06,1762302
2025-02-12,29.14,29.36,28.37,28.45,3238780
2025-02-13,28.21,28.7,27.95,28.38,4023512
2025-02-14,28.3,28.71,28.24,28.55,2108054
2025-02-17,28.6,28.8,28.32,28.47,1905566
2025-02-18,28.59,28.65,28.1,28.41,2688393
2025-02-19,28.47,29.01,28.32,28.48,2719623
2025-02-20,28.72,29.3,28.55,28.81,3709585
2025-02-21,28.86,29.26,28.64,29.13,3224113
2025-02-24,29.7,30.26,29.57,30.25,3595665
2025-02-25,30.32,30.66,30.16,30.16,2668276
2025-02-26,30.48,30.75,30.21,30.67,1850094
2025-02-27,30.54,30.6,29.94,30.12,3370118
2025-02-28,30.16,30.45,29.83,30.32,2517605
2025-03-03,30.26,30.79,30.1,30.62,2096648
2025-03-04,30.7,30.93,30.24,30.35,2209421
2025-03-05,30.2,30.97,30.2,30.45,2781977
2025-03-06,30.44,31.18,30.39,31.0,3403348
2025-03-07,31.19,31.28,30.52,31.12,2856352
2025-03-10,31.25,31.39,30.77,30.89,2370483
2025-03-11,30.92,31.55,30.92,31.08,2450007
2025-03-12,31.2,31.63,30.81,31.16,2488567
2025-03-13,31.3,32.79,31.13,31.99,6988231
2025-03-14,31.98,32.57,31.71,32.19,4095102
2025-03-17,32.19,32.63,32.13,32.42,2441800
2025-03-18,32.52,33.36,32.52,33.25,3621733
2025-03-19,33.35,33.5,32.91,33.05,3595910
2025-03-20,32.3,32.87,31.54,32.06,6597941
2025-03-21,32.3,32.64,32.02,32.09,5916648
2025-03-24,32.71,33.3,32.51,32.58,3091763
2025-03-25,32.82,32.96,32.54,32.57,1819478
2025-03-26,32.68,33.09,32.66,32.86,2039083
2025-03-27,32.8,33.17,32.75,32.98,1965340
2025-03-28,33.02,33.28,32.59,33.12,2180067
2025-03-31,33.07,33.2,32.59,33.02,1983856
2025-04-01,33.01,33.98,32.96,33.55,3948774
2025-04-02,33.45,33.94,33.45,33.76,2307344
2025-04-03,33.73,34.66,33.47,34.16,3740553
2025-04-04,34.18,34.47,32.11,32.33,5671117
2025-04-07,30.4,32.41,30.06,31.31,7649701
2025-04-08,31.51,32.02,31.01,31.73,3647013
2025-04-09,31.19,31.72,30.65,31.29,3654039
2025-04-10,32.29,32.59,32.0,32.13,3278858
2025-04-11,32.6,33.0,32.39,32.53,2951916
2025-04-14,32.99,33.17,32.62,32.83,1913512
2025-04-15,32.91,33.67,32.87,33.67,2770859
2025-04-16,33.9,34.1,33.69,34.08,2122566
2025-04-17,33.98,34.31,33.8,34.08,2281623
2025-04-22,34.24,34.38,33.64,34.14,1874941
2025-04-23,34.43,34.44,33.33,33.59,3033504
2025-04-24,33.91,34.29,33.81,34.02,2292166
2025-04-25,34.01,34.28,33.84,33.84,2025317
2025-04-28,33.98,34.16,33.37,33.72,2331482
2025-04-29,33.77,34.39,33.66,34.19,1837970
2025-04-30,34.14,34.26,33.4,34.2,2853478
2025-05-02,33.4,33.58,32.88,33.15,2846598
2025-05-05,33.25,33.36,33.05,33.27,1820252
2025-05-06,33.32,33.44,32.91,33.2,2051368
2025-05-07,33.24,33.33,32.68,32.76,2487393
2025-05-08,32.71,32.94,32.01,32.68,2693619
