Date,Open,High,Low,Close,Volume
2000-01-03,18.1429,18.2057,17.7465,17.9455,21131340.0
2000-01-04,17.955,18.048,17.5837,17.7543,21198504.0
2000-01-05,17.5035,17.7215,17.2698,17.4095,22429137.0
2000-01-07,17.2337,17.9084,17.2191,17.8611,23079805.0
2000-01-10,17.9386,17.9386,17.4664,17.6181,16232610.0
2000-01-11,17.6844,17.7154,16.8124,17.1183,36751698.0
2000-01-12,16.846,16.8908,16.6004,16.8908,28991483.0
2000-01-13,16.9855,17.0001,16.528,16.7418,26538149.0
2000-01-14,16.7047,17.1897,16.583,17.0683,37842040.0
2000-01-17,17.1778,17.2088,16.3222,16.4574,76067852.0
2000-01-18,16.4859,16.4859,15.6103,15.7163,48365460.0
2000-01-19,15.5095,15.6749,15.3002,15.6612,49746734.0
2000-01-20,15.7845,16.2204,15.7267,15.9506,28297666.0
2000-01-21,16.0343,16.186,15.3449,15.4354,43903964.0
2000-01-24,15.5845,15.8842,15.4199,15.5845,23816663.0
2000-01-25,15.5947,15.7913,15.5035,15.7613,38139146.0
2000-01-26,15.8989,16.1403,15.7035,16.0955,54467660.0
2000-01-27,16.2015,16.2161,15.8558,16.0662,120537836.0
2000-01-28,16.0807,16.0807,15.4397,15.513,31515983.0
2000-01-31,15.7576,15.9395,15.5154,15.7128,118830427.0
2000-02-01,17.6422,17.6422,15.6568,15.9145,27850578.0
2000-02-02,16.0489,16.0636,15.6844,15.9128,25531466.0
2000-02-03,16.0014,16.3506,15.8197,16.1678,27224382.0
2000-02-04,16.1566,16.2928,15.9326,16.1128,33238183.0
2000-02-07,16.3203,16.6367,16.2152,16.6367,29813692.0
2000-02-08,16.6219,16.9657,16.3962,16.8606,29261892.0
2000-02-09,17.1002,17.1002,16.4203,16.6625,26089288.0
2000-02-10,16.472,16.6063,16.0498,16.2756,21854931.0
2000-02-11,16.242,16.2556,15.2356,15.3552,41583495.0
2000-02-14,15.8766,16.6538,15.3096,16.0265,64023320.0
2000-02-15,16.2703,16.8236,16.1212,16.3144,51012898.0
2000-02-16,16.653,17.1304,16.385,17.0864,80544616.0
2000-02-17,16.9167,17.3036,16.8866,17.0364,40171325.0
2000-02-18,17.0536,17.1139,16.6073,16.6073,43821152.0
2000-02-21,16.4782,16.9839,16.3884,16.8639,21350258.0
2000-02-22,17.0804,17.3216,16.6875,16.8684,27743371.0
2000-02-23,16.971,17.2122,16.6711,17.2122,22477427.0
2000-02-24,16.957,17.107,16.583,16.6589,26485069.0
2000-02-25,16.6055,16.9183,16.4868,16.666,23773497.0
2000-02-28,16.6617,16.7511,16.4091,16.528,22812519.0
2000-02-29,16.5046,16.8734,16.4315,16.5641,17937486.0
2000-03-01,16.5307,16.5608,16.2669,16.428,21871748.0
