Date,Open,High,Low,Close,Volume
2024-05-31,0.748,0.748,0.738,0.747,68062
2024-06-03,0.749,0.75,0.696,0.736,60600
2024-06-04,0.736,0.737,0.724,0.73,7715
2024-06-05,0.705,0.734,0.701,0.701,22859
2024-06-06,0.726,0.729,0.7,0.721,95527
2024-06-07,0.721,0.721,0.68,0.715,42771
2024-06-10,0.697,0.719,0.697,0.709,11836
2024-06-11,0.714,0.714,0.67,0.697,64592
2024-06-12,0.696,0.702,0.67,0.679,76173
2024-06-13,0.679,0.679,0.673,0.679,23815
2024-06-14,0.679,0.679,0.66,0.662,28169
2024-06-17,0.674,0.679,0.662,0.679,24161
2024-06-18,0.679,0.679,0.67,0.679,83360
2024-06-19,0.679,0.679,0.67,0.679,30174
2024-06-20,0.679,0.679,0.658,0.658,90533
2024-06-21,0.668,0.669,0.667,0.669,22050
2024-06-24,0.669,0.669,0.663,0.669,51949
2024-06-25,0.664,0.669,0.662,0.662,25927
2024-06-26,0.666,0.669,0.661,0.661,5449
2024-06-27,0.661,0.669,0.661,0.669,24215
2024-06-28,0.669,0.69,0.668,0.687,16012
2024-07-01,0.687,0.688,0.66,0.684,23574
2024-07-02,0.666,0.678,0.651,0.676,52145
2024-07-03,0.677,0.677,0.658,0.677,68761
2024-07-04,0.677,0.677,0.662,0.677,327871
2024-07-05,0.677,0.723,0.677,0.713,397799
2024-07-08,0.715,0.719,0.676,0.694,267728
2024-07-09,0.675,0.69,0.653,0.675,154929
2024-07-10,0.674,0.68,0.658,0.665,101244
2024-07-11,0.674,0.674,0.655,0.67,22430
2024-07-12,0.655,0.674,0.655,0.668,60785
2024-07-15,0.659,0.708,0.659,0.696,194890
2024-07-16,0.681,0.69,0.66,0.673,65415
2024-07-17,0.69,0.69,0.69,0.69,105
2024-07-18,0.667,0.695,0.662,0.694,46033
2024-07-19,0.694,0.696,0.66,0.677,99938
2024-07-22,0.677,0.689,0.661,0.675,20734
2024-07-23,0.674,0.674,0.662,0.674,11414
2024-07-24,0.662,0.675,0.659,0.67,13178
2024-07-25,0.67,0.684,0.67,0.682,23350
2024-07-26,0.681,0.681,0.654,0.681,20211
2024-07-29,0.681,0.681,0.661,0.68,7200
2024-07-30,0.68,0.68,0.65,0.668,15213
2024-07-31,0.652,0.668,0.652,0.668,15450
2024-08-01,0.66,0.67,0.657,0.67,6466
2024-08-02,0.658,0.68,0.658,0.677,37115
2024-08-05,0.662,0.668,0.6,0.659,86227
2024-08-06,0.65,0.657,0.621,0.65,41930
2024-08-07,0.657,0.673,0.65,0.668,32920
2024-08-08,0.677,0.692,0.66,0.663,170102
2024-08-09,0.664,0.688,0.663,0.68,14387
2024-08-12,0.664,0.689,0.664,0.68,47118
2024-08-13,0.669,0.68,0.63,0.642,46651
2024-08-14,0.642,0.68,0.604,0.67,38079
2024-08-16,0.672,0.672,0.67,0.67,6216
2024-08-19,0.67,0.679,0.634,0.652,69532
2024-08-20,0.641,0.659,0.63,0.659,21448
2024-08-21,0.65,0.67,0.65,0.67,55703
2024-08-22,0.72,0.788,0.67,0.67,722034
2024-08-23,0.67,0.67,0.635,0.645,140361
2024-08-26,0.642,0.677,0.642,0.664,69961
2024-08-27,0.664,0.664,0.638,0.64,57239
2024-08-28,0.651,0.651,0.614,0.65,102336
2024-08-29,0.631,0.631,0.624,0.631,52673
2024-08-30,0.631,0.631,0.606,0.63,152543
2024-09-02,0.63,0.631,0.61,0.631,91014
2024-09-03,0.631,0.631,0.621,0.631,49777
2024-09-04,0.631,0.631,0.61,0.631,74496
2024-09-05,0.631,0.631,0.62,0.622,26109
2024-09-06,0.62,0.631,0.614,0.62,16395
2024-09-09,0.62,0.63,0.605,0.628,31154
2024-09-10,0.608,0.631,0.6,0.62,106529
2024-09-11,0.62,0.62,0.6,0.6,17779
2024-09-12,0.6,0.625,0.55,0.6,104427
2024-09-13,0.6,0.609,0.563,0.6,56270
2024-09-16,0.6,0.613,0.583,0.604,42078
2024-09-17,0.6,0.6,0.58,0.599,25504
2024-09-18,0.6,0.6,0.58,0.582,39050
2024-09-19,0.581,0.581,0.538,0.545,141417
2024-09-20,0.559,0.566,0.511,0.566,326813
2024-09-23,0.566,0.566,0.54,0.561,9168
2024-09-24,0.54,0.561,0.54,0.559,14914
2024-09-25,0.559,0.561,0.556,0.556,12896
2024-09-26,0.55,0.556,0.5,0.532,174307
2024-09-27,0.521,0.532,0.48,0.514,239079
2024-09-30,0.5,0.524,0.498,0.52,50540
2024-10-01,0.55,0.55,0.52,0.532,41574
2024-10-02,0.538,0.539,0.511,0.53,31279
2024-10-03,0.535,0.535,0.504,0.525,11155
2024-10-04,0.505,0.522,0.5,0.522,76419
2024-10-07,0.52,0.522,0.518,0.522,18794
2024-10-08,0.522,0.522,0.51,0.51,19820
2024-10-09,0.51,0.52,0.475,0.4805,91633
2024-10-10,0.499,0.535,0.4805,0.528,108423
2024-10-11,0.521,0.524,0.491,0.516,133096
2024-10-14,0.517,0.52,0.491,0.519,51612
2024-10-15,0.502,0.516,0.497,0.505,125569
2024-10-16,0.514,0.516,0.499,0.4995,80804
2024-10-17,0.5,0.51,0.481,0.51,30792
2024-10-18,0.51,0.51,0.496,0.506,7986
2024-10-21,0.5,0.51,0.5,0.51,25493
2024-10-22,0.51,0.51,0.491,0.51,18303
2024-10-23,0.491,0.509,0.491,0.509,17608
2024-10-24,0.509,0.509,0.493,0.506,10113
2024-10-25,0.4955,0.503,0.476,0.491,53761
2024-10-28,0.486,0.496,0.4625,0.496,65244
2024-10-29,0.495,0.498,0.495,0.498,16700
2024-10-30,0.498,0.501,0.49,0.493,41465
2024-10-31,0.493,0.503,0.49,0.5,27043
2024-11-04,0.5,0.501,0.4845,0.4845,11375
2024-11-05,0.498,0.4985,0.48,0.4895,27801
2024-11-06,0.4895,0.502,0.4895,0.501,58074
2024-11-07,0.5,0.502,0.491,0.502,12889
2024-11-08,0.502,0.53,0.49,0.53,92916
2024-11-12,0.53,0.53,0.502,0.52,40889
2024-11-13,0.519,0.52,0.484,0.503,37703
2024-11-14,0.503,0.505,0.484,0.49,18269
2024-11-15,0.499,0.4995,0.4865,0.487,13008
2024-11-18,0.51,0.514,0.48,0.49,19990
2024-11-19,0.49,0.499,0.444,0.468,69817
2024-11-20,0.446,0.468,0.412,0.447,60375
2024-11-21,0.4475,0.46,0.409,0.424,219344
2024-11-22,0.425,0.43,0.425,0.425,11520
2024-11-25,0.414,0.4225,0.412,0.412,42111
2024-11-26,0.412,0.445,0.411,0.4375,265352
2024-11-27,0.444,0.55,0.4425,0.55,436312
2024-11-28,0.62,0.67,0.56,0.575,1351485
2024-11-29,0.57,0.619,0.551,0.554,461496
2024-12-02,0.535,0.535,0.4835,0.509,568482
2024-12-03,0.51,0.51,0.4655,0.474,371866
2024-12-04,0.466,0.52,0.4655,0.508,261212
2024-12-05,0.508,0.528,0.4715,0.52,197973
2024-12-06,0.519,0.55,0.49,0.496,100162
2024-12-09,0.493,0.519,0.49,0.519,72216
2024-12-10,0.518,0.518,0.4925,0.514,21157
2024-12-11,0.514,0.52,0.4915,0.512,72602
2024-12-12,0.52,0.54,0.505,0.53,1186468
2024-12-13,0.53,0.58,0.53,0.55,149430
2024-12-16,0.55,0.575,0.512,0.518,115015
2024-12-17,0.52,0.54,0.51,0.516,20640
2024-12-18,0.523,0.535,0.51,0.516,52887
2024-12-19,0.515,0.538,0.51,0.532,17057
2024-12-20,0.519,0.52,0.5,0.506,72813
2024-12-23,0.5,0.52,0.49,0.5,109141
2024-12-27,0.492,0.5,0.48,0.4905,62385
2024-12-30,0.491,0.503,0.48,0.4995,78234
2025-01-02,0.5,0.538,0.488,0.527,44419
2025-01-03,0.527,0.527,0.5,0.52,15437
2025-01-07,0.516,0.525,0.495,0.517,53894
2025-01-08,0.512,0.515,0.49,0.492,79271
2025-01-09,0.493,0.513,0.492,0.513,22768
2025-01-10,0.501,0.511,0.5,0.505,17287
2025-01-13,0.49,0.514,0.482,0.5,63693
2025-01-14,0.514,0.514,0.492,0.508,20521
2025-01-15,0.4955,0.514,0.495,0.51,35540
